data,rain_mm,etp_mm,bal_mm,spi1,spei1,spi3,spei3,spi6,spei6,spi12,spei12,tmax_med,tmin_med,dias_tmax34,dias_chuva10,veranico_max,soma_termica,srad_mj
1980-01,220,108.2,111.8,1.35,1.51,,,,,,,27.2,19.1,0,8,10,407,523
1980-02,418,93.8,324.1,2.71,2.31,,,,,,,26.8,18.9,0,9,7,372,472
1980-03,35,116.6,-81.6,-0.26,-0.15,2.11,2.01,,,,,27.1,17.7,0,1,14,385,608
1980-04,14,95.7,-81.7,-1.27,-0.82,1.87,1.82,,,,,26.6,17.9,0,0,15,368,494
1980-05,15,77.8,-62.9,-0.36,0.08,-0.88,-0.47,,,,,25.2,17.1,0,0,6,346,424
1980-06,24,65.5,-41.5,0.44,0.7,-1.19,-0.42,2,1.9,,,24.1,16.2,0,1,17,304,363
1980-07,12,77.4,-65.4,-0.44,-0.32,-0.31,0.08,1.83,1.76,,,24.3,15,0,0,8,300,443
1980-08,12,93.2,-81.2,-0.03,-0.01,-0.08,0,-0.96,-0.47,,,25,15.1,0,0,18,312,495
1980-09,41,94.3,-53.3,1.72,1.93,0.79,1.06,-0.36,0.28,,,25.9,16.4,0,1,16,334,455
1980-10,43,135.1,-92.1,0.45,0.21,0.92,1.01,0.54,0.82,,,27.5,16.5,0,3,14,372,649
1980-11,76,108.3,-32.3,-0.11,-0.12,0.39,0.56,0.26,0.56,,,26.8,17.6,0,2,6,366,506
1980-12,140,111.2,28.8,0.53,0.66,0.31,0.39,0.41,0.61,1.88,1.99,27.4,18.8,0,5,4,406,533
1981-01,59,129.5,-70.5,0.07,0.07,0,0.34,0.24,0.63,1.62,1.69,28.5,18.4,0,2,11,418,656
1981-02,24,114,-90,-0.33,-0.11,-0.08,0.16,0.02,0.42,-0.57,0.02,28.4,18.1,0,1,15,372,564
1981-03,415,101.8,313.2,2.35,2.15,1.51,1.55,1.83,1.74,1.69,1.74,28.4,19.4,0,13,8,430,508
1981-04,44,83,-39,0.13,0.54,1.95,1.88,1.74,1.8,1.82,1.84,25.4,17.4,0,0,8,342,461
1981-05,37,68.7,-31.7,1.27,1.81,2.5,2.15,1.91,2.01,1.93,1.94,23.6,16.1,0,0,4,306,407
1981-06,17,61.7,-44.7,-0.13,0.5,0.4,1.16,1.51,1.58,1.87,1.91,23.2,15.3,0,0,13,278,372
1981-07,4,67.6,-63.6,-1.65,-0.17,0.01,1.06,1.94,1.92,1.84,1.87,22.2,14.1,0,0,14,252,406
1981-08,6,88.7,-82.7,-0.79,-0.12,-1.14,-0.09,2.53,2.24,1.79,1.88,24.1,14.4,0,0,11,286,494
1981-09,0,113.9,-113.9,,-0.78,-2.02,-0.6,-0.63,0.47,1.62,1.71,26,14.9,0,0,30,314,580
1981-10,23,99.8,-76.8,-0.22,0.6,-1.07,0.18,-0.77,0.59,1.43,1.72,26.6,17.8,0,1,8,378,487
1981-11,91,102.7,-11.7,0.17,0.22,-0.34,0.23,-0.74,0.25,1.52,1.7,27.4,18.9,0,4,6,394,502
1981-12,90,134.2,-44.2,0.04,-0.05,-0.14,0.12,-0.49,-0.03,1.01,1.32,28.9,18.6,0,3,10,426,656
1982-01,157,115.7,41.3,0.97,1.13,0.53,0.75,0.21,0.7,1.71,1.91,27.4,18.9,0,7,11,408,588
1982-02,49,104.7,-55.7,0.17,0.49,0.5,0.68,0.22,0.69,1.79,1.85,27.3,18.5,0,1,5,360,526
1982-03,19,122.6,-103.6,-0.64,-0.62,0.21,0.46,-0.13,0.38,-0.35,0.46,29.5,18.9,0,0,13,441,626
1982-04,76,87.1,-11.1,1,1.19,-0.2,0.1,0.16,0.48,-0.12,0.6,26,18.1,0,2,12,361,466
1982-05,30,73.4,-43.4,0.85,1.25,-0.02,0.32,0.26,0.52,-0.17,0.52,24.2,16.6,0,0,10,322,412
1982-06,3,70.7,-67.7,-2.26,-1.18,0.71,1.03,0.28,0.59,-0.26,0.4,24.5,15.8,0,0,16,304,395
1982-07,6,77.1,-71.1,-1.24,-0.81,-0.95,-0.34,-0.44,-0.02,-0.25,0.39,24.3,15.2,0,0,18,301,441
1982-08,8,90.8,-82.8,-0.5,-0.13,-1.86,-1.03,-0.53,-0.1,-0.23,0.38,24.9,15.7,0,0,13,320,475
1982-09,21,97.2,-76.2,0.73,1.19,-0.32,0.29,0.29,0.88,-0.09,0.6,25.5,16.8,0,1,20,334,485
1982-10,34,128.2,-94.2,0.18,0.15,0.13,0.57,-0.4,0.28,0,0.47,28,17.5,0,1,13,394,638
1982-11,3,151.4,-148.4,-3.42,-1.75,-1.58,-1.26,-2.12,-1.51,-0.58,-0.13,29.9,18.2,0,0,27,422,721
1982-12,80,137.8,-57.8,-0.08,-0.2,-1.07,-1.16,-1.14,-1.02,-0.51,-0.3,29.4,18.8,0,4,18,436,648
1983-01,127,113.9,13.1,0.75,0.93,-0.64,-0.69,-0.64,-0.41,-0.95,-0.51,28.5,19.7,0,4,15,438,560
1983-02,94,99.6,-5.6,0.74,1.04,0.54,0.73,-0.16,0.06,-0.53,-0.11,27.6,19.4,0,4,4,377,507
1983-03,156,110,46,1.04,1.23,1.01,1.23,0.32,0.41,0.34,0.6,28.2,19.5,0,4,8,429,559
1983-04,43,95.7,-52.6,0.1,0.15,0.95,1.14,0.3,0.37,0.12,0.39,27.2,18.4,0,1,8,384,524
1983-05,34,81,-47,1.1,1.05,0.96,1.11,0.95,1.12,0.14,0.35,26.3,17.5,0,2,7,370,457
1983-06,16,69.9,-53.9,-0.22,-0.13,0.25,0.35,0.97,1.17,0.23,0.42,25.1,15.6,0,0,6,311,409
1983-07,9,79.8,-70.8,-0.79,-0.78,0.05,0.01,0.89,1.04,0.25,0.44,25.4,15.3,0,0,22,320,466
1983-08,0,97.1,-97.1,,-1.17,-1.26,-1.04,0.7,0.8,0.2,0.36,25.5,14.5,0,0,31,310,540
1983-09,4,111.1,-107.1,-0.95,-0.37,-1.71,-1.04,-0.69,-0.47,0.09,0.23,28,17,0,0,12,374,560
1983-10,10,110.7,-100.7,-0.94,-0.03,-1.97,-0.56,-1.17,-0.38,-0.05,0.17,27.4,17.7,0,0,9,390,551
1983-11,82,101.4,-19.4,0.01,0.09,-0.68,-0.11,-1.1,-0.42,0.43,0.84,27.6,18.9,0,3,10,398,496
1983-12,80,132.5,-52.5,-0.08,-0.14,-0.45,-0.18,-0.77,-0.43,0.34,0.63,29,18.3,0,4,23,423,665
1984-01,2,155.1,-153.1,-1.71,-1.43,-1.18,-1,-1.74,-1.15,-0.42,-0.08,30.7,18.8,0,0,30,457,758
1984-02,30,139.8,-109.8,-0.18,-0.61,-1.29,-1.37,-1.55,-1.14,-0.77,-0.48,30.6,19.5,0,0,6,436,652
1984-03,70,123.2,-53.2,0.27,0.31,-0.78,-1.03,-1.44,-1.11,-1.61,-1.12,29.8,19.7,0,2,11,458,597
1984-04,49,85.3,-36.4,0.29,0.61,-0.15,-0.16,-1.13,-0.95,-1.53,-1.02,26.1,18.7,0,0,4,372,462
1984-05,44,82.7,-38.7,1.65,1.48,0.38,0.59,-0.86,-0.88,-1.45,-0.97,26,17.3,0,1,5,360,471
1984-06,10,75.6,-65.6,-0.89,-1.02,0.54,0.64,-0.59,-0.66,-1.47,-1.01,25,16.1,0,0,18,316,437
1984-07,21,73.7,-52.7,0.35,0.59,0.7,0.51,-0.06,-0.05,-1.37,-0.91,23.8,15.4,0,0,5,297,420
1984-08,10,83.6,-73.6,-0.25,0.52,-0.39,-0.13,0.19,0.45,-1.27,-0.79,24.5,15.7,0,0,7,313,447
1984-09,42,94.9,-52.9,1.76,1.94,1.02,1.49,0.99,1.44,-0.98,-0.49,26.1,17,0,1,6,346,481
1984-10,77,118.1,-41.1,1.21,1.31,1.54,1.7,1.49,1.57,-0.43,-0.18,27.1,17.9,0,2,15,387,584
1984-11,18,124.5,-106.5,-1.9,-1.24,0.05,0.25,-0.15,0.26,-0.9,-0.58,28.3,18.2,0,1,11,397,621
1984-12,57,134.7,-77.7,-0.39,-0.45,-0.65,-0.58,-0.38,-0.12,-0.83,-0.68,29.9,19.4,0,3,9,455,650
1985-01,283,98.9,184.1,1.68,1.8,0.69,0.84,1.11,1.28,0.69,0.84,27.3,19.6,0,15,2,418,488
1985-02,114,120.5,-6.5,0.94,1.04,1.49,1.53,1.34,1.38,1.15,1.28,28.7,18.8,0,3,7,385,633
1985-03,45,121.1,-76.1,-0.08,-0.04,1.29,1.39,0.94,1.04,1.13,1.31,29.1,19.2,0,1,7,439,623
1985-04,32,87.3,-55.3,-0.31,0.07,0.22,0.36,0.59,0.74,1.01,1.21,26.5,18.4,0,0,3,374,462
1985-05,18,84.8,-66.8,-0.07,-0.18,-0.39,-0.11,1.04,1.15,0.86,1.08,26.3,17.3,0,0,9,366,472
1985-06,43,68.9,-25.9,1.57,1.49,0.25,0.48,1.26,1.34,1.04,1.23,24.6,15.1,0,1,4,295,410
