data,rain_mm,etp_mm,bal_mm,spi1,spei1,spi3,spei3,spi6,spei6,spi12,spei12,tmax_med,tmin_med,dias_tmax34,dias_chuva10,veranico_max,soma_termica,srad_mj
1980-01,350,101.5,248.5,0.79,0.81,,,,,,,26.6,18,0,14,7,382,527
1980-02,71,110.7,-39.7,-1.11,-0.98,,,,,,,28,18.3,0,1,10,381,576
1980-03,38,118.4,-80.4,-2.1,-1.57,-0.51,-0.55,,,,,29.3,18.1,0,1,14,424,615
1980-04,179,72.9,106.1,2.36,2.2,-0.53,-0.48,,,,,25.7,16.7,0,5,12,336,403
1980-05,14,70.3,-56.3,-0.72,-0.48,0,-0.01,,,,,25.5,14.7,0,0,11,314,423
1980-06,76,56.5,19.5,2.08,2.07,2.38,2.21,0.4,0.49,,,23.1,12,0,3,9,226,361
1980-07,0,68,-68,,0.05,1.03,1.17,-0.18,-0.02,,,24.4,12,0,0,31,254,426
1980-08,6,84,-78,-0.56,0.19,1.21,1.39,0.43,0.51,,,25.5,13.2,0,0,17,290,459
1980-09,19,89.6,-70.6,-1.05,-0.35,-1.31,-0.28,1.27,1.46,,,25.4,13.9,0,0,12,290,446
1980-10,61,111.3,-50.3,-0.95,-0.72,-1.64,-0.82,-0.89,-0.09,,,28.1,15.9,2,3,8,373,527
1980-11,203,106.2,96.8,0.18,0.15,-0.85,-0.57,-0.4,0.09,,,26.4,16.2,0,6,5,340,537
1980-12,389,112.2,276.9,1.29,1.29,0.56,0.53,0.16,0.26,0.35,0.52,27.9,17.8,0,14,6,398,565
1981-01,220,101.9,118.1,-0.21,-0.21,0.52,0.66,-0.08,0.18,-0.22,0.05,27.4,18.1,0,12,5,394,510
1981-02,85,118.1,-33.1,-0.82,-0.89,0.14,0.21,-0.37,-0.16,-0.17,0.08,28.7,17.7,0,2,4,370,607
1981-03,158,95.4,62.6,0.29,0.3,-0.48,-0.45,-0.11,0.08,0.37,0.68,27.4,17.9,0,4,5,392,481
1981-04,49,86,-37,-0.2,-0.12,-0.49,-0.42,0.11,0.27,-0.22,0.1,25.5,14.6,0,1,16,302,501
1981-05,21,69.1,-48.1,-0.28,-0.1,-0.04,0.08,0.06,0.23,-0.18,0.15,23.9,13.5,0,1,17,270,429
1981-06,44,55,-11,1.36,1.58,0.28,0.5,-0.4,-0.24,-0.31,0.04,22.1,11.9,0,1,8,210,361
1981-07,1,68,-67,-0.73,0.11,0.51,0.77,-0.35,-0.13,-0.31,0.06,21.9,10.2,0,0,24,188,437
1981-08,27,82.4,-55.4,0.64,1,1.01,1.28,0.29,0.52,-0.22,0.14,24.1,12.1,0,1,13,250,483
1981-09,25,97,-72,-0.77,-0.38,-0.41,0.08,-0.12,0.27,-0.18,0.15,26.8,13.9,0,1,27,311,480
1981-10,192,84.7,107.3,1.22,1.45,0.84,1.23,0.96,1.35,0.36,0.72,24,14.6,0,8,4,288,445
1981-11,249,98.8,150.2,0.92,1.03,1,1.34,1.29,1.64,0.54,0.87,26.5,17,0,8,4,354,511
1981-12,284,106,178.1,0.26,0.24,1.04,1.3,0.82,1.19,0.15,0.48,26.2,16.9,0,8,5,358,548
1982-01,327,92.2,234.8,0.63,0.71,0.78,0.99,1,1.32,0.56,0.93,25.5,16.4,0,12,4,340,468
1982-02,69,113.9,-44.9,-1.15,-1.04,0.06,0.25,0.52,0.89,0.53,0.94,28.2,17.1,0,2,16,354,581
1982-03,286,78.4,207.6,1.65,1.93,0.76,0.94,1.15,1.41,1.09,1.44,26.1,17.7,0,9,2,368,403
1982-04,53,78,-25,-0.07,0.23,0.51,0.78,0.8,1.08,1.08,1.47,24.2,14,0,2,12,273,449
1982-05,19,64.3,-45.3,-0.4,0.03,1.29,1.59,0.57,0.88,1.07,1.46,22.7,12.8,0,1,17,241,386
1982-06,11,57.7,-46.7,0.07,0.41,-0.35,0.15,0.58,0.87,0.91,1.33,24.7,13.3,0,0,9,269,340
1982-07,19,69.2,-50.2,0.79,1,0.07,0.42,0.43,0.79,0.98,1.37,23.8,12,0,0,13,245,432
1982-08,4,81.7,-77.7,-0.8,0.21,0.04,0.45,1.18,1.65,0.91,1.33,25.1,13,0,0,12,281,458
1982-09,10,96.7,-86.7,-1.65,-0.72,-1,-0.25,-0.89,-0.16,0.81,1.23,25,12.9,0,0,21,268,510
1982-10,246,99.7,146.3,1.81,1.76,1.02,1.25,0.95,1.25,0.98,1.29,26.6,15.3,0,9,7,340,501
1982-11,107,126,-19,-1.82,-1.67,0.04,0.06,-0.05,0.24,0.45,0.81,29.5,17.9,0,4,8,411,602
1982-12,398,85.9,312.1,1.37,1.6,1.2,1.32,0.85,1.08,0.89,1.21,25.6,17.1,0,15,3,353,421
1983-01,335,92.5,242.5,0.69,0.77,0.68,0.87,0.98,1.22,0.93,1.27,26.1,18.3,0,16,2,378,465
1983-02,198,101,97,0.78,0.81,1.36,1.49,1.24,1.41,1.52,1.75,27.5,18.4,0,9,7,363,514
1983-03,256,91,165,1.37,1.53,1.27,1.47,1.67,1.69,1.42,1.65,26.7,17.7,0,8,2,378,469
1983-04,165,76.4,88.6,2.16,2.05,1.93,1.91,1.54,1.6,1.83,1.92,26.2,16.5,0,5,6,340,409
1983-05,73,65.7,7.3,1.51,1.73,2.38,2.4,2.05,1.96,2.02,2.01,25.2,15.5,0,2,24,321,375
1983-06,29,59.8,-30.8,0.9,1.07,2.36,2.18,1.83,1.92,2.02,1.99,24.7,14.5,0,1,23,288,378
1983-07,46,68.5,-22.5,1.59,1.78,1.98,1.99,2.33,2.17,2.12,2.01,24.6,12.9,0,1,18,271,428
1983-08,5,86.1,-81.1,-0.67,0.04,1.17,1.27,2.59,2.97,2.17,2.06,24.4,11.5,0,0,20,246,506
1983-09,161,65.7,95.3,2.02,2.34,1.96,2.04,2.72,2.53,2.56,2.29,23.4,14.9,0,6,4,274,349
1983-10,163,89.1,73.9,0.85,1.14,1.73,2,2.63,2.29,2.21,2.07,24.2,15.8,0,7,3,310,464
1983-11,160,100.6,59.4,-0.61,-0.5,1.15,1.65,1.51,1.88,2.33,2.2,26.4,17.1,0,6,5,352,522
1983-12,302,94.6,207.4,0.45,0.57,0.37,0.65,1.18,1.8,2.05,2.28,26.1,17.6,0,13,1,368,475
1984-01,112,139,-27,-1.43,-1.3,-0.97,-0.88,-0.05,0.36,1.36,1.62,30.1,18,0,3,8,434,704
1984-02,22,135.8,-113.8,-2.67,-1.84,-1.57,-1.57,-0.7,-0.39,0.74,1.03,30,18.7,0,0,7,417,706
1984-03,62,105.2,-43.2,-1.39,-1.13,-2.75,-1.94,-1.63,-1.48,-0.14,0.23,28.4,18,0,1,5,409,540
1984-04,71,74.9,-3.9,0.42,0.74,-2.12,-1.81,-1.8,-1.65,-0.58,-0.16,25.4,15.9,0,3,14,320,419
1984-05,21,78.4,-57.4,-0.28,-0.53,-1.04,-0.82,-1.71,-1.62,-0.82,-0.43,27.2,15.5,0,1,13,352,460
1984-06,2,66.2,-64.2,-0.93,-0.79,-0.11,0,-2.46,-1.9,-0.92,-0.54,25.5,13.9,0,0,28,292,409
1984-07,7,71.4,-64.4,0.13,0.28,-0.58,-0.67,-2.19,-1.82,-1.11,-0.71,24.6,12.3,0,0,13,262,432
1984-08,74,71,3,1.85,2.02,1.23,1.41,-0.42,-0.22,-0.8,-0.37,23.4,13.1,0,3,15,255,398
1984-09,104,90.9,13.1,1.2,1.32,1.67,1.75,1.13,1.28,-1.02,-0.67,25.1,14.1,0,5,8,289,481
1984-10,53,121.4,-68.4,-1.16,-1.07,0.69,0.94,0.36,0.6,-1.51,-1.21,27.7,16.2,0,3,10,370,628
1984-11,207,112,95,0.25,0.12,0.05,0.05,0.45,0.67,-1.24,-1.04,27.2,17.1,0,6,11,364,570
1984-12,314,99.3,214.7,0.58,0.65,0,-0.08,0.7,0.86,-1.16,-0.99,26.9,17.7,0,14,6,382,506
1985-01,422,84.1,337.9,1.24,1.41,1.22,1.34,1.34,1.51,0.14,0.34,25.2,17,0,15,2,343,433
1985-02,202,111,91,0.82,0.74,1.39,1.47,1.27,1.38,0.93,1.14,29.7,17.7,0,10,6,384,569
1985-03,248,88.4,159.6,1.3,1.47,1.63,1.83,1.3,1.4,1.7,1.77,27.8,17.9,0,7,4,399,456
1985-04,45,86.4,-41.4,-0.33,-0.25,1.14,1.23,1.46,1.53,1.57,1.65,26.9,15.4,0,2,7,336,497
1985-05,17,69.2,-52.2,-0.52,-0.29,0.85,0.99,1.41,1.5,1.54,1.64,25.5,12.5,0,1,10,279,444
1985-06,2,63.3,-61.3,-0.93,-0.54,-0.82,-0.57,1.35,1.47,1.5,1.61,23.7,8.2,0,0,26,178,446
1985-07,1,64,-63,-0.73,0.37,-1.05,-0.42,0.84,1.01,1.47,1.59,22.5,8,0,0,17,163,445
1985-08,8,86.9,-78.9,-0.37,0.15,-1.05,-0.28,0.51,0.71,1.25,1.41,26.5,10.7,0,0,21,266,526
1985-09,81,91.7,-10.7,0.78,0.91,0.37,0.67,-0.3,0.09,1.1,1.29,26.3,13.3,0,4,13,294,512
1985-10,120,110.5,9.5,0.23,0.32,0.42,0.65,-0.08,0.42,1.3,1.43,28.3,15.7,0,5,9,372,573
1985-11,251,109,142,0.95,0.91,0.88,0.98,0.61,0.86,1.44,1.53,27,16.1,0,8,15,346,581
1985-12,209,105.3,103.7,-0.64,-0.63,0.04,0.02,0.11,0.23,1.09,1.3,26.1,16.4,0,7,3,349,564
1986-01,210,118.9,91.1,-0.3,-0.43,-0.33,-0.24,-0.19,-0.02,0.28,0.5,28.1,17.7,0,9,4,400,609
1986-02,142,102.8,39.2,0.1,0.08,-0.67,-0.55,-0.18,0.04,0.03,0.32,28.4,18.3,0,6,3,374,527
1986-03,72,112.9,-40.9,-1.15,-1.1,-0.74,-0.76,-0.65,-0.54,-0.84,-0.54,29.6,17.2,0,2,8,416,580
1986-04,45,93,-48,-0.33,-0.46,-0.82,-0.81,-0.72,-0.65,-0.82,-0.56,26.9,16.3,0,2,11,348,514
1986-05,38,72.3,-34.3,0.48,0.49,-1.02,-1.01,-0.97,-0.88,-0.7,-0.46,26,14.9,0,1,10,324,416
1986-06,11,63.5,-52.5,0.07,0.08,-0.11,-0.18,-0.75,-0.73,-0.62,-0.39,23.2,10.7,0,0,18,208,432
1986-07,61,66.9,-5.9,1.91,2.07,1.39,1.36,-0.26,-0.2,-0.35,-0.13,23.8,10.3,0,3,16,219,426
1986-08,79,79.7,-0.7,1.95,1.98,2.27,2.23,0.36,0.25,-0.03,0.18,25.8,12.2,0,3,12,280,461
1986-09,10,100.6,-90.6,-1.65,-0.8,1.25,1.31,0.78,0.81,-0.33,-0.13,25.5,12.6,0,0,24,270,530
1986-10,14,126.7,-112.7,-2.85,-1.96,-1.26,-0.89,-0.31,-0.01,-0.78,-0.59,28.5,14.6,0,0,12,359,600
1986-11,132,122.4,9.6,-1.21,-1.28,-2.7,-1.95,-1.09,-0.91,-1.3,-1.11,28.5,15.6,0,4,3,362,595
1986-12,420,98.9,321.1,1.56,1.68,-0.06,-0.25,0.42,0.36,-0.34,-0.33,27,17.9,0,16,4,386,496
1987-01,143,120.6,22.4,-1.02,-0.95,-0.17,-0.13,-0.66,-0.6,-0.71,-0.63,29.1,18.6,0,3,4,430,597
