data,rain_mm,etp_mm,bal_mm,spi1,spei1,spi3,spei3,spi6,spei6,spi12,spei12,tmax_med,tmin_med,dias_tmax34,dias_chuva10,veranico_max,soma_termica,srad_mj
1980-01,323,113.4,209.6,0.59,0.54,,,,,,,26.6,17.6,0,15,6,376,586
1980-02,273,101.3,171.7,0.94,0.99,,,,,,,27.4,18,0,11,4,370,521
1980-03,83,120.6,-37.6,-1.26,-1.37,0.41,0.29,,,,,29.5,17,0,4,11,410,633
1980-04,138,86.2,51.8,1.22,1.29,0.56,0.45,,,,,26.1,15.8,0,6,14,328,472
1980-05,19,75,-56,-1.07,-1.08,-0.56,-0.75,,,,,25.7,12.8,0,0,8,288,444
1980-06,111,62,49,1.69,1.72,1.19,1.16,0.79,0.67,,,23.4,9.7,0,3,9,196,410
1980-07,1,78.1,-77.1,-1.61,-1.24,0.47,0.26,0.59,0.4,,,25.6,10.9,0,0,30,256,461
1980-08,9,95.6,-86.6,-0.53,-0.49,1.01,0.83,-0.07,-0.4,,,25.8,12.8,0,0,12,288,472
1980-09,74,100,-26,0.4,0.51,-0.13,-0.22,0.74,0.62,,,25.7,12.1,0,4,11,266,505
1980-10,84,131.7,-47.7,-0.57,-0.82,-0.42,-0.57,-0.16,-0.33,,,28.3,15.4,0,2,11,366,635
1980-11,225,121,104,0.88,0.82,0.19,0.12,0.49,0.36,,,27.5,16.8,0,6,7,364,608
1980-12,333,117.5,215.5,1.08,1.05,0.72,0.67,0.45,0.41,0.81,0.68,26.5,18,0,15,5,378,616
1981-01,316,105.2,210.8,0.53,0.55,1.19,1.2,0.67,0.64,0.76,0.69,27.5,18.4,0,11,1,402,530
1981-02,59,121.8,-62.8,-1.76,-1.6,0.1,-0.01,0.13,0,0.01,-0.25,28.9,17.7,0,3,7,373,613
1981-03,153,108.9,44.1,-0.02,-0.08,-0.52,-0.63,0.01,-0.1,0.31,0.06,28.1,17.5,0,7,10,398,553
1981-04,55,94.7,-39.7,-0.35,-0.58,-1.41,-1.38,0.15,0.02,-0.04,-0.29,26.3,14.2,0,2,7,306,536
