data,rain_mm,etp_mm,bal_mm,spi1,spei1,spi3,spei3,spi6,spei6,spi12,spei12,tmax_med,tmin_med,dias_tmax34,dias_chuva10,veranico_max
1980-01,299,96.7,202.3,-0.34,-0.34,,,,,,,24.6,15.7,0,13,4
1980-02,190,107.3,82.7,-0.4,-0.46,,,,,,,27,15.9,0,11,9
1980-03,141,118.3,22.7,-1.62,-1.78,-1.09,-1.07,,,,,28.4,15.5,0,8,10
1980-04,162,69.1,92.9,0.87,1.01,-0.71,-0.78,,,,,24.1,14.6,0,7,12
1980-05,34,63.2,-29.2,-0.64,-0.74,-0.88,-0.98,,,,,24,12.1,0,1,6
1980-06,39,49.8,-10.8,0.42,0.54,0.47,0.65,-0.86,-0.81,,,21,8.3,0,1,7
1980-07,7,58,-51,-1.1,-0.87,-0.73,-0.65,-0.87,-0.91,,,22.2,9.1,0,0,15
1980-08,63,72.8,-9.8,0.95,1.03,0.28,0.46,-0.6,-0.61,,,23.3,10.4,0,2,6
1980-09,53,80.6,-27.6,-0.5,-0.31,-0.36,-0.18,0.05,0.31,,,22.4,10.4,0,0,4
1980-10,97,104.4,-7.4,-0.82,-0.81,-0.63,-0.48,-0.94,-0.78,,,24.9,13.3,0,4,5
1980-11,237,101.8,135.2,-0.01,-0.04,-0.64,-0.59,-0.53,-0.41,,,24.3,14.2,0,7,3
1980-12,231,116.8,114.2,-0.91,-0.96,-0.89,-0.91,-0.92,-0.88,-1.06,-1.01,27.1,16.5,0,10,4
1981-01,328,103,225.1,-0.11,-0.17,-0.62,-0.59,-0.78,-0.73,-1,-0.99,26.3,16.6,0,13,4
1981-02,172,114.2,57.8,-0.56,-0.67,-0.95,-0.97,-1.14,-1.13,-1.23,-1.27,28.2,16,0,6,8
1981-03,258,94.6,163.4,0.11,0.2,-0.46,-0.49,-0.91,-0.91,-0.86,-0.79,26.1,15.6,0,10,1
1981-04,77,77.6,-0.5,-0.52,-0.58,-0.63,-0.64,-0.9,-0.88,-1.12,-1.08,23.8,12.6,0,3,9
1981-05,24,64.8,-40.8,-1.13,-1.23,-0.63,-0.62,-1.06,-1.04,-1.17,-1.14,23.2,11.5,0,1,13
1981-06,28,48,-20,0.06,0.23,-0.93,-0.86,-0.76,-0.71,-1.17,-1.13,20.5,8.2,0,0,8
1981-07,7,58.5,-51.5,-1.1,-0.9,-1.28,-1.42,-0.91,-0.9,-1.15,-1.11,20.4,6.7,0,0,19
1981-08,7,71.3,-64.3,-1.16,-0.75,-1.27,-0.93,-0.99,-0.87,-1.34,-1.3,22.9,8.7,0,0,17
1981-09,31,90.4,-59.4,-1.13,-1.05,-2.04,-1.56,-1.97,-1.73,-1.37,-1.38,26,11,0,0,15
1981-10,223,85.5,137.5,0.91,1.1,-0.12,0.14,-0.68,-0.34,-1,-0.91,22.8,13,0,7,4
1981-11,274,101.4,172.6,0.38,0.39,0.29,0.43,-0.08,0.15,-0.83,-0.74,25.6,15.9,0,11,3
1981-12,351,100.9,250.1,0.27,0.41,0.6,0.8,0.05,0.26,-0.45,-0.31,25.1,15.6,0,12,2
1982-01,344,91.8,252.2,0.01,0.04,0.17,0.36,0.06,0.28,-0.43,-0.27,23.6,15.5,0,15,5
1982-02,177,110.2,66.8,-0.51,-0.59,-0.3,-0.22,-0.14,0.04,-0.5,-0.28,27.8,15.7,0,7,7
1982-03,477,74,403,2.28,2.15,0.55,0.7,0.66,0.89,0.12,0.39,24.3,16.3,0,16,1
1982-04,71,72.4,-1.4,-0.66,-0.6,0.54,0.72,0.39,0.62,0.1,0.39,22.6,12.7,0,3,6
1982-05,33,60.3,-27.3,-0.68,-0.66,1.41,1.61,0.27,0.49,0.12,0.44,21.4,9.8,0,0,12
1982-06,50,46.8,3.2,0.72,0.92,-0.55,-0.34,0.32,0.57,0.18,0.49,21.7,10.8,0,1,6
