data,rain_mm,etp_mm,bal_mm,spi1,spei1,spi3,spei3,spi6,spei6,spi12,spei12,tmax_med,tmin_med,dias_tmax34,dias_chuva10,veranico_max
1980-01,397,94.6,302.4,1.25,1.34,,,,,,,29.4,21.6,0,14,2
1980-02,601,76.1,524.9,3.17,2.49,,,,,,,27.9,21.5,0,21,0
1980-03,121,118.1,2.9,-2.52,-2.13,2.08,1.89,,,,,31.1,21.6,0,5,7
1980-04,119,109.2,9.8,-1.01,-1,0.91,0.99,,,,,31.1,21.4,0,4,8
1980-05,10,125,-115,-1.8,-1.51,-2.53,-2.06,,,,,33.6,20.6,2,0,15
1980-06,11,118.8,-107.8,0.28,0.51,-1.44,-1.33,1.07,1.16,,,33.7,19.7,4,0,23
1980-07,1,133.9,-132.9,-1.33,-0.36,-1.48,-1.44,0.46,0.39,,,34.3,18.4,12,0,28
1980-08,1,133.9,-132.9,-1.24,0.48,-0.25,0.22,-2.55,-1.98,,,35,18.9,25,0,19
1980-09,91,126.9,-35.9,0.96,1.03,0.73,0.89,-1.01,-0.84,,,33.9,21.3,13,3,8
1980-10,128,133.5,-5.5,-0.14,-0.3,0.29,0.4,-0.48,-0.38,,,32.9,21.5,6,4,4
1980-11,298,102,196,1.07,1.18,1.01,1.09,0.89,1.01,,,30.6,21.5,0,9,1
1980-12,296,96.5,199.5,0.6,0.8,0.81,0.98,0.94,1.15,1.26,1.35,29.8,21.2,0,9,1
1981-01,422,101.8,320.2,1.46,1.46,1.78,1.65,1.62,1.55,1.41,1.41,30,20.7,0,15,2
1981-02,136,111.4,24.6,-1.62,-1.77,0.63,0.8,0.96,1.11,-0.51,-0.32,31.8,21.1,3,5,4
1981-03,357,92,265,1.13,1.29,0.82,0.97,1.09,1.2,0.51,0.82,29.6,21.5,0,14,1
1981-04,41,121.9,-80.9,-2.93,-2,-1.54,-1.44,0.43,0.65,0.17,0.46,32.1,21.2,0,1,10
1981-05,4,127.5,-123.5,-2.48,-1.75,-0.99,-1.02,-0.29,-0.18,0.14,0.37,33.2,19.6,2,0,28
1981-06,25,122.6,-97.6,1.09,1.13,-2.75,-2.08,-0.54,-0.62,0.21,0.43,33.1,18.8,1,1,22
1981-07,0,132.5,-132.5,,-0.3,-1.17,-1.39,-1.79,-1.63,0.2,0.43,33.1,17.9,2,0,31
1981-08,7,142.2,-135.2,-0.16,0.34,0.71,0.55,-0.87,-0.92,0.22,0.42,34.5,18.9,18,0,17
