data,rain_mm,etp_mm,bal_mm,spi1,spei1,spi3,spei3,spi6,spei6,spi12,spei12,tmax_med,tmin_med,dias_tmax34,dias_chuva10,veranico_max,soma_termica,srad_mj
1980-01,281,102.2,178.8,0.1,-0.02,,,,,,,24.3,14.9,0,12,5,298,560
1980-02,180,92,88,-0.06,-0.11,,,,,,,25.2,15.6,0,7,3,302,496
1980-03,99,104.1,-5.1,-1.24,-1.31,-0.58,-0.7,,,,,26.9,14.7,0,3,7,334,579
1980-04,247,69.8,177.2,2.06,1.97,0.53,0.53,,,,,23.7,13.2,0,8,14,254,420
1980-05,22,62.9,-40.9,-0.99,-1.1,0.44,0.31,,,,,23.1,10,0,1,9,204,412
1980-06,107,49.9,57.1,1.32,1.44,1.61,1.6,0.49,0.42,,,20.1,7,0,2,8,106,351
1980-07,1,60.1,-59.1,-1.6,-1.04,0.16,0.17,0.44,0.38,,,21.8,8,0,0,30,152,389
1980-08,56,71.4,-15.4,0.82,1.07,1.1,1.17,0.81,0.74,,,22.6,10.1,0,2,8,196,412
1980-09,68,77.9,-9.9,0.1,0.28,0.1,0.26,1.37,1.41,,,22.1,8.8,0,3,10,164,443
1980-10,97,104.9,-7.9,-0.33,-0.43,-0.07,0.11,-0.05,0.04,,,24.9,12.5,0,4,8,271,562
1980-11,182,104.2,77.8,0.53,0.44,-0.16,-0.06,0.39,0.49,,,24.8,14.2,0,7,7,285,559
1980-12,345,107.5,237.5,1.02,1.03,0.67,0.71,0.51,0.71,0.62,0.67,24,15.7,0,14,2,305,591
1981-01,402,96.7,305.3,1.23,1.31,1.49,1.44,1.15,1.18,0.99,1.03,25.2,15.5,0,12,1,320,513
1981-02,82,107.8,-25.8,-1.68,-1.51,0.66,0.61,0.45,0.46,0.75,0.73,26.8,15.2,0,2,7,308,585
1981-03,156,94.5,61.5,-0.23,-0.29,-0.04,-0.22,0.31,0.22,0.98,0.95,25.5,15.2,0,6,5,320,516
1981-04,40,76.1,-36.1,-0.71,-0.72,-1.39,-1.37,0.29,0.23,0.13,0.1,23.3,11,0,2,15,214,451
1981-05,19,60.1,-41.1,-1.13,-1.11,-0.98,-0.96,-0.04,-0.07,0.12,0.1,21.9,8.7,0,0,15,164,399
1981-06,78,47.5,30.5,0.93,1.12,-0.4,-0.4,-0.28,-0.38,0.02,0.02,19.2,6.1,0,3,12,81,336
1981-07,13,61.7,-48.7,-0.27,-0.46,-0.11,-0.08,-1.24,-1.22,0.06,0.05,20.3,4.3,0,0,16,77,393
1981-08,20,75.4,-55.4,-0.35,-0.09,0.37,0.42,-0.74,-0.76,-0.09,-0.12,23.6,6.4,0,1,12,156,432
1981-09,23,92.4,-69.4,-1.13,-0.96,-1.08,-1.01,-1.1,-1.03,-0.26,-0.31,26.6,7.9,0,1,21,217,444
1981-10,276,84.7,191.3,1.55,1.65,0.89,1,0.53,0.63,0.44,0.47,23.6,8.9,0,8,4,194,476
1981-11,206,97.2,108.8,1.03,1.18,1.28,1.36,1.11,1.19,0.52,0.57,25.5,12.6,0,8,3,272,529
1981-12,325,95.7,229.3,0.83,0.96,2.03,1.87,1.22,1.3,0.45,0.58,24.4,12,0,11,2,254,527
1982-01,219,90.4,128.6,-0.61,-0.55,0.4,0.6,0.74,0.96,-0.26,-0.05,24.6,11.6,0,11,6,251,491
1982-02,211,98.4,112.6,0.32,0.2,0.2,0.32,0.92,1.1,0.24,0.42,26.8,12.2,0,9,7,266,537
1982-03,352,71.6,280.4,2.01,2.05,0.82,0.97,1.88,1.95,1.05,1.23,24.4,12.1,0,11,2,256,395
1982-04,56,73,-17,-0.32,-0.27,1.09,1.2,1.09,1.29,1.07,1.24,23.7,10.1,0,2,14,206,448
1982-05,54,57.3,-3.3,0.03,0.12,1.11,1.29,0.8,1.01,1.21,1.38,21.2,6.4,0,3,19,118,389
1982-06,113,44.8,68.2,1.39,1.55,0.48,0.59,0.8,0.96,1.28,1.42,21.1,7.5,0,6,5,128,310
1982-07,50,55.5,-5.5,0.88,1.03,1.11,1.23,1.32,1.42,1.45,1.59,21.6,6.2,0,2,11,122,393
1982-08,51,72.1,-21.1,0.7,0.95,1.66,1.69,1.67,1.85,1.62,1.75,22.8,9.2,0,1,5,186,438
1982-09,24,87.2,-63.2,-1.09,-0.81,0.1,0.19,0.33,0.46,1.53,1.63,24.2,7.9,0,1,18,182,485
1982-10,250,91,159,1.34,1.42,0.95,1.06,1.25,1.33,1.41,1.52,24.5,10.6,0,10,4,234,507
1982-11,150,97.8,52.2,-0.21,-0.2,0.59,0.77,1.25,1.36,1.2,1.36,26.7,12.5,0,6,4,288,498
