data,rain_mm,etp_mm,bal_mm,spi1,spei1,spi3,spei3,spi6,spei6,spi12,spei12,tmax_med,tmin_med,dias_tmax34,dias_chuva10,veranico_max,soma_termica,srad_mj
1980-01,322,98.3,223.7,0.65,0.74,,,,,,,29.2,20.6,0,15,1,462,477
1980-02,447,74.4,372.6,2.32,2.4,,,,,,,27.2,20.5,0,17,0,402,367
1980-03,143,116.9,26.1,-1.67,-1.47,1.33,1.59,,,,,30.6,20.5,0,5,9,482,571
1980-04,191,106.7,84.3,0.7,0.71,1.13,1.29,,,,,30.4,20.1,0,8,14,458,530
1980-05,23,118.2,-95.2,-0.11,-0.25,-0.54,-0.63,,,,,32.1,19.7,0,1,25,492,595
1980-06,3,109.6,-106.6,0.05,0.58,0.48,0.52,1.23,1.4,,,31.7,17.5,0,0,26,438,547
1980-07,0,122.7,-122.7,,0.4,-0.19,-0.05,1,1.16,,,32.3,16.3,1,0,31,442,621
1980-08,0,138.7,-138.7,,0.48,-0.27,0.41,-0.6,-0.53,,,34.1,16.2,13,0,31,468,641
1980-09,44,122.3,-78.3,0.68,1.18,0.43,0.95,0.53,0.85,,,34,19.7,14,2,10,506,525
1980-10,60,143.1,-83.1,-0.68,-0.69,-0.37,0.04,-0.53,0.01,,,33.8,20.9,17,2,5,538,637
1980-11,431,96.8,334.2,2.43,2.07,1.76,1.67,1.69,1.67,,,29.7,20.8,0,16,2,456,461
1980-12,451,97.3,353.7,1.51,1.54,1.89,1.76,1.99,1.8,2.15,2.04,28.8,20.5,0,19,1,454,474
1981-01,296,109,187,0.4,0.37,2.3,2.09,1.97,1.82,2.12,2.13,29.5,20.4,0,13,1,464,535
1981-02,77,123.5,-46.5,-2.6,-1.99,0.48,0.48,1.28,1.32,0.75,0.87,31.5,20.5,3,4,12,448,589
1981-03,384,93.4,290.6,1.68,1.91,0.13,0.08,1.76,1.65,1.76,1.72,29.5,21,1,16,1,474,451
1981-04,89,116.8,-27.8,-0.67,-0.81,-0.51,-0.64,1.75,1.75,1.41,1.51,31.1,20.4,0,5,12,472,593
1981-05,4,117.9,-113.9,-1.26,-1.05,0.42,0.44,0.64,0.67,1.34,1.49,31,18.4,0,0,26,456,599
1981-06,54,103.9,-49.9,2.45,2.73,-0.28,-0.3,-0.14,-0.13,1.56,1.66,30.6,17.2,0,1,19,416,548
1981-07,2,117,-115,-0.09,1.31,0.7,0.96,-0.35,-0.31,1.57,1.68,30.9,15.9,0,0,24,416,610
1981-08,2,136,-134,-0.23,0.67,1.61,1.95,0.74,0.96,1.6,1.7,33.1,17.3,7,0,17,471,640
1981-09,0,147.1,-147.1,,-0.74,-1.62,-0.14,-0.75,-0.37,1.41,1.48,35.2,19.2,23,0,30,516,624
1981-10,181,117.7,63.4,1.31,1.42,0.76,0.93,0.86,1.08,1.76,1.79,32.1,21,7,7,2,514,525
1981-11,307,98,209,1.31,1.39,1.41,1.45,1.75,1.77,1.48,1.64,29.3,20.5,0,11,1,447,474
1981-12,170,123.7,46.3,-1,-1.05,0.53,0.7,0.35,0.67,0.11,0.34,31.1,20.8,0,6,2,494,585
1982-01,432,91.2,340.8,1.59,1.75,0.99,1.13,1.11,1.26,0.66,0.85,27.9,20.2,0,16,1,436,441
1982-02,199,107.4,91.6,-0.29,-0.4,0.32,0.36,0.96,1.12,1.16,1.36,30.5,20.6,0,8,2,436,518
