data,rain_mm,etp_mm,bal_mm,spi1,spei1,spi3,spei3,spi6,spei6,spi12,spei12,tmax_med,tmin_med,dias_tmax34,dias_chuva10,veranico_max
1980-01,367,106.1,260.9,1.4,1.48,,,,,,,28.5,19.3,0,15,2
1980-02,448,80.7,367.3,2.3,2.2,,,,,,,27,19.3,0,19,0
1980-03,43,124.2,-81.2,-1.61,-1.39,1.92,1.84,,,,,30,17.9,0,0,11
1980-04,9,110.5,-101.5,-2.09,-1.21,0.86,1.03,,,,,29.8,18,0,0,19
1980-05,3,116.2,-113.2,-1.12,-0.55,-2.22,-1.51,,,,,30.6,16,0,0,18
1980-06,0,110.8,-110.8,,-0.09,-2.14,-1.14,1.52,1.64,,,30.5,14.9,0,0,30
1980-07,0,119.6,-119.6,,0.33,-1.25,-0.26,0.7,0.9,,,30.7,13.1,0,0,31
1980-08,0,142.1,-142.1,,0.13,,0.07,-2.24,-1.41,,,32.1,13.2,1,0,31
1980-09,11,137.6,-126.6,0.03,0.77,-0.11,0.55,-1.95,-0.58,,,33.1,17.1,8,0,24
1980-10,25,156.6,-131.6,-0.9,-0.65,-0.84,-0.3,-1.33,-0.37,,,33.4,18.5,11,1,14
1980-11,196,100,96,0.49,0.77,-0.04,0.32,-0.08,0.32,,,29.2,19.7,0,7,2
1980-12,246,99.5,146.5,0.57,0.76,0.32,0.57,0.3,0.71,1.12,1.48,28.5,19,0,13,4
1981-01,121,113.4,7.6,-0.43,-0.35,0.16,0.59,-0.13,0.47,0.3,0.79,28.7,18.9,0,6,8
1981-02,16,131.8,-115.8,-2.76,-2.06,-1.03,-0.91,-1,-0.57,-1.76,-1.27,31,18.6,1,0,19
1981-03,286,97.6,188.4,1.32,1.51,-0.46,-0.31,-0.2,0.23,-0.62,-0.02,29.3,19.7,1,16,6
1981-04,118,109.5,8.5,1.02,1.09,0.32,0.33,0.29,0.63,-0.05,0.53,28.7,18.2,0,4,13
1981-05,0,110.7,-110.7,,-0.4,1.21,1.39,0.04,0.27,-0.07,0.53,28.7,16.1,0,0,31
1981-06,34,99.5,-65.5,2.22,3.7,0.98,1.18,-0.07,0.22,0.1,0.78,29,14.1,0,1,11
1981-07,0,116.3,-116.3,,0.73,0.57,0.96,0.38,0.57,0.1,0.79,29,12.7,0,0,31
1981-08,0,134.7,-134.7,,0.71,1.99,2.57,1.36,1.68,0.1,0.83,31.2,14.2,2,0,31
1981-09,0,155.7,-155.7,,-0.28,,0.12,0.83,1.07,0.04,0.65,33.4,15.6,6,0,30
1981-10,89,123.4,-34.4,0.63,0.98,0.39,0.76,0.51,0.96,0.35,1.04,31.8,19.4,4,4,7
1981-11,190,104.3,85.7,0.42,0.66,0.46,0.93,0.75,1.52,0.32,0.95,29.3,19.5,0,8,2
1981-12,68,130.6,-62.5,-1.46,-1.27,-0.45,-0.14,-0.56,-0.09,-0.42,0,30.8,19,0,4,10
1982-01,299,103.8,195.2,1.01,1.14,0.13,0.4,0.17,0.71,0.29,0.76,28.2,19.1,0,16,7
1982-02,77,115.5,-38.5,-0.98,-0.96,-0.56,-0.5,-0.31,0.17,0.57,1.13,30.6,18.6,0,4,9
1982-03,93,114.5,-21.5,-0.62,-0.63,-0.14,0.09,-0.63,-0.19,-0.32,0.39,29.9,18.9,0,2,8
1982-04,71,108,-37,0.2,0.29,-1.19,-1.05,-0.73,-0.59,-0.59,0.07,29.7,18.2,0,4,12
1982-05,0,114.8,-114.8,,-0.65,-0.6,-0.56,-1.12,-0.99,-0.6,0.01,30.8,16.5,0,0,31
1982-06,0,106,-106,,0.36,-0.21,0.03,-0.29,-0.01,-0.79,-0.24,31.2,15,0,0,30
1982-07,0,118.9,-118.9,,0.41,,-0.15,-1.34,-1.04,-0.79,-0.26,31,13.7,0,0,31
1982-08,0,134,-134,,0.77,,0.57,-0.63,-0.33,-0.79,-0.28,32.2,15.2,1,0,31
1982-09,25,124.8,-99.8,0.8,1.54,0.68,1.41,0,0.65,-0.65,0.06,32.6,19,3,0,13
1982-10,63,141.3,-78.3,0.15,0.33,0.37,0.94,-0.1,0.6,-0.73,-0.17,33,19.3,6,2,6
1982-11,92,140.2,-48.2,-1.01,-1.11,-0.67,-0.36,-0.72,-0.18,-1.17,-0.78,33.1,19.4,6,3,9
1982-12,171,128,43,-0.09,-0.16,-0.6,-0.59,-0.53,-0.2,-0.55,-0.21,32.2,19,9,6,5
