data,rain_mm,etp_mm,bal_mm,spi1,spei1,spi3,spei3,spi6,spei6,spi12,spei12,tmax_med,tmin_med,dias_tmax34,dias_chuva10,veranico_max
1980-01,108,128.3,-20.3,-1.5,-1.44,,,,,,,30.4,18.8,2,5,6
1980-02,184,106.6,77.4,0.16,0.11,,,,,,,30.5,20.1,2,6,5
1980-03,144,112.3,31.7,0.12,-0.19,-0.81,-0.91,,,,,32.5,21.4,6,6,9
1980-04,61,76.9,-15.9,-0.6,-0.74,-0.23,-0.35,,,,,28.2,18.3,1,3,15
1980-05,62,54.5,7.5,-0.42,-0.52,-0.54,-0.75,,,,,24.6,15.7,0,3,9
1980-06,65,43.8,21.2,-0.68,-0.79,-1.09,-1.12,-1.25,-1.31,,,21.1,11,0,2,17
1980-07,220,45.6,174.3,1.27,1.34,0.24,0.26,-0.03,-0.09,,,21.1,11.2,0,6,11
1980-08,134,55.2,78.8,0.65,0.79,0.8,0.87,0.14,0.12,,,22.2,12.7,0,6,11
1980-09,216,70.7,145.3,1.04,1.06,1.35,1.4,0.48,0.5,,,21.8,11.6,0,7,5
1980-10,198,91.1,106.9,0.59,0.69,1.01,1.09,0.82,0.87,,,25.1,16.5,0,10,4
1980-11,182,109.2,72.8,0.62,0.79,1.02,1.12,1.14,1.18,,,27.9,18.1,0,5,6
1980-12,340,117.6,222.4,2.1,2.06,1.5,1.44,1.99,1.74,0.65,0.7,28.9,20.7,1,12,5
1981-01,223,110.3,112.7,0.03,0.19,1.21,1.3,1.48,1.47,0.94,0.99,28.7,21,0,10,3
1981-02,172,103.3,68.7,0,-0.01,1,1.14,1.34,1.36,0.97,1.03,29.6,21.4,0,6,6
1981-03,129,95.9,33.1,-0.1,-0.17,-0.17,0.04,0.87,1.01,1.01,1.1,27.7,19.6,0,2,17
1981-04,44,69.8,-25.8,-1.07,-0.95,-0.63,-0.51,0.57,0.75,0.92,1.05,27.2,17.8,0,1,8
1981-05,38,56,-18,-0.89,-0.97,-1.04,-0.98,0.08,0.17,0.84,0.97,25.7,15.7,0,1,12
1981-06,23,41.5,-18.5,-2.07,-1.7,-2.22,-1.75,-1.22,-1.07,0.69,0.84,21.3,11.7,0,0,7
1981-07,106,49.2,56.8,0.18,0.13,-1.29,-1.32,-1.25,-1.19,0.32,0.53,21.6,10.5,0,3,14
1981-08,46,58.4,-12.4,-0.59,-0.61,-1.14,-1.13,-1.5,-1.42,0.06,0.24,23,12.4,0,2,12
1981-09,81,74,7,-0.96,-1.01,-0.81,-0.89,-1.97,-1.76,-0.32,-0.13,24.2,13.2,0,2,16
1981-10,209,82.4,126.6,0.72,0.9,-0.43,-0.34,-1.31,-1.25,-0.29,-0.13,23.4,14.7,0,6,5
1981-11,99,112.5,-13.5,-0.46,-0.42,-0.37,-0.17,-1.02,-1,-0.55,-0.43,28.4,18.2,0,5,4
1981-12,216,111.4,104.6,0.8,0.96,0.43,0.63,-0.28,-0.09,-1.01,-0.86,28.5,18.2,2,5,4
1982-01,98,128.2,-30.2,-1.69,-1.57,-0.81,-0.74,-0.98,-0.87,-1.48,-1.37,29.6,19.1,2,2,3
1982-02,354,96.3,257.7,1.92,1.94,0.61,0.78,0.15,0.35,-0.92,-0.79,30.2,20.5,2,10,3
1982-03,200,86.9,113.1,0.84,0.97,0.65,0.82,0.62,0.82,-0.72,-0.54,28.5,19.3,0,8,2
1982-04,66,70.6,-4.6,-0.48,-0.5,1.47,1.53,0.33,0.51,-0.61,-0.44,26.4,16.4,0,2,4
1982-05,82,58.7,23.3,-0.12,-0.26,0.06,0.03,0.39,0.49,-0.44,-0.28,23.8,19.9,0,2,7
1982-06,127,37.8,89.2,0.48,0.56,-0.24,-0.29,0.28,0.38,-0.08,0.08,22.1,13.7,0,4,10
1982-07,73,49,24,-0.28,-0.39,-0.23,-0.27,0.72,0.86,-0.15,0.07,22.9,12.7,0,2,11
1982-08,109,57.4,51.6,0.38,0.47,0.06,0.08,0,0.12,0.05,0.25,23.4,13.8,0,6,6
1982-09,29,71.4,-42.4,-2.51,-1.75,-1.02,-1.1,-0.95,-0.94,-0.09,0.17,24.6,15.3,0,0,15
1982-10,217,93.3,123.7,0.81,0.87,-0.28,-0.24,-0.48,-0.52,-0.06,0.09,25.4,15.2,0,8,4
1982-11,264,83,181,1.4,1.53,0.49,0.83,0.3,0.54,0.41,0.62,25.5,17.6,0,10,4
1982-12,142,120.7,21.4,-0.23,-0.23,1,1.15,0.1,0.37,0.2,0.44,29.8,18.6,3,5,10
1983-01,343,116.1,226.9,1.12,1.22,1.23,1.37,0.72,0.94,0.88,1.06,31,21.4,1,9,4
1983-02,232,89.1,142.9,0.74,0.93,0.9,1.08,0.91,1.13,0.57,0.83,29.9,20.9,2,8,3
1983-03,200,90.3,109.7,0.84,0.93,1.34,1.45,1.42,1.5,0.62,0.87,28.3,19,2,6,4
1983-04,148,58.3,89.7,0.94,1.15,1.21,1.42,1.51,1.66,0.86,1.11,26,18.3,0,7,5
1983-05,286,40.7,245.3,1.62,1.71,1.64,1.84,1.68,1.85,1.48,1.59,22.7,16.8,0,6,2
1983-06,175,34.5,140.4,1.13,1.27,1.92,1.99,2.04,2.07,1.6,1.7,18.9,11,0,6,9
1983-07,495,36,459,2.89,2.53,3.08,2.56,2.95,2.49,2.48,2.11,19.6,12.1,0,12,7
1983-08,88,57.9,30.1,0.12,0.16,2.5,2.33,2.63,2.3,2.35,2.08,22.5,12.3,0,3,8
1983-09,209,61.6,147.4,0.96,1.09,2.33,2,2.83,2.53,2.64,2.14,21.3,11.9,0,7,3
1983-10,126,87,39,-0.39,-0.26,0.22,0.41,2.72,2.44,2.51,2.21,25.2,15.5,0,3,9
1983-11,137,118.4,18.6,0.09,0.14,0.23,0.5,1.95,1.77,2.26,2.07,29.6,17.8,1,6,4
1983-12,318,109.7,208.3,1.89,1.95,0.76,0.88,2.28,1.93,2.76,2.3,30.4,18,3,11,3
1984-01,191,135.8,55.2,-0.33,-0.48,0.68,0.76,0.57,0.71,2.38,2.1,32.4,21.8,8,6,3
