data,rain_mm,etp_mm,bal_mm,spi1,spei1,spi3,spei3,spi6,spei6,spi12,spei12,tmax_med,tmin_med,dias_tmax34,dias_chuva10,veranico_max,soma_termica,srad_mj
1980-01,289,151.4,137.6,1.91,1.78,,,,,,,32.6,22.7,2,10,4,548,604
1980-02,377,107.3,269.7,3.01,2.5,,,,,,,30.3,21.7,0,16,1,463,474
1980-03,210,129.3,80.7,0.42,0.4,2.45,2.34,,,,,29.9,21.2,0,8,1,482,612
1980-04,45,130.9,-85.9,-1.56,-1.48,1.16,1.17,,,,,31.3,21.7,0,2,10,494,594
1980-05,48,143.3,-95.3,-0.51,-0.96,-0.83,-0.98,,,,,32.4,21.5,0,1,4,525,588
1980-06,34,133.1,-99.1,0.31,0.05,-1.16,-1.31,1.37,1.17,,,31.7,20.6,0,1,11,484,538
1980-07,4,160.2,-156.2,-0.98,-1.09,-0.51,-0.94,0.69,0.45,,,32.7,20.2,2,0,28,510,613
1980-08,2,188.9,-186.9,-0.71,-1.01,-0.05,-0.7,-0.85,-1.04,,,33.5,21,2,0,21,534,696
1980-09,17,182.1,-165.1,0.6,1.02,-0.12,-0.51,-1.04,-1.17,,,34.2,22.6,12,1,10,552,653
1980-10,40,199,-159,1.19,1.3,1.26,0.7,0.03,-0.45,,,34.1,22.5,15,2,26,568,719
1980-11,4,165.6,-161.6,-0.42,0.84,1.14,1.23,0.49,0.2,,,33.7,22.6,8,0,15,544,623
1980-12,15,169.4,-154.4,-0.33,0.1,0.35,0.64,0.12,0.17,1.23,0.97,33.9,22.8,12,0,15,569,629
1981-01,65,162.6,-97.6,-0.47,-0.62,-0.63,-0.35,-0.1,-0.1,0.45,0.29,32.9,22.7,2,1,5,552,619
1981-02,110,155.7,-45.7,0.11,-0.34,-0.38,-0.59,-0.03,-0.11,-0.65,-0.74,32.6,22.5,3,5,9,492,625
1981-03,331,129.1,201.9,1.5,1.51,0.71,0.46,0.78,0.59,-0.1,-0.33,31.2,22.5,9,13,11,521,539
1981-04,51,131.9,-81,-1.41,-1.41,0.3,0.03,-0.07,-0.23,-0.12,-0.36,30.6,21.3,0,2,7,478,630
1981-05,13,137.3,-124.3,-1.76,-1.54,-0.15,-0.25,-0.4,-0.63,-0.28,-0.48,31.7,21.6,0,0,27,516,564
1981-06,22,146.1,-124.1,-0.03,-0.77,-1.7,-1.7,-0.39,-0.75,-0.34,-0.58,32.1,20.5,0,1,16,488,587
1981-07,0,167,-167,,-1.57,-1.57,-1.6,-0.34,-0.79,-0.33,-0.59,31.9,20.2,0,0,31,498,633
1981-08,2,186.3,-184.3,-0.71,-0.79,-0.47,-1.33,-0.34,-0.68,-0.33,-0.57,33,20.7,2,0,25,522,711
1981-09,0,202.5,-202.5,,-1.24,-1.83,-1.47,-1.77,-1.75,-0.39,-0.68,33.7,21.8,5,0,30,534,718
1981-10,0,216.4,-216.4,,-1.18,-1.52,-1.32,-1.71,-1.72,-0.58,-0.87,35.1,22.5,25,0,31,582,770
1981-11,1,206.4,-205.4,-1.04,-1.31,-1.87,-1.42,-1.1,-1.67,-0.59,-1.01,34.7,23.2,24,0,22,569,716
1981-12,60,191.2,-131.2,0.75,0.61,0.39,-0.53,-0.28,-1.23,-0.43,-0.98,33.7,23.5,13,1,18,576,673
1982-01,103,159.4,-56.4,0.14,0.02,0.36,-0.15,0.15,-0.66,-0.25,-0.84,32.5,23,0,3,13,552,640
1982-02,140,127.7,12.3,0.58,0.6,0.58,0.38,0.39,-0.22,-0.08,-0.57,32,22.6,0,7,8,484,516
1982-03,71,136.3,-65.3,-1.58,-1.37,-0.55,-0.63,-0.4,-0.76,-1.25,-1.44,31.7,22.5,0,3,10,530,611
1982-04,166,124.5,41.5,0.23,0.16,-0.54,-0.58,-0.26,-0.54,-0.81,-1.18,31.2,21.8,1,5,10,494,552
1982-05,54,125.7,-71.7,-0.37,-0.51,-0.93,-0.94,-0.35,-0.5,-0.6,-1.01,30,20.5,0,1,9,472,574
1982-06,8,146,-138,-0.67,-1.35,-0.22,-0.44,-0.66,-0.78,-0.67,-1.06,32.1,20.2,0,0,21,484,561
1982-07,15,155.8,-140.8,-0.05,-0.43,-0.65,-0.94,-0.8,-0.9,-0.56,-0.92,32.1,20.4,0,0,11,503,572
1982-08,5,186.6,-181.6,-0.13,-0.58,-0.35,-1.03,-1.03,-1.12,-0.54,-0.9,33,20.9,1,0,10,526,656
1982-09,13,198,-185,0.39,-0.01,0.24,-0.49,-0.16,-0.5,-0.47,-0.81,33.9,22.1,8,0,7,540,665
1982-10,3,202,-199,-0.95,-0.29,0.1,-0.47,-0.54,-0.9,-0.46,-0.75,34.6,21.9,17,0,15,565,708
1982-11,15,208.3,-193.3,0.4,-0.57,0.37,-0.56,-0.21,-0.97,-0.39,-0.69,35.1,22.7,25,1,26,566,700
1982-12,16,203.6,-187.6,-0.29,-1.09,-0.23,-1,-0.19,-1,-0.65,-0.93,34.8,23.2,21,1,26,589,684
1983-01,28,171.1,-143.1,-1.39,-1.43,-1.08,-1.48,-0.96,-1.34,-1.04,-1.23,34.5,23.7,21,2,27,592,617
1983-02,94,131.8,-37.8,-0.18,-0.2,-0.96,-1.17,-0.81,-1.17,-1.2,-1.34,31.6,22.4,0,2,4,476,550
1983-03,179,149.7,29.3,0.08,-0.2,-0.65,-0.9,-0.69,-1.09,-0.6,-1,32.1,22.3,0,5,6,533,640
1983-04,56,144.7,-88.7,-1.3,-1.52,-0.94,-1.18,-1.24,-1.47,-1.32,-1.57,31.7,21.3,0,1,8,495,635
1983-05,38,150.8,-112.8,-0.77,-1.31,-1.09,-1.56,-1.4,-1.61,-1.4,-1.74,33.8,22.3,5,2,15,560,585
1983-06,4,153.5,-149.5,-1.02,-1.93,-1.52,-1.88,-1.53,-1.69,-1.44,-1.77,33.3,20.8,2,0,12,512,576
1983-07,12,169.3,-157.3,-0.23,-1.14,-1.09,-1.65,-1.3,-1.63,-1.38,-1.76,33.1,20.8,1,0,14,526,617
1983-08,14,188.6,-174.6,0.72,-0.08,-0.3,-1.45,-1.15,-1.68,-1.32,-1.71,33.7,21.5,8,0,14,546,657
1983-09,0,200.9,-200.9,,-1.12,0,-1.03,-1.31,-1.75,-1.37,-1.73,34.8,22.1,21,0,30,554,695
1983-10,10,209.5,-199.5,-0.16,-0.31,0.23,-0.69,-0.84,-1.53,-1.34,-1.72,34.9,22.5,25,1,27,580,732
1983-11,0,201.2,-201.2,,-1.04,-0.59,-1.02,-0.64,-1.48,-1.42,-1.74,35.1,22.9,21,0,30,569,699
1983-12,14,191.4,-177.4,-0.37,-0.64,-0.55,-0.97,-0.6,-1.27,-1.51,-1.78,34.7,23.2,18,1,26,588,657
1984-01,23,170.9,-147.9,-1.58,-1.52,-1.61,-1.51,-1.32,-1.42,-1.55,-1.78,34.2,23.2,16,1,9,580,631
1984-02,80,159,-79,-0.46,-0.99,-1.24,-1.46,-1.32,-1.52,-1.53,-1.86,34.5,23.1,18,2,8,546,622
1984-03,234,120.8,113.2,0.67,0.75,-0.37,-0.66,-0.5,-0.9,-1.14,-1.53,30.9,22,0,10,3,510,570
1984-04,320,99,220.9,1.45,1.54,1.18,1.12,0.42,0.09,0,-0.61,29.6,21.7,0,14,1,469,490
1984-05,88,108.5,-20.5,0.25,0.37,1.27,1.35,0.42,0.29,0.21,-0.27,29.1,20.7,0,4,5,462,549
1984-06,2,120.7,-118.7,-1.33,-0.57,0.9,1.02,0.34,0.28,0.21,-0.17,30.3,19.1,0,0,18,442,565
1984-07,24,142.9,-118.9,0.38,0.38,-0.11,0.01,0.84,0.8,0.25,-0.02,31.2,19.9,0,0,9,483,596
1984-08,1,168.3,-167.3,-1.07,0.35,-0.38,-0.07,1,1.07,0.2,0.01,32.7,21,0,0,21,522,640
1984-09,16,180.2,-164.2,0.55,1.05,0.48,0.58,0.88,0.96,0.27,0.14,34.1,21.5,10,1,26,534,690
1984-10,28,193.9,-165.9,0.78,1.09,0.92,0.95,0.17,0.36,0.34,0.24,34.5,22.3,15,1,20,570,715
1984-11,2,190.3,-188.3,-0.75,-0.29,0.8,0.64,0.05,0.24,0.35,0.3,34.8,22.7,20,0,15,564,698
1984-12,35,183.9,-148.9,0.27,0.24,0.46,0.26,0.54,0.46,0.4,0.37,35,22.9,25,1,22,587,700
1985-01,222,132.4,89.6,1.4,1.49,1.18,1.1,1.29,1.21,1.15,1.06,31.7,22.2,2,5,3,525,579
1985-02,246,104.2,141.8,1.85,1.84,1.82,1.8,1.86,1.83,1.65,1.53,29.5,21.4,0,10,2,432,516
1985-03,378,117,261,1.85,1.89,2.33,2.35,2.37,2.44,1.95,1.79,29.9,21.7,0,16,3,490,580
1985-04,500,98,402,2.47,2.26,3.46,2.91,3.15,2.91,2.69,2.22,29.2,21.4,0,17,1,460,494
1985-05,313,107.4,205.6,2.46,2.32,3.46,2.53,3.46,2.9,3.25,2.55,28.8,21,0,17,2,462,548
1985-06,166,102.7,63.3,2.07,2.07,3.09,2.52,3.81,3.1,3.68,2.81,28.4,20.8,0,9,5,438,508
1985-07,66,120.9,-54.9,1.56,1.8,2.93,2.62,4.15,3.1,3.61,2.79,28.7,21.3,0,2,6,466,562
1985-08,32,159.3,-127.3,1.67,1.73,2.27,2.11,3.79,2.65,3.65,2.8,31,22.5,0,1,7,520,644
1985-09,11,180.2,-169.2,0.27,0.84,1.81,1.78,3.04,2.48,3.6,2.75,33,22.9,0,0,18,538,710
1985-10,0,185.9,-185.9,,0.33,0.86,1.2,2.83,2.43,3.57,2.73,34.2,23.2,14,0,31,579,729
1985-11,0,174.8,-174.8,,0.35,-0.52,0.41,2.19,1.94,3.54,2.68,33.9,22.5,7,0,30,546,662
1985-12,141,126.6,14.4,1.72,1.95,1.53,1.8,2.27,2.03,3.85,2.86,31.4,22.1,2,5,7,519,509
1986-01,45,143.7,-98.7,-0.9,-0.64,0.57,1.02,0.73,1.24,3.53,2.78,31.4,21.2,0,1,6,505,613
1986-02,103,105.5,-2.5,-0.01,0.39,0.48,0.96,0.36,0.94,3.06,2.51,30,21.5,0,2,4,440,505
1986-03,230,103.4,126.6,0.63,0.88,-0.08,0.25,0.52,1.1,2.56,2.35,29.3,21.4,0,10,2,476,511
1986-04,280,97.2,182.8,1.18,1.32,1.06,1.37,1.02,1.47,2.25,2.19,29.6,21.8,0,12,1,470,485
1986-05,104,108.8,-4.8,0.49,0.6,1.13,1.32,1.01,1.39,1.59,1.83,29.5,21,0,2,2,472,548
1986-06,59,113.1,-54.1,0.81,0.99,1.07,1.2,0.66,0.97,1.25,1.6,29.6,19.7,0,2,7,438,527
1986-07,29,136.6,-107.6,0.57,0.72,0.72,0.82,1.1,1.32,1.07,1.43,30.5,19,0,0,9,457,587
1986-08,6,147.9,-141.9,0,1.37,0.81,1.09,1.18,1.35,0.98,1.38,31.5,19.5,0,0,27,482,620
1986-09,47,170.3,-123.3,1.61,2.17,1.37,1.58,1.2,1.36,1.09,1.45,32.9,21.1,2,1,15,510,632
1986-10,37,171.4,-134.4,1.09,1.9,1.88,2.23,1.18,1.44,1.22,1.56,33.5,21.6,4,2,9,543,644
1986-11,16,166.3,-150.3,0.45,1.17,1.83,2.32,1.52,1.67,1.27,1.58,34,22.4,12,0,22,546,591
1986-12,4,173.5,-169.5,-1.04,-0.35,0.31,0.88,1.03,1.4,0.8,1.21,34.3,22.3,15,0,9,566,642
1987-01,124,177.2,-53.2,0.42,0.07,0.15,0.05,0.77,1.04,1.11,1.34,34.2,22.8,14,2,10,573,666
1987-02,107,147.3,-40.3,0.06,-0.24,0.04,-0.31,0.61,0.62,1.1,1.23,32.6,21.8,6,6,7,482,619
1987-03,385,104.6,280.4,1.9,2.01,1.3,1.17,1.33,1.36,1.51,1.54,30.5,22.2,1,13,2,506,482
1987-04,101,121.1,-20.1,-0.53,-0.58,0.94,0.94,0.74,0.65,1.07,1.19,30.8,21.9,0,5,7,490,575
1987-05,18,129.4,-111.4,-1.49,-1.28,0.53,0.66,0.33,0.19,0.74,0.9,32,20.9,0,0,8,510,574
1987-06,88,112.1,-24.1,1.24,1.38,-0.39,-0.35,0.67,0.54,0.86,0.99,31,21,0,2,5,480,474
1987-07,40,136.3,-96.3,0.92,1.02,0.27,0.26,0.79,0.77,0.86,0.98,31.7,20.5,0,1,16,500,570
1987-08,8,172.2,-164.2,0.22,0.52,1.27,1.24,0.87,0.92,0.87,0.91,33.6,20.7,3,0,22,531,673
1987-09,1,185.3,-184.3,-1,0.03,0.69,0.67,-0.2,-0.08,0.7,0.73,34,21.3,8,0,23,530,681
1987-10,0,201.8,-201.8,,-0.43,-0.6,-0.12,0.13,0.17,0.57,0.53,35.2,21.9,27,0,31,575,736
1987-11,0,195.6,-195.6,,-0.7,-1.87,-0.64,0.94,0.73,0.51,0.4,35.2,22.4,23,0,30,563,708
1987-12,0,201.1,-201.1,,-1.85,,-1.33,-0.63,-0.48,0.47,0.29,35.4,23.1,26,0,31,596,706
1988-01,71,162.5,-91.5,-0.36,-0.52,-0.85,-1.12,-0.96,-0.98,0.29,0.16,33.4,23.2,6,2,7,566,621
1988-02,79,145.7,-66.7,-0.48,-0.74,-0.82,-1.1,-1.02,-1.14,0.2,0.11,32.5,22.4,2,2,8,506,590
1988-03,268,116.6,151.4,0.98,1.1,0.18,0.04,-0.1,-0.46,-0.26,-0.33,30.4,22.3,0,11,2,507,554
1988-04,223,104,119,0.75,0.88,0.8,0.84,0.27,0.03,0.2,0.12,30.1,22,0,12,2,482,501
1988-05,64,108.1,-44.1,-0.17,-0.01,0.82,1.02,0.18,0.11,0.39,0.36,29.4,21,0,1,8,471,540
1988-06,57,105.8,-48.8,0.77,1.07,0.54,0.77,0.41,0.49,0.27,0.26,29.7,20,0,3,12,446,499
1988-07,29,124.2,-95.2,0.57,1.05,0.31,0.65,0.7,0.88,0.22,0.26,30.1,19.8,0,1,19,464,563
1988-08,0,176.5,-176.5,,-0.21,0.7,0.94,0.87,1.06,0.19,0.22,32.4,19.7,0,0,31,497,693
1988-09,0,182.2,-182.2,,0.16,0.11,0.53,0.49,0.73,0.18,0.22,33.1,20.5,2,0,30,504,701
1988-10,12,192.2,-180.2,-0.02,0.57,-0.38,0.13,0.2,0.55,0.23,0.29,34.5,22.5,20,1,16,574,691
1988-11,0,166.9,-166.9,,0.66,-0.45,0.42,0.45,0.86,0.23,0.39,34.4,22.5,15,0,30,554,661
1988-12,103,148.7,-45.7,1.32,1.6,1.22,1.47,1.1,1.28,0.6,0.83,32.5,21.9,1,5,6,532,610
1989-01,94,144.1,-50.1,0.01,0.11,0.67,0.99,0.55,0.84,0.71,0.96,31.6,21.3,0,3,6,510,598
1989-02,22,136.2,-114.2,-2.29,-1.71,-0.1,0.11,-0.2,0.18,0.51,0.83,32.4,21.9,0,1,8,481,571
1989-03,218,127,91,0.51,0.52,-0.4,-0.39,0.1,0.31,0.31,0.64,31.3,21.9,0,9,7,514,544
1989-04,343,93.2,249.8,1.6,1.68,0.88,0.97,0.94,1.15,0.78,1.07,29.5,21.8,0,12,3,469,460
