data,rain_mm,etp_mm,bal_mm,spi1,spei1,spi3,spei3,spi6,spei6,spi12,spei12,tmax_med,tmin_med,dias_tmax34,dias_chuva10,veranico_max,soma_termica,srad_mj
1980-01,128,133.4,-5.4,-0.92,-0.96,,,,,,,27.3,15.4,0,4,6,352,690
1980-02,107,108.8,-1.8,-0.86,-0.88,,,,,,,28.2,17,0,4,4,366,563
1980-03,156,105,51,0.43,0.3,-0.78,-0.85,,,,,29.5,18.1,0,8,7,428,541
1980-04,61,83.1,-22.1,-1.01,-1.14,-0.86,-1,,,,,26.4,14.7,0,3,11,317,461
1980-05,128,54.9,73.1,0,-0.12,-0.34,-0.5,,,,,22.7,12.5,0,5,9,236,348
1980-06,82,48.6,33.4,-0.69,-0.9,-1.03,-1.21,-1.25,-1.41,,,19.5,7.6,0,5,7,120,322
1980-07,180,49.6,130.4,0.71,0.76,-0.08,-0.14,-0.59,-0.74,,,19.5,8.8,0,4,7,138,328
1980-08,157,58.6,98.4,0.69,0.76,0.3,0.3,-0.1,-0.11,,,20.4,9.9,0,8,6,160,363
1980-09,152,72.9,79.1,0.08,0.06,0.59,0.67,-0.22,-0.29,,,19.6,8.2,0,6,5,122,473
1980-10,154,93.2,60.8,-0.59,-0.5,-0.08,0.02,-0.17,-0.22,,,23.5,13.6,0,5,4,266,495
1980-11,126,112,14,-0.22,-0.04,-0.52,-0.36,-0.17,-0.13,,,25.7,15.2,0,4,6,314,588
1980-12,223,120.8,102.2,0.93,1.05,-0.12,0.22,0.28,0.46,-0.53,-0.55,26.5,17.5,0,7,5,372,636
1981-01,174,124.1,49.9,-0.05,-0.01,0.25,0.42,0.04,0.29,-0.37,-0.36,27.9,17.9,0,7,3,400,621
1981-02,155,101.3,53.7,-0.08,-0.07,0.34,0.45,-0.23,0.07,-0.25,-0.23,28.3,18.6,0,5,3,376,525
1981-03,76,104,-28,-0.89,-0.91,-0.65,-0.6,-0.51,-0.17,-0.5,-0.44,26.7,17.2,0,2,7,372,566
1981-04,121,72.4,48.6,0.06,-0.12,-0.61,-0.6,-0.28,-0.04,-0.3,-0.17,24,13.7,0,4,10,266,418
