data,rain_mm,etp_mm,bal_mm,spi1,spei1,spi3,spei3,spi6,spei6,spi12,spei12,tmax_med,tmin_med,dias_tmax34,dias_chuva10,veranico_max,soma_termica,srad_mj
1980-01,205,128.9,76.1,0.63,0.76,,,,,,,28.3,18.2,0,7,4,410,625
1980-02,260,97.3,162.7,1.08,1.28,,,,,,,26.8,18.1,0,10,4,361,486
1980-03,149,123.1,25.9,-0.56,-0.54,0.58,0.82,,,,,26.9,17.2,0,5,9,373,634
1980-04,16,127.2,-111.2,-2.4,-1.74,-0.54,-0.43,,,,,28.2,17.6,0,0,9,387,611
1980-05,16,136.4,-120.4,-1.27,-1.41,-1.75,-1.47,,,,,29.1,18.1,0,0,16,422,591
1980-06,17,117.2,-100.2,-0.05,-0.41,-2.19,-1.65,-0.43,-0.43,,,27.9,16.8,0,0,15,372,508
1980-07,11,136.3,-125.3,-0.13,-0.69,-1.03,-1.23,-0.81,-0.81,,,28.6,16.3,0,1,29,386,596
1980-08,2,166.1,-164.1,-0.7,-1.18,-0.28,-0.84,-1.69,-1.43,,,29.4,16.8,0,0,18,406,673
1980-09,13,167.2,-154.2,0.71,0.89,0.23,-0.48,-1.87,-1.47,,,30.8,18.1,0,0,16,434,655
1980-10,29,182.2,-153.2,0.53,0.65,0.67,0.31,-0.46,-0.79,,,31,18.1,0,1,24,452,711
1980-11,119,144.1,-25.1,1.85,1.89,1.55,1.6,1.21,0.89,,,29.2,18.4,0,4,4,413,637
1980-12,108,145.6,-37.6,0.71,0.86,1.39,1.45,1.34,1.18,0.15,0.2,28.8,17.8,0,3,8,412,653
1981-01,51,144.8,-93.8,-1.26,-1.16,0.23,0.57,0.33,0.56,-0.54,-0.4,28.3,18.2,0,1,6,410,656
1981-02,23,147.9,-124.9,-2.56,-1.91,-1.92,-1.83,-0.85,-0.5,-1.69,-1.37,29.1,17.9,0,0,10,378,646
1981-03,354,117,237,1.45,1.49,-0.58,-0.69,0.22,0.4,-0.67,-0.69,27.6,18,0,11,5,396,550
1981-04,96,114.9,-18.9,-0.46,-0.5,-0.22,-0.34,-0.13,-0.02,-0.35,-0.42,27.2,17.1,0,3,13,364,611
1981-05,4,127.5,-123.5,-2.33,-1.47,0.3,0.17,-0.81,-0.81,-0.38,-0.4,27.6,17,0,0,17,382,576
1981-06,13,122,-109,-0.27,-0.8,-1.08,-1.08,-1.08,-1.12,-0.41,-0.43,27.4,16.2,0,1,21,353,543
1981-07,3,143.9,-140.9,-1.08,-1.44,-1.9,-1.56,-0.67,-0.86,-0.44,-0.49,27.3,15.6,0,0,24,354,593
1981-08,7,162.7,-155.7,0.24,-0.47,-0.56,-1.14,0.16,-0.18,-0.41,-0.45,29,15.9,0,0,25,386,666
1981-09,0,177.1,-177.1,,-0.78,-0.72,-1.23,-1.17,-1.2,-0.46,-0.53,30,16.8,0,0,30,402,690
1981-10,5,197.8,-192.8,-0.6,-0.82,-0.34,-0.94,-1.72,-1.52,-0.53,-0.63,32.4,18.5,0,0,11,478,765
1981-11,5,184.1,-179.1,-0.89,-1.05,-0.98,-1.13,-1.16,-1.38,-1,-1.07,31.7,19.9,0,0,20,474,729
1981-12,76,176.3,-100.3,0.24,-0.03,-0.37,-0.74,-0.58,-1.07,-1.17,-1.26,30.9,19.8,0,1,8,476,692
1982-01,91,140.1,-49,-0.57,-0.55,-0.9,-1.05,-1.02,-1.26,-1.1,-1.25,28.5,18.8,0,2,3,423,652
1982-02,75,124,-49,-1.1,-1,-1.23,-1.28,-1.78,-1.91,-0.78,-0.96,28.9,19.1,0,3,9,392,530
1982-03,104,127.7,-23.7,-1.24,-1.17,-1.89,-1.59,-2.08,-1.89,-2.22,-1.91,28.2,18.8,0,4,3,418,632
1982-04,91,118,-27,-0.54,-0.6,-1.79,-1.49,-1.94,-1.7,-2.42,-1.96,27.9,18.5,0,3,6,396,547
1982-05,28,119.9,-91.9,-0.73,-0.79,-1.33,-1.16,-1.79,-1.55,-2.14,-1.88,27,17.4,0,0,13,377,536
