data,rain_mm,etp_mm,bal_mm,spi1,spei1,spi3,spei3,spi6,spei6,spi12,spei12,tmax_med,tmin_med,dias_tmax34,dias_chuva10,veranico_max
1980-01,65,157.3,-92.3,-0.32,-0.27,,,,,,,33.1,22.4,1,1,6
1980-02,243,117.7,125.3,1.42,1.53,,,,,,,31.1,21.4,1,12,6
1980-03,225,137.7,87.3,0.63,0.62,0.89,0.97,,,,,30.3,21.3,0,7,10
1980-04,78,138.5,-60.5,-0.95,-1.06,0.49,0.46,,,,,31.9,21.5,0,2,5
1980-05,16,147.7,-131.7,-1.66,-1.52,-0.73,-0.86,,,,,32.6,21.1,0,0,8
1980-06,36,131.5,-95.5,0.23,-0.15,-1.2,-1.27,-0.14,-0.24,,,31.6,20.4,0,2,20
1980-07,1,163.6,-162.6,-1.82,-1.39,-1.25,-1.33,-0.08,-0.29,,,32.1,19.7,2,0,29
1980-08,0,187,-187,,-1.43,-0.42,-1,-0.79,-1.02,,,33,20.5,1,0,31
1980-09,0,186.2,-186.2,,-0.13,-1.93,-1.29,-1.3,-1.35,,,34,21.4,7,0,30
1980-10,9,202.8,-193.8,0.41,0.26,-0.11,-0.56,-1.16,-1.27,,,34,21.5,10,0,27
1980-11,0,176.1,-176.1,,0.51,-0.23,0.15,-0.44,-0.71,,,33.3,21.8,4,0,30
1980-12,4,180.2,-176.2,-0.9,-0.3,-0.66,-0.11,-1.3,-0.87,-0.36,-0.45,33.7,22,10,0,17
1981-01,61,165.9,-104.9,-0.39,-0.47,-0.84,-0.61,-0.87,-0.75,-0.43,-0.56,33,22.3,2,3,5
1981-02,49,163.7,-114.7,-1.28,-1.33,-1.34,-1.29,-1.34,-1.14,-1.33,-1.27,32.9,21.8,4,3,10
1981-03,351,130.2,220.8,1.9,1.86,0.43,0.26,0.27,0.15,-0.72,-0.92,30.8,21.6,9,17,11
1981-04,37,137.5,-100.5,-1.83,-1.55,-0.19,-0.43,-0.58,-0.65,-0.99,-1.11,30.6,21.1,0,1,17
1981-05,24,140.8,-116.8,-1.3,-1.28,-0.11,-0.2,-0.84,-0.95,-0.98,-1.12,31.3,21.3,0,1,11
1981-06,13,146.3,-133.3,-0.69,-1.31,-1.95,-1.65,-0.78,-0.99,-1.09,-1.24,31.6,20,0,1,22
1981-07,0,174.5,-174.5,,-1.78,-1.65,-1.6,-0.74,-1.06,-1.05,-1.23,31.5,19.7,0,0,31
1981-08,0,184.5,-184.5,,-1.19,-1.3,-1.66,-0.38,-0.73,-1.01,-1.18,32.4,20,0,0,31
1981-09,0,199.8,-199.8,,-1.34,,-1.72,-2.02,-1.76,-1,-1.2,33,20.8,0,0,30
1981-10,0,215.7,-215.7,,-1.46,,-1.61,-1.72,-1.72,-1.05,-1.26,34.8,21.4,20,0,31
1981-11,16,204.4,-188.4,0.26,-0.21,0.21,-1.27,-0.89,-1.73,-0.95,-1.27,34.2,22,11,1,22
1981-12,31,195.7,-164.7,0.41,0.1,0.45,-0.57,-0.23,-1.46,-0.8,-1.2,33.4,22.4,7,1,7
1982-01,78,175,-97,-0.1,-0.34,0.05,-0.53,-0.12,-0.99,-0.78,-1.22,33.5,22.4,2,3,8
1982-02,114,147.5,-33.5,-0.03,-0.18,-0.11,-0.42,-0.09,-0.75,-0.42,-0.94,32.9,22.3,4,5,7
1982-03,135,147.2,-12.2,-0.61,-0.71,-0.56,-0.74,-0.47,-0.92,-1.57,-1.58,32.1,22.2,0,5,3
1982-04,140,132.4,7.5,-0.12,-0.25,-0.53,-0.69,-0.51,-0.83,-1.06,-1.41,31.6,22,1,4,12
1982-05,116,125,-9.1,0.54,0.41,-0.24,-0.3,-0.36,-0.58,-0.61,-1.16,29.7,20.4,0,3,8
1982-06,10,139.9,-129.9,-0.88,-1.2,-0.06,-0.29,-0.48,-0.68,-0.61,-1.14,31,19.6,0,0,10
1982-07,39,150.6,-111.6,0.75,0.28,0.29,-0.14,-0.31,-0.51,-0.4,-0.87,31.4,19.8,0,2,17
1982-08,7,174.5,-167.5,-0.22,0.04,0,-0.5,-0.26,-0.42,-0.35,-0.77,32.2,19.7,0,0,23
1982-09,2,185,-183,-0.16,0.16,0.6,0.13,0.05,-0.21,-0.34,-0.7,33.4,20.9,0,0,25
1982-10,6,199.1,-193.1,0.08,0.31,0.26,0.12,0.29,-0.1,-0.31,-0.61,34.3,21.1,11,0,28
1982-11,13,202.4,-189.4,0.1,-0.29,0.45,-0.11,0.13,-0.43,-0.32,-0.59,34.4,21.4,12,1,18
1982-12,32,201.9,-169.9,0.44,-0.07,0.54,-0.23,0.64,-0.06,-0.3,-0.58,34.2,22,11,1,21
1983-01,10,174.6,-164.6,-2.01,-1.52,-1.04,-1.39,-0.94,-1.14,-0.66,-0.87,34.1,22.5,18,0,20
1983-02,184,139,45,0.84,0.8,-0.08,-0.38,-0.02,-0.42,-0.29,-0.6,31.9,21.7,0,9,7
1983-03,225,155.8,69.2,0.63,0.4,0.15,-0.09,0.24,-0.22,0.07,-0.39,32.5,21.6,1,10,4
1983-04,46,146.1,-100.1,-1.59,-1.55,-0.07,-0.38,-0.53,-0.94,-0.36,-0.78,31.7,21,0,2,8
1983-05,13,150.4,-137.4,-1.83,-1.61,-1,-1.26,-0.93,-1.22,-0.9,-1.26,33.2,21.4,2,0,16
1983-06,5,152.1,-147.1,-1.35,-1.76,-2.13,-1.85,-1.08,-1.32,-0.91,-1.3,32.8,20.1,0,0,16
1983-07,4,166.6,-162.6,-1.11,-1.39,-2.16,-1.77,-0.72,-1.11,-1.05,-1.42,32.8,19.9,0,0,20
1983-08,12,183.7,-171.7,0.13,-0.21,-0.93,-1.51,-1.13,-1.48,-0.98,-1.39,32.9,20.5,1,0,12
1983-09,0,199.1,-199.1,,-1.28,-0.38,-1.24,-1.93,-1.8,-0.99,-1.41,34.2,20.8,8,0,30
1983-10,0,209.6,-209.6,,-0.96,0.09,-0.98,-1.8,-1.73,-1.02,-1.45,34.4,21.5,14,0,31
1983-11,0,203.1,-203.1,,-1.74,,-1.5,-1.17,-1.7,-1.08,-1.47,34.6,21.6,17,0,30
1983-12,8,200.3,-192.3,-0.54,-0.99,-0.98,-1.39,-0.87,-1.6,-1.18,-1.51,34.5,22.5,16,0,25
1984-01,34,187.8,-153.8,-1,-1.32,-1.35,-1.69,-1.27,-1.66,-1.14,-1.5,34,22.5,13,1,18
1984-02,36,176,-140,-1.66,-1.69,-1.94,-2.04,-2.07,-2.12,-1.89,-1.91,34.7,22.4,19,1,8
1984-03,262,134.2,127.8,1.04,1.07,-0.52,-0.9,-0.75,-1.3,-1.74,-1.74,31.3,22,0,10,2
1984-04,340,111.3,228.7,1.48,1.53,1,0.83,0.41,-0.06,-0.25,-0.96,29.8,21.6,0,13,2
1984-05,124,107.3,16.7,0.64,0.75,1.49,1.47,0.54,0.27,0.23,-0.43,28.8,20.4,0,5,4
1984-06,39,118.4,-79.4,0.32,0.27,1.2,1.26,0.6,0.42,0.37,-0.17,29.6,18.9,0,1,13
1984-07,38,137.8,-99.8,0.72,0.61,0.62,0.61,0.95,0.85,0.5,0.09,30.7,19.3,0,1,8
1984-08,6,163.2,-157.2,-0.32,0.55,0.46,0.44,1.34,1.29,0.46,0.14,32.2,20.2,0,0,21
1984-09,1,181.9,-180.9,-0.62,0.33,0.54,0.54,1.13,1.15,0.47,0.2,33.5,20.6,3,0,28
1984-10,0,200.9,-200.9,,-0.26,-0.27,0.24,0.53,0.54,0.47,0.22,34.2,21.5,12,0,31
1984-11,1,198.6,-197.6,-1.32,-1.03,-1.12,-0.53,0.25,0.17,0.47,0.25,34.7,21.7,19,0,25
1984-12,3,194.2,-191.2,-1.04,-0.94,-1.39,-1.04,-0.19,-0.21,0.45,0.27,34.7,21.8,22,0,30
1985-01,139,143,-4,0.68,0.83,0.26,0.12,0.17,0.09,0.84,0.69,32.1,22.1,1,3,4
1985-02,312,109.9,202.1,1.99,2.03,1.53,1.55,1.42,1.38,1.67,1.57,29.6,20.9,0,14,1
1985-03,259,119.3,139.7,1.01,1.19,1.87,1.92,1.69,1.65,1.73,1.73,29.8,21.4,0,10,4
1985-04,390,99.5,290.5,1.78,1.82,2.48,2.53,2.23,2.18,1.97,1.97,29.5,21.2,0,15,1
1985-05,186,110.4,75.6,1.3,1.38,1.93,1.84,2.31,2.2,2.19,2.07,29.1,20.8,0,8,4
1985-06,79,103,-24,1.18,1.33,1.82,1.86,2.39,2.26,2.29,2.16,28.6,19.6,0,3,6
1985-07,56,119.1,-63.1,1.19,1.43,1.5,1.63,2.44,2.26,2.25,2.09,28.8,19.4,0,1,5
1985-08,12,149.7,-137.7,0.13,1.2,1.25,1.47,1.93,1.86,2.2,2.04,31,19.8,0,0,10
1985-09,19,179.1,-160.1,2.27,1.73,1.31,1.55,1.81,1.86,2.24,2.07,33,20.4,0,1,18
1985-10,0,185.6,-185.6,,0.79,0.9,1.35,1.5,1.65,2.24,2.08,33.8,20.8,2,0,31
1985-11,0,175.8,-175.8,,0.52,0.36,1.01,1.19,1.44,2.22,2.05,33.8,21.2,5,0,30
1985-12,78,139.2,-61.2,1.34,1.73,1.03,1.53,1.38,1.68,2.39,2.2,31.8,21.5,2,2,12
1986-01,63,160.1,-97.1,-0.35,-0.34,0.24,0.69,0.4,1.01,2.3,2.24,32,20.6,0,3,11
1986-02,193,113.2,79.8,0.94,1.15,0.77,1.13,0.78,1.24,1.87,2.03,30.2,21,0,6,6
1986-03,315,108.4,206.6,1.57,1.76,1.12,1.32,1.34,1.72,2.11,2.39,29.3,21.1,0,13,1
1986-04,243,102.7,140.3,0.82,0.98,1.56,1.81,1.39,1.74,1.76,2.11,29.5,21.5,0,12,3
1986-05,178,118.4,59.6,1.22,1.23,1.53,1.57,1.58,1.77,1.76,2.04,29.9,20.8,0,8,7
1986-06,97,113.4,-16.4,1.47,1.44,1.27,1.33,1.53,1.59,1.8,2.03,29,19.6,0,4,7
1986-07,94,115.8,-21.8,1.93,2.07,1.79,1.81,1.94,1.92,1.84,1.98,29.4,18.8,0,3,10
1986-08,36,153.8,-117.8,1.07,1.62,1.97,1.91,1.87,1.8,1.86,1.94,31.6,18.9,0,1,12
1986-09,5,169.8,-164.8,0.6,1.47,1.94,2.05,1.51,1.6,1.81,1.92,33,20,0,0,25
1986-10,26,183.9,-157.9,1.54,1.95,1.79,1.88,1.95,1.96,1.89,1.96,33.7,20.2,4,0,14
1986-11,33,167.7,-134.7,0.91,1.63,1.7,2.05,2.18,2.06,1.96,1.97,34,21.1,11,1,12
1986-12,1,181.1,-180.1,-1.5,-0.45,0.72,1.03,1.65,1.71,1.73,1.74,34.3,21.8,14,0,28
1987-01,61,179.8,-118.8,-0.39,-0.7,-0.34,-0.34,0.3,0.58,1.8,1.82,33.9,21.7,7,2,8
1987-02,118,157.7,-39.7,0.03,-0.26,-0.53,-0.8,-0.05,0.01,1.5,1.55,33,21.5,9,3,4
1987-03,321,110.5,210.5,1.63,1.78,0.69,0.58,0.82,0.88,1.58,1.68,30.9,21.8,1,12,2
1987-04,112,122.6,-10.6,-0.46,-0.45,0.52,0.51,0.24,0.24,1.22,1.33,30.8,21.6,0,4,7
1987-05,39,134.4,-95.4,-0.82,-0.93,0.25,0.37,-0.17,-0.25,0.71,0.89,32.4,20.8,0,1,19
1987-06,69,115.1,-46.1,0.99,0.98,-0.39,-0.42,0.11,0.03,0.6,0.78,31.4,21.1,0,4,6
1987-07,16,137.7,-121.7,-0.13,-0.03,-0.15,-0.25,0.27,0.27,0.28,0.43,32.2,20.5,0,0,8
1987-08,1,173.2,-172.2,-1.18,-0.24,0.5,0.4,0.3,0.39,0.14,0.24,33.9,20.4,4,0,30
1987-09,0,187.4,-187.4,,-0.23,-0.34,-0.23,-0.43,-0.41,0.12,0.16,34.4,21,14,0,30
1987-10,0,204.6,-204.6,,-0.55,-1.24,-0.47,-0.26,-0.34,0.01,0,35,21.5,23,0,31
1987-11,0,199.3,-199.3,,-1.23,,-0.89,0.27,0.02,-0.12,-0.19,35,21.9,23,0,30
1987-12,0,205,-205,,-1.71,,-1.48,-1.15,-0.97,-0.11,-0.25,34.7,22.2,20,0,31
1988-01,57,171.2,-114.2,-0.46,-0.62,-1,-1.33,-1.18,-1.27,-0.16,-0.3,33.1,22.8,2,1,10
1988-02,64,158.4,-94.4,-0.92,-1.04,-1.24,-1.44,-1.37,-1.51,-0.36,-0.48,33,22.4,3,1,10
1988-03,252,123.6,128.4,0.94,1.08,-0.19,-0.3,-0.48,-0.78,-0.7,-0.79,30.5,22.1,0,9,3
1988-04,268,107.5,160.5,1,1.12,0.71,0.71,0.21,-0.01,-0.01,-0.25,30.4,22.1,0,9,4
1988-05,78,106.8,-28.8,-0.01,0.13,0.91,1.07,0.16,0.1,0.15,0.03,29.2,21,0,2,7
1988-06,88,109.9,-21.9,1.33,1.36,0.89,1.02,0.48,0.53,0.23,0.13,29.5,20,0,3,6
1988-07,11,130.3,-119.3,-0.43,0.04,0.4,0.55,0.64,0.75,0.2,0.15,30.2,20,0,0,13
1988-08,0,172.6,-172.6,,-0.27,0.69,0.69,0.9,1.03,0.2,0.15,32.4,19.7,0,0,31
1988-09,1,183.2,-182.2,-0.62,0.23,-0.59,-0.09,0.7,0.81,0.2,0.16,32.4,20,0,0,27
1988-10,0,198.4,-198.4,,-0.07,-1.24,-0.14,0.27,0.4,0.2,0.18,34.1,21.4,9,0,31
1988-11,0,177.6,-177.6,,0.44,-1.44,0.1,0.46,0.57,0.2,0.26,34.5,21.7,20,0,30
1988-12,29,154,-125,0.35,1,-0.01,0.66,-0.37,0.35,0.32,0.52,32.6,21.5,1,0,8
1989-01,75,155.7,-80.7,-0.15,-0.1,-0.22,0.22,-0.38,0.05,0.39,0.59,32,21.5,0,2,6
1989-02,0,152.8,-152.8,,-1.86,-1.49,-0.97,-1.61,-0.89,0.14,0.39,33.6,21.7,2,0,28
1989-03,206,141,65,0.4,0.35,-0.97,-0.92,-1.02,-0.65,-0.04,0.15,31.7,21.5,0,7,9
1989-04,409,98.2,310.8,1.89,1.91,0.87,0.86,0.61,0.77,0.53,0.71,29.5,21.5,0,18,1
1989-05,124,109.9,14.1,0.64,0.72,1.54,1.52,0.7,0.85,0.71,0.91,29.6,21.1,0,5,10
1989-06,63,110,-47,0.88,0.96,1.59,1.66,0.76,0.82,0.61,0.82,29.6,20.3,0,2,4
1989-07,88,115,-27,1.83,2.01,1.19,1.34,1.15,1.2,0.87,1.06,29.1,19.6,0,4,6
1989-08,9,157.8,-148.8,-0.06,0.87,1.38,1.49,1.65,1.62,0.88,1.08,31.7,19.5,0,0,13
1989-09,1,174.4,-173.4,-0.62,0.92,1.47,1.66,1.66,1.73,0.88,1.09,33.7,20,2,0,22
1989-10,18,194.3,-176.3,1.1,1.26,0.8,1.1,1.2,1.36,0.94,1.14,34.1,21.1,12,1,20
1989-11,19,179.8,-160.8,0.4,1.07,1.05,1.23,1.48,1.51,1,1.16,34.4,21.8,16,1,17
1989-12,166,129.8,36.2,2.38,2.31,2.49,2.3,2.46,2.2,1.42,1.49,31.5,21.8,0,8,5
1990-01,14,172.1,-158.1,-1.76,-1.4,0.82,1.11,0.9,1.25,1.28,1.39,32,21.5,0,0,8
1990-02,118,134.9,-16.9,0.03,0.05,0.51,0.77,0.66,0.97,1.58,1.69,32.3,21.6,5,4,7
1990-03,35,155.9,-120.9,-3.1,-2.13,-2.23,-1.76,-0.5,-0.18,1.11,1.32,32.8,21.5,2,1,7
1990-04,209,131,78,0.54,0.48,-0.73,-0.82,-0.23,-0.11,0.4,0.65,32.7,22,0,8,5
1990-05,108,131.5,-23.5,0.43,0.2,-0.5,-0.62,-0.18,-0.13,0.33,0.57,31.8,21.2,0,3,9
1990-06,14,123.4,-109.4,-0.63,-0.56,0.34,0.17,-0.99,-0.99,0.12,0.35,31.2,20.3,0,0,21
1990-07,58,141.6,-83.6,1.23,1.01,0.43,0.16,-0.37,-0.46,0,0.15,31.9,20.4,0,3,10
1990-08,18,173,-155,0.44,0.64,0.56,0.3,-0.28,-0.38,0.04,0.14,32.6,20,0,1,16
1990-09,4,175.8,-171.8,0.39,1.03,1.2,0.95,0.54,0.39,0.05,0.13,33.3,20.6,3,0,26
1990-10,5,190.4,-185.4,-0.06,0.8,0.77,0.85,0.52,0.36,0,0.1,33.8,21.5,3,0,23
1990-11,4,183.9,-179.9,-0.66,0.32,0.04,0.65,0.5,0.45,-0.06,0.05,34.1,21.9,9,0,14
1990-12,0,183.6,-183.6,,-0.59,-0.91,-0.16,0.5,0.5,-0.77,-0.65,34,21.9,8,0,31
1991-01,154,151,3,0.83,0.9,0.42,0.45,0.53,0.59,-0.19,-0.18,32.2,22.4,0,4,18
1991-02,77,121.5,-44.5,-0.65,-0.33,-0.04,0.15,-0.05,0.25,-0.33,-0.27,30.8,21.8,0,2,8
1991-03,123,122.6,0.4,-0.81,-0.53,-0.34,-0.03,-0.56,-0.14,0.03,0.08,30.6,21.9,0,6,5
1991-04,56,124.2,-68.2,-1.36,-1.15,-1.64,-1.12,-1.16,-0.76,-0.69,-0.43,31.1,21.8,0,2,6
1991-05,180,113.9,66.1,1.24,1.29,-0.45,-0.23,-0.48,-0.22,-0.36,-0.07,29.8,21.4,0,4,5
1991-06,17,107.9,-90.9,-0.47,-0.03,-0.15,-0.06,-0.41,-0.11,-0.34,0,30.2,20.5,0,0,22
1991-07,0,141,-141,,-0.67,0.59,0.59,-0.86,-0.46,-0.59,-0.18,31,19.5,0,0,31
1991-08,2,140.8,-138.8,-0.88,1.17,-1.01,0.02,-0.65,-0.19,-0.64,-0.11,31,19,0,0,16
1991-09,0,164.2,-164.2,,1.5,-1.62,0.44,-0.31,0.06,-0.66,-0.09,32.7,20,0,0,30
1991-10,3,184.5,-181.5,-0.41,1.01,-0.47,1.33,0.48,0.86,-0.67,-0.07,33.1,20.8,0,0,19
1991-11,2,165.4,-163.4,-1.01,0.99,-0.62,1.25,-1.06,0.5,-0.67,0,33,21.3,0,0,21
1991-12,0,182.5,-182.5,,-0.55,-1.27,0.24,-1.78,0.39,-0.65,0.03,33.5,21.7,1,0,31
1992-01,233,146.8,86.2,1.52,1.53,1.12,1.28,1.01,1.48,-0.34,0.24,32.3,22.1,0,7,22
1992-02,132,120,12,0.22,0.42,0.98,1.09,0.89,1.27,-0.07,0.4,29.9,21.2,0,5,2
1992-03,182,127.4,54.6,0.09,0.21,0.98,1.14,0.77,1.11,0.17,0.56,30.1,21.4,0,9,3
1992-04,173,119.8,53.2,0.22,0.24,0.13,0.27,0.62,0.86,0.64,1.02,30.3,21.3,0,5,5
1992-05,2,134.5,-132.5,-3.09,-1.53,-0.46,-0.36,0.17,0.29,-0.11,0.39,31.4,20.6,0,0,24
1992-06,29,115.6,-86.6,0.01,0.09,-0.51,-0.51,0.25,0.37,-0.06,0.41,30.7,20.1,0,1,10
1992-07,10,140.5,-130.5,-0.5,-0.32,-1.54,-1,-0.44,-0.26,-0.01,0.44,31.2,19.2,0,0,13
1992-08,0,159,-159,,0.47,-0.37,-0.05,-0.55,-0.32,-0.01,0.37,31.8,19.3,0,0,31
1992-09,2,163.6,-161.6,-0.16,1.65,-0.59,0.32,-0.57,-0.33,0,0.36,32.7,20.2,0,0,15
1992-10,0,192.3,-192.3,,0.37,-0.94,0.84,-1.56,-0.6,-0.01,0.33,34,20.6,6,0,31
1992-11,0,178.7,-178.7,,0.38,-1.12,0.76,-0.56,0.24,-0.02,0.29,33.5,21.4,3,0,30
1992-12,0,177.4,-177.4,,-0.34,,-0.15,-1.41,0.1,-0.01,0.32,33.6,21.4,2,0,31
