data,rain_mm,etp_mm,bal_mm,spi1,spei1,spi3,spei3,spi6,spei6,spi12,spei12,tmax_med,tmin_med,dias_tmax34,dias_chuva10,veranico_max,soma_termica,srad_mj
1980-01,47,148,-101,0.48,0.84,,,,,,,31.9,22.7,0,2,10,536,588
1980-02,283,100,183,2.79,2.5,,,,,,,29.7,22.6,0,10,1,469,434
1980-03,113,122.2,-9.2,0.91,1.15,1.97,1.99,,,,,29.1,21.3,0,3,6,472,576
1980-04,15,127.7,-112.7,-2.1,-1.55,1.17,1.4,,,,,30.6,21.3,0,0,6,478,583
1980-05,84,114.9,-30.9,-1.03,-1.13,-1.09,-0.99,,,,,29.6,21.2,0,2,4,476,526
1980-06,138,85.6,52.4,-0.53,-0.63,-1.59,-1.47,0.11,0.3,,,27.7,20.7,0,6,2,427,420
1980-07,112,95.2,16.8,-0.85,-1.01,-1.23,-1.31,-0.14,-0.02,,,26.9,19.3,0,3,6,406,502
1980-08,44,116.1,-72.1,-1.66,-1.83,-1.19,-1.3,-1.41,-1.35,,,27.9,19,0,0,7,418,560
1980-09,94,129.4,-35.4,0.85,0.65,-0.74,-1.02,-1.45,-1.47,,,29.2,20.5,0,3,8,446,576
1980-10,107,142.4,-35.4,1.23,1.34,0.53,0.29,-0.8,-0.98,,,28.9,20.9,0,3,5,462,646
1980-11,29,153.9,-124.9,0.37,0.34,1.02,0.93,-0.32,-0.53,,,31.4,22.2,1,0,14,504,642
1980-12,23,170.3,-147.3,0.2,0.02,0.84,0.76,-0.05,-0.29,0,0.08,31.9,22.4,0,0,9,531,699
1981-01,24,147.4,-123.4,-0.06,0.41,-0.02,0.06,0.23,0.16,-0.07,-0.03,31.3,22.1,0,0,9,518,634
1981-02,35,144.8,-109.8,-0.03,-0.11,-0.22,-0.15,0.57,0.49,-0.87,-0.88,31,22,0,1,7,461,636
1981-03,163,122.9,40.1,1.48,1.62,0.7,0.88,0.9,0.94,-0.68,-0.74,30.7,22.7,1,7,9,519,531
1981-04,146,108.7,37.4,0.41,0.52,0.8,0.94,0.57,0.67,-0.25,-0.29,29.3,22.1,0,4,6,471,537
1981-05,63,105.9,-42.9,-1.38,-1.25,0.01,0.14,-0.21,-0.08,-0.38,-0.34,28.3,20.7,0,1,2,449,512
1981-06,122,91.2,30.8,-0.78,-0.94,-0.9,-0.91,-0.5,-0.39,-0.47,-0.42,27.7,20.2,0,3,2,418,435
1981-07,87,100.3,-13.3,-1.39,-1.57,-1.72,-1.64,-0.71,-0.69,-0.59,-0.6,26.9,18.9,0,1,2,400,494
1981-08,93,107.2,-14.2,-0.09,-0.22,-1.12,-1.26,-0.62,-0.63,-0.4,-0.39,27.2,18.7,0,2,4,402,509
1981-09,46,125.1,-79.1,-0.16,-0.34,-1.01,-1.15,-1.1,-1.13,-0.53,-0.53,28.2,19.5,0,1,4,416,585
1981-10,9,162.3,-153.3,-0.66,-1.11,-0.63,-0.9,-1.73,-1.67,-0.94,-0.95,31,21.3,0,0,13,500,719
1981-11,37,149.8,-112.8,0.56,0.62,-0.27,-0.46,-1.16,-1.25,-0.92,-0.91,31,22,0,1,8,496,658
1981-12,49,149.4,-100.4,0.88,1.12,0.23,0.21,-0.7,-0.77,-0.78,-0.7,30.6,22.3,0,1,7,511,659
1982-01,8,169.1,-161.1,-0.73,-1.19,0.21,0.3,-0.39,-0.42,-0.8,-0.8,31.8,22.7,0,0,15,535,723
1982-02,64,128.9,-64.9,0.58,0.76,0.32,0.47,-0.1,-0.09,-0.62,-0.6,30.4,22.4,0,2,4,460,553
1982-03,10,162.1,-152.1,-1.57,-1.39,-0.67,-0.69,-0.43,-0.44,-1.17,-1.12,32.4,22.8,2,0,7,546,698
1982-04,170,116.5,53.5,0.65,0.68,0.15,0.11,0.11,0.08,-1.1,-1.09,30.3,22.7,0,7,7,494,505
1982-05,200,90.9,109.1,0.21,0.22,0.05,0,0.05,0.08,-0.68,-0.72,27.8,21.6,0,8,2,456,453
1982-06,187,80.6,106.4,0.12,0.11,0.32,0.33,-0.08,-0.11,-0.47,-0.47,27.3,20.6,0,6,1,418,416
1982-07,118,88.7,29.3,-0.73,-0.77,-0.16,-0.16,-0.12,-0.1,-0.38,-0.39,27,19.7,0,2,1,414,459
1982-08,161,95.9,65.1,1.33,1.39,0.14,0.16,0.06,0.04,-0.13,-0.11,27.1,19.9,0,4,1,418,501
1982-09,91,110,-19,0.8,0.94,0.43,0.49,0.37,0.43,0.04,0.07,28.2,20.4,0,0,3,430,517
1982-10,31,154.6,-123.6,0.11,-0.05,0.9,0.94,0.19,0.25,0.12,0.22,30.3,20.1,0,1,9,471,712
