data,rain_mm,etp_mm,bal_mm,spi1,spei1,spi3,spei3,spi6,spei6,spi12,spei12,tmax_med,tmin_med,dias_tmax34,dias_chuva10,veranico_max
1980-01,148,140.7,7.3,0.82,0.98,,,,,,,29,18.8,0,6,4
1980-02,192,105.2,86.8,1.03,1.26,,,,,,,26.7,18.4,0,6,2
1980-03,154,129.3,24.7,0.03,0.02,0.8,1.01,,,,,26.9,17.7,0,5,7
1980-04,32,131.8,-99.8,-1.45,-1.29,-0.04,0.03,,,,,27.8,17.7,0,1,9
1980-05,3,136.6,-133.6,-2.48,-1.78,-1.09,-1.12,,,,,28.3,17.6,0,0,27
1980-06,71,106,-35,0.86,0.62,-1.1,-1.24,0.05,0.02,,,26.5,16.9,0,2,6
1980-07,30,119.4,-89.4,0.13,-0.61,-0.36,-0.91,-0.21,-0.35,,,25.9,15.6,0,1,29
1980-08,0,152.6,-152.6,,-1.84,0.39,-0.4,-0.8,-1.03,,,27.3,15.9,0,0,31
1980-09,5,163,-158,-0.15,-0.63,-0.37,-1.29,-1.05,-1.33,,,29.5,17.2,0,0,14
1980-10,41,173,-132,1.3,1.43,0.7,-0.22,-0.11,-0.78,,,29.2,17.6,0,1,24
1980-11,78,154.6,-76.6,1.45,1.63,1.64,1.61,1.22,0.72,,,29.2,18.6,0,2,10
1980-12,65,164.3,-99.3,0.75,0.75,1.48,1.45,1.15,0.8,0.36,0.29,29.5,18.6,0,3,16
1981-01,72,150.2,-78.2,-0.08,0.02,0.66,0.79,0.72,0.62,0.06,-0.08,29.1,18.7,0,3,7
1981-02,36,152,-116,-1.2,-1.27,-0.56,-0.56,0.15,0.17,-0.57,-0.75,29.4,18.3,0,1,10
1981-03,297,119.7,177.3,1.36,1.49,0.29,0.29,0.83,0.91,0.03,-0.25,27.5,18.6,0,10,6
1981-04,65,117.7,-52.7,-0.66,-0.64,0.08,0.01,0.3,0.38,0.15,-0.09,26,18,0,2,9
1981-05,11,115.9,-104.9,-1.58,-1.15,0.23,0.24,-0.23,-0.23,0.18,0.04,26.2,16.9,0,0,16
1981-06,1,114.2,-113.2,-2.8,-1.72,-1.53,-1.26,-0.52,-0.56,-0.11,-0.24,26.1,16.7,0,0,27
1981-07,12,125,-113,-1.06,-1.58,-2.27,-1.74,-0.53,-0.68,-0.17,-0.31,25.6,14.8,0,0,9
1981-08,18,140.3,-122.3,0.44,-0.13,-1.2,-1.55,-0.1,-0.3,-0.09,-0.2,26.8,15.4,0,1,23
1981-09,1,152.3,-151.3,-1.29,-0.07,-0.52,-0.99,-1.44,-1.27,-0.11,-0.17,27.6,16.1,0,0,20
1981-10,0,190.9,-190.9,,-1.32,-0.27,-0.77,-1.9,-1.55,-0.28,-0.39,31,18.1,0,0,31
1981-11,20,171.6,-151.6,0.19,0.19,-0.38,-0.55,-1.32,-1.42,-0.52,-0.62,30.3,18.4,0,0,12
1981-12,74,162.9,-88.9,0.9,0.91,0.45,0.3,0.06,-0.3,-0.46,-0.55,29.7,18.8,0,3,14
1982-01,43,159.8,-116.8,-0.61,-0.66,-0.16,-0.18,-0.27,-0.41,-0.65,-0.77,30.4,18.8,0,1,8
1982-02,49,133.1,-84.1,-0.87,-0.76,-0.63,-0.52,-0.78,-0.7,-0.55,-0.64,29.7,18.7,0,1,12
1982-03,122,147.5,-25.5,-0.37,-0.58,-1.15,-1.09,-0.89,-0.89,-1.5,-1.34,30.6,19.1,0,5,8
1982-04,88,124.2,-36.2,-0.28,-0.42,-0.88,-0.9,-0.91,-0.87,-1.49,-1.38,28.9,18.7,0,2,10
1982-05,86,100,-14,0.57,0.62,-0.25,-0.31,-0.68,-0.64,-1,-1.05,24.7,17.1,0,2,6
1982-06,24,103.2,-79.2,-0.48,-0.59,-0.13,-0.19,-0.9,-0.85,-0.88,-0.9,25.3,16.9,0,0,5
1982-07,31,111.6,-80.6,0.17,-0.23,0.15,0.05,-0.65,-0.67,-0.75,-0.76,25.5,16.1,0,1,9
1982-08,15,135.3,-120.3,0.27,-0.03,-0.17,-0.44,-0.32,-0.43,-0.75,-0.74,26.6,16.2,0,0,12
1982-09,13,147.8,-134.8,0.82,1.04,0.39,0.19,-0.05,-0.1,-0.68,-0.67,28.5,17.1,0,0,11
1982-10,0,173.3,-173.3,,0.02,0.12,0.14,0.1,0.06,-0.7,-0.62,30.2,17.4,0,0,31
1982-11,4,181.9,-177.9,-0.75,-0.92,-0.55,-0.37,-0.56,-0.62,-0.74,-0.68,30.7,18.1,0,0,28
1982-12,42,175,-133,0.28,0.1,-0.41,-0.47,-0.24,-0.32,-0.88,-0.8,30.4,18.6,0,1,11
