data,rain_mm,etp_mm,bal_mm,spi1,spei1,spi3,spei3,spi6,spei6,spi12,spei12,tmax_med,tmin_med,dias_tmax34,dias_chuva10,veranico_max
1980-01,356,106.7,249.3,1.17,1.27,,,,,,,30,20.2,0,12,5
1980-02,102,120,-18,-0.05,-0.11,,,,,,,32.5,20.7,1,4,10
1980-03,30,133.8,-103.8,-1.72,-1.56,0.33,0.33,,,,,33.7,19.8,8,1,13
1980-04,63,76.8,-13.8,0.28,0.63,-1.16,-1.08,,,,,29.6,18.6,0,1,13
1980-05,53,71.4,-18.4,0.76,0.78,-0.79,-0.83,,,,,29,16.5,0,3,18
1980-06,42,54.5,-12.4,1.28,1.45,0.87,1.09,0.56,0.69,,,25,13.8,0,1,14
1980-07,5,70.2,-65.2,-0.81,-0.63,0.98,1.06,-0.62,-0.55,,,27.8,13.8,0,0,22
1980-08,52,86.4,-34.5,1.57,1.54,1.56,1.52,-0.12,-0.16,,,28.5,15.3,0,1,7
1980-09,21,89.5,-68.5,-0.55,-0.23,0.22,0.33,0.7,0.97,,,27.5,15,0,1,11
1980-10,122,118.2,3.8,0.88,0.66,0.75,0.75,1.07,1.07,,,30.2,18.3,7,4,15
1980-11,197,110.3,86.7,0.65,0.6,0.53,0.58,0.95,1.01,,,29.6,19.1,1,5,4
1980-12,325,127.7,197.3,1.15,1.06,1.22,1.11,1.09,1.04,1.03,1.05,32.2,21.3,2,9,4
1981-01,161,123.9,37.1,-0.23,-0.25,0.52,0.61,0.68,0.73,0.24,0.29,31.7,21.4,3,5,4
1981-02,44,126.9,-82.9,-1.23,-1.06,-0.16,-0.19,0.1,0.12,-0.01,0.05,32.8,20.5,3,1,6
1981-03,130,112.6,17.4,0.25,0.21,-0.85,-0.74,0.26,0.33,0.48,0.67,31.6,20.5,5,5,4
1981-04,49,88.8,-39.8,-0.15,-0.12,-0.8,-0.74,0,0.1,0.4,0.54,27.9,16.6,0,1,10
1981-05,20,74,-54,-0.4,-0.62,-0.12,-0.17,-0.28,-0.22,0.23,0.39,28,15.8,0,0,9
1981-06,18,55,-37,0.27,0.59,-0.36,-0.3,-0.93,-0.76,0.11,0.28,25.1,13.3,0,0,9
1981-07,0,71,-71,,-1.18,-0.74,-0.68,-0.99,-0.89,0.08,0.25,26.2,11.8,0,0,31
1981-08,9,86.6,-77.6,-0.23,-0.28,-0.6,-0.43,-0.32,-0.3,-0.14,0,27.9,13.9,0,0,13
1981-09,44,109.3,-65.3,0.18,-0.14,-0.38,-0.64,-0.65,-0.69,-0.02,0.07,30.2,15.7,4,1,16
1981-10,103,86.7,16.3,0.53,0.89,0.22,0.42,-0.22,0.1,-0.1,0.09,26.1,16.8,0,0,4
1981-11,236,111.4,124.6,1.2,1.22,0.92,1.02,0.7,0.88,0.11,0.2,30.4,20.4,1,9,4
1981-12,308,118.7,189.3,0.97,0.97,1.24,1.38,0.96,1.02,0.02,0.11,30.5,20.4,5,10,2
1982-01,203,109.1,93.9,0.14,0.22,0.88,1.02,0.8,0.98,0.2,0.39,29.7,20.3,0,6,4
1982-02,72,127.8,-55.8,-0.58,-0.66,0.22,0.32,0.66,0.83,0.34,0.56,32.8,20.4,3,2,16
1982-03,387,86.5,300.5,2.49,2.47,1.4,1.55,1.94,1.85,1.62,1.64,29.6,21.1,0,13,1
1982-04,52,84.2,-32.2,-0.05,0.12,1.83,1.82,1.82,1.75,1.63,1.67,28.2,16.4,0,1,9
1982-05,11,67.4,-56.5,-0.95,-0.74,2.04,2.15,1.38,1.48,1.57,1.64,26.4,15,0,0,14
1982-06,21,59.5,-38.5,0.43,0.52,-0.43,-0.23,1.11,1.3,1.55,1.61,26.6,15.3,0,0,8
1982-07,20,70.7,-50.7,0.75,0.58,-0.24,-0.18,1.56,1.61,1.64,1.65,27.5,13.9,0,1,14
1982-08,38,86.6,-48.6,1.16,1.12,1.12,0.98,2.12,2.12,1.76,1.74,27.9,15.1,0,1,11
1982-09,21,99.4,-78.4,-0.55,-0.52,0.24,0.15,-0.28,-0.1,1.6,1.62,28.8,15.2,0,1,18
1982-10,113,108.4,4.6,0.72,0.67,0.45,0.48,0.2,0.35,1.63,1.6,29.4,18.6,3,4,8
1982-11,85,125.2,-40.2,-1.54,-1.42,-0.8,-0.82,-0.38,-0.39,0.95,1.08,33.3,21.2,12,4,7
1982-12,385,93.2,291.8,1.75,1.96,0.81,0.89,0.73,0.8,1.18,1.34,28.9,20.7,0,18,4
1983-01,350,111.7,238.3,1.14,1.21,1.25,1.34,1.22,1.31,1.71,1.75,30.6,21.5,0,15,5
1983-02,74,120.3,-46.3,-0.54,-0.52,1.63,1.75,1,1.15,1.85,1.84,32.7,21.7,8,4,13
1983-03,160,104.4,55.6,0.62,0.69,0.95,1.08,1.25,1.38,1.05,1.26,31,20.8,3,5,5
1983-04,192,80.8,111.2,2.72,2.42,1.19,1.31,1.77,1.72,1.72,1.7,28.4,19.2,0,5,6
1983-05,42,72.2,-30.2,0.45,0.39,1.65,1.71,2.17,2.02,1.83,1.75,28.5,18,0,1,20
1983-06,109,54.6,54.4,2.89,2.5,2.91,2.62,2,1.92,2.17,1.92,26.3,16.8,0,3,15
1983-07,24,64.8,-40.8,1.01,1.19,2.26,2.17,1.81,1.78,2.18,1.93,26.7,14.8,0,1,17
1983-08,3,85.2,-82.2,-0.96,-0.58,2.27,2.18,2.13,2.09,2.02,1.88,27.4,13.4,0,0,17
1983-09,238,62.1,175.9,2.72,2.52,2.74,2.46,3.9,2.85,2.8,2.22,23.9,17.3,1,9,4
1983-10,172,91.4,80.6,1.65,1.85,2.88,2.52,3.65,2.66,2.98,2.42,27.6,19,1,5,3
1983-11,167,112.2,54.8,0.17,0.05,2.42,2.26,2.89,2.38,3.12,2.72,30.6,20.2,0,8,3
1983-12,287,107.8,179.2,0.73,0.86,1.1,1.28,2.02,2.19,2.6,2.54,31.1,21,1,13,4
1984-01,75,154.6,-79.6,-1.29,-1.24,-0.43,-0.4,0.99,1.17,1.67,1.74,34.3,20.7,18,2,6
1984-02,27,148.1,-121.1,-1.79,-1.58,-1.32,-1.31,0.66,0.76,1.62,1.62,34.8,21.3,18,0,10
1984-03,151,121.3,29.7,0.51,0.37,-1.64,-1.63,-0.33,-0.33,1.79,1.66,32.5,20.2,6,5,4
1984-04,60,84.1,-24.1,0.2,0.36,-0.62,-0.86,-0.85,-0.94,1.18,1.25,28.9,18.8,0,2,8
1984-05,59,83,-24,0.91,0.6,0.62,0.45,-0.72,-0.9,1.24,1.27,29.7,17.6,0,2,13
1984-06,2,67.6,-65.6,-1.41,-1.37,0.29,0.01,-1.31,-1.53,0.71,0.83,28.1,15.5,0,0,29
1984-07,9,77.9,-68.9,-0.23,-0.98,0.28,-0.57,-0.49,-0.96,0.64,0.71,27.4,14.4,0,0,14
1984-08,24,73.9,-49.9,0.64,1.07,-0.24,-0.39,0.46,0.27,0.74,0.82,26.1,15.3,0,0,10
1984-09,48,94.3,-46.3,0.27,0.33,0.28,0.38,0.27,0.25,-0.21,-0.19,27.3,16.5,0,2,7
1984-10,43,126.6,-83.6,-1,-1.13,-0.44,-0.34,-0.35,-0.6,-0.88,-1.06,30,18.7,2,1,8
1984-11,196,116.3,79.7,0.63,0.48,-0.01,-0.13,-0.13,-0.21,-0.67,-0.88,30.5,20.1,5,6,4
1984-12,230,106.4,123.6,0.03,0.17,-0.05,-0.12,-0.01,-0.01,-0.9,-1.04,29.4,20.8,0,10,1
1985-01,362,100.1,261.9,1.2,1.34,1.09,1.25,0.8,1,0.4,0.38,30,21.2,0,12,2
1985-02,211,123,88,1.25,1.21,1.6,1.7,1.33,1.38,1.21,1.21,32.9,21.5,9,6,9
1985-03,217,101.9,115.1,1.19,1.3,2.08,2.1,1.7,1.63,1.67,1.59,31.3,21.7,0,11,5
1985-04,8,95.2,-87.2,-2.47,-1.83,1.27,1.28,1.66,1.63,1.43,1.41,30.6,18.8,0,0,12
1985-05,37,70.4,-33.4,0.29,0.27,0.54,0.57,1.53,1.58,1.31,1.37,27.3,16.2,0,2,9
1985-06,10,67.1,-57.1,-0.28,-0.65,-1.16,-1.18,1.61,1.6,1.32,1.37,26.1,11.9,0,1,26
1985-07,0,71.5,-71.5,,-1.22,-0.41,-0.68,1,0.99,1.28,1.36,25.7,12.5,0,0,31
1985-08,25,90.7,-65.7,0.68,0.4,-0.24,-0.73,0.39,0.3,1.28,1.3,28.4,14.1,0,1,21
1985-09,44,90,-46,0.18,0.33,0.02,0.03,-0.94,-0.94,1.22,1.26,26.9,15.9,0,1,9
1985-10,89,115,-26,0.24,0.06,0.25,0.28,-0.06,-0.05,1.41,1.41,29.9,18.7,1,3,13
1985-11,139,117.8,21.2,-0.33,-0.53,-0.17,-0.13,-0.29,-0.32,1.12,1.2,30,19.7,0,5,12
1985-12,241,119.7,121.3,0.17,0.14,-0.05,-0.15,-0.09,-0.15,1.09,1.11,29.5,19.7,1,8,4
1986-01,134,141.9,-7.9,-0.51,-0.64,-0.53,-0.54,-0.42,-0.43,0.16,0.13,32.4,21,5,5,4
1986-02,161,116.9,44.1,0.73,0.72,-0.12,-0.15,-0.29,-0.27,-0.06,-0.04,32.9,21.5,4,7,8
1986-03,73,120.7,-47.7,-0.63,-0.73,-0.57,-0.63,-0.58,-0.57,-0.93,-0.97,32.6,20.6,3,4,10
1986-04,31,97.7,-66.7,-0.85,-1.06,-0.31,-0.36,-0.77,-0.79,-0.81,-0.86,31.1,18.8,0,1,10
1986-05,17,76.5,-59.5,-0.56,-0.9,-1.17,-1.23,-0.73,-0.76,-0.9,-1,29.8,17.6,0,0,12
1986-06,6,65.2,-59.2,-0.69,-0.82,-1.19,-1.32,-0.93,-1,-0.9,-0.99,27.5,13.8,0,0,25
1986-07,32,66.5,-34.5,1.46,1.49,-0.15,-0.41,-0.37,-0.47,-0.72,-0.76,26.3,12.9,0,1,15
1986-08,30,82.8,-52.8,0.88,0.97,0.84,0.76,-0.75,-0.88,-0.69,-0.69,28.6,15.9,0,1,13
1986-09,20,97,-77,-0.59,-0.47,0.3,0.4,-0.72,-0.76,-0.79,-0.81,28.2,15.7,3,0,10
1986-10,6,123.9,-117.9,-3.34,-1.75,-1.78,-1.45,-1.68,-1.59,-1.23,-1.25,30.8,17.7,7,0,21
1986-11,113,134.8,-21.8,-0.87,-1.18,-2,-1.92,-1.49,-1.68,-1.29,-1.32,31.5,19.5,8,4,10
1986-12,267,116.5,150.5,0.5,0.51,-0.77,-0.92,-0.61,-0.74,-1.07,-1.12,31.5,21.3,9,15,2
