data,rain_mm,etp_mm,bal_mm,spi1,spei1,spi3,spei3,spi6,spei6,spi12,spei12,tmax_med,tmin_med,dias_tmax34,dias_chuva10,veranico_max
1980-01,329,106.9,222.1,1.07,1.17,,,,,,,27.7,19.1,0,13,2
1980-02,211,109.4,101.6,1.14,1.24,,,,,,,27.8,18.7,0,9,1
1980-03,18,140.1,-122.1,-2.14,-1.45,0.86,0.96,,,,,30.3,17.1,0,1,15
1980-04,99,96.3,2.7,1.19,1.39,0.45,0.42,,,,,28.2,16.9,0,5,12
1980-05,5,99.6,-94.6,-0.46,-0.36,-0.62,-0.64,,,,,28.1,15.5,0,0,14
1980-06,33,81.4,-48.4,1.69,2.08,1.39,1.49,1.15,1.24,,,27.4,13.8,0,2,24
1980-07,0,97.5,-97.5,,0.38,0.96,1.15,0.61,0.64,,,28,11.7,0,0,31
1980-08,0,129.9,-129.9,,-1.21,0.98,1.11,-0.37,-0.4,,,29.6,14.1,0,0,31
1980-09,17,133.5,-116.5,0.25,0.64,-0.01,0.2,1.12,1.24,,,31.1,16.3,2,0,11
1980-10,24,170.5,-146.5,-0.85,-0.99,-0.76,-0.81,-0.3,-0.36,,,32.5,18,7,1,17
1980-11,161,115.6,45.4,-0.04,-0.05,-0.48,-0.47,-0.28,-0.28,,,29.1,19.2,0,6,7
1980-12,277,108.3,168.7,0.54,0.59,0.01,-0.04,-0.03,-0.05,0.63,0.73,27.8,18.7,0,14,1
1981-01,222,121.1,100.9,0.48,0.48,0.42,0.63,0.11,0.24,0.29,0.4,28.3,18.2,0,6,3
1981-02,25,142.7,-117.7,-1.23,-1.21,0.08,0.08,-0.29,-0.18,-0.41,-0.3,30.6,17.7,0,0,16
1981-03,314,111.1,202.9,1.93,2.14,0.88,0.89,0.6,0.62,0.8,0.87,29.2,18.9,0,11,3
1981-04,82,102,-20,0.86,0.94,1.21,1.18,1.07,1.19,0.76,0.8,27.9,16.3,0,4,10
1981-05,40,90.4,-50.4,1.6,1.85,1.97,2.08,1.35,1.45,0.91,0.98,27.1,15,0,1,23
1981-06,22,76,-54,1.18,1.95,1.49,1.65,1.2,1.24,0.88,0.96,25.9,12.5,0,1,21
1981-07,0,90.7,-90.7,,1.04,1.56,1.93,1.53,1.66,0.87,0.98,26.2,10.7,0,0,31
1981-08,11,118.5,-107.5,0.49,1.18,0.98,1.54,2.13,2.2,0.9,1.05,28.8,12.4,0,0,14
1981-09,16,145.6,-129.6,0.2,0.13,0.36,0.61,1.35,1.62,0.9,1,31.1,15.2,0,0,21
1981-10,228,110.4,117.6,1.9,1.96,1.84,1.86,2.06,2.07,1.67,1.7,28.8,18,0,9,5
1981-11,340,93.6,246.4,1.59,1.76,2.15,2.24,2.28,2.35,2.17,2.11,27.4,18.8,0,16,0
1981-12,284,129.1,154.9,0.59,0.48,1.68,1.77,1.65,1.75,1.74,1.74,29.1,18.4,0,12,3
1982-01,417,105,312,1.47,1.56,2.17,1.95,2.41,2.12,2.47,2.31,27.1,18.7,0,23,1
1982-02,52,141.1,-89.1,-0.58,-0.79,1.26,1.25,2.18,1.98,2.55,2.22,30.2,17.9,0,2,20
1982-03,154,108.2,45.8,0.55,0.59,1.18,1.25,2.49,2.41,2.52,2.4,29.5,19.1,0,6,5
1982-04,48,101.4,-53.4,0.04,0.14,-0.27,-0.31,2.08,2.09,2.51,2.53,27.8,16,0,0,5
1982-05,31,94,-63,1.26,1.51,0.56,0.7,1.48,1.55,2.5,2.5,27.4,14,0,0,9
1982-06,0,86.1,-86.1,,0.17,0.4,0.65,1.19,1.26,2.45,2.48,28.8,12.6,0,0,30
1982-07,1,99,-98,-0.65,0.31,0.77,0.98,-0.14,-0.11,2.42,2.39,28.5,12.5,0,0,16
1982-08,27,115.8,-88.8,1.35,1.82,0.86,1.17,0.69,0.89,2.44,2.34,29.8,14.6,0,1,19
1982-09,17,139.2,-122.2,0.25,0.43,0.84,0.98,0.68,0.88,2.45,2.36,30.9,16.1,1,1,20
1982-10,37,156,-119,-0.46,-0.48,0.03,0.09,0.2,0.31,1.71,1.64,32.6,18.6,8,1,13
1982-11,20,163.6,-143.6,-3.06,-1.91,-2.27,-1.64,-1.93,-1.44,0.42,0.41,34.3,19.6,17,0,10
1982-12,111,141.8,-30.8,-1.19,-1.2,-2.11,-1.68,-1.81,-1.49,-0.21,-0.21,31.8,20.2,10,3,4
1983-01,409,96.9,312.1,1.44,1.57,-0.26,-0.32,-0.29,-0.28,-0.33,-0.3,27.7,19.4,0,19,0
1983-02,271,115.2,155.8,1.55,1.58,1.43,1.5,0.37,0.34,0.52,0.61,28.4,19.1,0,11,7
1983-03,170,107.9,62.1,0.72,0.78,2.15,2.06,0.58,0.54,0.65,0.71,28.9,19,0,9,3
1983-04,92,103.7,-11.7,1.06,1.12,1.99,2.3,1.03,1.02,0.87,0.88,28.9,17.1,0,3,9
1983-05,6,98.2,-92.2,-0.33,-0.12,0.84,0.94,1.82,1.9,0.77,0.77,29.1,15.9,0,0,26
1983-06,0,89.8,-89.8,,-0.4,0.76,0.8,2.22,2.03,0.77,0.75,28.9,13.6,0,0,30
1983-07,0,97.9,-97.9,,0.32,-0.6,-0.38,1.92,2.04,0.76,0.75,28.5,12.5,0,0,31
1983-08,0,127.4,-127.4,,-0.71,,-0.52,0.75,0.79,0.63,0.59,29.7,13,0,0,31
1983-09,8,143.5,-135.5,-0.33,-0.14,-0.51,-0.34,0.39,0.24,0.6,0.54,32.5,17.9,4,0,13
1983-10,126,137.3,-11.3,0.96,1.02,0.73,0.74,0.53,0.55,0.95,0.95,29.9,18.6,0,6,8
1983-11,373,100.5,272.5,1.83,1.93,1.74,1.77,1.68,1.65,2.13,1.99,28.7,19,0,13,2
1983-12,387,114.7,272.3,1.31,1.34,1.8,1.82,1.7,1.7,2.35,2.15,28.1,18.3,0,17,3
1984-01,24,154.6,-130.6,-1.79,-1.39,1.05,1.05,1.06,1.06,1.57,1.53,31.7,17.7,1,0,11
1984-02,28,155.1,-127.1,-1.14,-1.35,-0.44,-0.71,0.72,0.68,0.82,0.83,32.5,18.9,1,0,10
1984-03,233,126.4,106.6,1.31,1.28,-0.84,-1.1,1.27,1.16,1.2,1.08,31.2,18.9,5,10,6
1984-04,61,106.9,-45.9,0.39,0.33,0.39,-0.03,1.19,1.04,1.12,0.98,28.9,17.4,0,3,21
1984-05,0,109.3,-109.3,,-2.51,1.04,0.89,0.14,-0.21,1.1,0.92,30.5,14.9,0,0,31
1984-06,0,95.1,-95.1,,-1.74,-0.01,-0.34,-0.87,-1.14,1.12,0.9,29.3,12.7,0,0,30
1984-07,0,103.3,-103.3,,-1.24,,-2.67,0.21,-0.37,1.1,0.87,28.4,12.8,0,0,31
1984-08,18,118.3,-100.3,0.93,1.48,0.55,0.4,1.1,0.86,1.16,0.97,29.1,14.2,0,1,17
1984-09,41,124.8,-83.8,1.14,1.47,1.13,1.32,0.62,0.5,1.3,1.15,30.2,16.5,2,1,7
1984-10,110,146.5,-36.5,0.77,0.74,1.1,1.22,0.84,0.79,1.2,1.04,31.1,18.2,4,4,13
1984-11,126,145.8,-19.8,-0.5,-0.75,0.2,0.12,0.25,0.12,0.17,-0.05,30.8,18.5,3,5,5
1984-12,162,120.5,41.5,-0.54,-0.55,-0.35,-0.44,-0.14,-0.17,-0.63,-0.74,29.6,19.2,0,4,4
1985-01,584,89.8,494.2,2.1,2.15,1.45,1.41,1.54,1.5,1.29,1.17,28.1,18.9,0,22,0
1985-02,55,135.8,-80.8,-0.52,-0.68,1.47,1.57,1.25,1.26,1.38,1.3,31.6,18.5,0,2,5
1985-03,155,124.7,30.4,0.56,0.4,1.93,1.83,1.36,1.33,1.33,1.28,30.7,18.5,0,6,7
1985-04,41,112.4,-71.4,-0.17,-0.36,-0.3,-0.52,1.28,1.25,1.31,1.25,29.3,16.7,0,0,11
1985-05,2,100.3,-98.3,-1.04,-0.78,0.24,0.07,1.54,1.58,1.33,1.3,28.5,14.9,0,0,15
1985-06,0,82.8,-82.8,,0.55,-0.5,-0.39,1.78,1.66,1.34,1.36,26.4,9.4,0,0,30
1985-07,0,97.3,-97.3,,0.41,-1.22,-0.29,-0.49,-0.58,1.33,1.35,26.1,10.6,0,0,31
1985-08,1,117.5,-116.5,-0.92,0.62,-0.73,0.48,0.11,0.11,1.24,1.27,28.4,12.6,0,0,22
1985-09,113,128.7,-15.7,2.6,2.35,1.97,1.92,1.16,1.27,1.53,1.49,29.3,15.5,0,4,16
1985-10,200,122.5,77.5,1.68,1.73,2.26,2.17,2.05,1.99,1.82,1.69,29.3,17.3,0,9,4
1985-11,178,118.5,59.5,0.15,0.1,1.65,1.75,1.6,1.71,1.89,1.85,28.4,17.4,0,8,6
1985-12,411,108.3,302.7,1.46,1.52,1.45,1.52,1.73,1.81,2.12,1.99,27.2,17.4,0,15,3
1986-01,246,126.1,119.9,0.63,0.6,1.29,1.3,1.92,1.8,1.41,1.44,28.9,18.7,0,11,2
1986-02,72,125.4,-53.4,-0.25,-0.3,1.14,1.21,1.77,1.72,1.47,1.48,30.2,18.7,0,1,4
1986-03,27,144.3,-117.3,-1.74,-1.4,-0.39,-0.45,1.11,1.18,1.25,1.33,31.5,18.2,0,1,7
1986-04,30,118.9,-88.9,-0.57,-0.84,-1.9,-1.52,0.46,0.42,1.26,1.34,31.3,17.6,0,0,9
1986-05,8,103.4,-95.4,-0.11,-0.45,-1.56,-1.43,0.49,0.36,1.3,1.35,30,15.7,0,0,15
1986-06,9,96.3,-87.3,0.3,0.01,-0.38,-0.87,-0.54,-0.67,1.35,1.35,27.6,13.1,0,0,27
1986-07,57,95.6,-38.6,1.12,2.25,1.81,1.55,-1.09,-1.18,1.56,1.53,27.7,12.4,0,2,16
1986-08,27,116.3,-89.3,1.35,1.81,1.99,1.96,-0.34,-0.65,1.63,1.57,29.9,14.9,0,1,22
1986-09,5,136,-131,-0.64,0.07,1.63,1.66,0.87,0.61,1.21,1.2,29,14.9,0,0,25
1986-10,55,148.3,-93.3,-0.06,-0.05,0.12,0.3,0.76,0.73,0.59,0.6,31.4,17.7,4,2,12
1986-11,83,149.3,-66.3,-1.19,-1.22,-1.16,-1.01,-0.27,-0.38,0.18,0.08,31.6,18.5,5,3,11
1986-12,276,123.3,152.7,0.53,0.46,-0.25,-0.4,0.09,0,-0.28,-0.38,30.1,19.2,4,10,7
1987-01,60,148.1,-88.1,-1.02,-1.02,-1.07,-1.17,-0.93,-0.89,-1.2,-1.2,31.8,18.8,1,1,6
1987-02,38,139.5,-101.5,-0.87,-0.98,-0.89,-1,-1.45,-1.41,-1.34,-1.4,32.9,19.2,5,1,10
1987-03,131,121.9,9.1,0.28,0.13,-1.32,-1.3,-1.48,-1.42,-1.06,-1.12,30.3,18.9,0,3,8
1987-04,141,107,34,1.86,1.89,0.29,0.04,-0.93,-1.07,-0.52,-0.67,30.2,18.1,0,4,19
1987-05,42,103.2,-61.2,1.67,1.57,1.19,1.13,-0.13,-0.33,-0.35,-0.52,30.5,16.5,0,2,12
1987-06,18,88,-70,0.96,1.42,2.21,1.89,-0.29,-0.4,-0.31,-0.46,28.7,13.6,0,1,17
1987-07,0,103.5,-103.5,,-1.32,1.52,1.29,0.64,0.33,-0.6,-0.71,28.7,12.6,0,0,31
1987-08,0,126.3,-126.3,,-0.51,0.55,0.35,1.24,1.08,-0.73,-0.84,30.7,13.3,0,0,31
1987-09,50,134.1,-84.1,1.38,1.47,0.95,0.9,2.25,2.04,-0.49,-0.64,30.9,17.1,2,2,20
1987-10,38,158.6,-120.6,-0.44,-0.51,0.14,0.08,0.62,0.43,-0.55,-0.69,33.6,19,16,3,11
