data,rain_mm,etp_mm,bal_mm,spi1,spei1,spi3,spei3,spi6,spei6,spi12,spei12,tmax_med,tmin_med,dias_tmax34,dias_chuva10,veranico_max
1980-01,331,97,234,0.34,0.36,,,,,,,25.9,16.8,0,11,4
1980-02,125,108.6,16.4,-0.46,-0.56,,,,,,,27.8,17.1,0,5,6
1980-03,43,116.3,-73.3,-2.65,-1.89,-1.04,-0.98,,,,,28.7,16.8,0,2,14
1980-04,172,71.3,100.7,1.85,1.82,-0.98,-1.01,,,,,25,15.6,0,7,8
1980-05,12,68.3,-56.3,-0.96,-1.03,-0.93,-0.97,,,,,24.7,14,0,0,17
1980-06,60,53.5,6.5,1.64,1.73,1.71,1.63,-0.33,-0.28,,,22,11.3,0,1,9
1980-07,0,66.5,-66.5,,-0.97,0.34,0.36,-0.92,-0.95,,,23.4,11.4,0,0,31
1980-08,17,82.3,-65.3,0.04,0.14,0.93,0.88,-0.51,-0.56,,,24.2,12.5,0,0,8
1980-09,24,86.9,-62.9,-0.99,-0.6,-1.23,-0.82,0.77,0.93,,,23.8,12.3,0,1,12
1980-10,85,115.8,-30.8,-0.62,-0.79,-1.2,-1.09,-1.09,-1.05,,,26.4,14.7,0,2,15
1980-11,159,100.3,58.7,-1.11,-1.03,-1.64,-1.35,-1.25,-1.12,,,25.4,15.4,0,5,4
1980-12,431,113.9,317.1,1.4,1.33,0.24,0.11,-0.16,-0.26,-0.37,-0.35,27.5,17.4,0,14,4
1981-01,284,102.5,181.5,-0.01,-0.03,0.31,0.41,-0.16,-0.15,-0.57,-0.54,26.7,17.5,0,11,3
1981-02,92,113.7,-21.6,-0.9,-0.94,0.16,0.15,-0.58,-0.54,-0.76,-0.76,27.9,17.1,0,4,4
1981-03,226,97,129,0.52,0.49,-0.39,-0.39,-0.21,-0.2,-0.01,0.14,26.6,17,0,8,4
1981-04,102,82.6,19.4,0.66,0.67,-0.25,-0.23,0.06,0.12,-0.3,-0.25,24.4,14.1,0,2,11
1981-05,29,67.4,-38.4,-0.04,-0.18,0.61,0.64,0.33,0.33,-0.22,-0.16,22.9,13,0,2,16
1981-06,46,53.5,-7.5,1.28,1.42,0.83,0.89,-0.13,-0.1,-0.27,-0.21,21.1,11.1,0,3,12
1981-07,5,69.2,-64.2,-0.62,-0.75,0.54,0.51,-0.14,-0.1,-0.25,-0.19,21.8,9.2,0,0,24
1981-08,58,83.8,-25.8,1.56,1.45,1.58,1.45,1.11,1.07,-0.09,0,23.3,11.8,0,3,13
1981-09,32,101.5,-69.5,-0.68,-0.76,0.14,-0.16,0.62,0.5,-0.04,-0.02,26,12.7,0,2,24
1981-10,222,84.3,137.7,1.41,1.55,1.24,1.27,1.41,1.35,0.46,0.53,23.4,13.8,0,10,3
1981-11,280,102.4,177.6,0.91,0.89,1.13,1.18,1.59,1.53,0.87,0.88,26.4,16.7,0,10,3
1981-12,330,105.6,224.4,0.45,0.43,1.26,1.32,1.2,1.2,0.57,0.64,25.9,16.3,0,13,5
1982-01,371,92.6,278.4,0.6,0.67,0.85,0.97,1.22,1.3,0.83,0.94,24.8,16.5,0,10,4
1982-02,107,115.2,-8.2,-0.69,-0.81,0.16,0.23,0.6,0.76,0.95,1.05,27.6,17,0,5,11
1982-03,381,77,304,1.93,2.09,0.96,1.09,1.33,1.42,1.55,1.52,25,17.1,0,15,1
1982-04,33,79.2,-46.2,-1.3,-1.13,0.55,0.73,0.88,1.01,1.29,1.37,23.4,13.5,0,0,8
1982-05,25,63.6,-38.6,-0.21,-0.18,1.4,1.51,0.67,0.83,1.26,1.35,21.7,12.3,0,1,9
1982-06,19,57.3,-38.3,0.32,0.28,-1.06,-0.91,0.64,0.81,1.14,1.25,23.5,13.2,0,0,17
1982-07,19,66.6,-47.6,0.63,0.62,0.11,0.14,0.51,0.73,1.18,1.29,23,11.5,0,1,13
1982-08,16,83,-67,-0.02,0.05,0.34,0.16,1.35,1.45,1.05,1.2,23.8,12.8,0,0,12
1982-09,22,98.4,-76.4,-1.07,-0.93,-0.74,-0.75,-1.41,-1.26,0.94,1.11,23.5,12.2,0,1,14
1982-10,220,99.8,120.2,1.39,1.38,0.66,0.65,0.62,0.7,0.94,1.05,25.4,15.1,0,8,8
1982-11,196,121.6,74.4,-0.41,-0.77,0.27,-0.02,0.3,0.1,0.64,0.7,28.3,17.3,0,7,6
1982-12,394,83.5,310.5,1.07,1.27,1.13,1.13,0.84,0.82,0.91,1.03,24.6,16.7,0,15,2
1983-01,341,94.2,246.8,0.4,0.45,0.6,0.76,0.75,0.85,0.76,0.92,25.6,17.6,0,13,5
1983-02,244,102.9,141.1,0.65,0.63,0.92,1.09,0.9,1.02,1.32,1.4,27.3,17.6,0,10,4
1983-03,289,93.1,195.9,1.15,1.21,1.03,1.13,1.31,1.36,1.01,1.14,26,17,0,10,5
1983-04,132,75.2,56.8,1.22,1.31,1.52,1.5,1.22,1.29,1.38,1.41,25.1,15.7,0,4,4
1983-05,87,66.4,20.6,1.54,1.58,1.99,1.83,1.59,1.64,1.58,1.54,24.1,14.9,0,2,16
1983-06,75,54.8,20.2,1.96,1.97,2.28,1.93,1.65,1.65,1.73,1.64,23.1,13.6,0,2,18
1983-07,36,66.2,-30.2,1.46,1.45,2.55,2.16,2.33,1.94,1.78,1.66,23.2,12.1,0,2,18
1983-08,9,85.3,-76.3,-0.53,-0.48,1.78,1.64,2.4,2.1,1.78,1.65,23.7,10.5,0,0,20
1983-09,270,60.9,209.1,2.78,2.62,2.9,2.6,3.62,2.66,2.41,2.05,21.3,13.7,0,12,4
1983-10,155,86,69,0.57,0.77,2.33,2.25,3.55,2.5,2.21,2.05,23.3,15,0,5,4
1983-11,191,103,88,-0.5,-0.55,1.8,2.11,2.29,2.2,2.16,2.15,26.2,16,0,5,3
1983-12,277,92.8,184.2,-0.13,-0.02,-0.13,0.08,1.26,1.54,1.91,1.92,25.7,16.8,0,11,3
1984-01,192,139.2,52.8,-0.81,-0.98,-0.92,-0.94,0.31,0.48,1.37,1.43,29.6,17.5,0,9,8
1984-02,20,137.5,-117.5,-2.61,-1.86,-1.62,-1.61,-0.43,-0.33,0.67,0.8,30.1,18,0,1,11
1984-03,69,106.6,-37.6,-1.9,-1.52,-2.81,-2.19,-1.93,-1.87,-0.22,-0.08,27.6,17.1,0,2,6
1984-04,54,74.6,-20.6,-0.53,-0.33,-3.51,-3.3,-2.28,-2.18,-0.55,-0.46,24.7,15.1,0,2,15
1984-05,51,75,-24,0.7,0.41,-1.73,-1.64,-2.19,-2.02,-0.7,-0.65,26,14.7,0,2,13
1984-06,7,63.1,-56.1,-0.48,-0.88,-0.27,-0.38,-2.67,-2.31,-0.97,-0.97,23.3,13.4,0,0,26
1984-07,6,71.5,-65.5,-0.47,-0.88,0.13,-0.54,-3.32,-4.35,-1.1,-1.12,23.4,11.7,0,0,26
1984-08,40,72,-32,1.03,1.31,0.31,0.14,-1.5,-1.47,-0.98,-0.95,23.3,11.9,0,1,11
1984-09,73,90.9,-17.9,0.37,0.37,0.57,0.6,0.11,0.14,-1.77,-1.85,25.1,12.9,0,4,7
1984-10,65,122.4,-57.4,-1.08,-1.22,-0.35,-0.38,-0.42,-0.68,-2.18,-2.15,28.2,15.5,0,4,9
1984-11,250,108.3,141.7,0.47,0.35,-0.23,-0.51,-0.2,-0.41,-1.86,-1.81,27,16.4,0,8,10
1984-12,299,96.7,202.3,0.12,0.18,-0.2,-0.31,-0.04,-0.12,-1.83,-1.86,26.6,17.1,0,10,3
1985-01,456,88.1,367.9,1.12,1.23,0.97,1.09,0.73,0.83,-0.66,-0.72,25.2,17,0,14,4
