data,rain_mm,etp_mm,bal_mm,spi1,spei1,spi3,spei3,spi6,spei6,spi12,spei12,tmax_med,tmin_med,dias_tmax34,dias_chuva10,veranico_max
1980-01,98,134.8,-36.8,-1.3,-1.25,,,,,,,26,17.3,0,4,5
1980-02,238,116.7,121.3,0.91,0.79,,,,,,,26.9,19.1,0,10,5
1980-03,138,102.8,35.2,0.01,-0.12,-0.19,-0.46,,,,,27.6,19.9,0,7,6
1980-04,58,79.2,-21.2,-1.19,-1.32,0.04,-0.26,,,,,25.1,16.2,0,3,14
1980-05,108,50.9,57.1,0.08,0.1,-0.46,-0.64,,,,,22.2,14.2,0,4,5
1980-06,41,44.7,-3.7,-1.39,-1.48,-1.24,-1.47,-1.01,-1.25,,,18.9,8.9,0,2,12
1980-07,198,46.8,151.2,0.89,0.95,-0.12,-0.17,-0.13,-0.3,,,17.7,8.4,0,4,5
1980-08,163,56.7,106.3,0.67,0.81,0.25,0.23,-0.26,-0.38,,,18.5,10,0,6,9
1980-09,114,71.2,42.9,-0.56,-0.63,0.48,0.49,-0.54,-0.7,,,17.9,9.3,0,5,5
1980-10,123,86.5,36.5,-0.38,-0.3,-0.28,-0.3,-0.36,-0.41,,,21.2,13.6,0,4,4
1980-11,158,112.1,45.9,0.39,0.41,-0.44,-0.33,-0.16,-0.08,,,23.2,15.1,0,4,8
1980-12,303,120.5,182.5,2.36,2.29,1.04,1.11,0.94,1.05,0.05,0.07,25.2,17.9,0,8,3
1981-01,156,125.8,30.2,-0.27,-0.4,1.18,1.18,0.56,0.71,0.25,0.25,26,18.9,0,7,7
1981-02,147,102.2,44.8,-0.28,-0.31,0.88,0.95,0.24,0.36,-0.06,-0.06,26.9,19.6,0,6,5
1981-03,51,102.9,-51.9,-1.87,-1.61,-1.31,-1.19,-0.01,0.03,-0.39,-0.41,25,17.1,0,2,13
1981-04,148,69.8,78.2,0.67,0.67,-0.75,-0.8,0.33,0.33,-0.05,0.01,22.8,15.1,0,5,6
1981-05,64,59,5,-0.52,-0.78,-0.79,-0.93,-0.07,-0.18,-0.17,-0.14,23.5,14.9,0,2,8
1981-06,160,37.5,122.5,0.61,0.66,0.16,0.16,-0.74,-0.8,0.19,0.3,17.7,9.6,0,2,10
1981-07,80,47.1,32.9,-0.55,-0.68,-0.44,-0.57,-0.85,-0.97,-0.2,-0.08,17.8,9.9,0,3,5
1981-08,66,59.5,6.6,-0.72,-0.82,-0.42,-0.5,-1.05,-1.23,-0.54,-0.5,19.8,10.9,0,3,12
1981-09,214,67.3,146.7,0.76,0.82,-0.34,-0.4,-0.24,-0.29,-0.19,-0.19,20,12.5,0,9,5
1981-10,100,95.2,4.8,-0.78,-0.84,-0.45,-0.53,-0.73,-0.87,-0.27,-0.31,20.4,12.7,0,5,8
1981-11,101,114.2,-13.2,-0.48,-0.51,-0.27,-0.21,-0.55,-0.56,-0.49,-0.51,24,16.4,0,6,6
1981-12,102,130.4,-28.4,-0.79,-0.85,-1.11,-1.11,-0.98,-1.08,-1.25,-1.43,24.7,16.5,0,5,7
1982-01,71,144.2,-73.2,-1.93,-1.64,-1.86,-1.76,-1.43,-1.59,-1.66,-1.84,25.4,16.9,0,3,6
1982-02,120,97.2,22.8,-0.74,-0.64,-2.02,-1.68,-1.5,-1.46,-1.76,-1.82,26.2,18.6,0,5,5
1982-03,105,109,-4,-0.56,-0.8,-1.94,-1.68,-2.09,-1.82,-1.58,-1.73,25.6,17.8,0,4,5
1982-04,40,77.6,-37.6,-1.79,-1.67,-1.61,-1.46,-2.25,-1.92,-1.93,-2.1,23.1,15.1,0,2,14
1982-05,37,53.1,-16.1,-1.06,-1.24,-1.56,-1.54,-2.71,-2.08,-1.86,-2,20.5,12,0,0,5
1982-06,310,34.9,275.1,1.97,1.95,0.26,0.28,-1,-1.17,-1.32,-1.52,18.7,11.3,0,7,10
1982-07,94,43.8,50.2,-0.32,-0.36,0.5,0.62,-0.53,-0.6,-1.34,-1.6,18.5,10.6,0,5,4
1982-08,140,55.9,84.2,0.4,0.55,1.07,1.16,-0.15,-0.21,-1.05,-1.19,19.3,11.8,0,6,6
1982-09,123,73.4,49.6,-0.42,-0.52,-0.36,-0.42,-0.17,-0.2,-1.43,-1.5,20.7,12.9,0,4,6
1982-10,163,100.3,62.7,0.21,0.11,-0.06,-0.21,0.27,0.29,-1.14,-1.28,20.9,12.6,0,5,4
1982-11,231,90.7,140.3,1.25,1.41,0.48,0.65,1.03,1.16,-0.69,-0.78,21.8,15.1,0,10,5
1982-12,155,123.2,31.8,0.28,0.31,0.81,0.95,0.26,0.49,-0.48,-0.47,24.5,16.7,0,7,7
1983-01,203,115.3,87.7,0.38,0.42,0.98,1.18,0.55,0.76,-0.02,0.11,25.6,19,0,6,5
1983-02,162,92.8,69.2,-0.06,0.06,0.21,0.36,0.43,0.66,0.14,0.26,25.5,18.7,0,7,5
1983-03,150,92.1,57.9,0.2,0.26,0.15,0.33,0.64,0.85,0.31,0.51,24.4,16.7,0,7,5
1983-04,170,59.5,110.5,0.99,1.15,0.43,0.62,0.86,1.14,0.71,0.94,22.4,15.4,0,6,8
1983-05,147,42.2,104.8,0.48,0.66,0.61,0.75,0.56,0.79,0.97,1.16,19.8,13.7,0,4,3
1983-06,163,38.4,124.7,0.65,0.69,0.86,1.03,0.68,0.94,0.54,0.82,16.7,8.4,0,4,11
