ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
2001,arroz,250,250,300,87,1200,8.2,,LN,0,1353,10,2
2002,arroz,200,200,240,77,1200,-10.2,0,N,0,1423,8,0
2003,arroz,200,200,288,158,1440,-7.3,20,EN,1,1255,10,8
2004,arroz,240,240,430,244,1792,1.8,24.4,N,0,1493,10,2
2005,arroz,240,240,480,173,2000,6.8,11.6,EN,0,1542,4,3
2006,arroz,250,250,450,163,1800,-2,-10,LN,0,1495,8,0
2007,arroz,250,250,400,184,1600,-8.9,-11.1,EN,0,1478,7,0
2008,arroz,150,150,292,169,1947,11.1,21.7,LN,1,1413,11,6
2009,arroz,120,120,202,123,1683,-8.5,-13.5,LN,0,1229,6,4
2010,arroz,135,135,270,140,2000,5.2,18.8,EN,1,1254,6,0
2011,arroz,120,120,228,114,1900,-3.1,-5,LN,1,1457,3,2
2012,arroz,150,150,300,159,2000,1.5,5.3,LN,0,1346,7,0
2013,arroz,50,50,95,58,1900,4.4,-5,LN,0,1405,9,4
2014,arroz,30,30,50,32,1667,-7,-12.3,N,0,1224,13,0
2015,arroz,30,30,45,25,1500,-21.4,-10,EN,0,987,17,7
2016,arroz,30,30,69,45,2300,6,53.3,EN,1,1091,13,19
2001,cana,25,25,500,10,20000,,,LN,0,1353,10,2
2002,cana,45,25,500,13,20000,,0,N,0,1423,8,0
2003,cana,25,20,600,21,30000,,50,EN,1,1255,10,8
2004,cana,16,16,450,14,28125,,-6.2,N,0,1493,10,2
2005,cana,20,20,600,20,30000,,6.7,EN,0,1542,4,3
2006,cana,15,15,528,20,35200,,17.3,LN,0,1495,8,0
2007,cana,20,20,700,27,35000,,-0.6,EN,0,1478,7,0
2008,cana,18,18,640,23,35556,,1.6,LN,1,1413,11,6
2009,cana,20,20,720,26,36000,,1.2,LN,0,1229,6,4
2010,cana,25,25,875,31,35000,,-2.8,EN,1,1254,6,0
2011,cana,25,25,875,36,35000,,0,LN,1,1457,3,2
2012,cana,20,20,800,39,40000,,14.3,LN,0,1346,7,0
2024,cana,10,10,780,129,78000,,,EN,1,1385,7,8
2001,feijao,1300,1300,2330,2192,1792,9.4,,LN,0,1353,10,2
2002,feijao,1000,1000,1650,1320,1650,-9.6,-7.9,N,0,1423,8,0
2003,feijao,1000,1000,1800,3240,1800,-9.1,9.1,EN,1,1255,10,8
2004,feijao,900,600,1290,1161,2150,2.1,19.4,N,0,1493,10,2
2005,feijao,600,600,1530,1836,2550,15.8,18.6,EN,0,1542,4,3
2006,feijao,575,575,1375,1719,2391,4.9,-6.2,LN,0,1495,8,0
