ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1974,arroz,,1900,2052,0,1080,-10.3,,LN,1,,,
1975,arroz,,900,1350,0,1500,26.4,38.9,LN,0,,,
1976,arroz,,2000,2160,0,1080,-7.7,-28,LN,1,,,
1977,arroz,,810,972,0,1200,4.2,11.1,EN,0,,,
1978,arroz,,900,1026,0,1140,0.6,-5,EN,0,,,
1979,arroz,,420,504,0,1200,7.7,5.3,N,0,,,
1980,arroz,,1600,1920,0,1200,9.4,0,EN,0,,,
1981,arroz,,1000,1200,0,1200,11.3,0,N,0,1131,5,9
1982,arroz,,1200,1440,0,1200,13.2,0,N,0,1383,4,7
1983,arroz,,1100,1100,0,1000,-4.3,-16.7,EN,1,914,9,9
1984,arroz,,1700,1700,0,1000,-2.6,0,LN,0,1108,7,0
1985,arroz,,700,700,0,1000,-0.3,0,LN,0,1309,6,0
1986,arroz,,1200,1200,0,1000,1.1,0,N,0,1367,7,1
1987,arroz,,1200,1080,0,900,-9.3,-10,EN,0,1034,10,1
1988,arroz,2000,2000,1800,0,900,-10.5,0,EN,0,1069,12,21
1989,arroz,1500,1500,1600,1e-04,1067,4.1,18.5,LN,1,1080,10,3
1990,arroz,2000,2000,2000,0.0047,1000,-4.1,-6.3,N,0,1102,13,8
1991,arroz,1900,1900,1900,0.0173,1000,-6.7,0,N,0,1060,5,0
1992,arroz,1800,1500,1800,0.1525,1200,8.1,20,EN,1,1003,7,7
1993,arroz,1800,1600,1920,3.072,1200,5.1,0,N,0,790,20,11
1994,arroz,1500,1500,1800,98,1200,3.3,0,N,0,1465,6,6
1995,arroz,1050,1050,1260,164,1200,1.5,0,EN,0,1312,6,12
1996,arroz,560,560,785,122,1402,16.7,16.8,LN,0,1641,5,25
1997,arroz,270,220,264,48,1200,-1,-14.4,N,0,1313,5,8
1998,arroz,300,250,290,61,1160,-4.8,-3.3,EN,1,817,6,51
1999,arroz,280,230,276,83,1200,-2.4,3.4,LN,1,1149,9,18
2000,arroz,350,350,420,84,1200,-3.8,0,LN,1,1369,8,7
2001,arroz,350,350,420,151,1200,-5.2,0,LN,0,1157,16,31
2002,arroz,350,350,462,231,1320,2.6,10,N,0,940,6,18
2003,arroz,400,400,520,302,1300,-0.6,-1.5,EN,0,1053,6,16
2004,arroz,440,440,572,320,1300,-2.7,0,N,0,1330,10,30
2005,arroz,210,210,302,103,1438,5,10.6,EN,0,1205,9,41
2006,arroz,210,210,302,103,1438,2.8,0,LN,0,1239,7,45
2007,arroz,207,207,298,149,1440,1.2,0.1,EN,0,980,8,28
2008,arroz,207,207,298,125,1440,-0.5,0,LN,1,1432,9,33
2009,arroz,100,100,140,98,1400,-4.5,-2.8,LN,0,1152,6,40
2010,arroz,100,100,150,105,1500,1.4,7.1,EN,1,959,9,43
2011,arroz,100,100,150,86,1500,0.8,0,LN,1,1328,5,30
2012,arroz,80,80,120,60,1500,0.2,0,LN,0,1135,9,17
2013,arroz,60,60,90,52,1500,-1,0,N,0,1257,6,24
2014,arroz,40,40,60,36,1500,-3.6,0,N,0,1182,7,18
2015,arroz,37,37,56,36,1514,-6.6,0.9,EN,0,963,8,17
2016,arroz,45,45,68,44,1511,-11.3,-0.2,EN,1,755,9,68
2017,arroz,45,45,68,44,1511,-16.2,0,N,0,1211,13,29
2018,arroz,40,40,58,41,1450,-24.3,-4,LN,0,1222,13,37
2019,arroz,40,40,60,37,1500,-26.6,3.4,EN,0,1180,6,36
2020,arroz,40,40,60,102,1500,-31.4,0,EN,0,1644,14,30
2021,arroz,40,40,60,102,1500,-36,0,LN,0,1205,9,33
2022,arroz,20,20,110,187,5500,118.5,200,LN,0,1575,13,13
2023,arroz,30,30,58,70,1933,-28.6,-64.8,LN,0,1222,9,28
2024,arroz,27,27,80,100,2963,1.6,53.3,EN,1,1176,9,59
1974,cana,,25,750,0,30000,,,LN,1,,,
1975,cana,,25,750,0,30000,,0,LN,0,,,
1974,feijao,,60,36,0,600,3.7,,LN,1,,,
1975,feijao,,190,51,0,268,-52.2,-55.3,LN,0,,,
1976,feijao,,50,24,0,480,-11.7,78.8,LN,1,,,
1977,feijao,,40,24,0,600,13.9,25,EN,0,,,
1978,feijao,,25,12,0,480,-5.9,-20,EN,0,,,
1979,feijao,,50,24,0,480,-2.8,0,N,0,,,
1980,feijao,,130,62,0,477,-0.2,-0.6,EN,0,,,
1981,feijao,,50,24,0,480,3.9,0.6,N,0,1131,5,9
1985,feijao,,10,4,0,400,-0.8,,LN,0,1309,6,0
1986,feijao,,75,30,0,400,3.1,0,N,0,1367,7,1
1987,feijao,,20,8,0,400,7.5,0,EN,0,1034,10,1
1988,feijao,40,40,16,0,400,11.7,0,EN,0,1069,12,21
1989,feijao,50,50,18,0,360,4.8,-10,LN,1,1080,10,3
1990,feijao,180,180,50,5e-04,278,-15.1,-22.8,N,0,1102,13,8
1991,feijao,100,100,30,7e-04,300,-5,8,N,0,1060,5,0
1992,feijao,280,280,85,0.0216,304,-1.1,1.2,EN,1,1003,7,7
1993,feijao,270,270,81,0.7364,300,0.6,-1.2,N,0,790,20,11
1994,feijao,220,220,69,19,314,5.5,4.5,N,0,1465,6,6
1995,feijao,135,135,41,22,304,-0.8,-3.2,EN,0,1312,6,12
1996,feijao,71,71,22,13,310,-3.4,2,LN,0,1641,5,25
1997,feijao,30,30,9,4,300,-11.4,-3.2,N,0,1313,5,8
1998,feijao,45,45,17,12,378,2.9,25.9,EN,1,817,6,51
1999,feijao,90,90,35,29,389,-4,2.9,LN,1,1149,9,18
