ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1974,arroz,,1400,1680,0,1200,-9.3,,849,LN,1,-1.9,,,
1975,arroz,,1400,1650,0,1179,-0.3,-1.8,873,N,0,-0.2,,,
1976,arroz,,1744,2735,0,1568,46.9,33.1,898,LN,0,-1.1,,,
1977,arroz,,1294,1522,0,1176,19.6,-25,924,EN,0,1.1,,,
1978,arroz,,1255,410,0,327,-64.7,-72.2,950,EN,0,1.1,,,
1979,arroz,,1093,434,0,397,-55.6,21.5,977,N,0,0.2,,,
1980,arroz,,868,840,0,968,8.9,143.7,1004,EN,0,0.7,,,
1981,arroz,,830,759,0,914,1.1,-5.5,1033,N,0,0.2,727,9,16
1982,arroz,,700,1050,0,1500,53.9,64,1062,N,0,0,1242,9,0
1983,arroz,,300,180,0,600,-43.9,-60,1092,EN,1,2.5,1166,7,1
1984,arroz,,240,173,0,721,-37.7,20.1,1123,LN,0,-1,666,9,21
1985,arroz,,200,300,0,1500,19.5,108.1,1155,LN,0,-1,852,16,7
1986,arroz,,500,985,0,1970,46.6,31.3,1188,N,0,-0.2,809,16,13
1987,arroz,,370,555,0,1500,7,-23.9,1221,EN,1,1.5,871,8,12
1988,arroz,350,350,525,0,1500,2.2,0,1256,EN,0,0.9,896,11,7
1989,arroz,400,400,480,0,1200,-23.5,-20,1292,LN,1,-1.9,1201,10,7
1990,arroz,400,400,480,0.0022,1200,-28.3,0,1328,N,0,0,974,10,4
1991,arroz,300,300,657,0.0179,2190,20.4,82.5,1366,EN,0,0.5,1112,14,12
1992,arroz,300,300,270,0.0376,900,-53.7,-58.9,1405,EN,1,2.1,875,20,7
1993,arroz,300,300,630,1.6015,2100,5.9,133.3,1444,N,0,0.3,986,9,9
1994,arroz,200,200,480,130,2400,19.9,14.3,1485,N,0,0.3,844,16,14
1995,arroz,250,250,600,90,2400,20.1,0,1527,EN,0,1.4,1154,13,10
1996,arroz,300,300,720,156,2400,26.8,0,1571,LN,0,-0.9,1036,8,10
1997,arroz,300,300,300,70,1000,-43.7,-58.3,1615,N,0,-0.3,1029,13,0
1998,arroz,200,200,200,57,1000,-41.9,0,1661,EN,1,2.3,1142,8,17
