ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1974,arroz,,515,1030,0,2000,-3.1,,LN,1,,,
1975,arroz,,250,525,0,2100,1.4,5,LN,0,,,
1976,arroz,,300,630,0,2100,1.8,0,LN,1,,,
1977,arroz,,300,630,0,2100,3.1,0,EN,0,,,
1978,arroz,,100,102,0,1020,-48.9,-51.4,EN,0,,,
1979,arroz,,48,17,0,354,-81.7,-65.3,N,0,,,
1980,arroz,,100,180,0,1800,-3.8,200,EN,0,,,
1981,arroz,,100,180,0,1800,1.5,0,N,0,728,8,0
1982,arroz,,70,63,0,900,-46.1,-50,N,0,650,10,0
1983,arroz,,70,126,0,1800,17.3,100,EN,1,1047,5,0
1984,arroz,,70,105,0,1500,6.8,-16.7,LN,0,641,5,0
1985,arroz,,30,22,0,733,-44.9,-51.1,LN,0,693,12,0
1986,arroz,,78,82,0,1051,-17.6,43.4,N,0,591,10,0
1987,arroz,,80,104,0,1300,2.7,23.7,EN,0,750,7,0
1988,arroz,80,80,91,0,1138,-10.7,-12.5,EN,0,697,13,0
1989,arroz,80,80,112,0,1400,7.6,23.1,LN,1,703,9,0
1990,arroz,30,30,42,9e-04,1400,4.6,0,N,0,887,11,0
1991,arroz,30,30,42,0.0011,1400,2.5,0,N,0,626,11,0
1992,arroz,20,20,28,0.0058,1400,0.7,0,EN,1,794,7,0
1993,arroz,20,20,26,0.088,1300,-6.4,-7.1,N,0,677,6,0
1994,arroz,20,20,28,4,1400,1,7.7,N,0,689,11,0
1995,arroz,20,20,18,3,900,-35.1,-35.7,EN,0,1108,5,0
1996,arroz,20,20,29,5,1450,3.9,61.1,LN,0,1200,7,0
1997,arroz,20,20,28,6,1400,-2.4,-3.4,N,0,1164,15,0
1998,arroz,15,15,21,6,1400,-5.2,0,EN,1,1325,7,0
1999,arroz,12,12,18,5,1500,-1.5,7.1,LN,1,743,13,0
2000,arroz,10,10,16,4,1600,2.2,6.7,LN,1,659,11,0
2001,arroz,10,10,17,4,1700,6.9,6.2,LN,0,935,8,0
2002,arroz,8,8,13,4,1625,1.4,-4.4,N,0,864,9,0
2003,arroz,5,5,8,5,1600,0.3,-1.5,EN,0,923,10,0
2004,arroz,3,3,5,3,1667,5.9,4.2,N,0,801,9,0
2005,arroz,5,5,8,3,1600,4.6,-4,EN,0,764,14,0
2006,arroz,1,1,1,0,1000,-31.8,-37.5,LN,0,808,9,0
1974,feijao,,1000,600,0,600,9.1,,LN,1,,,
1975,feijao,,1200,648,0,540,-8.5,-10,LN,0,,,
1976,feijao,,1920,576,0,300,-52.1,-44.4,LN,1,,,
1977,feijao,,1200,1080,0,900,37,200,EN,0,,,
1978,feijao,,1260,593,0,471,-30.9,-47.7,EN,0,,,
1979,feijao,,1000,800,0,800,14.2,70,N,0,,,
1980,feijao,,617,492,0,797,11.2,-0.3,EN,0,,,
1981,feijao,,314,247,0,787,8.1,-1.4,N,0,728,8,0
1982,feijao,,520,372,0,715,-2.3,-9.1,N,0,650,10,0
1983,feijao,,510,405,0,794,7.9,11,EN,1,1047,5,0
1984,feijao,,572,453,0,792,8.8,-0.3,LN,0,641,5,0
1985,feijao,,572,538,0,941,32.8,18.8,LN,0,693,12,0
1986,feijao,,599,234,0,391,-43.7,-58.5,N,0,591,10,0
1987,feijao,,670,514,0,767,12,96.4,EN,0,750,7,0
1988,feijao,515,515,356,0,691,2.4,-9.9,EN,0,697,13,0
1989,feijao,665,665,293,1e-04,441,-34,-36.3,LN,1,703,9,0
1990,feijao,715,715,390,0.0027,545,-18.3,23.8,N,0,887,11,0
1991,feijao,1050,1050,630,0.0252,600,-11,10,N,0,626,11,0
1992,feijao,1100,1100,750,0.3709,682,-0.4,13.6,EN,1,794,7,0
1993,feijao,1180,1180,1046,10.54,886,26.7,30,N,0,677,6,0
1994,feijao,2200,2200,1975,889,898,26,1.3,N,0,689,11,0
1995,feijao,1390,870,654,271,752,3.5,-16.3,EN,0,1108,5,0
1996,feijao,1325,1325,1145,229,864,14.4,15,LN,0,1200,7,0
1997,feijao,1490,1490,1188,644,797,0.4,-7.7,N,0,1164,15,0
1998,feijao,1800,1800,1211,969,673,-19.5,-15.6,EN,1,1325,7,0
1999,feijao,2200,1950,1239,746,635,-28.9,-5.6,LN,1,743,13,0
2000,feijao,2050,2050,2018,875,984,0.3,54.9,LN,1,659,11,0
2001,feijao,1750,1750,1459,1255,834,-23.6,-15.3,LN,0,935,8,0
2002,feijao,2050,2050,2182,1915,1064,-11.9,27.7,N,0,864,9,0
2003,feijao,2360,2270,3486,3625,1536,16.6,44.3,EN,0,923,10,0
2004,feijao,2550,2550,3906,3613,1532,6.6,-0.3,N,0,801,9,0
2005,feijao,2800,2800,4651,5070,1661,5.6,8.4,EN,0,764,14,0
2006,feijao,2900,2900,4849,4679,1672,-1.1,0.7,LN,0,808,9,0
2007,feijao,2650,2595,4754,2876,1832,2.4,9.6,EN,0,882,10,0
2008,feijao,2280,2225,4459,8650,2004,6.2,9.4,LN,1,775,9,0
2009,feijao,2600,2600,3197,4476,1230,-37.6,-38.6,LN,0,701,14,0
2010,feijao,2278,2278,3774,4400,1657,-18.7,34.7,EN,1,1216,10,0
2011,feijao,2100,2100,4365,4583,2079,-0.8,25.5,LN,1,1087,7,0
2012,feijao,2280,2280,4023,6155,1764,-17.5,-15.1,LN,0,677,13,0
2013,feijao,1100,1100,2453,4679,2230,2.5,26.4,N,0,922,7,0
2014,feijao,1893,1893,4236,8103,2238,1.6,0.3,N,0,679,5,0
2015,feijao,1534,1534,3425,5932,2233,1.1,-0.2,EN,0,977,15,0
2016,feijao,1160,1160,2574,5711,2219,1.3,-0.6,EN,1,1204,5,0
2017,feijao,1980,1980,4615,10102,2331,8,5,N,0,879,8,0
2018,feijao,1880,1880,3938,7077,2095,-0.7,-10.1,LN,0,1184,8,0
2019,feijao,2200,2200,4514,8632,2052,0.3,-2,EN,0,858,10,1
2020,feijao,2352,2352,4875,12448,2073,5.5,1,EN,0,539,11,0
2021,feijao,2112,2112,4049,18107,1917,2.6,-7.5,LN,0,864,8,1
2022,feijao,1925,1925,3209,13536,1667,-5,-13,LN,0,654,10,0
2023,feijao,1633,1633,2279,10056,1396,-14.1,-16.3,LN,0,1009,7,0
2024,feijao,1700,1700,2655,11422,1562,5.7,11.9,EN,1,1079,11,2
1974,milho,,4100,7380,0,1800,-3.4,,LN,1,,,
1975,milho,,4500,7560,0,1680,-5,-6.7,LN,0,,,
1976,milho,,4800,8064,0,1680,-0.4,0,LN,1,,,
1977,milho,,4800,8640,0,1800,11.4,7.1,EN,0,,,
1978,milho,,4927,7725,0,1568,0.8,-12.9,EN,0,,,
1979,milho,,2500,2700,0,1080,-28.3,-31.1,N,0,,,
1980,milho,,1500,3000,0,2000,35.9,85.2,EN,0,,,
1981,milho,,1800,3528,0,1960,35.2,-2,N,0,728,8,0
1982,milho,,2500,3735,0,1494,3.9,-23.8,N,0,650,10,0
1983,milho,,2500,2869,0,1148,-20.4,-23.2,EN,1,1047,5,0
1984,milho,,2600,3900,0,1500,3.2,30.7,LN,0,641,5,0
1985,milho,,2600,3900,0,1500,1.9,0,LN,0,693,12,0
1986,milho,,2600,3682,0,1416,-6.3,-5.6,N,0,591,10,0
1987,milho,,3000,4242,0,1414,-10.8,-0.2,EN,0,750,7,0
1988,milho,2500,2500,3227,0,1291,-23.5,-8.7,EN,0,697,13,0
1989,milho,2500,2500,4900,3e-04,1960,8.9,51.8,LN,1,703,9,0
1990,milho,2800,2800,6888,0.0188,2460,28.9,25.5,N,0,887,11,0
1991,milho,2800,2800,5320,0.062,1900,-5.4,-22.8,N,0,626,11,0
1992,milho,2800,2800,5908,0.7519,2110,-0.2,11.1,EN,1,794,7,0
1993,milho,2800,2800,6742,15.612,2408,7.7,14.1,N,0,677,6,0
1994,milho,2350,2350,5793,521,2465,5.9,2.4,N,0,689,11,0
1995,milho,3000,3000,8550,770,2850,18.7,15.6,EN,0,1108,5,0
1996,milho,3000,3000,7650,956,2550,0.2,-10.5,LN,0,1200,7,0
1997,milho,3500,3500,8120,812,2320,-15.1,-9,N,0,1164,15,0
1998,milho,3687,3687,9956,1185,2700,-7.9,16.4,EN,1,1325,7,0
1999,milho,3600,3600,10858,1553,3016,-5.9,11.7,LN,1,743,13,0
2000,milho,5000,5000,16850,3016,3370,-6.4,11.7,LN,1,659,11,0
2001,milho,3900,3900,15752,2048,4039,-1.1,19.9,LN,0,935,8,0
2002,milho,4100,4100,15416,2698,3760,-18.3,-6.9,N,0,864,9,0
2003,milho,4400,4400,22660,5846,5150,1.1,37,EN,0,923,10,0
2004,milho,3950,3950,23898,7528,6050,7.4,17.5,N,0,801,9,0
2005,milho,3800,3800,22990,6207,6050,-3.1,0,EN,0,764,14,0
2006,milho,3750,3750,27188,5709,7250,6.9,19.8,LN,0,808,9,0
2007,milho,3550,3550,26412,6603,7440,2.4,2.6,EN,0,882,10,0
2008,milho,4000,4000,32231,11281,8058,3.8,8.3,LN,1,775,9,0
2009,milho,3500,3500,24325,7298,6950,-15.2,-13.7,LN,0,701,14,0
2010,milho,2900,2900,23797,6782,8206,-4.1,18.1,EN,1,1216,10,0
2011,milho,2700,2700,22156,8153,8206,-7.6,0,LN,1,1087,7,0
2012,milho,1860,1860,17985,6834,9669,5.5,17.8,LN,0,677,13,0
2013,milho,1100,1100,10500,4022,9545,1.6,-1.3,N,0,922,7,0
2014,milho,940,940,9043,3346,9620,0.3,0.8,N,0,679,5,0
2015,milho,940,940,9043,3301,9620,-1.4,0,EN,0,977,15,0
2016,milho,750,750,7575,4431,10100,2.2,5,EN,1,1204,5,0
2017,milho,1500,1500,9750,5850,6500,-34.9,-35.6,N,0,879,8,0
2018,milho,1400,1400,13706,7632,9790,-2.4,50.6,LN,0,1184,8,0
2019,milho,1400,1400,13706,7241,9790,-2.6,0,EN,0,858,10,1
2020,milho,1302,1302,13541,9249,10400,3.7,6.2,EN,0,539,11,0
2021,milho,1550,1550,16651,20528,10743,7.7,3.3,LN,0,864,8,1
2022,milho,1750,1750,16188,23643,9250,-6.4,-13.9,LN,0,654,10,0
2023,milho,2200,2200,22000,23183,10000,2.5,8.1,LN,0,1009,7,0
2024,milho,1500,1500,11400,9907,7600,-20.8,-24,EN,1,1079,11,2
1974,soja,,50,90,0,1800,-9.3,,LN,1,,,
1975,soja,,20,42,0,2100,7.6,16.7,LN,0,,,
1976,soja,,11,27,0,2455,27.7,16.9,LN,1,,,
1977,soja,,11,20,0,1818,-4.1,-25.9,EN,0,,,
1978,soja,,11,20,0,1818,-2.9,0,EN,0,,,
1979,soja,,500,720,0,1440,-22.3,-20.8,N,0,,,
1980,soja,,200,400,0,2000,8.8,38.9,EN,0,,,
1981,soja,,200,400,0,2000,9.6,0,N,0,728,8,0
