ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1974,arroz,,150,90,0,600,74.8,,LN,1,,,
1975,arroz,,194,109,0,562,0.4,-6.4,N,0,,,
1976,arroz,,537,322,0,600,-21.1,6.7,LN,0,,,
1977,arroz,,478,287,0,600,-36.6,0.1,EN,0,,,
1978,arroz,,420,420,0,1000,-10.3,66.6,EN,0,,,
1979,arroz,,192,292,0,1521,19.8,52.1,N,0,,,
1980,arroz,,520,676,0,1300,-7.8,-14.5,EN,0,,,
1981,arroz,,520,448,0,862,-43.5,-33.7,N,0,1106,19,8
1982,arroz,,500,850,0,1700,3.5,97.3,N,0,1865,16,0
1983,arroz,,600,1080,0,1800,3.6,5.9,EN,1,1573,7,11
1984,arroz,,740,575,0,777,-55.6,-56.8,LN,0,1213,11,11
1985,arroz,,845,1671,0,1978,15.5,154.5,LN,0,1369,16,4
1986,arroz,,800,1060,0,1325,-20.9,-33,N,0,1188,12,0
1987,arroz,,1150,2012,0,1750,8.5,32,EN,1,845,14,14
1988,arroz,1150,1150,1782,0,1550,0.6,-11.4,EN,0,1190,16,18
1989,arroz,590,590,846,1e-04,1434,-3.4,-7.5,LN,1,1037,8,0
1990,arroz,630,630,784,0.0029,1244,-12.5,-13.2,N,0,1062,10,6
1991,arroz,590,590,894,0.0231,1515,10.6,21.8,EN,0,1259,9,9
1992,arroz,550,550,725,0.2306,1318,-0.4,-13,EN,1,1348,13,0
1993,arroz,560,560,756,3.8018,1350,4.8,2.4,EN,0,1232,12,1
1994,arroz,380,380,444,64,1168,-8.6,-13.5,N,0,1309,9,11
1995,arroz,280,280,414,64,1479,15.2,26.5,EN,0,998,6,22
1996,arroz,255,255,272,57,1067,-17.5,-27.9,LN,0,1059,7,6
1997,arroz,235,235,285,59,1213,-7.7,13.7,N,0,1358,13,3
1998,arroz,240,240,310,70,1292,-3.5,6.5,EN,1,1130,16,35
1999,arroz,190,190,328,75,1726,26.3,33.7,LN,1,1279,6,8
2000,arroz,150,150,240,94,1600,14,-7.3,LN,1,1508,15,7
2001,arroz,80,80,80,31,1000,-30,-37.5,LN,0,992,15,21
2002,arroz,60,60,87,54,1450,1.4,45,N,0,1408,8,0
2003,arroz,60,60,87,54,1450,1.5,0,EN,1,1087,16,27
2004,arroz,60,60,87,78,1450,1.8,0,N,0,1402,11,11
2005,arroz,60,60,87,30,1450,2.2,0,EN,0,1090,4,7
2006,arroz,50,50,60,35,1200,-16.5,-17.2,LN,0,1211,18,24
2007,arroz,40,40,60,32,1500,1.3,25,EN,0,1581,16,0
2008,arroz,40,40,60,57,1500,-2.5,0,LN,1,1180,19,10
2009,arroz,40,40,60,46,1500,-7.1,0,LN,0,1368,10,13
2010,arroz,40,40,60,48,1500,-12,0,EN,1,977,6,3
2011,arroz,25,25,50,33,2000,10.3,33.3,LN,1,1380,18,0
2012,arroz,20,20,40,25,2000,3.1,0,LN,0,1120,16,1
1974,cana,,5,140,0,28000,18.1,,LN,1,,,
1975,cana,,5,140,0,28000,8.4,0,N,0,,,
1976,cana,,5,140,0,28000,0.1,0,LN,0,,,
1977,cana,,5,140,0,28000,-7.3,0,EN,0,,,
1978,cana,,5,140,0,28000,-14.3,0,EN,0,,,
1979,cana,,5,140,0,28000,-20.5,0,N,0,,,
1980,cana,,5,140,0,28000,-25.6,0,EN,0,,,
1981,cana,,6,168,0,28000,-30.4,0,N,0,1106,19,8
1982,cana,,6,168,0,28000,-35,0,N,0,1865,16,0
1983,cana,,6,168,0,28000,-38.4,0,EN,1,1573,7,11
1984,cana,,13,975,0,75000,55.7,167.9,LN,0,1213,11,11
1985,cana,,13,975,0,75000,45.7,0,LN,0,1369,16,4
1986,cana,,31,2325,0,75000,39.4,0,N,0,1188,12,0
1987,cana,,30,1740,0,58000,6.2,-22.7,EN,1,845,14,14
1988,cana,30,30,1740,0,58000,6,0,EN,0,1190,16,18
1989,cana,40,40,2320,0,58000,6.8,0,LN,1,1037,8,0
1990,cana,30,30,1560,4e-04,52000,-3.1,-10.3,N,0,1062,10,6
1991,cana,30,30,1560,0.0018,52000,-1.4,0,EN,0,1259,9,9
1992,cana,30,30,1560,0.0225,52000,0.7,0,EN,1,1348,13,0
1993,cana,30,30,1500,0.6818,50000,-1.8,-3.8,EN,0,1232,12,1
1994,cana,30,30,1500,13,50000,-2.1,0,N,0,1309,9,11
1995,cana,15,15,780,8,52000,0.5,4,EN,0,998,6,22
1996,cana,61,61,2427,34,39787,-24.1,-23.5,LN,0,1059,7,6
1997,cana,60,60,2620,34,43667,-18.3,9.8,N,0,1358,13,3
1998,cana,60,60,3240,45,54000,-1.9,23.7,EN,1,1130,16,35
1999,cana,65,65,3770,51,58000,3.1,7.4,LN,1,1279,6,8
2000,cana,60,60,3480,45,58000,1.5,0,LN,1,1508,15,7
2001,cana,60,60,3600,50,60000,3,3.4,LN,0,992,15,21
2002,cana,45,45,2700,62,60000,1.2,0,N,0,1408,8,0
2003,cana,45,45,2700,62,60000,0.1,0,EN,1,1087,16,27
2004,cana,45,45,2700,73,60000,-0.4,0,N,0,1402,11,11
2005,cana,45,45,2700,81,60000,-0.5,0,EN,0,1090,4,7
2006,cana,45,45,2700,95,60000,-0.4,0,LN,0,1211,18,24
2007,cana,45,45,2700,135,60000,0.1,0,EN,0,1581,16,0
2008,cana,45,45,2700,135,60000,1,0,LN,1,1180,19,10
2009,cana,45,45,2700,135,60000,1.9,0,LN,0,1368,10,13
2010,cana,45,45,2700,135,60000,3,0,EN,1,977,6,3
2011,cana,30,30,1500,90,50000,-13,-16.7,LN,1,1380,18,0
2012,cana,30,30,1680,109,56000,-1.6,12,LN,0,1120,16,1
2013,cana,30,30,1680,84,56000,-0.9,0,LN,0,1150,11,11
2014,cana,30,30,1680,101,56000,-0.4,0,N,0,789,17,2
2015,cana,24,24,1344,94,56000,-0.3,0,EN,0,997,19,22
2016,cana,24,24,1344,101,56000,-0.4,0,EN,1,853,13,29
2017,cana,15,15,600,72,40000,-29.2,-28.6,LN,0,929,13,8
2018,cana,5,5,165,17,33000,-41.9,-17.5,LN,0,994,19,9
2019,cana,6,6,240,24,40000,-30.2,21.2,EN,0,1101,8,8
2020,cana,7,7,350,40,50000,-13.7,25,N,0,1282,7,11
2021,cana,10,10,600,104,60000,2.2,20,LN,1,1000,11,11
2022,cana,15,15,900,153,60000,0.6,0,LN,0,1717,16,6
2023,cana,25,25,1625,252,65000,7.1,8.3,LN,0,1115,14,0
2024,cana,30,30,1800,306,60000,-3,-7.7,EN,1,797,10,36
1974,feijao,,120,72,0,600,135.4,,LN,1,,,
1975,feijao,,109,35,0,321,19.5,-46.5,N,0,,,
1976,feijao,,176,40,0,227,-19,-29.2,LN,0,,,
1977,feijao,,197,57,0,289,-0.5,27.3,EN,0,,,
1978,feijao,,197,54,0,274,-8.4,-5.3,EN,0,,,
1979,feijao,,115,35,0,304,-0.4,11,N,0,,,
1980,feijao,,216,58,0,269,-13.6,-11.8,EN,0,,,
1981,feijao,,160,60,0,375,19.4,39.7,N,0,1106,19,8
1982,feijao,,195,82,0,421,33.4,12.1,N,0,1865,16,0
1983,feijao,,180,41,0,228,-27.3,-45.8,EN,1,1573,7,11
1984,feijao,,230,134,0,583,88.3,155.8,LN,0,1213,11,11
1985,feijao,,497,151,0,304,1.1,-47.9,LN,0,1369,16,4
1986,feijao,,595,172,0,289,0.6,-4.9,N,0,1188,12,0
1987,feijao,,390,111,0,285,3.2,-1.5,EN,1,845,14,14
1988,feijao,360,360,101,0,281,5.4,-1.4,EN,0,1190,16,18
1989,feijao,208,208,40,0,192,-25,-31.5,LN,1,1037,8,0
1990,feijao,196,196,50,6e-04,255,4.3,32.7,N,0,1062,10,6
1991,feijao,195,195,50,0.0039,256,11,0.5,EN,0,1259,9,9
1992,feijao,210,210,48,0.0474,229,3.3,-10.9,EN,1,1348,13,0
1993,feijao,101,101,25,0.4124,248,17.9,8.3,EN,0,1232,12,1
1994,feijao,70,70,15,9,214,5.7,-13.4,N,0,1309,9,11
1995,feijao,68,68,11,5,162,-21.2,-24.5,EN,0,998,6,22
1996,feijao,41,41,8,6,195,-7.6,20.6,LN,0,1059,7,6
1997,feijao,35,35,7,5,200,-11.4,2.5,N,0,1358,13,3
1998,feijao,32,32,8,7,250,-2.9,25,EN,1,1130,16,35
1999,feijao,25,25,6,4,240,-18.3,-4,LN,1,1279,6,8
2000,feijao,30,30,10,7,333,0.1,38.9,LN,1,1508,15,7
2001,feijao,10,10,4,4,400,5.1,20,LN,0,992,15,21
2002,feijao,10,10,5,5,500,19,25,N,0,1408,8,0
2003,feijao,10,10,5,6,500,10.9,0,EN,1,1087,16,27
2004,feijao,10,10,5,6,500,4.5,0,N,0,1402,11,11
2005,feijao,10,10,5,5,500,-0.3,0,EN,0,1090,4,7
2006,feijao,10,10,4,4,400,-23.2,-20,LN,0,1211,18,24
2007,feijao,10,10,5,5,500,-7,25,EN,0,1581,16,0
2008,feijao,10,10,5,8,500,-11.1,0,LN,1,1180,19,10
2009,feijao,10,10,6,7,600,-0.7,20,LN,0,1368,10,13
2010,feijao,10,10,6,12,600,-8.8,0,EN,1,977,6,3
2011,feijao,30,30,46,83,1533,113.2,155.6,LN,1,1380,18,0
2012,feijao,10,10,6,17,600,-23.9,-60.9,LN,0,1120,16,1
2016,feijao,180,180,320,1260,1778,55.9,,EN,1,853,13,29
2019,feijao,30,30,45,165,1500,0.9,,EN,0,1101,8,8
1974,milho,,3000,7200,0,2400,40.6,,LN,1,,,
1975,milho,,2943,4708,0,1600,-6.1,-33.3,N,0,,,
1976,milho,,4204,3700,0,880,-48.4,-45,LN,0,,,
1977,milho,,4765,7624,0,1600,-6.5,81.8,EN,0,,,
1978,milho,,4600,6900,0,1500,-12.8,-6.2,EN,0,,,
1979,milho,,4000,7848,0,1962,13.2,30.8,N,0,,,
1980,milho,,4400,8800,0,2000,14.3,1.9,EN,0,,,
1981,milho,,4400,7401,0,1682,-5.2,-15.9,N,0,1106,19,8
1982,milho,,4200,7434,0,1770,-1.8,5.2,N,0,1865,16,0
1983,milho,,3500,6300,0,1800,-1.8,1.7,EN,1,1573,7,11
1984,milho,,3200,4800,0,1500,-19.6,-16.7,LN,0,1213,11,11
1985,milho,,3250,7312,0,2250,18.2,50,LN,0,1369,16,4
1986,milho,,3100,6975,0,2250,16.2,0,N,0,1188,12,0
1987,milho,,2450,5635,0,2300,16.8,2.2,EN,1,845,14,14
1988,milho,2450,2450,3675,0,1500,-25.2,-34.8,EN,0,1190,16,18
1989,milho,2300,2300,4140,5e-04,1800,-11.4,20,LN,1,1037,8,0
1990,milho,1600,1594,1931,0.0071,1211,-40,-32.7,N,0,1062,10,6
1991,milho,1400,1400,3500,0.066,2500,25.7,106.4,EN,0,1259,9,9
1992,milho,1100,1100,2750,0.5857,2500,25.8,0,EN,1,1348,13,0
1993,milho,950,950,2470,12.2782,2600,29.6,4,EN,0,1232,12,1
1994,milho,900,900,1620,200,1800,-11.2,-30.8,N,0,1309,9,11
1995,milho,1100,1100,2328,272,2116,2.2,17.6,EN,0,998,6,22
1996,milho,1560,1560,2267,277,1453,-32.7,-31.3,LN,0,1059,7,6
1997,milho,1435,1435,2470,316,1721,-24.1,18.4,N,0,1358,13,3
1998,milho,1315,1315,2590,383,1970,-16.9,14.4,EN,1,1130,16,35
1999,milho,1450,1450,4205,631,2900,16.7,47.2,LN,1,1279,6,8
2000,milho,1600,1600,5440,1278,3400,29.3,17.2,LN,1,1508,15,7
2001,milho,1150,1150,2760,690,2400,-13.6,-29.4,LN,0,992,15,21
2002,milho,1100,1100,3520,1126,3200,10.4,33.3,N,0,1408,8,0
2003,milho,1100,1100,3520,1162,3200,6.9,0,EN,1,1087,16,27
2004,milho,1100,1100,3520,933,3200,3.9,0,N,0,1402,11,11
2005,milho,1100,1100,3520,933,3200,1.2,0,EN,0,1090,4,7
2006,milho,650,650,1365,587,2100,-34.6,-34.4,LN,0,1211,18,24
2007,milho,800,800,2720,1455,3400,5.6,61.9,EN,0,1581,16,0
2008,milho,800,800,2720,911,3400,4,0,LN,1,1180,19,10
