ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1974,arroz,,250,150,0,600,-27.9,,LN,1,,,
1975,arroz,,280,250,0,893,9.3,48.8,N,0,,,
1976,arroz,,294,270,0,918,15.6,2.9,LN,0,,,
1977,arroz,,300,270,0,900,17.2,-2,EN,0,,,
1978,arroz,,280,255,0,911,22.2,1.2,EN,0,,,
1980,arroz,,4,2,0,500,-27,,EN,0,,,
1982,arroz,,60,36,0,600,-18,,N,0,216,79,65
1985,arroz,,68,59,0,868,-8.6,,LN,0,667,45,67
1986,arroz,,200,240,0,1200,11.3,38.3,N,0,470,35,19
1988,arroz,180,180,216,0,1200,-5.2,,EN,0,348,99,100
1989,arroz,160,160,96,0,600,-54.9,-50,LN,1,315,51,61
1990,arroz,211,35,61,5e-04,1743,30.3,190.5,N,0,380,50,58
1991,arroz,195,195,267,0.0058,1369,2.9,-21.4,EN,0,506,51,22
1992,arroz,195,20,25,0.0109,1250,-7.7,-8.7,EN,1,366,116,49
1993,arroz,37,25,30,0.4116,1200,-12.6,-4,EN,0,104,70,49
1994,arroz,115,115,165,30,1435,3,19.6,N,0,402,66,54
1995,arroz,105,105,195,42,1857,30.2,29.4,EN,0,346,74,37
1996,arroz,26,26,33,8,1269,-12.2,-31.7,LN,0,479,30,62
1997,arroz,50,50,68,18,1360,-7.8,7.2,N,0,449,48,88
1998,arroz,68,8,20,5,2500,65.1,83.8,EN,1,189,28,107
1999,arroz,45,45,74,24,1644,5.1,-34.2,LN,1,339,81,93
2000,arroz,20,20,32,10,1600,-1.5,-2.7,LN,1,423,46,61
2001,arroz,8,0,0,0,,,,LN,0,310,39,74
1974,cana,,50,1000,0,20000,-1,,LN,1,,,
1975,cana,,90,1800,0,20000,0.7,0,N,0,,,
1976,cana,,90,1800,0,20000,1.4,0,LN,0,,,
1977,cana,,90,1800,0,20000,0.7,0,EN,0,,,
1978,cana,,95,2375,0,25000,23.8,25,EN,0,,,
1979,cana,,105,1680,0,16000,-23,-36,N,0,,,
1980,cana,,87,1058,0,12161,-43.7,-24,EN,0,,,
1981,cana,,100,2419,0,24190,7.3,98.9,N,0,532,46,59
1982,cana,,80,2800,0,35000,45,44.7,N,0,216,79,65
1983,cana,,8,80,0,10000,-61.4,-71.4,EN,1,205,61,81
1984,cana,,9,90,0,10000,-64.4,0,LN,0,328,82,84
1985,cana,,20,1000,0,50000,63.1,200,LN,0,667,45,67
1986,cana,,20,1000,0,50000,56.8,0,N,0,470,35,19
1987,cana,,30,900,0,30000,-4.3,-40,EN,1,304,82,57
1988,cana,20,20,700,0,35000,15,16.7,EN,0,348,99,100
1989,cana,60,60,1800,3e-04,30000,2.8,-14.3,LN,1,315,51,61
1990,cana,90,90,2250,0.0045,25000,-11,-16.7,N,0,380,50,58
1991,cana,100,100,2500,0.0182,25000,-6.4,0,EN,0,506,51,22
1992,cana,45,45,450,0.0352,10000,-60.3,-60,EN,1,366,116,49
1993,cana,15,0,0,0,,,,EN,0,104,70,49
1996,cana,22,22,1100,44,50000,93.9,,LN,0,479,30,62
1997,cana,20,20,800,40,40000,49.5,-20,N,0,449,48,88
1998,cana,15,15,150,12,10000,-64.3,-75,EN,1,189,28,107
1999,cana,15,15,450,27,30000,-1.3,200,LN,1,339,81,93
2000,cana,20,20,500,30,25000,-23.9,-16.7,LN,1,423,46,61
2001,cana,10,10,150,9,15000,-57,-40,LN,0,310,39,74
2002,cana,10,10,400,20,40000,7.4,166.7,N,0,392,70,73
2003,cana,10,10,420,21,42000,7.5,5,EN,1,421,67,102
2004,cana,10,10,400,20,40000,-1.7,-4.8,N,0,615,102,91
2005,cana,10,10,440,24,44000,5,10,EN,0,387,89,113
2006,cana,10,10,420,23,42000,0.3,-4.5,LN,0,269,58,93
2007,cana,10,10,150,8,15000,-63.5,-64.3,EN,0,411,68,102
2008,cana,10,10,350,17,35000,-11.7,133.3,LN,1,696,66,79
2009,cana,10,10,380,18,38000,1.5,8.6,LN,0,258,68,99
2010,cana,10,10,105,6,10500,-69.6,-72.4,EN,1,142,84,115
2011,cana,10,10,410,25,41000,32.1,200,LN,1,583,46,60
2012,cana,10,10,210,13,21000,-21.7,-48.8,LN,0,102,74,95
2013,cana,10,10,200,15,20000,-8.9,-4.8,LN,0,119,94,144
2014,cana,10,10,190,18,19000,15.6,-5,N,0,256,44,72
1974,feijao,,17000,3013,0,177,-24.7,,LN,1,,,
1975,feijao,,18700,5610,0,300,33.7,69.3,N,0,,,
1976,feijao,,24301,3643,0,150,-30.1,-50,LN,0,,,
1977,feijao,,22500,6260,0,278,35.4,85.6,EN,0,,,
1978,feijao,,8000,2720,0,340,71.8,22.2,EN,0,,,
1979,feijao,,2880,280,0,97,-49.2,-71.4,N,0,,,
1980,feijao,,4003,551,0,138,-25.8,41.6,EN,0,,,
1981,feijao,,4287,454,0,106,-41.3,-23.1,N,0,532,46,59
1982,feijao,,7500,1800,0,240,36.4,126.6,N,0,216,79,65
1983,feijao,,616,37,0,60,-65.2,-75,EN,1,205,61,81
1984,feijao,,10208,5104,0,500,192.7,200,LN,0,328,82,84
1985,feijao,,5760,1152,0,200,17.2,-60,LN,0,667,45,67
1986,feijao,,9000,1980,0,220,28.4,10,N,0,470,35,19
1987,feijao,,5700,308,0,54,-68.8,-75.4,EN,1,304,82,57
1988,feijao,12000,12000,4320,1e-04,360,104.1,200,EN,0,348,99,100
1989,feijao,5425,5425,651,5e-04,120,-33.4,-66.7,LN,1,315,51,61
1990,feijao,7072,3489,440,0.0102,126,-31.4,5.1,N,0,380,50,58
1991,feijao,8295,8295,3007,0.0908,363,93.5,187.5,EN,0,506,51,22
1992,feijao,6030,3930,213,0.1743,54,-71.7,-85,EN,1,366,116,49
1993,feijao,4530,1530,63,1.984,41,-78.9,-24,EN,0,104,70,49
1994,feijao,7030,7030,2818,638,401,100.5,200,N,0,402,66,54
1995,feijao,8030,6530,1327,591,203,-1.5,-49.3,EN,0,346,74,37
1996,feijao,6700,6700,2211,995,330,56.5,62.4,LN,0,479,30,62
