ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1993,arroz,130,130,260,0.4444,2000,3.8,,1703,N,0,0.3,1047,8,4
1994,arroz,130,130,228,41,1754,1.9,-12.3,1626,N,0,0.3,1155,10,2
1995,arroz,130,130,187,29,1438,-10.3,-18,1553,EN,0,1.4,1339,9,4
1996,arroz,183,183,206,37,1126,-28.1,-21.7,1483,LN,0,-0.9,1138,9,13
1997,arroz,80,80,160,29,2000,26,77.7,1416,N,0,-0.3,1163,9,2
1998,arroz,54,54,108,20,2000,15.5,0,1355,EN,1,2.3,2016,9,4
1999,arroz,48,48,48,8,1000,-42.7,-50,1301,LN,1,-1.6,765,8,9
2000,arroz,48,48,96,18,2000,19.7,100,1253,LN,1,-1.6,988,7,6
2001,arroz,30,30,60,11,2000,37.1,0,1215,LN,0,-0.7,1215,10,5
2002,arroz,60,60,15,3,250,-77.8,-87.5,1187,N,0,-0.3,699,9,14
2003,arroz,60,60,75,21,1250,47.1,200,1169,EN,0,1.2,1434,6,7
2004,arroz,60,6,4,2,667,-32.6,-46.7,1161,N,0,0.3,1018,17,3
2005,arroz,60,5,4,1,800,-35.5,20,1163,EN,0,0.7,742,16,15
2006,arroz,60,60,120,38,2000,31.3,150,1174,LN,0,-0.8,929,7,14
2007,arroz,60,60,120,42,2000,27.2,0,1193,EN,0,0.9,947,10,12
2008,arroz,60,60,72,33,1200,-21.8,-40,1217,LN,1,-1.5,897,10,3
2009,arroz,60,60,72,38,1200,-9.7,0,1246,LN,0,-0.8,1022,9,11
2010,arroz,40,40,48,24,1200,2.9,0,1278,EN,1,1.6,1167,11,10
2011,arroz,40,40,48,17,1200,-3.1,0,1312,LN,1,-1.6,1086,10,0
2012,arroz,20,20,24,19,1200,-18,0,1347,LN,0,-1,736,8,18
2013,arroz,10,10,20,20,2000,9.1,66.7,1383,N,0,-0.4,1322,6,5
2010,cana,120,120,9600,768,80000,0.3,,74807,EN,1,1.5,1167,11,10
2011,cana,120,120,7200,720,60000,-19.2,-25,72144,LN,0,-1.4,1086,10,0
2012,cana,120,120,8400,840,70000,-1.2,16.7,69576,LN,0,-0.8,736,8,18
2013,cana,120,120,8400,672,70000,0,0,67100,LN,0,-0.6,1322,6,5
2014,cana,120,120,8400,756,70000,0,0,64712,LN,0,-0.5,1179,10,15
2015,cana,120,120,8400,1260,70000,0,0,62408,EN,0,0.5,1172,11,4
2016,cana,120,120,8400,840,70000,-0.9,0,60187,EN,1,2.2,1616,13,3
2017,cana,120,120,8400,840,70000,10.7,0,58045,LN,0,-0.7,1080,14,1
