ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1993,arroz,200,200,330,0.72,1650,8,,EN,0,1214,8,1
1994,arroz,200,200,330,40,1650,3.1,0,N,0,1491,10,1
1995,arroz,300,300,450,77,1500,-11.3,-9.1,EN,0,1338,11,16
1996,arroz,96,96,158,22,1646,-8.1,9.7,LN,0,1026,4,1
1997,arroz,100,100,160,29,1600,-16,-2.8,N,0,1378,8,0
1998,arroz,300,300,660,165,2200,8.9,37.5,EN,1,974,14,13
1999,arroz,300,300,700,196,2333,8.1,6.1,LN,1,1065,6,7
2000,arroz,300,300,700,175,2333,1.8,0,LN,1,1469,7,8
2001,arroz,300,300,700,196,2333,-1.7,0,LN,0,1294,10,13
2002,arroz,300,300,700,196,2333,-4.1,0,N,0,1416,10,0
2003,arroz,250,250,580,406,2320,-5.8,-0.6,EN,1,1292,8,23
2004,arroz,600,600,1700,119,2833,14.1,22.1,N,0,1410,9,11
2005,arroz,400,400,1000,350,2500,-0.7,-11.8,EN,0,1323,8,7
2006,arroz,400,400,1000,330,2500,-1.9,0,LN,0,1303,8,0
2007,arroz,350,350,875,289,2500,-2.7,0,EN,0,1121,8,0
2008,arroz,250,250,1000,660,4000,55.2,60,LN,1,1073,12,15
2009,arroz,250,250,1000,600,4000,54.9,0,LN,0,1082,9,11
2010,arroz,200,200,540,324,2700,2.9,-32.5,EN,1,1126,9,3
2011,arroz,60,60,156,87,2600,-2.2,-3.7,LN,1,1299,5,7
2012,arroz,50,50,130,75,2600,-1.6,0,LN,0,1412,5,0
2013,arroz,40,40,110,77,2750,5.2,5.8,LN,0,1270,9,14
2014,arroz,100,100,144,103,1440,-43.3,-47.6,N,0,1549,11,3
2015,arroz,60,60,150,108,2500,-1.8,73.6,EN,0,769,16,23
2016,arroz,60,60,150,108,2500,-2.7,0,EN,1,1177,13,33
2017,arroz,60,60,150,98,2500,-4.2,0,LN,0,1047,8,10
2018,arroz,22,22,93,65,4227,58.5,69.1,LN,0,1377,20,22
2019,arroz,22,22,65,61,2955,8.1,-30.1,EN,0,1095,6,10
2020,arroz,25,25,74,70,2960,5.2,0.2,N,0,1645,8,27
2021,arroz,25,25,68,101,2720,-6.5,-8.1,LN,1,1002,10,18
1993,cana,214,214,15840,7.8335,74019,-6.9,,EN,0,1214,8,1
1994,cana,214,214,17200,168,80374,0.4,8.6,N,0,1491,10,1
1995,cana,214,214,17200,172,80374,-0.1,0,EN,0,1338,11,16
1996,cana,214,214,17200,263,80374,-0.1,0,LN,0,1026,4,1
1997,cana,214,214,17200,263,80374,0.1,0,N,0,1378,8,0
1998,cana,309,309,24835,373,80372,1,0,EN,1,974,14,13
1999,cana,309,309,24000,358,77670,-1.3,-3.4,LN,1,1065,6,7
2000,cana,309,309,24000,358,77670,-0.3,0,LN,1,1469,7,8
2001,cana,214,214,17000,289,79439,2.3,2.3,LN,0,1294,10,13
2002,cana,469,469,36400,619,77612,0.1,-2.3,N,0,1416,10,0
2003,cana,469,469,36400,892,77612,0,0,EN,1,1292,8,23
2004,cana,469,469,36400,1037,77612,0.1,0,N,0,1410,9,11
2005,cana,469,469,36400,1019,77612,0.1,0,EN,0,1323,8,7
2006,cana,469,469,36400,1747,77612,-0.2,0,LN,0,1303,8,0
2007,cana,946,946,73421,2570,77612,-0.7,0,EN,0,1121,8,0
2008,cana,965,965,76235,2668,79000,0.5,1.8,LN,1,1073,12,15
2009,cana,965,965,76235,2821,79000,0.2,0,LN,0,1082,9,11
2010,cana,965,965,76235,2744,79000,-0.1,0,EN,1,1126,9,3
2011,cana,965,965,76235,3354,79000,-0.1,0,LN,1,1299,5,7
2012,cana,965,965,76235,4621,79000,0,0,LN,0,1412,5,0
2013,cana,965,965,76000,4940,78756,0,-0.3,LN,0,1270,9,14
1993,feijao,300,300,135,0.8836,450,2.5,,EN,0,1214,8,1
1994,feijao,400,400,224,68,560,5.5,24.4,N,0,1491,10,1
1995,feijao,460,460,185,59,402,-32.5,-28.2,EN,0,1338,11,16
1996,feijao,100,100,80,37,800,26.9,98.9,LN,0,1026,4,1
1997,feijao,150,150,90,47,600,-7.5,-25,N,0,1378,8,0
1998,feijao,460,460,295,289,641,11.3,6.9,EN,1,974,14,13
1999,feijao,460,460,205,118,446,-17.4,-30.5,LN,1,1065,6,7
2000,feijao,310,310,185,76,597,-2.7,33.9,LN,1,1469,7,8
2001,feijao,360,360,286,237,794,11.9,33.1,LN,0,1294,10,13
2002,feijao,360,360,286,237,794,3.4,0,N,0,1416,10,0
2003,feijao,360,360,286,408,794,-7.6,0,EN,1,1292,8,23
2004,feijao,200,200,204,213,1020,-9.4,28.4,N,0,1410,9,11
2005,feijao,200,200,329,472,1645,9.5,61.3,EN,0,1323,8,7
2006,feijao,125,125,237,273,1896,1.7,15.3,LN,0,1303,8,0
2007,feijao,134,134,269,336,2007,-7.1,5.9,EN,0,1121,8,0
2008,feijao,55,55,136,385,2473,6.3,23.2,LN,1,1073,12,15
2009,feijao,70,70,209,246,2986,21.9,20.7,LN,0,1082,9,11
2010,feijao,40,40,90,152,2250,-10.7,-24.6,EN,1,1126,9,3
2011,feijao,32,32,83,116,2594,2.4,15.3,LN,1,1299,5,7
1993,milho,300,300,860,1.5822,2867,-2.5,,EN,0,1214,8,1
1994,milho,400,400,1100,80,2750,-4.2,-4.1,N,0,1491,10,1
1995,milho,500,500,1500,125,3000,6.4,9.1,EN,0,1338,11,16
1996,milho,223,223,693,60,3108,11.3,3.6,LN,0,1026,4,1
