ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1974,arroz,,100,150,0,1500,-4.2,,1455,LN,1,-1.9,,,
1975,arroz,,110,165,0,1500,-4.3,0,1472,N,0,-0.2,,,
1976,arroz,,100,200,0,2000,27.4,33.3,1488,LN,0,-1.1,,,
1977,arroz,,142,256,0,1803,14.5,-9.9,1505,EN,0,1.1,,,
1978,arroz,,140,168,0,1200,-24.1,-33.4,1522,EN,0,1.1,,,
1979,arroz,,100,65,0,650,-59.1,-45.8,1540,N,0,0.2,,,
1980,arroz,,120,252,0,2100,31.4,200,1558,EN,0,0.7,,,
1981,arroz,,100,200,0,2000,24.2,-4.8,1576,N,0,0.2,899,7,0
1982,arroz,,100,150,0,1500,-7.6,-25,1595,N,0,0,835,9,0
1983,arroz,,70,140,0,2000,21.9,33.3,1614,EN,1,2.5,1260,5,0
1984,arroz,,85,143,0,1682,1.6,-15.9,1633,LN,0,-1,756,8,0
1985,arroz,,85,117,0,1376,-17.7,-18.2,1653,LN,0,-1,846,8,0
1986,arroz,,87,122,0,1402,-17.2,1.9,1673,N,0,-0.2,821,11,0
1987,arroz,,90,157,0,1744,0.8,24.4,1693,EN,1,1.5,984,12,0
1988,arroz,90,90,157,0,1744,-2.2,0,1714,EN,0,0.9,718,13,5
1989,arroz,95,95,213,0,2242,22.7,28.5,1735,LN,1,-1.9,920,10,0
1990,arroz,95,95,205,4e-04,2158,15.7,-3.8,1756,N,0,0,992,8,0
1991,arroz,80,80,140,0.0062,1750,-8.1,-18.9,1778,EN,0,0.5,841,9,0
1992,arroz,80,80,160,0.0575,2000,3.2,14.3,1799,EN,1,2.1,1014,9,0
1993,arroz,80,80,160,0.8455,2000,2,0,1822,N,0,0.3,802,10,0
1994,arroz,60,60,120,21,2000,1.2,0,1845,N,0,0.3,856,9,0
1995,arroz,60,60,120,23,2000,0.3,0,1868,EN,0,1.4,1321,7,0
1996,arroz,31,31,30,6,968,-51.9,-51.6,1893,LN,0,-0.9,1221,8,0
1997,arroz,60,60,120,20,2000,-1.3,106.7,1918,N,0,-0.3,1004,9,0
1998,arroz,60,60,120,29,2000,-2.1,0,1945,EN,1,2.3,1444,7,0
1999,arroz,60,60,120,38,2000,-3.2,0,1972,LN,1,-1.6,1020,5,0
2000,arroz,60,60,120,29,2000,-4.4,0,2001,LN,1,-1.6,942,13,0
2001,arroz,40,40,88,25,2200,3.8,10,2032,LN,0,-0.7,1159,7,0
2002,arroz,40,40,88,25,2200,2.8,0,2063,N,0,-0.3,878,8,0
2003,arroz,40,40,88,35,2200,1.9,0,2096,EN,0,1.2,854,5,0
2004,arroz,40,40,88,56,2200,0.9,0,2131,N,0,0.3,726,7,0
2005,arroz,40,40,88,37,2200,0.2,0,2167,EN,0,0.7,898,9,0
2006,arroz,40,40,88,33,2200,0,0,2205,LN,0,-0.8,778,9,0
2007,arroz,40,40,88,32,2200,0.1,0,2245,EN,0,0.9,860,6,0
2008,arroz,40,40,88,40,2200,0,0,2287,LN,1,-1.5,1191,9,0
2009,arroz,40,40,88,53,2200,0.5,0,2332,LN,0,-0.8,1140,6,0
2010,arroz,40,40,88,47,2200,1.6,0,2379,EN,1,1.6,1349,9,0
2011,arroz,40,40,88,35,2200,1.2,0,2429,LN,1,-1.6,1364,6,0
2012,arroz,40,40,88,44,2200,-0.5,0,2482,LN,0,-1,966,14,0
2013,arroz,40,40,88,53,2200,-2.5,0,2538,N,0,-0.4,1019,8,0
2014,arroz,40,40,88,53,2200,-5.4,0,2597,N,0,-0.3,762,11,2
2015,arroz,40,40,88,53,2200,-8.9,0,2659,EN,0,0.6,787,8,0
2016,arroz,20,20,44,26,2200,-12.6,0,2724,EN,1,2.4,1227,5,0
2018,arroz,20,20,88,79,4400,58.6,,2863,LN,0,-1.3,967,7,0
2019,arroz,20,20,59,47,2950,0.7,-33,2936,EN,0,0.7,1041,6,0
2020,arroz,20,20,64,77,3200,3.3,8.5,3012,N,0,0.2,798,12,0
