ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1993,arroz,800,800,960,1.536,1200,3.1,,1062,N,0,0.3,844,17,15
1994,arroz,1000,1000,1000,51,1000,-12.9,-16.7,1083,N,0,0.3,1607,4,9
1995,arroz,1100,1100,1320,152,1200,5.3,20,1104,EN,0,1.4,1224,6,4
1996,arroz,224,224,240,46,1071,-5.9,-10.7,1126,LN,0,-0.9,1633,8,9
1997,arroz,400,160,184,33,1150,0.6,7.3,1148,N,0,-0.3,1274,6,2
1998,arroz,1000,750,900,198,1200,3.9,4.3,1170,EN,1,2.3,1195,6,28
1999,arroz,1000,800,912,274,1140,-2.9,-5,1193,LN,1,-1.6,1455,7,7
2000,arroz,1200,1200,1440,317,1200,0,5.3,1217,LN,1,-1.6,1298,8,6
2001,arroz,1200,1200,1440,518,1200,-2.7,0,1241,LN,0,-0.7,1428,16,16
2002,arroz,1000,1000,1320,528,1320,4,10,1265,N,0,-0.3,1060,5,22
2003,arroz,900,900,1170,702,1300,-0.6,-1.5,1291,EN,0,1.2,1373,5,20
2004,arroz,980,300,390,218,1300,-3.5,0,1316,N,0,0.3,1393,6,17
2005,arroz,340,340,489,167,1438,3.7,10.6,1342,EN,0,0.7,1406,10,35
2006,arroz,340,340,489,167,1438,1.1,0,1369,LN,0,-0.8,1480,5,37
2007,arroz,205,205,293,135,1429,-1.6,-0.6,1397,EN,0,0.9,1151,5,28
2008,arroz,205,205,293,117,1429,-3.2,0,1425,LN,1,-1.5,1507,13,38
2009,arroz,300,300,480,336,1600,7.3,11.9,1454,LN,0,-0.8,1215,6,36
2010,arroz,300,300,450,315,1500,-0.1,-6.2,1484,EN,1,1.6,1069,6,31
2011,arroz,50,50,75,43,1500,-0.5,0,1514,LN,1,-1.6,1426,3,27
2012,arroz,100,100,150,75,1500,-0.6,0,1546,LN,0,-1,1373,10,19
2013,arroz,80,80,120,70,1500,-0.5,0,1578,N,0,-0.4,1230,6,20
2014,arroz,100,100,150,90,1500,-0.2,0,1611,N,0,-0.3,1452,7,12
2015,arroz,100,100,150,98,1500,0.6,0,1646,EN,0,0.6,1335,6,15
2016,arroz,100,100,150,98,1500,0.2,0,1682,EN,1,2.4,851,7,53
2017,arroz,100,100,150,90,1500,-3.1,0,1718,LN,0,-1,1579,11,28
2018,arroz,70,70,102,61,1457,-11,-2.9,1756,LN,0,-1.3,1531,7,33
2019,arroz,57,57,86,60,1509,-14.2,3.5,1796,EN,0,0.7,1507,10,25
2020,arroz,57,57,86,155,1509,-21.2,0,1836,N,0,0.2,1366,8,20
2021,arroz,57,57,86,146,1509,-28.3,0,1878,LN,0,-1.4,1512,13,32
2022,arroz,20,20,90,162,4500,93.3,198.3,1920,LN,0,-1.2,1832,7,15
2023,arroz,10,10,26,29,2600,0.4,-42.2,1964,LN,0,-1,1231,18,34
2024,arroz,15,15,26,39,1733,-40,-33.3,2009,EN,1,1.5,1098,5,71
1993,feijao,180,180,54,0.4909,300,0.9,,285,EN,0,0.5,844,17,15
1994,feijao,190,190,60,16,316,3.6,5.3,303,N,0,0.3,1607,4,9
1995,feijao,170,170,52,27,306,-3.3,-3.1,321,EN,0,1.3,1224,6,4
1996,feijao,40,40,13,7,325,-2,6.2,341,LN,0,-0.9,1633,8,9
1997,feijao,50,50,16,7,320,-9,-1.5,363,N,0,-0.2,1274,6,2
1998,feijao,70,70,28,19,400,6.7,25,387,EN,1,2.2,1195,6,28
1999,feijao,80,80,32,26,400,-1.2,0,413,LN,1,-1.5,1455,7,7
