ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1974,arroz,,60,83,0,1383,5.1,,LN,1,,,
1975,arroz,,60,83,0,1383,-2.8,0,LN,0,,,
1976,arroz,,60,83,0,1383,-8.2,0,LN,1,,,
1977,arroz,,60,42,0,700,-55.3,-49.4,EN,0,,,
1978,arroz,,20,28,0,1400,-12.6,100,EN,0,,,
1979,arroz,,20,40,0,2000,23.6,42.9,N,0,,,
1980,arroz,,15,43,0,2867,78.1,43.3,EN,0,,,
1981,arroz,,1,2,0,2000,25.8,-30.2,N,0,2151,9,5
1982,arroz,,3,11,0,3667,138.1,83.3,N,0,1532,5,2
1983,arroz,,3,10,0,3333,126.2,-9.1,EN,1,1608,6,5
1984,arroz,,3,3,0,1000,-27.2,-70,LN,0,1321,7,11
1985,arroz,,3,4,0,1333,7.6,33.3,LN,0,1459,6,1
1986,arroz,,3,3,0,1000,-12.3,-25,N,0,1464,12,6
1987,arroz,,3,4,0,1333,22.8,33.3,EN,0,1425,8,4
1988,arroz,4,4,4,0,1000,-4.7,-25,EN,0,1066,10,7
1989,arroz,4,4,4,0,1000,-4.4,0,LN,1,1389,7,8
1990,arroz,4,4,4,1e-04,1000,-6.4,0,N,0,1421,7,4
1991,arroz,4,4,4,1e-04,1000,-8.7,0,N,0,1087,9,10
1992,arroz,4,4,5,0.001,1250,13.1,25,EN,1,1371,9,9
1993,arroz,4,4,5,0.0171,1250,9.2,0,N,0,1124,4,9
1994,arroz,4,4,6,1,1500,21,20,N,0,1382,7,25
1995,arroz,4,4,5,1,1250,-8.5,-16.7,EN,0,1607,7,21
1996,arroz,4,4,5,1,1250,-18.8,0,LN,0,1510,7,10
1997,arroz,4,4,5,1,1250,-30.1,0,N,0,1142,5,8
2004,arroz,15,15,70,46,4667,3,,N,0,1259,7,4
2005,arroz,15,15,74,50,4933,2.9,5.7,EN,0,1182,7,1
2006,arroz,15,15,74,50,4933,-2.1,0,LN,0,1327,7,2
2007,arroz,15,15,82,56,5467,3.9,10.8,EN,0,1485,8,28
2008,arroz,15,15,82,55,5467,0.4,0,LN,1,2028,7,0
2009,arroz,15,15,82,55,5467,-2.5,0,LN,0,2241,5,4
2010,arroz,53,53,265,198,5000,-13.2,-8.5,EN,1,1857,8,4
2011,arroz,53,53,290,218,5472,-7.1,9.4,LN,1,2017,4,1
2012,arroz,40,40,248,186,6200,3.1,13.3,LN,0,1271,8,3
2013,arroz,40,40,248,202,6200,1.3,0,N,0,1668,8,4
2014,arroz,35,35,217,191,6200,-0.2,0,N,0,1061,17,12
2015,arroz,35,35,217,174,6200,-1.6,0,EN,0,1670,12,9
2016,arroz,35,35,219,229,6257,-1.7,0.9,EN,1,1942,6,6
2018,arroz,35,35,228,174,6514,0.8,,LN,0,1460,5,3
2020,arroz,33,33,221,235,6697,2.8,,EN,0,1207,9,3
2021,arroz,35,35,224,417,6400,-1.8,-4.4,LN,0,1931,5,5
1974,cana,,30,660,0,22000,-41.7,,LN,1,,,
1975,cana,,30,1200,0,40000,2.9,81.8,LN,0,,,
1976,cana,,30,1200,0,40000,0.3,0,LN,1,,,
1977,cana,,10,400,0,40000,-1.9,0,EN,0,,,
1979,cana,,8,320,0,40000,-5.1,,N,0,,,
1980,cana,,12,180,0,15000,-64.9,-62.5,EN,0,,,
1984,cana,,1,45,0,45000,3.7,,LN,0,1321,7,11
1985,cana,,1,45,0,45000,3.9,0,LN,0,1459,6,1
1986,cana,,1,45,0,45000,4.3,0,N,0,1464,12,6
1988,cana,3,3,135,0,45000,7.3,,EN,0,1066,10,7
1989,cana,4,4,80,0,20000,-51.5,-55.6,LN,1,1389,7,8
1990,cana,5,5,180,1e-04,36000,-11.3,80,N,0,1421,7,4
1991,cana,5,5,176,3e-04,35200,-11.5,-2.2,N,0,1087,9,10
1992,cana,5,5,192,0.0039,38400,-1.8,9.1,EN,1,1371,9,9
1993,cana,5,5,197,0.0825,39400,1.9,2.6,N,0,1124,4,9
1994,cana,6,6,241,2,40167,4.8,1.9,N,0,1382,7,25
1995,cana,5,5,200,3,40000,5.1,-0.4,EN,0,1607,7,21
1996,cana,5,5,190,3,38000,0.3,-5,LN,0,1510,7,10
1997,cana,3,3,108,2,36000,-4.9,-5.3,N,0,1142,5,8
1998,cana,3,3,115,2,38333,1.6,6.5,EN,1,2117,5,13
1999,cana,3,3,114,1,38000,1.7,-0.9,LN,1,1852,7,7
2000,cana,3,3,99,2,33000,-10.7,-13.2,LN,1,1375,6,5
2001,cana,3,3,111,8,37000,1,12.1,LN,0,1136,8,9
2002,cana,3,3,115,8,38333,5.6,3.6,N,0,1214,14,10
2003,cana,3,3,111,3,37000,2.7,-3.5,EN,0,1377,10,8
2004,cana,3,3,105,7,35000,-2.3,-5.4,N,0,1259,7,4
2005,cana,3,3,105,7,35000,-1.9,0,EN,0,1182,7,1
2006,cana,3,3,105,8,35000,-1.3,0,LN,0,1327,7,2
2007,cana,3,3,105,8,35000,-0.6,0,EN,0,1485,8,28
2008,cana,3,3,141,17,47000,34.5,34.3,LN,1,2028,7,0
2009,cana,3,3,105,13,35000,1.2,-25.5,LN,0,2241,5,4
2010,cana,3,3,105,12,35000,2.5,0,EN,1,1857,8,4
2011,cana,3,3,105,16,35000,3.9,0,LN,1,2017,4,1
2012,cana,3,3,90,13,30000,-9.7,-14.3,LN,0,1271,8,3
2013,cana,2,2,70,4,35000,7.1,16.7,N,0,1668,8,4
2014,cana,3,3,150,8,50000,55.2,42.9,N,0,1061,17,12
2015,cana,2,2,60,3,30000,-5.5,-40,EN,0,1670,12,9
2016,cana,2,2,60,4,30000,-4.1,0,EN,1,1942,6,6
2017,cana,2,2,120,8,60000,94.4,100,N,0,1536,9,4
2018,cana,2,2,80,5,40000,31.2,-33.3,LN,0,1460,5,3
2019,cana,2,2,60,4,30000,-0.4,-25,EN,0,1630,9,16
2020,cana,2,2,60,4,30000,0.7,0,EN,0,1207,9,3
2021,cana,2,2,50,4,25000,-15.4,-16.7,LN,0,1931,5,5
2022,cana,2,2,64,7,32000,9.2,28,LN,0,1637,9,1
1974,feijao,,5,4,0,800,0.2,,LN,1,,,
1975,feijao,,5,4,0,800,-0.2,0,LN,0,,,
1981,feijao,,1,1,0,1000,35.9,,N,0,2151,9,5
1982,feijao,,3,2,0,667,-13.3,-33.3,N,0,1532,5,2
1983,feijao,,3,2,0,667,0,0,EN,1,1608,6,5
1984,feijao,,2,1,0,500,-15,-25,LN,0,1321,7,11
1985,feijao,,1,1,0,1000,87.1,100,LN,0,1459,6,1
1986,feijao,,2,1,0,500,-1.3,-50,N,0,1464,12,6
1987,feijao,,2,1,0,500,0,0,EN,0,1425,8,4
1988,feijao,2,2,1,0,500,-0.5,0,EN,0,1066,10,7
1989,feijao,4,4,2,0,500,2.5,0,LN,1,1389,7,8
1990,feijao,8,8,3,0,375,-15.9,-25,N,0,1421,7,4
1991,feijao,5,5,2,1e-04,400,3.9,6.7,N,0,1087,9,10
1992,feijao,3,3,1,5e-04,333,-4.4,-16.7,EN,1,1371,9,9
1993,feijao,3,3,1,0.0091,333,0.3,0,N,0,1124,4,9
1994,feijao,3,3,1,0,333,1.2,0,N,0,1382,7,25
1995,feijao,3,3,1,0,333,1.5,0,EN,0,1607,7,21
1996,feijao,3,3,1,0,333,0.7,0,LN,0,1510,7,10
1997,feijao,3,3,1,0,333,-0.9,0,N,0,1142,5,8
1974,milho,,20,26,0,1300,-0.8,,LN,1,,,
1975,milho,,20,26,0,1300,2.7,0,LN,0,,,
1976,milho,,20,24,0,1200,-2.5,-7.7,LN,1,,,
1977,milho,,20,24,0,1200,-0.4,0,EN,0,,,
1978,milho,,20,24,0,1200,1.2,0,EN,0,,,
1979,milho,,15,18,0,1200,1.7,0,N,0,,,
1980,milho,,18,20,0,1111,-6.1,-7.4,EN,0,,,
1981,milho,,9,11,0,1222,2.9,10,N,0,2151,9,5
1982,milho,,10,12,0,1200,1.1,-1.8,N,0,1532,5,2
1983,milho,,10,12,0,1200,0.9,0,EN,1,1608,6,5
1984,milho,,9,10,0,1111,-6.7,-7.4,LN,0,1321,7,11
1985,milho,,8,10,0,1250,4.6,12.5,LN,0,1459,6,1
1986,milho,,10,10,0,1000,-17,-20,N,0,1464,12,6
1987,milho,,10,12,0,1200,-0.5,20,EN,0,1425,8,4
1988,milho,10,10,12,0,1200,2.5,0,EN,0,1066,10,7
1989,milho,8,8,9,0,1125,-0.5,-6.2,LN,1,1389,7,8
1990,milho,10,10,11,0,1100,-0.5,-2.2,N,0,1421,7,4
1991,milho,10,10,11,1e-04,1100,-2.9,0,N,0,1087,9,10
1992,milho,10,10,12,0.0015,1200,1.6,9.1,EN,1,1371,9,9
1993,milho,10,10,13,0.0298,1300,5.1,8.3,N,0,1124,4,9
1994,milho,11,11,18,2,1636,26.5,25.9,N,0,1382,7,25
1995,milho,10,10,14,1,1400,3.5,-14.4,EN,0,1607,7,21
1996,milho,8,8,11,1,1375,-3,-1.8,LN,0,1510,7,10
