ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1974,arroz,,7250,13050,0,1800,5.1,,1487,LN,1,-1.9,,,
1975,arroz,,7200,10800,0,1500,-2.4,-16.7,1439,N,0,-0.2,,,
1976,arroz,,9000,10800,0,1200,-14.4,-20,1392,LN,0,-1.1,,,
1977,arroz,,9000,12420,0,1380,6.3,15,1348,EN,0,1.1,,,
1978,arroz,,6000,3600,0,600,-51.4,-56.5,1306,EN,0,1.1,,,
1979,arroz,,3500,8750,0,2500,108,200,1266,N,0,0.2,,,
1980,arroz,,11200,11424,0,1020,-15.8,-59.2,1228,EN,0,0.7,,,
1981,arroz,,4000,4800,0,1200,-2.9,17.6,1191,N,0,0.2,1199,9,7
1982,arroz,,3000,4050,0,1350,7.7,12.5,1154,N,0,0,1262,5,1
1983,arroz,,3500,4725,0,1350,6.1,0,1119,EN,1,2.5,1260,7,0
1984,arroz,,2900,3480,0,1200,-3.2,-11.1,1084,LN,0,-1,1123,5,2
1985,arroz,,4000,4800,0,1200,0.4,0,1049,LN,0,-1,920,8,18
1986,arroz,,3750,4500,0,1200,5.3,0,1016,N,0,-0.2,1006,7,35
1987,arroz,,2500,2250,0,900,-17,-25,985,EN,1,1.5,1121,8,22
1988,arroz,2129,1701,850,0,500,-53.3,-44.5,957,EN,0,0.9,1330,8,8
1989,arroz,1300,1200,1320,1e-04,1100,2.8,120.1,931,LN,1,-1.9,1158,8,9
1990,arroz,1200,1200,1200,0.0041,1000,-5.9,-9.1,910,N,0,0,778,11,7
1991,arroz,50,50,60,0.0019,1200,20.2,20,894,EN,0,0.5,1170,6,15
1992,arroz,500,500,480,0.072,960,3.5,-20,882,EN,1,2.1,1101,14,10
1993,arroz,500,500,450,1.7287,900,9.2,-6.2,877,N,0,0.3,935,5,14
1994,arroz,200,100,60,8,600,-18.3,-33.3,876,N,0,0.3,1050,6,32
1995,arroz,100,100,60,8,600,-14.2,0,882,EN,0,1.4,1104,9,22
1996,arroz,220,220,132,24,600,-16.5,0,894,LN,0,-0.9,1108,7,14
1997,arroz,200,200,216,52,1080,40.6,80,911,N,0,-0.3,888,8,6
1998,arroz,60,60,54,9,900,6.7,-16.7,933,EN,1,2.3,968,9,40
2000,arroz,15,15,17,4,1133,7.3,,993,LN,1,-1.6,875,7,34
2001,arroz,15,15,18,4,1200,2.8,5.9,1029,LN,0,-0.7,866,6,22
2002,arroz,20,20,30,8,1500,16.2,25,1067,N,0,-0.3,1038,11,16
2003,arroz,20,20,20,10,1000,-29.3,-33.3,1108,EN,0,1.2,965,8,47
2004,arroz,15,0,0,0,,,,,N,0,0.3,743,12,30
1974,cana,,26,1040,0,40000,-0.5,,40017,LN,1,-1.5,,,
1975,cana,,26,1040,0,40000,-0.2,0,39944,N,0,-0.1,,,
1976,cana,,26,1040,0,40000,0.1,0,39870,LN,0,-1,,,
1977,cana,,26,1040,0,40000,0.3,0,39797,EN,0,1,,,
1978,cana,,25,1000,0,40000,0.5,0,39723,EN,0,0.9,,,
1979,cana,,200,8000,0,40000,0.6,0,39650,N,0,0.2,,,
1980,cana,,100,4000,0,40000,0.7,0,39577,EN,0,0.6,,,
1981,cana,,100,4000,0,40000,0.8,0,39504,N,0,0,1199,9,7
1982,cana,,100,4000,0,40000,0.8,0,39431,N,0,0.1,1262,5,1
1983,cana,,84,2936,0,34952,-11.9,-12.6,39359,EN,1,2.5,1260,7,0
1984,cana,,100,4000,0,40000,0.8,14.4,39286,LN,0,-0.5,1123,5,2
1985,cana,,100,4000,0,40000,0.8,0,39214,LN,0,-0.8,920,8,18
1986,cana,,100,4000,0,40000,0.7,0,39141,N,0,-0.3,1006,7,35
1987,cana,,100,4000,0,40000,0.6,0,39069,EN,1,1.6,1121,8,22
1988,cana,100,100,4000,0,40000,0.3,0,38997,EN,0,0.7,1330,8,8
1989,cana,100,100,4000,1e-04,40000,0.1,0,38925,LN,1,-1.7,1158,8,9
1990,cana,100,100,4000,0.0014,40000,-0.2,0,38854,N,0,0.2,778,11,7
1991,cana,100,100,4000,0.0108,40000,-0.2,0,38782,EN,0,0.6,1170,6,15
1996,cana,2,2,40,1,20000,-46.5,,38426,LN,0,-0.9,1108,7,14
2001,cana,2,2,160,3,80000,121.8,,38073,LN,0,-0.6,866,6,22
2002,cana,2,2,140,7,70000,89.3,-12.5,38003,N,0,-0.1,1038,11,16
2003,cana,13,13,910,46,70000,84.2,0,37933,EN,0,0.9,965,8,47
2004,cana,13,13,910,94,70000,84.7,0,37863,N,0,0.3,743,12,30
2005,cana,13,13,910,55,70000,86.1,0,37793,EN,0,0.6,863,10,32
2006,cana,13,13,520,52,40000,2.9,-42.9,37723,LN,0,-0.9,1111,5,17
2007,cana,10,10,400,40,40000,-3,0,37654,EN,0,0.6,977,13,26
2008,cana,20,20,200,20,10000,-76.9,-75,37584,LN,1,-1.6,1058,7,25
2009,cana,20,20,200,20,10000,-77.9,0,37515,LN,0,-0.9,997,7,41
2010,cana,20,20,200,12,10000,-78.6,0,37446,EN,1,1.5,1283,9,21
2011,cana,20,20,200,18,10000,-79.2,0,37377,LN,0,-1.4,1481,8,18
2012,cana,20,20,1000,100,50000,2.1,200,37308,LN,0,-0.8,1033,9,37
2013,cana,20,20,1000,115,50000,0.6,0,37239,LN,0,-0.6,1069,6,30
2014,cana,20,20,1000,100,50000,-0.3,0,37171,LN,0,-0.5,947,9,23
2015,cana,20,20,1000,125,50000,-0.9,0,37102,EN,0,0.5,814,17,28
2016,cana,20,20,1000,150,50000,-1.2,0,37034,EN,1,2.2,1341,8,35
2017,cana,20,20,1000,150,50000,-0.9,0,36966,LN,0,-0.7,1057,10,28
2018,cana,10,10,400,60,40000,-20,-20,36898,LN,0,-1.1,1299,6,24
2019,cana,10,10,500,75,50000,1.5,25,36830,EN,0,0.6,935,11,30
2020,cana,15,15,750,113,50000,3.6,0,36762,N,0,0.1,941,8,58
2021,cana,15,15,750,131,50000,6.5,0,36694,LN,0,-1.2,958,10,57
2022,cana,25,25,750,109,30000,-33.9,-40,36626,LN,0,-1.2,1100,5,14
2023,cana,25,25,750,113,30000,-31,0,36559,LN,0,-0.8,1087,5,16
2024,cana,15,15,600,92,40000,-3.2,33.3,36491,EN,0,1.2,687,6,96
1974,feijao,,250,300,0,1200,-6,,1283,LN,1,-1.9,,,
1975,feijao,,280,336,0,1200,9.6,0,1090,N,0,-0.2,,,
1976,feijao,,300,270,0,900,-3.7,-25,929,LN,0,-1.1,,,
1977,feijao,,600,720,0,1200,51.3,33.3,798,EN,0,1.1,,,
1978,feijao,,371,269,0,725,7.6,-39.6,695,EN,0,1.1,,,
1979,feijao,,338,218,0,645,12.1,-11,615,N,0,0.2,,,
1980,feijao,,1000,510,0,510,2.2,-20.9,558,EN,0,0.7,,,
1981,feijao,,350,114,0,326,-27.6,-36.1,518,N,0,0.2,1199,9,7
1982,feijao,,105,37,0,352,-16.7,8.2,495,N,0,0,1262,5,1
1983,feijao,,260,120,0,462,6.3,31,483,EN,1,2.5,1260,7,0
1984,feijao,,280,112,0,400,-13.4,-13.3,482,LN,0,-1,1123,5,2
1985,feijao,,260,156,0,600,18.4,50,488,LN,0,-1,920,8,18
1986,feijao,,240,144,0,600,8,0,498,N,0,-0.2,1006,7,35
1987,feijao,,80,45,0,562,-3.5,-6.2,508,EN,1,1.5,1121,8,22
1988,feijao,40,40,24,0,600,-0.3,6.7,517,EN,0,0.9,1330,8,8
1989,feijao,100,100,60,0,600,0,0,522,LN,1,-1.9,1158,8,9
1990,feijao,100,100,60,7e-04,600,2.1,0,522,N,0,0,778,11,7
1991,feijao,20,20,12,8e-04,600,8.1,0,517,EN,0,0.5,1170,6,15
1992,feijao,10,10,4,0.0017,400,-23.6,-33.3,510,EN,1,2.1,1101,14,10
1993,feijao,10,10,5,0.0825,500,-0.7,25,503,N,0,0.3,935,5,14
1994,feijao,35,35,19,11,543,10.6,8.6,498,N,0,0.3,1050,6,32
1995,feijao,90,90,27,12,300,-39.8,-44.7,498,EN,0,1.4,1104,9,22
2000,feijao,3,3,2,1,667,11.1,,591,LN,1,-1.6,875,7,34
2001,feijao,30,30,27,22,900,43.1,35,632,LN,0,-0.7,866,6,22
2002,feijao,60,60,46,46,767,17.2,-14.8,682,N,0,-0.3,1038,11,16
2003,feijao,10,10,6,6,600,-10.7,-21.7,739,EN,0,1.2,965,8,47
2004,feijao,20,20,12,12,600,-13,0,802,N,0,0.3,743,12,30
2015,feijao,115,115,276,353,2400,186.1,,1284,EN,0,0.6,814,17,28
2016,feijao,220,80,67,391,838,-3.3,-65.1,1253,EN,1,2.4,1341,8,35
2017,feijao,353,273,429,1012,1571,75.5,87.6,1207,LN,0,-1,1057,10,28
2018,feijao,87,87,79,103,908,-2.1,-42.2,1150,LN,0,-1.3,1299,6,24
2019,feijao,1,1,1,2,1000,3.8,10.1,1089,EN,0,0.7,935,11,30
2020,feijao,1,1,1,3,1000,-0.2,0,1028,N,0,0.2,941,8,58
1974,milho,,800,1440,0,1800,8.7,,1427,LN,0,-0.9,,,
1975,milho,,500,900,0,1800,10.8,0,1458,N,0,-0.3,,,
1976,milho,,400,600,0,1500,-6.4,-16.7,1491,N,0,-0.3,,,
1977,milho,,700,1050,0,1500,-5.8,0,1524,EN,0,0.5,,,
1978,milho,,500,450,0,900,-43.4,-40,1557,N,0,0.1,,,
1979,milho,,500,930,0,1860,16.6,106.7,1592,N,0,0.2,,,
1980,milho,,1000,1500,0,1500,-6.9,-19.4,1627,N,0,0.3,,,
1981,milho,,1000,1500,0,1500,-8.4,0,1663,N,0,-0.3,1199,9,7
1982,milho,,1200,2160,0,1800,8,20,1700,N,0,0.4,1262,5,1
1983,milho,,1200,2160,0,1800,5.3,0,1738,EN,1,1.7,1260,7,0
1984,milho,,2200,3960,0,1800,1.9,0,1776,N,0,-0.3,1123,5,2
1985,milho,,3000,5400,0,1800,-0.8,0,1816,LN,0,-0.6,920,8,18
1986,milho,,3000,5400,0,1800,-2,0,1856,N,0,-0.2,1006,7,35
1987,milho,,800,1440,0,1800,-2.6,0,1897,EN,0,1.3,1121,8,22
1988,milho,800,800,1774,0,2218,18.2,23.2,1939,N,0,-0.2,1330,8,8
1989,milho,500,500,1000,1e-04,2000,4.5,-9.8,1982,LN,0,-1.1,1158,8,9
1990,milho,500,500,600,0.0016,1200,-38.4,-40,2026,N,0,0.3,778,11,7
1991,milho,537,500,1200,0.0252,2400,19.6,100,2071,N,0,0.4,1170,6,15
1992,milho,500,500,750,0.0851,1500,-28.5,-37.5,2117,EN,1,2,1101,14,10
1993,milho,300,300,720,3.1044,2400,8.6,60,2164,EN,0,0.9,935,5,14
1994,milho,200,140,336,29,2400,3.5,0,2212,N,0,0.4,1050,6,32
1995,milho,400,400,960,75,2400,-2.5,0,2261,EN,0,0.7,1104,9,22
1996,milho,350,350,840,95,2400,-7.9,0,2311,LN,0,-0.6,1108,7,14
1997,milho,450,450,1260,122,2800,3.2,16.7,2362,N,0,0.2,888,8,6
1998,milho,680,680,2244,256,3300,17.2,17.9,2415,EN,0,1.3,968,9,40
1999,milho,400,400,1200,156,3000,4,-9.1,2468,LN,0,-1.1,802,6,23
2000,milho,300,300,720,123,2400,-18,-20,2523,LN,0,-1.1,875,7,34
2001,milho,650,645,2190,250,3395,14.8,41.5,2579,LN,0,-0.5,866,6,22
2002,milho,470,470,1692,372,3600,21.4,6,2636,N,0,0,1038,11,16
2003,milho,150,150,360,90,2400,-18.7,-33.3,2695,N,0,0.2,965,8,47
2004,milho,200,200,240,62,1200,-59.2,-50,2754,N,0,0.1,743,12,30
2005,milho,200,200,600,125,3000,1.7,150,2815,N,0,0.3,863,10,32
2006,milho,100,100,240,41,2400,-19.5,-20,2878,LN,0,-0.6,1111,5,17
2013,milho,10,10,54,18,5400,63.7,,3355,LN,0,-0.5,1069,6,30
2014,milho,50,50,240,80,4800,42.5,-11.1,3430,N,0,-0.3,947,9,23
2015,milho,753,753,1929,550,2562,-25.6,-46.6,3506,EN,0,0.5,814,17,28
2016,milho,1160,1160,3967,2031,3420,-2.6,33.5,3583,EN,0,1.3,1341,8,35
2017,milho,2800,2800,14280,3798,5100,42.8,49.1,3663,N,0,-0.3,1057,10,28
2018,milho,3006,3006,9919,4931,3300,-9.2,-35.3,3744,LN,0,-0.9,1299,6,24
2019,milho,3005,3005,12616,5728,4198,13.7,27.2,3827,EN,0,0.6,935,11,30
2020,milho,1654,1654,5404,2551,3267,-12.8,-22.2,3912,N,0,0,941,8,58
2021,milho,4200,2940,6703,8714,2280,-40,-30.2,3999,LN,0,-1,958,10,57
2022,milho,2968,2968,17096,19279,5760,49.4,152.6,4087,LN,0,-1.3,1100,5,14
2023,milho,3895,3880,17892,16250,4611,18.1,-19.9,4178,N,0,-0.4,1087,5,16
2024,milho,2300,2300,8280,6548,3600,-8.9,-21.9,4271,EN,0,0.5,687,6,96
2003,milho1,150,150,360,,2400,,,,EN,0,1.2,965,8,47
2004,milho1,200,200,240,,1200,,-50,,N,0,0.3,743,12,30
2005,milho1,200,200,600,,3000,,150,,EN,0,0.7,863,10,32
2006,milho1,100,100,240,,2400,,-20,,LN,0,-0.8,1111,5,17
2013,milho1,10,10,54,,5400,,,,N,0,-0.4,1069,6,30
2014,milho1,50,50,240,,4800,,-11.1,,N,0,-0.3,947,9,23
2015,milho1,33,33,158,,4788,,-0.3,,EN,0,0.6,814,17,28
2018,milho1,6,6,19,,3167,,,,LN,0,-1.3,1299,6,24
2019,milho1,5,5,16,,3200,,1.1,,EN,0,0.7,935,11,30
2023,milho1,600,600,5100,,8500,,,,LN,0,-1,1087,5,16
2015,milho2,720,720,1771,,2460,,,,EN,0,0.5,814,17,28
2016,milho2,1160,1160,3967,,3420,,39,,EN,0,1.3,1341,8,35
2017,milho2,2800,2800,14280,,5100,,49.1,,N,0,-0.3,1057,10,28
2018,milho2,3000,3000,9900,,3300,,-35.3,,LN,0,-0.9,1299,6,24
2019,milho2,3000,3000,12600,,4200,,27.3,,EN,0,0.6,935,11,30
2020,milho2,1654,1654,5404,,3267,,-22.2,,N,0,0,941,8,58
2021,milho2,4200,2940,6703,,2280,,-30.2,,LN,0,-1,958,10,57
2022,milho2,2968,2968,17096,,5760,,152.6,,LN,0,-1.3,1100,5,14
2023,milho2,3295,3280,12792,,3900,,-32.3,,N,0,-0.4,1087,5,16
2024,milho2,2300,2300,8280,,3600,,-7.7,,EN,0,0.5,687,6,96
1978,soja,,200,216,0,1080,-3.2,,1267,EN,0,1.1,,,
1982,soja,,15,27,0,1800,23.2,,1364,N,0,0,1262,5,1
1984,soja,,1800,2880,0,1600,5,,1410,LN,0,-1,1123,5,2
1985,soja,,2100,3150,0,1500,-1.9,-6.2,1432,LN,0,-1,920,8,18
1986,soja,,2100,3150,0,1500,0.3,0,1454,N,0,-0.2,1006,7,35
1987,soja,,250,375,0,1500,3.4,0,1477,EN,1,1.5,1121,8,22
1988,soja,110,110,165,0,1500,4.3,0,1501,EN,0,0.9,1330,8,8
1989,soja,610,610,793,1e-04,1300,-9.5,-13.3,1529,LN,1,-1.9,1158,8,9
1990,soja,300,300,300,0.0011,1000,-31.3,-23.1,1561,N,0,0,778,11,7
1991,soja,350,350,630,0.0093,1800,18.9,80,1599,EN,0,0.5,1170,6,15
1992,soja,350,350,525,0.0743,1500,-6,-16.7,1642,EN,1,2.1,1101,14,10
1993,soja,350,350,630,4.032,1800,5.7,20,1693,N,0,0.3,935,5,14
1994,soja,50,50,75,8,1500,-17.1,-16.7,1749,N,0,0.3,1050,6,32
1995,soja,100,100,210,27,2100,10.4,40,1811,EN,0,1.4,1104,9,22
1996,soja,60,60,126,24,2100,5.4,0,1878,LN,0,-0.9,1108,7,14
1998,soja,50,50,105,21,2100,-3.5,,2021,EN,1,2.3,968,9,40
2013,soja,280,280,840,700,3000,1,,2965,N,0,-0.4,1069,6,30
2015,soja,1219,1219,3657,3359,3000,0.2,,2997,EN,0,0.6,814,17,28
2016,soja,1725,1725,5175,5051,3000,0.1,0,3001,EN,1,2.4,1341,8,35
2017,soja,4035,4035,15010,13134,3720,24.2,24,2998,LN,0,-1,1057,10,28
2018,soja,4200,4200,12600,14062,3000,0.3,-19.4,2991,LN,0,-1.3,1299,6,24
2019,soja,4200,4200,11760,12736,2800,-6,-6.7,2980,EN,0,0.7,935,11,30
