ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1974,arroz,,15,18,0,1200,1.3,,LN,1,,,
1975,arroz,,26,31,0,1192,1.1,-0.6,N,0,,,
1976,arroz,,20,44,0,2200,86,84.5,LN,0,,,
1977,arroz,,20,24,0,1200,0.2,-45.5,EN,0,,,
1978,arroz,,20,24,0,1200,-1.5,0,EN,0,,,
1979,arroz,,22,26,0,1182,-5.3,-1.5,N,0,,,
1980,arroz,,120,120,0,1000,-22.1,-15.4,EN,0,,,
1981,arroz,,23,35,0,1522,13.7,52.2,N,0,1350,8,0
1982,arroz,,107,150,0,1402,0.2,-7.9,N,0,1706,7,0
1983,arroz,,105,168,0,1600,11.2,14.1,EN,1,1834,9,0
1984,arroz,,447,447,0,1000,-32.2,-37.5,LN,0,1116,18,0
1985,arroz,,362,598,0,1652,8.7,65.2,LN,0,1559,10,0
1986,arroz,,439,648,0,1476,-6.5,-10.6,N,0,1211,14,0
1987,arroz,,417,634,0,1520,-6.8,3,EN,1,1072,13,0
1988,arroz,328,328,890,0,2713,58.8,78.5,EN,0,1501,8,0
1989,arroz,310,310,873,2e-04,2816,58.6,3.8,LN,1,1697,6,0
1990,arroz,288,288,563,0.0029,1955,9.2,-30.6,N,0,975,8,0
1991,arroz,279,279,558,0.0406,2000,12,2.3,EN,0,1463,9,0
1992,arroz,250,250,400,0.1699,1600,-8.2,-20,EN,1,1341,7,0
1993,arroz,256,256,405,5.3742,1582,-5.1,-1.1,EN,0,1318,4,0
1994,arroz,244,244,386,58,1582,-1.3,0,N,0,1293,13,0
1995,arroz,221,221,349,63,1579,0.4,-0.2,EN,0,1273,7,0
1996,arroz,179,179,282,56,1575,1.3,-0.2,LN,0,1668,6,0
1997,arroz,51,51,15,6,294,-81.2,-81.3,N,0,1735,7,0
1998,arroz,154,154,242,63,1571,-0.4,200,EN,1,1199,8,0
1999,arroz,144,144,226,50,1569,2.5,-0.1,LN,1,1530,4,0
2000,arroz,137,137,216,50,1577,5.6,0.5,LN,1,1455,6,0
2001,arroz,120,120,189,45,1575,5.9,-0.1,LN,0,1379,10,0
2002,arroz,20,20,27,8,1350,-10.1,-14.3,N,0,1393,6,0
2003,arroz,15,15,21,16,1400,-9.7,3.7,EN,1,1707,18,0
2004,arroz,15,15,21,17,1400,-13.4,0,N,0,1772,7,0
