ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1974,arroz,,620,744,0,1200,30.7,,LN,1,,,
1975,arroz,,620,521,0,840,-7,-30,LN,0,,,
1976,arroz,,400,320,0,800,-10.9,-4.8,LN,1,,,
1977,arroz,,2000,1680,0,840,-7.1,5,EN,0,,,
1978,arroz,,2010,2010,0,1000,9.1,19,EN,0,,,
1979,arroz,,300,180,0,600,-35.8,-40,N,0,,,
1980,arroz,,800,800,0,1000,3.8,66.7,EN,0,,,
1981,arroz,,1500,1050,0,700,-30,-30,N,0,1195,10,15
1982,arroz,,500,550,0,1100,6,57.1,N,0,1185,6,1
1983,arroz,,320,340,0,1062,-2.8,-3.4,EN,1,1001,10,48
1984,arroz,,300,280,0,933,-20.1,-12.2,LN,0,930,9,19
1985,arroz,,210,252,0,1200,-2.2,28.6,LN,0,1155,18,13
1986,arroz,,180,288,0,1600,25.5,33.3,N,0,997,11,0
1987,arroz,,200,60,0,300,-77.3,-81.2,EN,0,641,9,45
1988,arroz,420,340,540,0,1588,17.5,200,EN,0,927,19,27
1989,arroz,20,20,30,0,1500,12.7,-5.6,LN,1,638,15,1
1990,arroz,500,500,540,0.0037,1080,-15.6,-28,N,0,891,19,9
1991,arroz,600,600,810,0.0252,1350,7.8,25,N,0,1005,10,13
1992,arroz,720,720,642,0.1387,892,-28.3,-34,EN,1,1196,24,1
1993,arroz,600,600,820,7.2124,1367,11.1,53.3,N,0,932,18,3
1994,arroz,600,600,690,145,1150,-6.1,-15.9,N,0,782,12,20
1995,arroz,620,620,504,180,813,-36.1,-29.3,EN,0,695,20,28
1996,arroz,670,670,585,234,873,-33.9,7.4,LN,0,741,12,19
1997,arroz,200,200,300,105,1500,10.7,71.8,N,0,996,9,9
1998,arroz,130,130,228,29,1754,24.7,16.9,EN,1,672,14,41
1999,arroz,120,120,186,24,1550,9.5,-11.6,LN,1,894,22,18
2000,arroz,130,130,213,28,1638,20.7,5.7,LN,1,938,13,9
2001,arroz,56,56,66,10,1179,-7.1,-28.1,LN,0,677,21,22
