ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1974,arroz,,800,2006,0,2508,-6.8,,2685,LN,1,-1.9,,,
1975,arroz,,800,2400,0,3000,9.6,19.6,2735,N,0,-0.2,,,
1976,arroz,,750,2250,0,3000,7.6,0,2786,LN,0,-1.1,,,
1977,arroz,,835,2070,0,2479,-12.7,-17.4,2838,EN,0,1.1,,,
1978,arroz,,900,2700,0,3000,3.6,21,2892,EN,0,1.1,,,
1979,arroz,,900,2650,0,2944,-0.3,-1.9,2947,N,0,0.2,,,
1980,arroz,,1750,5200,0,2971,-1.5,0.9,3002,EN,0,0.7,,,
1981,arroz,,1700,4675,0,2750,-10.7,-7.5,3058,N,0,0.2,798,9,0
1982,arroz,,1900,7505,0,3950,25.6,43.6,3115,N,0,0,683,12,0
1983,arroz,,1760,4840,0,2750,-14.5,-30.4,3171,EN,1,2.5,911,10,1
1984,arroz,,2260,8046,0,3560,8.2,29.5,3228,LN,0,-1,914,8,11
1985,arroz,,1952,6146,0,3149,-6.5,-11.6,3287,LN,0,-1,870,9,1
1986,arroz,,2001,7816,0,3906,13.3,24.1,3349,N,0,-0.2,683,11,8
1987,arroz,,2035,7826,0,3846,9,-1.5,3417,EN,1,1.5,945,12,8
1988,arroz,1608,1608,5624,0,3498,-3,-9.1,3495,EN,0,0.9,700,11,3
1989,arroz,2310,2310,5655,4e-04,2448,-33.6,-30,3585,LN,1,-1.9,685,10,0
1990,arroz,2310,2310,7510,0.0218,3251,-14.3,32.8,3692,N,0,0,673,10,1
1991,arroz,2310,2310,10370,0.264,4489,14.8,38.1,3817,EN,0,0.5,744,9,0
1992,arroz,2610,2610,10420,1.5535,3992,-0.8,-11.1,3963,EN,1,2.1,1071,5,0
1993,arroz,2410,2410,7820,11.6589,3245,-22.2,-18.7,4130,N,0,0.3,804,8,0
1994,arroz,2389,2271,11340,2960,4993,14.7,53.9,4319,N,0,0.3,836,6,0
1995,arroz,2389,2389,10738,1761,4495,-1.5,-10,4528,EN,0,1.4,971,8,4
1996,arroz,720,720,3588,682,4983,4.2,10.9,4753,LN,0,-0.9,1191,7,4
1997,arroz,1900,1900,9462,1892,4980,-1.1,-0.1,4992,N,0,-0.3,1085,5,0
1998,arroz,2405,2405,12010,3003,4994,-6.3,0.3,5238,EN,1,2.3,1186,5,1
1999,arroz,2605,2605,14310,4293,5493,-1.7,10,5486,LN,1,-1.6,679,12,0
2000,arroz,2752,2722,14964,3442,5497,-5.7,0.1,5729,LN,1,-1.6,810,7,0
2001,arroz,2802,2802,16804,4369,5997,-1.5,9.1,5963,LN,0,-0.7,977,6,0
2002,arroz,3230,3230,22610,6783,7000,10.5,16.7,6181,N,0,-0.3,854,14,5
2003,arroz,3600,3600,25200,14616,7000,7.1,0,6380,EN,0,1.2,885,6,2
2004,arroz,3680,3680,25208,17646,6850,2.2,-2.1,6557,N,0,0.3,700,7,0
2005,arroz,3680,3680,25208,10083,6850,0,0,6708,EN,0,0.7,673,9,0
2006,arroz,3680,3680,23920,7176,6500,-6.8,-5.1,6834,LN,0,-0.8,881,9,0
2007,arroz,3680,3680,27600,12144,7500,6.4,15.4,6934,EN,0,0.9,839,10,0
2008,arroz,3500,3500,22750,10465,6500,-8.2,-13.3,7011,LN,1,-1.5,961,7,0
2009,arroz,3500,3500,25375,17763,7250,2,11.5,7066,LN,0,-0.8,1266,5,0
2010,arroz,4000,4000,29000,8410,7250,1.8,0,7103,EN,1,1.6,1090,11,0
2011,arroz,3696,3696,24024,9129,6500,-8.5,-10.3,7127,LN,1,-1.6,1073,5,0
2012,arroz,3696,3696,27391,14243,7411,4.4,14,7141,LN,0,-1,585,11,0
2013,arroz,3696,3696,27391,18078,7411,4.4,0,7150,N,0,-0.4,877,7,1
2014,arroz,3696,3696,26194,16764,7087,-0.1,-4.4,7157,N,0,-0.3,844,11,0
2015,arroz,3400,3400,23800,17612,7000,-1.5,-1.2,7165,EN,0,0.6,1001,9,2
2016,arroz,3400,3400,23800,18088,7000,-1.8,0,7176,EN,1,2.4,926,9,1
2017,arroz,3400,3400,23800,18088,7000,-2.1,0,7193,LN,0,-1,750,6,0
2018,arroz,3400,3400,23800,15898,7000,-2.5,0,7214,LN,0,-1.3,772,11,0
2019,arroz,3400,3400,23800,19278,7000,-2.9,0,7240,EN,0,0.7,884,9,2
2020,arroz,2650,2650,21113,35892,7967,9.9,13.8,7271,N,0,0.2,709,14,0
2021,arroz,2712,2712,18984,30374,7000,-4,-12.1,7305,LN,0,-1.4,978,11,0
2022,arroz,2712,2712,18984,32273,7000,-4.6,0,7341,LN,0,-1.2,772,8,6
2023,arroz,2592,2592,20088,33262,7750,4.8,10.7,7379,LN,0,-1,1065,8,1
2024,arroz,2592,2592,19440,41395,7500,0.6,-3.2,7417,EN,1,1.5,1272,7,0
1974,cana,,80,2400,0,30000,28.6,,26332,LN,1,-1.5,,,
1975,cana,,70,1750,0,25000,2.3,-16.7,26085,N,0,-0.1,,,
1976,cana,,30,750,0,25000,-2.1,0,25865,LN,0,-1,,,
1977,cana,,30,750,0,25000,-6.5,0,25716,EN,0,1,,,
1978,cana,,30,750,0,25000,-10.7,0,25706,EN,0,0.9,,,
1979,cana,,35,875,0,25000,-14.7,0,25927,N,0,0.2,,,
1980,cana,,40,1000,0,25000,-18.3,0,26482,EN,0,0.6,,,
1981,cana,,50,1500,0,30000,-6,20,27473,N,0,0,798,9,0
1982,cana,,50,1000,0,20000,-40,-33.3,28989,N,0,0.1,683,12,0
1983,cana,,62,2480,0,40000,15.7,100,31073,EN,1,2.5,911,10,1
1984,cana,,62,2480,0,40000,10.7,0,33687,LN,0,-0.5,914,8,11
1985,cana,,82,3280,0,40000,5.4,0,36667,LN,0,-0.8,870,9,1
1986,cana,,92,3680,0,40000,1.7,0,39681,N,0,-0.3,683,11,8
1987,cana,,30,1200,0,40000,-0.6,0,42245,EN,1,1.6,945,12,8
1988,cana,22,22,880,0,40000,-2.5,0,43814,EN,0,0.7,700,11,3
1989,cana,22,22,880,0,40000,-3.4,0,43967,LN,1,-1.7,685,10,0
1990,cana,22,22,880,3e-04,40000,-3,0,42587,N,0,0.2,673,10,1
1991,cana,22,22,880,0.0019,40000,0.7,0,39943,EN,0,0.6,744,9,0
1992,cana,20,20,800,0.0218,40000,6.6,0,36595,EN,1,2.3,1071,5,0
1993,cana,20,20,800,0.3345,40000,9.7,0,33191,EN,0,0.5,804,8,0
1994,cana,20,20,800,11,40000,10.3,0,30285,N,0,0.3,836,6,0
1995,cana,15,15,525,20,35000,-3.2,-12.5,28263,EN,0,1.3,971,8,4
1996,cana,547,547,10315,309,18857,-49.3,-46.1,27359,LN,0,-0.9,1191,7,4
1997,cana,510,510,12750,510,25000,-38.1,32.6,27735,N,0,-0.2,1085,5,0
1998,cana,500,500,12500,563,25000,-44.1,0,29546,EN,1,2.2,1186,5,1
1999,cana,500,500,12500,500,25000,-48.8,0,32962,LN,1,-1.5,679,12,0
2000,cana,500,460,9200,414,20000,-63.1,-20,38144,LN,1,-1.7,810,7,0
2001,cana,550,550,44000,2200,80000,29.9,200,45139,LN,0,-0.6,977,6,0
2002,cana,550,550,38500,1733,70000,1.6,-12.5,53716,N,0,-0.1,854,14,5
2003,cana,550,550,44000,1760,80000,8.5,14.3,63208,EN,0,0.9,885,6,2
2004,cana,550,550,44000,2640,80000,4.3,0,72479,N,0,0.3,700,7,0
2005,cana,550,550,44000,2860,80000,0.9,0,80138,EN,0,0.6,673,9,0
2006,cana,550,550,44000,2640,80000,-0.9,0,84956,LN,0,-0.9,881,9,0
2007,cana,550,550,44000,3520,80000,-0.3,0,86311,EN,0,0.6,839,10,0
2008,cana,550,550,41250,2888,75000,-3.9,-6.2,84369,LN,1,-1.6,961,7,0
2009,cana,550,550,44000,3520,80000,5.8,6.7,79926,LN,0,-0.9,1266,5,0
2010,cana,550,550,45000,4500,81818,13,2.3,74051,EN,1,1.5,1090,11,0
2011,cana,550,550,33000,3960,60000,-11.9,-26.7,67732,LN,0,-1.4,1073,5,0
2012,cana,550,550,33000,3960,60000,-6.6,0,61689,LN,0,-0.8,585,11,0
2013,cana,500,500,33000,4620,66000,9,10,56331,LN,0,-0.6,877,7,1
2014,cana,500,500,33000,2640,66000,16.9,0,51821,LN,0,-0.5,844,11,0
2015,cana,10,10,400,60,40000,-24.5,-39.4,48161,EN,0,0.5,1001,9,2
2016,cana,10,10,400,72,40000,-20.1,0,45262,EN,1,2.2,926,9,1
2017,cana,9,9,360,83,40000,-15.2,0,42999,LN,0,-0.7,750,6,0
2018,cana,9,9,360,139,40000,-10.3,0,41244,LN,0,-1.1,772,11,0
2019,cana,9,9,360,144,40000,-5.4,0,39873,EN,0,0.6,884,9,2
2020,cana,9,9,360,126,40000,-0.2,0,38783,N,0,0.1,709,14,0
2021,cana,9,9,360,72,40000,4.9,0,37886,LN,0,-1.2,978,11,0
2022,cana,9,9,360,137,40000,9.6,0,37110,LN,0,-1.2,772,8,6
2023,cana,9,9,315,110,35000,-0.5,-12.5,36404,LN,0,-0.8,1065,8,1
2024,cana,9,9,315,158,35000,2.8,0,35731,EN,0,1.2,1272,7,0
1974,feijao,,160,89,0,556,4.6,,560,LN,1,-1.9,,,
1975,feijao,,230,126,0,548,-0.9,-1.5,566,N,0,-0.2,,,
1976,feijao,,450,321,0,713,24.5,30.2,571,LN,0,-1.1,,,
1977,feijao,,350,192,0,549,-7.4,-23.1,577,EN,0,1.1,,,
1978,feijao,,350,204,0,583,-4.6,6.2,583,EN,0,1.1,,,
1979,feijao,,210,100,0,476,-24.2,-18.3,589,N,0,0.2,,,
1980,feijao,,520,312,0,600,-6.9,26,595,EN,0,0.7,,,
1981,feijao,,320,234,0,731,10.9,21.9,601,N,0,0.2,798,9,0
1982,feijao,,390,280,0,718,6.5,-1.8,607,N,0,0,683,12,0
1983,feijao,,690,261,0,378,-45,-47.3,613,EN,1,2.5,911,10,1
1984,feijao,,720,498,0,692,-1.3,82.9,620,LN,0,-1,914,8,11
1985,feijao,,750,522,0,696,-2.5,0.6,626,LN,0,-1,870,9,1
1986,feijao,,910,603,0,663,-8.4,-4.8,632,N,0,-0.2,683,11,8
1987,feijao,,310,241,0,777,6.7,17.3,639,EN,1,1.5,945,12,8
1988,feijao,1050,1050,795,0,757,3.6,-2.6,645,EN,0,0.9,700,11,3
1989,feijao,1050,1050,504,1e-04,480,-34.4,-36.6,652,LN,1,-1.9,685,10,0
1990,feijao,810,810,594,0.0062,733,0,52.8,659,N,0,0,673,10,1
1991,feijao,960,960,696,0.0264,725,-1.5,-1.1,665,EN,0,0.5,744,9,0
1992,feijao,1090,1090,768,0.169,705,-4.4,-2.8,672,EN,1,2.1,1071,5,0
1993,feijao,920,920,783,3.7811,851,15.2,20.8,679,N,0,0.3,804,8,0
1994,feijao,920,920,426,236,463,-37.2,-45.6,686,N,0,0.3,836,6,0
1995,feijao,850,850,340,149,400,-45.4,-13.6,693,EN,0,1.4,971,8,4
1996,feijao,450,363,262,123,722,-1.5,80.4,700,LN,0,-0.9,1191,7,4
1997,feijao,350,350,150,69,429,-41.9,-40.6,707,N,0,-0.3,1085,5,0
1998,feijao,300,300,225,174,750,0.8,75,714,EN,1,2.3,1186,5,1
1999,feijao,350,350,279,164,797,5.9,6.3,721,LN,1,-1.6,679,12,0
2000,feijao,300,300,216,96,720,-6.2,-9.7,729,LN,1,-1.6,810,7,0
2001,feijao,250,250,282,212,1128,43,56.7,736,LN,0,-0.7,977,6,0
2002,feijao,250,250,165,206,660,-18.6,-41.5,744,N,0,-0.3,854,14,5
2003,feijao,250,250,210,232,840,1.4,27.3,751,EN,0,1.2,885,6,2
2004,feijao,250,250,174,165,696,-17.7,-17.1,759,N,0,0.3,700,7,0
2005,feijao,250,250,219,219,876,1.5,25.9,767,EN,0,0.7,673,9,0
2006,feijao,250,250,222,178,888,1.3,1.4,774,LN,0,-0.8,881,9,0
2007,feijao,250,250,228,155,912,3.3,2.7,782,EN,0,0.9,839,10,0
2008,feijao,150,150,138,274,920,3.8,0.9,790,LN,1,-1.5,961,7,0
2009,feijao,200,200,180,108,900,1.2,-2.2,798,LN,0,-0.8,1266,5,0
2010,feijao,100,100,90,54,900,1.5,0,807,EN,1,1.6,1090,11,0
2011,feijao,100,100,75,53,750,-14.7,-16.7,815,LN,1,-1.6,1073,5,0
2012,feijao,80,80,48,52,600,-31.3,-20,823,LN,0,-1,585,11,0
2013,feijao,90,90,72,121,800,-8.2,33.3,831,N,0,-0.4,877,7,1
2014,feijao,90,90,78,140,867,-0.3,8.3,840,N,0,-0.3,844,11,0
2015,feijao,90,90,79,139,878,1.1,1.3,848,EN,0,0.6,1001,9,2
2016,feijao,90,90,79,135,878,1,0,857,EN,1,2.4,926,9,1
2017,feijao,90,90,79,149,878,0.9,0,866,LN,0,-1,750,6,0
2018,feijao,90,90,79,270,878,0.6,0,875,LN,0,-1.3,772,11,0
2019,feijao,90,90,79,240,878,0.2,0,884,EN,0,0.7,884,9,2
2020,feijao,90,90,79,340,878,-0.3,0,893,N,0,0.2,709,14,0
2021,feijao,90,90,79,474,878,-0.9,0,902,LN,0,-1.4,978,11,0
2022,feijao,90,90,79,516,878,-1.7,0,911,LN,0,-1.2,772,8,6
2023,feijao,45,45,41,300,911,1.2,3.8,920,LN,0,-1,1065,8,1
2024,feijao,45,45,41,300,911,0.3,0,929,EN,1,1.5,1272,7,0
1974,milho,,400,600,0,1500,-8.7,,1659,LN,1,-1.9,,,
1975,milho,,400,600,0,1500,-10.2,0,1689,N,0,-0.2,,,
1976,milho,,400,720,0,1800,5.9,20,1720,LN,0,-1.1,,,
1977,milho,,150,270,0,1800,4.1,0,1751,EN,0,1.1,,,
1978,milho,,150,315,0,2100,19.4,16.7,1783,EN,0,1.1,,,
1979,milho,,180,288,0,1600,-10.5,-23.8,1816,N,0,0.2,,,
1980,milho,,220,396,0,1800,-1.2,12.5,1849,EN,0,0.7,,,
1981,milho,,220,528,0,2400,29.3,33.3,1882,N,0,0.2,798,9,0
1982,milho,,180,432,0,2400,26.9,0,1917,N,0,0,683,12,0
1983,milho,,220,387,0,1759,-8.9,-26.7,1951,EN,1,2.5,911,10,1
1984,milho,,550,858,0,1560,-20.6,-11.3,1987,LN,0,-1,914,8,11
1985,milho,,310,484,0,1561,-21.6,0.1,2023,LN,0,-1,870,9,1
1986,milho,,310,372,0,1200,-40.9,-23.1,2060,N,0,-0.2,683,11,8
1987,milho,,325,780,0,2400,14.3,100,2097,EN,1,1.5,945,12,8
1988,milho,340,340,816,0,2400,9.7,0,2135,EN,0,0.9,700,11,3
1989,milho,400,400,960,1e-04,2400,5.3,0,2174,LN,1,-1.9,685,10,0
1990,milho,450,450,1350,0.002,3000,27.4,25,2214,N,0,0,673,10,1
1991,milho,150,150,300,0.0034,2000,-17.4,-33.3,2254,EN,0,0.5,744,9,0
1992,milho,150,150,375,0.0305,2500,0.3,25,2295,EN,1,2.1,1071,5,0
1993,milho,150,150,375,0.5593,2500,-2.1,0,2337,N,0,0.3,804,8,0
1994,milho,150,150,375,26,2500,-3,0,2379,N,0,0.3,836,6,0
1995,milho,150,150,450,37,3000,16.4,20,2422,EN,0,1.4,971,8,4
1996,milho,190,171,440,62,2573,-0.8,-14.2,2466,LN,0,-0.9,1191,7,4
1997,milho,150,150,360,54,2400,-8.8,-6.7,2511,N,0,-0.3,1085,5,0
1998,milho,150,150,360,52,2400,-10,0,2557,EN,1,2.3,1186,5,1
1999,milho,130,130,390,64,3000,10.7,25,2603,LN,1,-1.6,679,12,0
2000,milho,130,102,255,54,2500,-9.4,-16.7,2651,LN,1,-1.6,810,7,0
2001,milho,150,150,450,68,3000,6.7,20,2699,LN,0,-0.7,977,6,0
2002,milho,150,150,450,108,3000,4.6,0,2748,N,0,-0.3,854,14,5
2003,milho,119,119,313,95,2630,-10.3,-12.3,2798,EN,0,1.2,885,6,2
2004,milho,150,150,498,149,3320,10.2,26.2,2849,N,0,0.3,700,7,0
2005,milho,70,70,210,105,3000,-3.6,-9.6,2901,EN,0,0.7,673,9,0
2006,milho,170,170,246,80,1447,-54.7,-51.8,2953,LN,0,-0.8,881,9,0
2007,milho,170,170,570,128,3353,1.7,131.7,3007,EN,0,0.9,839,10,0
2008,milho,250,250,810,477,3240,-5,-3.4,3062,LN,1,-1.5,961,7,0
2009,milho,150,150,480,182,3200,-8.2,-1.2,3117,LN,0,-0.8,1266,5,0
2010,milho,150,150,495,148,3300,-6,3.1,3174,EN,1,1.6,1090,11,0
2011,milho,80,80,312,112,3900,10.9,18.2,3232,LN,1,-1.6,1073,5,0
2012,milho,80,80,312,156,3900,10.8,0,3291,LN,0,-1,585,11,0
2013,milho,80,80,312,140,3900,11.4,0,3350,N,0,-0.4,877,7,1
2014,milho,50,50,195,98,3900,12.6,0,3411,N,0,-0.3,844,11,0
2015,milho,120,120,360,230,3000,-13.2,-23.1,3473,EN,0,0.6,1001,9,2
2016,milho,120,120,360,230,3000,-13.6,0,3536,EN,1,2.4,926,9,1
2017,milho,120,120,360,178,3000,-14.1,0,3601,LN,0,-1,750,6,0
2018,milho,120,120,360,180,3000,-14.8,0,3666,LN,0,-1.3,772,11,0
2019,milho,120,120,360,241,3000,-15.8,0,3733,EN,0,0.7,884,9,2
2020,milho,70,70,336,403,4800,32.9,60,3801,N,0,0.2,709,14,0
2021,milho,70,70,280,392,4000,8.9,-16.7,3870,LN,0,-1.4,978,11,0
2022,milho,70,70,210,294,3000,-20.1,-25,3940,LN,0,-1.2,772,8,6
2023,milho,45,45,180,155,4000,3.8,33.3,4012,LN,0,-1,1065,8,1
2024,milho,45,45,245,265,5444,37.5,36.1,4085,EN,1,1.5,1272,7,0
2003,milho1,119,119,313,,2630,-6.6,,2730,EN,0,1.2,885,6,2
2004,milho1,150,150,498,,3320,12.2,26.2,2781,N,0,0.3,700,7,0
2005,milho1,70,70,210,,3000,-2.2,-9.6,2833,EN,0,0.7,673,9,0
2006,milho1,170,170,246,,1447,-53.9,-51.8,2885,LN,0,-0.8,881,9,0
2007,milho1,170,170,570,,3353,5.1,131.7,2939,EN,0,0.9,839,10,0
2008,milho1,250,250,810,,3240,0.7,-3.4,2994,LN,1,-1.5,961,7,0
2009,milho1,150,150,480,,3200,-3.9,-1.2,3050,LN,0,-0.8,1266,5,0
2010,milho1,150,150,495,,3300,-5,3.1,3107,EN,1,1.6,1090,11,0
2011,milho1,80,80,312,,3900,5,18.2,3165,LN,1,-1.6,1073,5,0
2012,milho1,80,80,312,,3900,1.4,0,3224,LN,0,-1,585,11,0
2013,milho1,80,80,312,,3900,0.6,0,3284,N,0,-0.4,877,7,1
2014,milho1,50,50,195,,3900,7.8,0,3345,N,0,-0.3,844,11,0
2015,milho1,120,120,360,,3000,-9.3,-23.1,3408,EN,0,0.6,1001,9,2
2016,milho1,120,120,360,,3000,-2,0,3472,EN,1,2.4,926,9,1
2017,milho1,120,120,360,,3000,1.8,0,3536,LN,0,-1,750,6,0
2018,milho1,120,120,360,,3000,1.4,0,3602,LN,0,-1.3,772,11,0
2019,milho1,120,120,360,,3000,-5.1,0,3670,EN,0,0.7,884,9,2
2020,milho1,70,70,336,,4800,43.8,60,3738,N,0,0.2,709,14,0
2021,milho1,70,70,280,,4000,11.8,-16.7,3808,LN,0,-1.4,978,11,0
2022,milho1,70,70,210,,3000,-23.4,-25,3879,LN,0,-1.2,772,8,6
2023,milho1,45,45,180,,4000,-7.5,33.3,3951,LN,0,-1,1065,8,1
2024,milho1,25,25,125,,5000,3.8,25,4025,EN,1,1.5,1272,7,0
2024,milho2,20,20,120,,6000,,,,EN,0,0.5,1272,7,0
2020,soja,55,55,198,465,3600,,,,N,0,0.2,709,14,0
2021,soja,55,55,198,475,3600,,0,,LN,0,-1.4,978,11,0
2022,soja,55,55,198,475,3600,,0,,LN,0,-1.2,772,8,6
2023,soja,140,140,336,1075,2400,,-33.3,,LN,0,-1,1065,8,1
2024,soja,140,140,280,728,2000,,-16.7,,EN,1,1.5,1272,7,0
