ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1990,feijao,10,10,4,1e-04,400,-1.1,,338,N,0,0,661,17,4
1991,feijao,10,10,4,2e-04,400,26,0,277,EN,0,0.5,333,20,10
1992,feijao,60,60,36,0.0208,600,139.4,50,231,EN,1,2.1,779,29,7
1993,feijao,80,80,13,0.1924,162,-21.5,-72.9,199,N,0,0.3,296,28,18
1994,feijao,50,50,2,1,40,-78,-75.4,181,N,0,0.3,310,41,32
1995,feijao,70,70,5,3,71,-59.9,78.6,175,EN,0,1.4,147,30,45
1996,feijao,40,40,7,4,175,-8.4,145,181,LN,0,-0.9,200,35,47
1997,feijao,70,70,29,15,414,71,136.7,199,N,0,-0.3,678,32,6
1999,feijao,30,30,6,4,200,-50.5,,270,LN,1,-1.6,221,20,23
2000,feijao,1100,1100,642,321,584,28.5,191.8,321,LN,1,-1.6,425,11,4
2001,feijao,950,950,517,277,544,9.1,-6.8,378,LN,0,-0.7,377,32,16
2002,feijao,850,850,206,247,242,-54.8,-55.5,436,N,0,-0.3,597,33,13
2003,feijao,850,800,432,475,540,-4.6,122.8,489,EN,0,1.2,117,32,29
2004,feijao,850,50,30,21,600,2.3,11.1,534,N,0,0.3,580,19,8
2005,feijao,850,765,411,329,537,-10.5,-10.5,566,EN,0,0.7,276,26,18
2006,feijao,450,300,216,162,720,18.9,34,584,LN,0,-0.8,299,44,39
2007,feijao,250,140,88,97,629,4,-12.7,587,EN,0,0.9,569,19,34
2008,feijao,270,160,86,93,538,-9.5,-14.5,575,LN,1,-1.5,219,56,20
2009,feijao,250,140,84,92,600,3.8,11.6,547,LN,0,-0.8,222,39,47
2010,feijao,600,600,288,662,480,-14.4,-20,505,EN,1,1.6,365,40,38
2011,feijao,60,60,36,47,600,11.5,25,454,LN,1,-1.6,419,20,18
2012,feijao,300,300,150,305,500,-3.3,-16.7,396,LN,0,-1,179,28,23
2013,feijao,1,,,,,,,,N,0,-0.4,201,41,42
2014,feijao,1030,1030,90,99,87,-81,,287,N,0,-0.3,272,20,14
