ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,roni_pico,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1977,arroz,,1,2,0,2000,,,EN,0,1.1,,,
2017,cana,1,1,30,4,30000,,,LN,0,-0.7,1179,16,0
2018,cana,1,1,30,4,30000,,0,LN,0,-1.1,1546,18,0
2019,cana,1,1,30,4,30000,,0,EN,0,0.6,1223,12,0
2020,cana,2,2,65,8,32500,,8.3,N,0,0.1,1874,19,0
2022,cana,1,1,30,6,30000,,,LN,0,-1.2,1713,12,0
1974,feijao,,5,3,0,600,,,LN,1,-1.9,,,
1975,feijao,,5,3,0,600,,0,N,0,-0.2,,,
1976,feijao,,5,3,0,600,,0,LN,0,-1.1,,,
1977,feijao,,5,3,0,600,,0,EN,0,1.1,,,
1978,feijao,,5,3,0,600,,0,EN,0,1.1,,,
1979,feijao,,5,3,0,600,,0,N,0,0.2,,,
1980,feijao,,5,3,0,600,,0,EN,0,0.7,,,
1981,feijao,,5,3,0,600,,0,N,0,0.2,1398,14,2
1982,feijao,,2,1,0,500,,-16.7,N,0,0,1755,17,0
1974,milho,,50,48,0,960,16.5,,LN,1,-1.9,,,
1975,milho,,50,45,0,900,9.8,-6.2,N,0,-0.2,,,
1976,milho,,50,45,0,900,10.1,0,LN,0,-1.1,,,
1977,milho,,50,45,0,900,11.2,0,EN,0,1.1,,,
1978,milho,,50,45,0,900,10.5,0,EN,0,1.1,,,
1979,milho,,50,46,0,920,13.2,2.2,N,0,0.2,,,
1980,milho,,50,46,0,920,-1.5,0,EN,0,0.7,,,
1981,milho,,22,8,0,364,-63.6,-60.5,N,0,0.2,1398,14,2
1982,milho,,27,27,0,1000,0,175,N,0,0,1755,17,0
1983,milho,,27,27,0,1000,0,0,EN,1,2.5,1659,10,0
1984,milho,,27,27,0,1000,0,0,LN,0,-1,1125,11,0
1985,milho,,27,27,0,1000,0,0,LN,0,-1,2099,16,0
1986,milho,,27,27,0,1000,0,0,N,0,-0.2,1161,15,0
1987,milho,,27,27,0,1000,0,0,EN,1,1.5,1104,22,0
1988,milho,27,27,27,0,1000,0,0,EN,0,0.9,1405,13,1
1989,milho,27,27,27,0,1000,0,0,LN,1,-1.9,1047,12,0
1990,milho,27,27,27,1e-04,1000,0,0,N,0,0,1251,14,0
1991,milho,27,27,27,4e-04,1000,0,0,EN,0,0.5,1504,11,0
1992,milho,27,27,27,0.0042,1000,0,0,EN,1,2.1,1366,13,0
1993,milho,27,27,27,0.1029,1000,0,0,N,0,0.3,1281,9,0
1994,milho,27,27,27,2,1000,0,0,N,0,0.3,1101,16,0
1995,milho,27,27,27,3,1000,0,0,EN,0,1.4,1097,14,0
