ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1974,arroz,,2200,6960,0,3164,16,,2745,LN,1,-1.9,,,
1975,arroz,,2362,5957,0,2522,-10.6,-20.3,2848,N,0,-0.2,,,
1976,arroz,,2300,6867,0,2986,2.2,18.4,2955,LN,0,-1.1,,,
1977,arroz,,2300,6885,0,2993,-1.3,0.3,3067,EN,0,1.1,,,
1978,arroz,,2200,6600,0,3000,-4.9,0.2,3183,EN,0,1.1,,,
1979,arroz,,3000,9450,0,3150,-4.1,5,3304,N,0,0.2,,,
1980,arroz,,3502,12651,0,3613,5.6,14.7,3430,EN,0,0.7,,,
1981,arroz,,3000,10800,0,3600,0.9,-0.3,3563,N,0,0.2,1277,7,4
1982,arroz,,3000,10800,0,3600,-3.4,0,3702,N,0,0,1223,4,1
1983,arroz,,3000,10800,0,3600,-7.3,0,3846,EN,1,2.5,1450,7,3
1984,arroz,,3000,11940,0,3980,-1.9,10.6,3995,LN,0,-1,1050,7,20
1985,arroz,,2000,8500,0,4250,0.1,6.8,4148,LN,0,-1,1106,7,3
1986,arroz,,2000,9000,0,4500,1.8,5.9,4302,N,0,-0.2,1210,10,8
1987,arroz,,2050,9225,0,4500,-1.9,0,4455,EN,1,1.5,1559,11,17
1988,arroz,2050,2050,10250,0,5000,5.2,11.1,4607,EN,0,0.9,950,11,27
1989,arroz,2050,2050,10250,7e-04,5000,1.7,0,4754,LN,1,-1.9,1169,12,5
1990,arroz,2000,2000,10000,0.0188,5000,-1.4,0,4899,N,0,0,1215,11,3
1991,arroz,2000,2000,11000,0.264,5500,5.7,10,5040,EN,0,0.5,1028,9,5
1992,arroz,2000,2000,11000,3.5932,5500,3.4,0,5181,EN,1,2.1,1219,8,14
1993,arroz,1500,1500,7500,45.6862,5000,-8.4,-9.1,5325,N,0,0.3,1054,6,11
1994,arroz,1800,1800,9900,1948,5500,-2,10,5473,N,0,0.3,1070,12,8
1995,arroz,1800,1800,7425,1337,4125,-28.5,-25,5628,EN,0,1.4,1483,8,7
1996,arroz,932,932,5231,1020,5613,-5.3,36.1,5793,LN,0,-0.9,1306,7,16
1997,arroz,1000,1000,6000,1264,6000,-2.2,6.9,5965,N,0,-0.3,1043,7,8
1998,arroz,1000,1000,5000,1243,5000,-21.4,-16.7,6145,EN,1,2.3,1804,5,22
1999,arroz,1000,1000,6700,2059,6700,2.5,34,6327,LN,1,-1.6,1251,5,9
2000,arroz,1000,1000,7000,1750,7000,5.3,4.5,6506,LN,1,-1.6,1133,13,9
2001,arroz,1000,1000,7000,1610,7000,3.8,0,6678,LN,0,-0.7,1417,6,34
2002,arroz,1000,1000,7000,1960,7000,2.5,0,6836,N,0,-0.3,1073,8,34
2003,arroz,1000,1000,8600,4816,8600,24.6,22.9,6977,EN,0,1.2,1127,5,25
2004,arroz,1000,1000,8600,5160,8600,24.8,0,7100,N,0,0.3,840,10,3
