ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1974,arroz,,20,42,0,2100,17.9,,1747,LN,1,-1.9,,,
1975,arroz,,107,144,0,1346,-23.6,-35.9,1633,N,0,-0.2,,,
1976,arroz,,107,222,0,2075,19.3,54.2,1537,LN,0,-1.1,,,
1977,arroz,,105,158,0,1505,-12.3,-27.5,1466,EN,0,1.1,,,
1978,arroz,,135,175,0,1296,-23.2,-13.9,1427,EN,0,1.1,,,
1979,arroz,,150,60,0,400,-75.9,-69.1,1417,N,0,0.2,,,
1980,arroz,,203,511,0,2517,54.4,200,1432,EN,0,0.7,,,
1981,arroz,,250,625,0,2500,56.1,-0.7,1460,N,0,0.2,925,10,0
1982,arroz,,100,125,0,1250,-20.5,-50,1488,N,0,0,799,9,0
1983,arroz,,100,200,0,2000,29.5,60,1503,EN,1,2.5,1119,7,0
1984,arroz,,120,216,0,1800,18.7,-10,1496,LN,0,-1,831,10,3
1985,arroz,,120,180,0,1500,1,-16.7,1466,LN,0,-1,686,15,0
1986,arroz,,123,133,0,1081,-25.8,-27.9,1421,N,0,-0.2,593,13,2
1987,arroz,,150,180,0,1200,-15.6,11,1372,EN,1,1.5,975,11,0
1988,arroz,150,150,180,0,1200,-12.9,0,1334,EN,0,0.9,693,11,2
1989,arroz,150,150,180,0,1200,-10.8,0,1314,LN,1,-1.9,776,14,0
1990,arroz,90,90,135,6e-04,1500,12.1,25,1314,N,0,0,811,14,0
1991,arroz,50,0,0,0,,,,,EN,0,0.5,759,11,1
1992,arroz,40,40,50,0.0091,1250,-8.6,,1358,EN,1,2.1,952,10,2
1993,arroz,40,40,64,0.2233,1600,16.7,28,1380,N,0,0.3,753,8,1
1994,arroz,10,10,16,3,1600,22.1,0,1385,N,0,0.3,818,9,0
1995,arroz,30,30,40,7,1333,9.6,-16.7,1366,EN,0,1.4,986,14,2
1996,arroz,5,5,7,1,1400,16.8,5,1322,LN,0,-0.9,899,7,3
1997,arroz,5,5,8,2,1600,35.6,14.3,1263,N,0,-0.3,877,17,0
1998,arroz,5,5,5,1,1000,-11.9,-37.5,1206,EN,1,2.3,1458,6,2
1999,arroz,5,5,6,2,1200,-3.6,20,1173,LN,1,-1.6,739,9,0
