ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1974,arroz,,600,612,0,1020,151.5,,LN,1,,,
1975,arroz,,680,272,0,400,-10.2,-60.8,LN,0,,,
1976,arroz,,600,360,0,600,22.7,50,LN,1,,,
1977,arroz,,50,15,0,300,-44.3,-50,EN,0,,,
1978,arroz,,600,300,0,500,-15.3,66.7,EN,0,,,
1979,arroz,,500,300,0,600,-6.4,20,N,0,,,
1980,arroz,,1000,550,0,550,-21.1,-8.3,EN,0,,,
1981,arroz,,1700,1224,0,720,-4.9,30.9,N,0,1092,16,3
1982,arroz,,1000,900,0,900,11.1,25,N,0,1493,6,0
1983,arroz,,600,600,0,1000,14.9,11.1,EN,1,1459,8,0
1984,arroz,,550,396,0,720,-22.1,-28,LN,0,1062,5,0
1985,arroz,,350,385,0,1100,17.1,52.8,LN,0,1155,16,0
1986,arroz,,370,407,0,1100,17.4,0,N,0,1077,10,1
1987,arroz,,565,509,0,901,-3.9,-18.1,EN,0,1135,10,1
1988,arroz,450,450,298,0,662,-27.8,-26.5,EN,0,1295,5,5
1989,arroz,200,200,240,0,1200,33.9,81.2,LN,1,1100,6,0
1990,arroz,200,200,120,0.0017,600,-32.4,-50,N,0,1079,12,1
1991,arroz,200,200,340,0.0062,1700,94.4,183.3,N,0,1421,8,1
1992,arroz,400,400,336,0.0733,840,-4.3,-50.6,EN,1,1458,9,0
1993,arroz,400,400,360,4.7771,900,0,7.1,N,0,1345,7,0
1994,arroz,200,200,200,36,1000,7.1,11.1,N,0,1190,9,0
1995,arroz,200,200,240,31,1200,21.3,20,EN,0,1017,7,5
1996,arroz,312,312,311,56,997,-6.1,-16.9,LN,0,1060,7,3
1997,arroz,100,100,90,15,900,-20.6,-9.7,N,0,1411,9,0
1998,arroz,100,100,100,19,1000,-17.5,11.1,EN,1,1265,13,8
1999,arroz,300,300,450,158,1500,16,50,LN,1,1190,7,0
2000,arroz,300,300,450,108,1500,8.6,0,LN,1,1551,13,0
2001,arroz,200,200,300,75,1500,1.5,0,LN,0,1013,15,5
2002,arroz,200,200,300,114,1500,-3.9,0,N,0,1514,8,0
2003,arroz,200,200,300,114,1500,-8,0,EN,0,1279,17,15
2004,arroz,150,150,270,108,1800,6.6,20,N,0,1427,9,2
2005,arroz,150,150,270,130,1800,4.2,0,EN,0,1163,10,1
2006,arroz,130,130,234,70,1800,2.7,0,LN,0,1280,16,6
2007,arroz,130,130,234,105,1800,1,0,EN,0,1554,10,0
