ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1989,cana,210,210,8400,1e-04,40000,-13.1,,LN,1,397,28,17
1990,cana,210,210,9500,0.0023,45238,1.6,13.1,N,0,374,34,16
1991,cana,210,210,10500,0.0298,50000,15.7,10.5,N,0,538,37,5
1992,cana,70,70,3500,0.1089,50000,18.6,0,EN,1,462,52,0
1993,cana,70,21,840,1.24,40000,-3.2,-20,N,0,205,69,2
1994,cana,20,20,800,13,40000,-1.7,0,N,0,575,18,6
1995,cana,20,20,800,16,40000,-0.6,0,EN,0,555,64,0
1996,cana,83,83,3403,92,41000,2.2,2.5,LN,0,709,32,0
1997,cana,80,80,3200,92,40000,-0.5,-2.4,N,0,268,33,0
1998,cana,85,85,3400,82,40000,-1,0,EN,1,478,43,0
1999,cana,85,85,3400,68,40000,-1.9,0,LN,1,324,81,0
2000,cana,85,85,3570,64,42000,2.1,5,LN,1,651,25,0
2001,cana,85,85,3570,71,42000,1.6,0,LN,0,281,68,0
2002,cana,85,85,3570,79,42000,0.9,0,N,0,638,29,0
2003,cana,85,85,3575,76,42059,0.2,0.1,EN,0,720,61,0
2004,cana,85,85,3550,96,41765,-1.4,-0.7,N,0,867,36,0
2005,cana,85,85,3590,118,42235,-1.3,1.1,EN,0,166,66,0
2006,cana,85,85,3655,133,43000,-0.7,1.8,LN,0,354,86,0
2007,cana,95,95,4180,169,44000,-0.1,2.3,EN,0,342,59,0
2008,cana,105,105,4725,198,45000,0.1,2.3,LN,1,337,73,0
2009,cana,105,105,4830,203,46000,1.1,2.2,LN,0,676,68,0
2010,cana,105,105,4830,212,46000,0.4,0,EN,1,179,78,0
2011,cana,105,105,4884,224,46514,1.4,1.1,LN,1,775,44,0
2012,cana,110,110,5126,243,46600,2.7,0.2,LN,0,389,57,0
2013,cana,150,150,2400,166,16000,-64.1,-65.7,N,0,182,94,0
2014,cana,150,150,5250,263,35000,-18.5,118.8,N,0,305,34,0
2015,cana,180,180,8388,487,46600,12.7,33.1,EN,0,558,49,0
2016,cana,180,180,6710,664,37278,-8.6,-20,EN,1,364,70,0
2017,cana,120,120,4779,631,39825,-1.2,6.8,N,0,701,36,1
2018,cana,76,76,3192,169,42000,4.7,5.5,LN,0,469,47,0
2019,cana,76,76,3420,222,45000,11.8,7.1,EN,0,942,24,0
2020,cana,80,80,4400,356,55000,35.6,22.2,EN,0,727,61,4
2021,cana,65,65,2665,335,41000,-0.2,-25.5,LN,0,480,41,0
2022,cana,50,50,2100,465,42000,0.6,2.4,LN,0,827,22,13
2023,cana,35,35,1575,382,45000,5.6,7.1,LN,0,717,24,1
2024,cana,37,37,1496,479,40432,-7.3,-10.2,EN,1,723,35,4
1989,feijao,320,320,160,0,500,3.2,,LN,1,397,28,17
1990,feijao,320,180,72,0.0011,400,-7.7,-20,N,0,374,34,16
1991,feijao,250,250,100,0.003,400,3.2,0,N,0,538,37,5
1992,feijao,500,500,240,0.0542,480,38.1,20,EN,1,462,52,0
1993,feijao,600,90,5,0.076,56,-82.3,-88.4,N,0,205,69,2
1994,feijao,940,940,263,64,280,-1.7,200,N,0,575,18,6
1995,feijao,485,485,120,50,247,-5.4,-11.6,EN,0,555,64,0
1996,feijao,290,290,75,50,259,5.9,4.5,LN,0,709,32,0
1997,feijao,300,300,71,51,237,2,-8.5,N,0,268,33,0
1998,feijao,300,300,45,72,150,-34.3,-36.6,EN,1,478,43,0
1999,feijao,350,350,84,49,240,3.4,60,LN,1,324,81,0
2000,feijao,440,440,110,46,250,6.5,4.2,LN,1,651,25,0
2001,feijao,768,768,173,207,225,-5,-9.9,LN,0,281,68,0
2002,feijao,990,990,249,249,252,4.8,11.7,N,0,638,29,0
2003,feijao,1190,1190,313,330,263,8.6,4.6,EN,0,720,61,0
2004,feijao,1060,1060,262,310,247,1.5,-6,N,0,867,36,0
2005,feijao,1226,1226,254,339,207,-12.6,-16.2,EN,0,166,66,0
2006,feijao,1470,1470,345,400,235,1.2,13.3,LN,0,354,86,0
2007,feijao,1400,1400,353,412,252,9.5,7.4,EN,0,342,59,0
2008,feijao,1350,1350,486,749,360,57.1,42.8,LN,1,337,73,0
2009,feijao,1400,1400,266,418,190,-19.4,-47.2,LN,0,676,68,0
2010,feijao,417,417,83,190,199,-23.1,4.8,EN,1,179,78,0
2011,feijao,1010,1010,404,713,400,40.5,101,LN,1,775,44,0
2012,feijao,1020,1020,89,303,87,-72,-78.2,LN,0,389,57,0
