ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1993,arroz,100,100,200,0.3476,2000,-5.3,,N,0,1075,7,1
1994,arroz,120,120,240,22,2000,4.4,0,N,0,1001,10,0
1995,arroz,120,120,240,31,2000,14.9,0,EN,0,1278,8,3
1996,arroz,92,92,142,19,1543,-2.5,-22.8,LN,0,1059,9,5
1997,arroz,70,70,105,14,1500,3.8,-2.8,N,0,1491,6,0
1998,arroz,92,92,110,16,1196,-9.9,-20.3,EN,1,1862,6,0
1999,arroz,92,92,102,15,1109,-9.3,-7.3,LN,1,1022,8,1
2000,arroz,92,92,110,17,1196,5.1,7.8,LN,1,863,7,0
2001,arroz,92,92,110,19,1196,9.2,0,LN,0,1213,6,1
2002,arroz,40,40,20,6,500,-53.2,-58.2,N,0,832,11,6
2003,arroz,40,40,72,22,1800,71.4,200,EN,0,1381,10,4
2004,arroz,40,40,40,16,1000,-4,-44.4,N,0,1228,11,3
2005,arroz,40,,,,,,,EN,0,867,12,8
2006,arroz,24,12,6,3,500,-50.2,,LN,0,989,9,7
2007,arroz,20,20,20,8,1000,0.7,100,EN,0,995,10,5
2008,arroz,20,20,20,8,1000,1,0,LN,1,1042,8,2
2009,arroz,20,20,20,12,1000,0.7,0,LN,0,999,9,0
2010,arroz,20,20,20,11,1000,-0.4,0,EN,1,1256,11,1
2011,arroz,20,20,20,7,1000,-3.4,0,LN,1,1304,5,0
2012,arroz,20,,,,,,,LN,0,715,12,3
2013,arroz,20,20,30,18,1500,33.7,,N,0,1428,10,0
2014,arroz,20,20,20,6,1000,-14,-33.3,N,0,1019,8,8
2015,arroz,10,10,13,8,1300,8.3,30,EN,0,1101,10,2
2016,arroz,10,10,13,12,1300,5.7,0,EN,1,1588,10,0
2017,arroz,5,5,6,4,1200,-3.9,-7.7,N,0,1117,8,0
2018,arroz,5,5,6,5,1200,-3.4,0,LN,0,1477,8,0
2019,arroz,5,5,6,5,1200,-1.9,0,EN,0,1233,9,0
2020,arroz,3,3,4,7,1333,11.8,11.1,EN,0,780,8,5
2021,arroz,3,3,2,10,667,-42,-50,LN,0,891,12,2
2022,arroz,3,3,3,6,1000,-8.6,50,LN,0,1116,12,21
2023,arroz,3,3,3,5,1000,-2.7,0,LN,0,1219,10,0
2024,arroz,3,3,3,5,1000,5.3,0,EN,1,1788,6,6
1996,cana,63,63,1299,52,20619,,,LN,0,1059,9,5
1997,cana,63,63,1286,64,20413,,-1,N,0,1491,6,0
