ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1974,cana,,250,12500,0,50000,60.3,,LN,1,,,
1975,cana,,200,6000,0,30000,-15.6,-40,LN,0,,,
1976,cana,,250,10000,0,40000,1.3,33.3,LN,1,,,
1977,cana,,1730,86500,0,50000,16.4,25,EN,0,,,
1978,cana,,1699,77570,0,45656,-0.7,-8.7,EN,0,,,
1979,cana,,2000,1e+05,0,50000,3,9.5,N,0,,,
1980,cana,,2000,90000,0,45000,-11.2,-10,EN,0,,,
1981,cana,,2300,115000,0,50000,-4.5,11.1,N,0,354,15,0
1982,cana,,4000,240000,0,60000,12.1,20,N,0,297,15,0
1983,cana,,4800,240000,0,50000,-7.9,-16.7,EN,1,259,10,0
1984,cana,,4800,240000,0,50000,-8.3,0,LN,0,213,44,0
1985,cana,,4800,288000,0,60000,10.6,20,LN,0,607,44,0
1986,cana,,3000,180000,0,60000,11.8,0,N,0,489,30,0
1987,cana,,3000,180000,0,60000,14,0,EN,0,412,13,0
1988,cana,3000,3000,150000,2e-04,50000,-1.9,-16.7,EN,0,292,37,0
1989,cana,3000,3000,150000,0.0061,50000,1.8,0,LN,1,197,24,1
1990,cana,3500,3500,140000,0.1018,40000,-15.6,-20,N,0,158,17,0
1991,cana,3500,3500,140000,0.3144,40000,-11.2,0,N,0,218,45,0
1992,cana,3500,3500,140000,4.828,40000,-4.8,0,EN,1,523,45,0
1993,cana,2100,2100,42000,52.676,20000,-49.7,-50,N,0,67,29,0
1994,cana,3000,3000,126000,1739,42000,10.2,110,N,0,263,39,0
1995,cana,1500,1500,63000,1071,42000,15.1,0,EN,0,255,24,0
1996,cana,1000,1000,36000,684,36000,0.9,-14.3,LN,0,238,50,0
1997,cana,1000,1000,36000,712,36000,-0.2,0,N,0,355,17,0
1998,cana,1150,1150,34500,577,30000,-19.2,-16.7,EN,1,170,39,3
1999,cana,700,700,21000,399,30000,-21.5,0,LN,1,198,50,0
2000,cana,700,700,21000,588,30000,-24.4,0,LN,1,291,15,0
2001,cana,80,80,6400,192,80000,90.7,166.7,LN,0,221,28,0
2002,cana,80,80,4000,120,50000,12.9,-37.5,N,0,274,26,0
2003,cana,160,160,8000,304,50000,8.7,0,EN,0,528,23,0
2004,cana,660,660,33000,1155,50000,5.8,0,N,0,789,29,0
2005,cana,660,660,33000,1254,50000,3,0,EN,0,134,26,1
2006,cana,1200,1200,60000,2520,50000,0.8,0,LN,0,144,43,0
2007,cana,2000,2000,1e+05,3800,50000,0,0,EN,0,175,30,0
2008,cana,2000,2000,1e+05,3000,50000,0.2,0,LN,1,289,36,0
2009,cana,2000,2000,1e+05,4200,50000,0,0,LN,0,322,48,0
2010,cana,2000,2000,90000,4050,45000,-10.6,-10,EN,1,157,44,0
2011,cana,2000,2000,1e+05,7000,50000,-1.2,11.1,LN,1,281,30,0
2012,cana,2000,2000,1e+05,7000,50000,-1.9,0,LN,0,284,19,0
2013,cana,2000,2000,1e+05,6300,50000,-2.6,0,N,0,83,54,0
2014,cana,2100,2100,115500,7161,55000,6.5,10,N,0,313,26,0
2015,cana,2100,2100,115500,6353,55000,5.5,0,EN,0,229,21,0
2016,cana,2100,2100,115500,10395,55000,4.1,0,EN,1,291,63,0
