ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1974,cana,,26,1508,0,58000,68.3,,LN,1,,,
1975,cana,,49,1695,0,34592,0,-40.4,N,0,,,
1976,cana,,50,1730,0,34600,-0.3,0,LN,0,,,
1977,cana,,54,1174,0,21741,-37.5,-37.2,EN,0,,,
1978,cana,,58,2030,0,35000,0.4,61,EN,0,,,
1979,cana,,60,2100,0,35000,0.2,0,N,0,,,
1980,cana,,62,2170,0,35000,0.1,0,EN,0,,,
1981,cana,,66,2310,0,35000,0,0,N,0,561,11,5
1982,cana,,66,2310,0,35000,0,0,N,0,240,18,18
1983,cana,,66,2310,0,35000,0,0,EN,1,482,21,14
1984,cana,,65,1939,0,29831,-14.7,-14.8,LN,0,384,11,32
1985,cana,,30,1050,0,35000,0.1,17.3,LN,0,376,26,33
1986,cana,,30,1050,0,35000,0.1,0,N,0,835,10,6
1987,cana,,30,1050,0,35000,0.1,0,EN,1,624,7,9
1988,cana,30,30,1050,0,35000,0.1,0,EN,0,419,12,28
1989,cana,5,5,175,0,35000,0,0,LN,1,647,14,14
1990,cana,2,2,70,2e-04,35000,0,0,N,0,726,12,4
1991,cana,2,2,70,7e-04,35000,0,0,EN,0,566,7,9
1992,cana,2,2,70,0.0051,35000,-1.1,0,EN,1,468,26,18
1993,cana,2,2,70,0.0487,35000,-4.2,0,EN,0,205,26,17
2009,cana,10,10,600,51,60000,1.3,,LN,0,375,39,25
2010,cana,10,10,600,51,60000,7.8,0,EN,1,274,30,39
2011,cana,10,10,600,54,60000,15.7,0,LN,1,288,21,18
2012,cana,12,12,540,45,45000,-5.9,-25,LN,0,449,14,3
2013,cana,12,12,540,35,45000,2.9,0,LN,0,207,26,32
2014,cana,12,12,720,36,60000,51.3,33.3,N,0,394,14,3
2015,cana,12,12,720,43,60000,68.4,0,EN,0,279,13,8
2016,cana,8,8,240,18,30000,-5.4,-50,EN,1,233,38,47
2017,cana,8,8,305,21,38125,37.1,27.1,LN,0,215,19,35
2018,cana,5,5,48,4,9600,-60.1,-74.8,LN,0,285,16,35
2019,cana,5,5,48,4,9600,-53.2,0,EN,0,383,14,62
2020,cana,5,5,50,6,10000,-41.3,4.2,N,0,592,18,21
2021,cana,4,4,34,6,8500,-38.2,-15,LN,1,273,17,0
2022,cana,4,4,36,8,9000,-15.3,5.9,LN,0,639,10,0
2023,cana,4,4,37,6,9250,20.2,2.8,LN,0,622,10,0
2024,cana,5,5,48,6,9600,94.8,3.8,EN,1,426,25,13
1974,feijao,,71,50,0,704,-10.1,,LN,1,,,
1975,feijao,,92,19,0,207,-72.8,-70.7,N,0,,,
