ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1993,arroz,50,50,90,0.3076,1800,3.2,,N,0,988,12,3
1994,arroz,50,50,90,15,1800,2.3,0,N,0,988,12,4
1995,arroz,50,50,90,12,1800,0.7,0,EN,0,1389,9,5
1996,arroz,60,60,96,16,1600,-12.1,-11.1,LN,0,1180,8,4
1997,arroz,50,50,80,13,1600,-13.9,0,N,0,1326,20,0
1998,arroz,40,40,80,21,2000,5.4,25,EN,1,1572,6,4
1999,arroz,100,100,200,52,2000,1.8,0,LN,1,1034,12,1
2000,arroz,100,100,200,45,2000,-0.8,0,LN,1,952,11,4
2001,arroz,80,80,160,29,2000,0.3,0,LN,0,1144,9,2
2002,arroz,60,60,120,34,2000,3.5,0,N,0,978,13,7
2003,arroz,30,30,60,29,2000,13.1,0,EN,0,1336,10,8
2004,arroz,50,50,30,16,600,-62.7,-70,N,0,867,11,4
2005,arroz,50,30,14,6,467,-68.6,-22.2,EN,0,1012,11,12
2006,arroz,30,30,30,10,1000,-28.5,114.3,LN,0,1137,9,9
2007,arroz,20,20,40,15,2000,35.4,100,EN,0,866,11,11
2008,arroz,20,20,40,24,2000,25.2,0,LN,1,926,10,11
2009,arroz,10,10,12,7,1200,-31.4,-40,LN,0,885,9,11
2010,arroz,5,5,10,5,2000,4.9,66.7,EN,1,1292,10,10
2011,arroz,5,5,10,5,2000,2.3,0,LN,1,1141,11,0
2012,arroz,4,4,4,2,1000,-49.4,-50,LN,0,839,11,13
2013,arroz,2,2,4,3,2000,0.1,100,N,0,1318,13,9
2014,arroz,2,2,4,3,2000,-0.5,0,N,0,961,12,11
2015,arroz,2,2,4,3,2000,-1.1,0,EN,0,958,10,10
2016,arroz,1,1,2,2,2000,-1.2,0,EN,1,1328,6,8
2017,arroz,1,1,2,2,2000,-0.4,0,N,0,944,7,9
2018,arroz,1,1,2,2,2000,1.8,0,LN,0,1654,10,5
2019,arroz,1,1,2,2,2000,5.7,0,EN,0,948,14,13
