ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1989,arroz,5170,5160,6500,4e-04,1260,5.6,,LN,1,1825,2,8
1990,arroz,3500,3200,3840,0.0126,1200,-0.4,-4.7,N,0,1575,7,22
1991,arroz,2460,2260,2720,0.0471,1204,-1.2,0.3,N,0,1094,5,24
1992,arroz,2460,2300,2760,0.3533,1200,-2.9,-0.3,EN,1,1555,5,14
1993,arroz,2510,2510,3012,4.0087,1200,-4.3,0,N,0,1368,4,10
1994,arroz,2300,2250,2700,146,1200,-5.8,0,N,0,1400,6,22
1995,arroz,2100,2100,2583,323,1230,-4.9,2.5,EN,0,1424,4,19
1996,arroz,2860,2860,3850,701,1346,2,9.4,LN,0,1128,4,25
1997,arroz,1530,1530,2142,356,1400,4.1,4,N,0,2109,4,12
1998,arroz,2750,2700,3780,816,1400,3.2,0,EN,1,1014,9,46
1999,arroz,2300,2300,3220,750,1400,2.6,0,LN,1,1092,2,25
2000,arroz,1500,1500,2100,437,1400,2.2,0,LN,1,1567,7,29
2001,arroz,1400,1400,1820,455,1300,-4.4,-7.1,LN,0,1330,8,21
2002,arroz,1000,920,1196,359,1300,-3.6,0,N,0,1679,4,23
2003,arroz,900,850,1105,442,1300,-2.9,0,EN,0,1412,3,32
2004,arroz,1150,1150,1587,873,1380,3.5,6.2,N,0,1836,4,25
2005,arroz,1050,1050,1499,499,1428,5.5,3.5,EN,0,1600,3,39
2006,arroz,600,600,828,290,1380,-0.1,-3.3,LN,0,1418,7,43
2007,arroz,500,500,650,299,1300,-8.8,-5.8,EN,0,1252,5,37
2008,arroz,300,300,390,195,1300,-12.2,0,LN,1,1262,7,39
2009,arroz,270,270,432,251,1600,4.5,23.1,LN,0,1339,11,41
2010,arroz,250,250,400,180,1600,1.1,0,EN,1,1404,2,33
2011,arroz,750,750,1350,648,1800,10.3,12.5,LN,1,1474,2,30
2012,arroz,200,200,330,170,1650,-1.2,-8.3,LN,0,1680,4,22
2013,arroz,120,120,204,122,1700,-0.2,3,N,0,1596,4,38
2014,arroz,130,130,221,146,1700,-0.1,0,N,0,1533,2,18
2015,arroz,570,570,1710,1197,3000,76.6,76.5,EN,0,1432,15,30
2016,arroz,170,170,289,202,1700,-0.6,-43.3,EN,1,1239,10,70
2017,arroz,170,170,289,217,1700,-1.2,0,N,0,1357,7,35
2018,arroz,170,170,289,202,1700,-2.7,0,LN,0,1503,8,36
2019,arroz,170,170,481,396,2829,58.4,66.4,EN,0,1384,3,35
2020,arroz,170,170,400,734,2353,28.1,-16.8,EN,0,1564,3,36
2021,arroz,150,150,285,404,1900,0.1,-19.2,LN,0,1348,4,49
2022,arroz,60,60,114,162,1900,-3.6,0,LN,0,1465,2,18
2023,arroz,50,50,103,292,2060,0.2,8.4,LN,0,1473,10,26
2024,arroz,50,50,125,240,2500,16.1,21.4,EN,1,1260,5,69
2013,cana,20,20,500,55,25000,,,N,0,1596,4,38
1989,feijao,25,25,7,0,280,,,LN,1,1825,2,8
1990,feijao,25,25,7,1e-04,280,,0,N,0,1575,7,22
1991,feijao,15,15,4,3e-04,267,,-4.8,N,0,1094,5,24
2013,feijao,40,40,24,60,600,,,N,0,1596,4,38
2014,feijao,45,45,27,43,600,,0,N,0,1533,2,18
2016,feijao,48,48,30,45,625,,,EN,1,1239,10,70
2017,feijao,260,260,289,259,1112,,77.8,N,0,1357,7,35
