ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1993,arroz,110,110,105,0.172,955,-23.7,,N,0,996,11,3
1994,arroz,100,100,125,8,1250,1.4,31,N,0,1662,3,6
1995,arroz,100,100,120,14,1200,-1.4,-4,EN,0,1535,5,6
1996,arroz,15,15,18,2,1200,-0.3,0,LN,0,1635,5,19
1997,arroz,200,200,240,38,1200,0.4,0,N,0,1473,7,3
1998,arroz,150,150,180,36,1200,0.9,0,EN,1,1159,3,21
1999,arroz,200,200,238,60,1190,0.2,-0.8,LN,1,1232,8,9
2000,arroz,270,270,313,75,1159,-2.4,-2.6,LN,1,1381,11,12
2001,arroz,300,300,360,90,1200,0.8,3.5,LN,0,1232,5,3
2002,arroz,350,350,420,168,1200,0.6,0,N,0,1225,5,13
2003,arroz,450,450,540,270,1200,0.1,0,EN,0,1282,8,6
2004,arroz,600,600,732,395,1220,1.3,1.7,N,0,1546,4,8
2005,arroz,700,700,840,319,1200,-1.6,-1.6,EN,0,1436,6,8
2006,arroz,200,200,248,99,1240,-0.7,3.3,LN,0,1420,4,21
2007,arroz,300,300,375,161,1250,-4,0.8,EN,0,1187,4,16
2008,arroz,300,300,420,244,1400,0.7,12,LN,1,1297,5,19
2009,arroz,400,400,680,396,1700,14.1,21.4,LN,0,1370,5,25
2010,arroz,500,500,750,525,1500,-6.7,-11.8,EN,1,1322,4,15
2011,arroz,500,500,850,493,1700,0.2,13.3,LN,1,1461,3,26
2012,arroz,550,550,990,568,1800,1.4,5.9,LN,0,1350,4,11
2013,arroz,400,400,736,478,1840,0.2,2.2,N,0,1307,5,15
2014,arroz,250,250,463,328,1852,-1.9,0.7,N,0,1556,9,15
2015,arroz,200,200,372,246,1860,-3.5,0.4,EN,0,1249,8,17
2016,arroz,190,190,376,250,1979,1.1,6.4,EN,1,819,10,64
2008,cana,170,170,15300,1836,90000,,,LN,1,1297,5,19
2009,cana,170,170,4930,789,29000,,-67.8,LN,0,1370,5,25
2010,cana,200,200,8000,1280,40000,,37.9,EN,1,1322,4,15
2011,cana,200,200,5800,464,29000,,-27.5,LN,1,1461,3,26
2012,cana,200,200,8000,960,40000,,37.9,LN,0,1350,4,11
2013,cana,210,200,8470,1591,42350,,5.9,N,0,1307,5,15
2014,cana,206,200,8500,1514,42500,,0.4,N,0,1556,9,15
2015,cana,209,207,8790,1231,42464,,-0.1,EN,0,1249,8,17
2016,cana,209,209,8778,1361,42000,,-1.1,EN,1,819,10,64
1996,feijao,8,8,3,2,375,0.3,,LN,0,1635,5,19
2000,feijao,30,30,9,7,300,-11.8,,LN,1,1381,11,12
2001,feijao,40,40,14,13,350,0,16.7,LN,0,1232,5,3
2002,feijao,50,50,18,18,360,-2.2,2.9,N,0,1225,5,13
2003,feijao,40,40,16,21,400,1.8,11.1,EN,0,1282,8,6
2004,feijao,100,100,42,56,420,0.2,5,N,0,1546,4,8
2005,feijao,210,210,96,175,457,1.9,8.8,EN,0,1436,6,8
2006,feijao,370,370,167,194,451,-7,-1.3,LN,0,1420,4,21
2007,feijao,380,380,171,229,450,-17.3,-0.3,EN,0,1187,4,16
2008,feijao,340,340,204,685,600,1,33.3,LN,1,1297,5,19
2009,feijao,250,250,162,535,648,1.9,8,LN,0,1370,5,25
2010,feijao,380,380,288,698,758,16.5,17,EN,1,1322,4,15
2011,feijao,380,380,248,491,653,-0.3,-13.9,LN,1,1461,3,26
2012,feijao,420,420,278,500,662,0.6,1.4,LN,0,1350,4,11
2013,feijao,350,350,228,770,651,-1.6,-1.6,N,0,1307,5,15
2014,feijao,200,200,134,212,670,0.8,2.9,N,0,1556,9,15
2015,feijao,145,145,97,176,669,0.4,-0.2,EN,0,1249,8,17
2016,feijao,145,145,96,167,662,-1.4,-1,EN,1,819,10,64
2022,feijao,10,9,7,18,778,2.4,,LN,0,1401,8,9
