ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1974,arroz,,6050,9075,0,1500,-20,,1623,LN,1,-1.5,,,
1975,arroz,,12150,21810,0,1795,-2.4,19.7,1581,N,0,-0.1,,,
1976,arroz,,13320,23976,0,1800,-0.3,0.3,1540,LN,0,-1,,,
1977,arroz,,13453,24215,0,1800,1.5,0,1501,EN,0,1,,,
1978,arroz,,12100,23958,0,1980,13.8,10,1462,EN,0,0.9,,,
1979,arroz,,15000,25110,0,1674,-2,-15.5,1425,N,0,0.2,,,
1980,arroz,,17250,32085,0,1860,10.7,11.1,1390,EN,0,0.6,,,
1981,arroz,,18000,16740,0,930,-43.7,-50,1358,N,0,0,1110,7,4
1982,arroz,,21000,38052,0,1812,11.4,94.8,1328,N,0,0.1,1261,5,2
1983,arroz,,16800,9072,0,540,-66.4,-70.2,1303,EN,1,2.5,775,9,5
1984,arroz,,15700,24492,0,1560,-1.4,188.9,1281,LN,0,-0.5,1190,9,0
1985,arroz,,14130,15917,0,1126,-27.8,-27.8,1265,LN,0,-0.8,1560,10,0
1986,arroz,,16956,26451,0,1560,0.9,38.5,1253,N,0,-0.3,1327,7,0
1987,arroz,,16270,6345,0,390,-74.7,-75,1245,EN,1,1.6,1036,8,0
1988,arroz,16270,16270,22843,3e-04,1404,-9.4,200,1243,EN,0,0.7,1473,25,15
1989,arroz,14643,14643,23661,0.0056,1616,3.5,15.1,1245,LN,1,-1.7,1105,7,2
1990,arroz,11764,11764,5384,0.0212,458,-71,-71.7,1250,N,0,0.2,1126,18,1
1991,arroz,12895,12895,20632,0.7242,1600,-0.4,200,1259,EN,0,0.6,1142,8,0
1992,arroz,13152,13152,12626,6.3765,960,-41.8,-40,1270,EN,1,2.3,1074,18,4
1993,arroz,15125,15125,31263,79.5785,2067,22.8,115.3,1284,EN,0,0.5,784,20,5
1994,arroz,9831,9831,17696,1755,1800,4.8,-12.9,1299,N,0,0.3,1410,5,2
1995,arroz,10420,10420,18756,3407,1800,2.3,0,1315,EN,0,1.3,1029,11,7
1996,arroz,7476,7476,10423,2158,1394,-21.9,-22.5,1332,LN,0,-0.9,1538,18,16
1997,arroz,2307,2307,3096,573,1342,-24.8,-3.7,1348,N,0,-0.2,1020,5,2
1998,arroz,2370,2370,1801,461,760,-57.2,-43.4,1364,EN,1,2.2,786,17,29
1999,arroz,1695,1695,3051,793,1800,2,136.9,1379,LN,1,-1.5,980,10,14
2000,arroz,1546,1546,2783,612,1800,3,0,1393,LN,1,-1.7,1294,10,2
2001,arroz,1560,1560,2808,1123,1800,4.6,0,1405,LN,0,-0.6,995,18,15
2002,arroz,1638,1638,2149,860,1312,-22.3,-27.1,1416,N,0,-0.1,832,11,13
2003,arroz,1556,1556,2490,1419,1600,-3.7,22,1425,EN,0,0.9,889,15,13
2004,arroz,1245,1245,1992,1175,1600,-2,0,1432,N,0,0.3,1060,11,17
2005,arroz,819,819,1310,367,1600,0,0,1438,EN,0,0.6,1008,10,22
2006,arroz,602,602,963,491,1600,1.8,0,1442,LN,0,-0.9,1073,27,34
2007,arroz,570,570,912,611,1600,3.4,0,1444,EN,0,0.6,824,8,15
2008,arroz,427,427,641,346,1501,-1.8,-6.2,1446,LN,1,-1.6,1287,9,21
2009,arroz,327,327,294,123,899,-40.5,-40.1,1446,LN,0,-0.9,1037,15,31
2010,arroz,200,200,290,124,1450,-2.8,61.3,1446,EN,1,1.5,712,13,26
2011,arroz,160,160,232,148,1450,-1.6,0,1445,LN,0,-1.4,1403,5,22
2012,arroz,172,172,258,107,1500,2.9,3.4,1444,LN,0,-0.8,996,4,17
2013,arroz,180,180,270,179,1500,3.9,0,1443,LN,0,-0.6,905,6,21
2014,arroz,170,170,238,142,1400,-2.1,-6.7,1442,LN,0,-0.5,871,5,14
2015,arroz,55,55,79,53,1436,1.1,2.6,1441,EN,0,0.5,729,8,16
2016,arroz,30,30,43,30,1433,1.2,-0.2,1441,EN,1,2.2,639,23,55
2017,arroz,36,36,49,36,1361,-3.7,-5,1440,LN,0,-0.7,956,11,25
2018,arroz,22,22,30,24,1364,-3.6,0.2,1439,LN,0,-1.1,1045,10,31
2019,arroz,25,25,35,29,1400,-1.2,2.7,1439,EN,0,0.6,993,9,24
2020,arroz,12,12,17,14,1417,-0.4,1.2,1439,N,0,0.1,1593,7,16
2021,arroz,13,13,19,26,1462,2.1,3.2,1439,LN,0,-1.2,959,9,28
2022,arroz,15,15,22,30,1467,1.6,0.4,1439,LN,0,-1.2,1410,7,5
2023,arroz,15,15,22,37,1467,0.6,0,1439,LN,0,-0.8,1196,13,25
2024,arroz,13,13,19,48,1462,-0.9,-0.3,1439,EN,0,1.2,953,14,48
1974,cana,,140,2800,0,20000,0,,20312,LN,1,-1.5,,,
1975,cana,,160,3200,0,20000,0,0,20066,N,0,-0.1,,,
1976,cana,,200,4000,0,20000,0,0,19827,LN,0,-1,,,
1977,cana,,206,4120,0,20000,0,0,19603,EN,0,1,,,
1978,cana,,30,600,0,20000,0,0,19408,EN,0,0.9,,,
1979,cana,,30,600,0,20000,0,0,19256,N,0,0.2,,,
1980,cana,,30,600,0,20000,0,0,19153,EN,0,0.6,,,
1981,cana,,25,375,0,15000,-25,-25,19095,N,0,0,1110,7,4
1982,cana,,30,600,0,20000,0,33.3,19067,N,0,0.1,1261,5,2
1983,cana,,30,600,0,20000,0,0,19049,EN,1,2.5,775,9,5
1984,cana,,30,600,0,20000,0,0,19028,LN,0,-0.5,1190,9,0
1986,cana,,30,600,0,20000,0,,19026,N,0,-0.3,1327,7,0
1987,cana,,30,600,0,20000,0,0,19116,EN,1,1.6,1036,8,0
1988,cana,30,30,600,0,20000,0,0,19354,EN,0,0.7,1473,25,15
1989,cana,25,25,500,1e-04,20000,0,0,19843,LN,1,-1.7,1105,7,2
1990,cana,20,20,400,1e-04,20000,0,0,20702,N,0,0.2,1126,18,1
1991,cana,20,20,400,7e-04,20000,0,0,22052,EN,0,0.6,1142,8,0
1992,cana,10,10,200,0.0091,20000,0,0,23998,EN,1,2.3,1074,18,4
1993,cana,10,10,200,0.1927,20000,0,0,26596,EN,0,0.5,784,20,5
1994,cana,10,10,200,8,20000,0,0,29810,N,0,0.3,1410,5,2
1995,cana,25,25,1500,26,60000,200,200,33459,EN,0,1.3,1029,11,7
1996,cana,1,1,59,1,59000,195,-1.7,37196,LN,0,-0.9,1538,18,16
1997,cana,4,4,168,3,42000,110,-28.8,40552,N,0,-0.2,1020,5,2
1998,cana,4,4,168,6,42000,110,0,43071,EN,1,2.2,786,17,29
1999,cana,4,4,168,4,42000,110,0,44487,LN,1,-1.5,980,10,14
2000,cana,4,4,168,5,42000,110,0,44838,LN,1,-1.7,1294,10,2
2001,cana,4,4,168,6,42000,110,0,44434,LN,0,-0.6,995,18,15
2002,cana,2,2,84,4,42000,110,0,43690,N,0,-0.1,832,11,13
1974,feijao,,120,50,0,417,-36.4,,466,LN,0,-1.2,,,
1975,feijao,,360,216,0,600,-2.9,44,466,N,0,-0.1,,,
1976,feijao,,429,257,0,599,2.4,-0.2,466,LN,0,-0.6,,,
1977,feijao,,405,243,0,600,8,0.2,466,EN,0,0.9,,,
1978,feijao,,920,444,0,483,-9,-19.6,466,EN,0,0.6,,,
1979,feijao,,844,398,0,472,-7.2,-2.3,467,N,0,0.2,,,
1980,feijao,,1120,605,0,540,10.2,14.6,467,EN,0,0.5,,,
1981,feijao,,1300,400,0,308,-35.4,-43,467,N,0,-0.3,1110,7,4
1982,feijao,,1300,683,0,525,12.6,70.8,467,N,0,0.3,1261,5,2
1983,feijao,,810,184,0,227,-50.6,-56.8,467,EN,1,2.2,775,9,5
1984,feijao,,860,340,0,395,-13.8,74,467,N,0,-0.3,1190,9,0
1985,feijao,,437,469,0,1073,132.3,171.5,467,LN,0,-0.6,1560,10,0
1986,feijao,,749,297,0,397,-15.1,-63.1,467,N,0,-0.3,1327,7,0
1987,feijao,,738,215,0,291,-39.1,-26.5,467,EN,1,1.5,1036,8,0
1988,feijao,973,973,410,0,421,-15.4,44.6,468,N,0,0.3,1473,25,15
1989,feijao,1071,1071,557,4e-04,520,0.4,23.4,468,LN,0,-1.4,1105,7,2
1990,feijao,859,859,515,0.0078,600,13.3,15.3,468,N,0,0.3,1126,18,1
1991,feijao,927,927,556,0.0369,600,12.5,0,468,EN,0,0.5,1142,8,0
1992,feijao,875,875,525,0.4964,600,11.8,0,468,EN,1,2.2,1074,18,4
1993,feijao,916,916,470,3.8353,513,-4.5,-14.5,468,EN,0,0.7,784,20,5
1994,feijao,760,760,281,89,370,-29.7,-27.9,468,N,0,0.3,1410,5,2
1995,feijao,837,837,512,319,612,21.1,65.4,468,EN,0,1,1029,11,7
1996,feijao,2269,2269,1109,649,489,-0.3,-20.1,468,LN,0,-0.8,1538,18,16
1997,feijao,402,402,144,91,358,-25.5,-26.7,469,N,0,-0.1,1020,5,2
1998,feijao,158,158,35,51,222,-52.8,-38.2,469,EN,1,1.8,786,17,29
1999,feijao,141,141,56,20,397,-13.9,79.3,469,LN,0,-1.3,980,10,14
2000,feijao,302,302,139,85,460,0.1,15.9,469,LN,0,-1.4,1294,10,2
2001,feijao,330,330,157,193,476,2.9,3.4,469,LN,0,-0.5,995,18,15
2002,feijao,346,346,159,178,460,-1.5,-3.4,469,N,0,0,832,11,13
2003,feijao,332,332,163,259,491,4.6,6.8,469,EN,0,0.5,889,15,13
2004,feijao,270,270,135,231,500,5.8,1.8,469,N,0,0.1,1060,11,17
2005,feijao,154,154,74,89,481,0.6,-3.9,469,N,0,0.4,1008,10,22
2006,feijao,87,87,41,58,471,-2,-1.9,470,LN,0,-0.9,1073,27,34
2007,feijao,85,85,40,66,471,-2,-0.1,470,N,0,0.2,824,8,15
2008,feijao,62,62,28,69,452,-5.4,-4,470,LN,1,-1.5,1287,9,21
2009,feijao,52,52,26,35,500,5.2,10.7,470,LN,0,-0.8,1037,15,31
2010,feijao,35,35,17,30,486,2.7,-2.9,470,EN,0,1.1,712,13,26
2011,feijao,47,47,23,55,489,4.2,0.8,470,LN,0,-1.2,1403,5,22
2012,feijao,48,48,21,56,438,-6.4,-10.6,470,LN,0,-0.6,996,4,17
2013,feijao,55,55,25,80,455,-2.8,3.9,470,LN,0,-0.6,905,6,21
2014,feijao,48,48,22,62,458,-2.2,0.8,470,LN,0,-0.5,871,5,14
2015,feijao,62,62,30,100,484,2.9,5.6,471,N,0,0.4,729,8,16
2016,feijao,55,55,27,127,491,3.9,1.5,471,EN,1,1.8,639,23,55
2017,feijao,60,60,28,104,467,-1.8,-4.9,471,LN,0,-0.5,956,11,25
2018,feijao,54,54,24,70,444,-7.1,-4.8,471,LN,0,-1,1045,10,31
2019,feijao,58,58,27,99,466,-3.5,4.7,471,EN,0,0.6,993,9,24
2020,feijao,44,44,23,106,523,7.4,12.3,471,N,0,0.1,1593,7,16
2021,feijao,40,40,21,131,525,6.7,0.4,471,LN,0,-1,959,9,28
2022,feijao,34,34,17,88,500,0.4,-4.8,471,LN,0,-1.2,1410,7,5
2023,feijao,30,30,14,93,467,-7.5,-6.7,471,LN,0,-0.6,1196,13,25
2024,feijao,25,25,13,141,520,1.7,11.4,472,EN,0,0.9,953,14,48
1974,milho,,1100,363,0,330,-24.8,,447,LN,1,-1.5,,,
1975,milho,,6120,2203,0,360,-21.4,9.1,455,N,0,-0.1,,,
1976,milho,,7150,3432,0,480,1.1,33.3,463,LN,0,-1,,,
1977,milho,,7123,4274,0,600,22.9,25,468,EN,0,1,,,
1978,milho,,8470,6098,0,720,44.4,20,471,EN,0,0.9,,,
1979,milho,,9750,5850,0,600,18.6,-16.7,471,N,0,0.2,,,
1980,milho,,11019,6736,0,611,19.3,1.9,467,EN,0,0.6,,,
1981,milho,,12000,4320,0,360,-30.1,-41.1,461,N,0,0,1110,7,4
1982,milho,,10000,6000,0,600,16.8,66.7,453,N,0,0.1,1261,5,2
1983,milho,,9000,1620,0,180,-64.9,-70,445,EN,1,2.5,775,9,5
1984,milho,,11775,7783,0,661,31.2,200,438,LN,0,-0.5,1190,9,0
1985,milho,,10738,5154,0,480,-1.2,-27.4,433,LN,0,-0.8,1560,10,0
1986,milho,,12349,8274,0,670,40.6,39.6,431,N,0,-0.3,1327,7,0
1987,milho,,12960,2084,0,161,-66.2,-76,433,EN,1,1.6,1036,8,0
1988,milho,12960,12960,7815,1e-04,603,27.3,200,439,EN,0,0.7,1473,25,15
1989,milho,11664,11664,7067,0.0015,606,26.9,0.5,450,LN,1,-1.7,1105,7,2
1990,milho,8810,8810,1862,0.0065,211,-57.2,-65.1,465,N,0,0.2,1126,18,1
1991,milho,9837,9837,6165,0.1796,627,22.9,196.5,485,EN,0,0.6,1142,8,0
1992,milho,9778,9778,4107,1.2545,420,-20.5,-33,511,EN,1,2.3,1074,18,4
1993,milho,11245,11245,8794,14.3902,782,36.5,86.2,543,EN,0,0.5,784,20,5
1994,milho,8996,8996,5721,420,636,-3.8,-18.7,584,N,0,0.3,1410,5,2
1995,milho,9356,9356,6549,726,700,-9.6,10.1,633,EN,0,1.3,1029,11,7
1996,milho,6151,6151,3188,566,518,-41.2,-26,693,LN,0,-0.9,1538,18,16
1997,milho,1960,1960,935,129,477,-53,-8,765,N,0,-0.2,1020,5,2
1998,milho,1980,1980,495,72,250,-78.9,-47.6,848,EN,1,2.2,786,17,29
1999,milho,533,533,853,132,1600,21.7,200,941,LN,1,-1.5,980,10,14
2000,milho,613,613,1134,244,1850,30.3,15.6,1042,LN,1,-1.7,1294,10,2
2001,milho,640,640,1216,243,1900,24.1,2.7,1147,LN,0,-0.6,995,18,15
2002,milho,691,691,1071,394,1550,-4.8,-18.4,1248,N,0,-0.1,832,11,13
2003,milho,720,720,1152,369,1600,-5.5,3.2,1340,EN,0,0.9,889,15,13
