ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,roni_pico,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1992,feijao,5,5,6,0.0038,1200,,,EN,1,2.3,976,14,0
1998,feijao,30,30,35,19,1167,,,EN,1,2.2,1127,5,2
1999,feijao,30,30,35,19,1167,,0,LN,1,-1.5,1159,7,2
2000,feijao,6,6,8,5,1333,,14.3,LN,1,-1.7,901,9,0
1974,milho,,5,12,0,2400,,,LN,1,-1.5,,,
1975,milho,,2,6,0,3000,,25,N,0,-0.1,,,
1976,milho,,2,5,0,2500,,-16.7,LN,0,-1,,,
1977,milho,,2,5,0,2500,,0,EN,0,1,,,
1978,milho,,2,5,0,2500,,0,EN,0,0.9,,,
1979,milho,,1,2,0,2000,,-20,N,0,0.2,,,
1993,milho,10,10,36,0.3404,3600,,,EN,0,0.5,1162,7,0
1994,milho,10,10,36,4,3600,,0,N,0,0.3,998,9,0
1995,milho,8,8,29,4,3625,,0.7,EN,0,1.3,1363,12,0
1997,milho,4,4,14,1,3500,,,N,0,-0.2,1077,9,0
