ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1974,arroz,,3100,6200,0,2000,32.1,,1494,LN,1,-1.9,,,
1975,arroz,,3393,3356,0,989,-41.3,-50.5,1603,N,0,-0.2,,,
1976,arroz,,1845,3962,0,2147,15.5,117.1,1720,LN,0,-1.1,,,
1977,arroz,,1459,3573,0,2449,20.2,14,1849,EN,0,1.1,,,
1978,arroz,,1800,2462,0,1368,-38.5,-44.1,1992,EN,0,1.1,,,
1979,arroz,,1312,2279,0,1737,-28.1,27,2153,N,0,0.2,,,
1980,arroz,,1744,4264,0,2445,-6.2,40.8,2335,EN,0,0.7,,,
1981,arroz,,1731,5193,0,3000,7.1,22.7,2538,N,0,0.2,1300,7,1
1982,arroz,,2500,7000,0,2800,-6.7,-6.7,2762,N,0,0,1289,8,0
1983,arroz,,3042,9128,0,3001,-6.1,7.2,3004,EN,1,2.5,1181,13,1
1984,arroz,,3380,9734,0,2880,-15.5,-4,3257,LN,0,-1,875,11,12
1985,arroz,,3500,13000,0,3714,1.8,29,3511,LN,0,-1,1157,10,2
1986,arroz,,3500,13000,0,3714,-3.6,0,3753,N,0,-0.2,1033,14,3
1987,arroz,,4720,18168,0,3849,-4.3,3.6,3967,EN,1,1.5,938,10,0
1988,arroz,5552,5552,26400,2e-04,4755,13.5,23.5,4141,EN,0,0.9,1049,12,1
1989,arroz,5600,5600,26768,0.0022,4780,10.6,0.5,4263,LN,1,-1.9,1342,4,0
1990,arroz,4350,4350,18960,0.0586,4359,-1.1,-8.8,4328,N,0,0,696,11,0
1991,arroz,3500,3500,16450,0.4666,4700,6.8,7.8,4337,EN,0,0.5,924,8,0
1992,arroz,4000,4000,18000,2.2364,4500,3.6,-4.3,4299,EN,1,2.1,823,10,0
1993,arroz,3500,3500,14875,27.0455,4250,-1,-5.6,4226,N,0,0.3,851,6,1
1994,arroz,3550,3550,13388,1781,3771,-10.4,-11.3,4133,N,0,0.3,758,8,2
1995,arroz,3200,3200,13440,2486,4200,3.3,11.4,4035,EN,0,1.4,916,6,8
1996,arroz,3300,3300,12000,2760,3636,-8.5,-13.4,3945,LN,0,-0.9,1622,5,0
1997,arroz,3240,3240,12650,2151,3904,-0.7,7.4,3873,N,0,-0.3,930,9,0
1998,arroz,2500,2500,10500,2205,4200,8,7.6,3825,EN,1,2.3,1148,7,6
1999,arroz,3300,3300,9500,2280,2879,-25.6,-31.5,3805,LN,1,-1.6,957,4,0
2000,arroz,3000,3000,9600,2496,3200,-17.9,11.2,3812,LN,1,-1.6,1364,6,0
2001,arroz,2400,2400,9600,3300,4000,0.9,25,3842,LN,0,-0.7,1023,8,2
2002,arroz,2800,2800,11760,4279,4200,4,5,3889,N,0,-0.3,1209,7,0
2003,arroz,2800,2800,11760,3622,4200,2.6,0,3948,EN,0,1.2,1140,7,17
2004,arroz,2715,2715,12024,10341,4429,7.3,5.4,4010,N,0,0.3,1175,6,2
2005,arroz,2900,2900,12180,8526,4200,0.9,-5.2,4071,EN,0,0.7,1147,5,0
2006,arroz,2800,2800,11200,7840,4000,-4.8,-4.8,4126,LN,0,-0.8,1187,7,3
2007,arroz,2900,2900,12180,8891,4200,0,5,4175,EN,0,0.9,1099,7,0
2008,arroz,2600,2600,12300,8610,4731,13.2,12.6,4222,LN,1,-1.5,1262,14,8
2009,arroz,2400,2400,10080,7056,4200,0,-11.2,4272,LN,0,-0.8,1274,6,4
2010,arroz,2500,2500,10500,7350,4200,-1.6,0,4332,EN,1,1.6,1263,5,4
2011,arroz,2500,2500,10500,7455,4200,-3.5,0,4411,LN,1,-1.6,1147,5,2
2012,arroz,2000,2000,8400,5964,4200,-5.8,0,4514,LN,0,-1,964,7,4
2013,arroz,2000,2000,8400,5981,4200,-9.1,0,4644,N,0,-0.4,1295,4,6
2014,arroz,1000,1000,4200,3003,4200,-12.8,0,4802,N,0,-0.3,774,8,16
2015,arroz,800,800,4400,3159,5500,10.2,31,4984,EN,0,0.6,772,14,17
2016,arroz,550,550,3025,2178,5500,7,0,5181,EN,1,2.4,1294,9,3
2017,arroz,550,550,3025,2193,5500,3.7,0,5382,LN,0,-1,1025,6,2
2018,arroz,738,738,4539,3540,6150,12.7,11.8,5574,LN,0,-1.3,1127,6,5
2019,arroz,650,650,3900,3276,6000,7,-2.4,5746,EN,0,0.7,1295,6,8
2020,arroz,450,450,2700,5219,6000,4.2,0,5890,N,0,0.2,1106,6,2
2021,arroz,450,450,2700,3753,6000,1.5,0,6004,LN,0,-1.4,1138,10,8
2022,arroz,450,450,2700,4563,6000,-0.9,0,6093,LN,0,-1.2,1196,4,0
2023,arroz,400,400,2400,3840,6000,-3,0,6164,LN,0,-1,1450,4,1
2024,arroz,450,450,2700,6399,6000,-5.1,0,6227,EN,1,1.5,1472,7,15
1974,cana,,50,3500,0,70000,1.3,,78137,LN,1,-1.5,,,
1975,cana,,11,770,0,70000,-1.3,0,79226,N,0,-0.1,,,
1976,cana,,9,840,0,93333,28.7,33.3,80262,LN,0,-1,,,
1977,cana,,12,840,0,70000,-5.4,-25,81164,EN,0,1,,,
1978,cana,,50,5000,0,1e+05,32.8,42.9,81861,EN,0,0.9,,,
1979,cana,,50,4825,0,96500,26.2,-3.5,82317,N,0,0.2,,,
1980,cana,,50,5000,0,1e+05,29.1,3.6,82541,EN,0,0.6,,,
1981,cana,,76,5033,0,66224,-15.5,-33.8,82576,N,0,0,1300,7,1
1982,cana,,70,5600,0,80000,1.2,20.8,82481,N,0,0.1,1289,8,0
1983,cana,,70,5600,0,80000,0.4,0,82315,EN,1,2.5,1181,13,1
1984,cana,,110,8800,0,80000,0,0,82122,LN,0,-0.5,875,11,12
1985,cana,,110,8800,0,80000,0,0,81921,LN,0,-0.8,1157,10,2
1986,cana,,110,8800,0,80000,0,0,81713,N,0,-0.3,1033,14,3
1987,cana,,110,8800,0,80000,0,0,81488,EN,1,1.6,938,10,0
1988,cana,110,110,8800,0,80000,0,0,81230,EN,0,0.7,1049,12,1
1989,cana,100,100,8000,2e-04,80000,0,0,80925,LN,1,-1.7,1342,4,0
1990,cana,100,100,8000,0.0044,80000,0,0,80556,N,0,0.2,696,11,0
1991,cana,70,70,5600,0.0122,80000,0,0,80104,EN,0,0.6,924,8,0
1992,cana,50,50,4000,0.0509,80000,-0.1,0,79540,EN,1,2.3,823,10,0
1993,cana,70,70,5600,2.7207,80000,-0.1,0,78829,EN,0,0.5,851,6,1
1994,cana,70,70,5600,50,80000,-0.1,0,77931,N,0,0.3,758,8,2
1995,cana,70,70,5600,62,80000,0.2,0,76819,EN,0,1.3,916,6,8
