ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1974,arroz,,263,347,0,1319,-12.9,,1502,LN,1,-1.9,,,
1975,arroz,,275,462,0,1680,4.5,27.3,1508,N,0,-0.2,,,
1976,arroz,,280,707,0,2525,49.8,50.3,1513,LN,0,-1.1,,,
1977,arroz,,500,953,0,1906,9,-24.5,1519,EN,0,1.1,,,
1978,arroz,,500,372,0,744,-58.6,-61,1525,EN,0,1.1,,,
1979,arroz,,350,575,0,1643,-10.4,120.8,1530,N,0,0.2,,,
1980,arroz,,500,967,0,1934,4.4,17.7,1536,EN,0,0.7,,,
1981,arroz,,210,294,0,1400,-24.5,-27.6,1542,N,0,0.2,928,10,12
1982,arroz,,210,387,0,1843,-0.1,31.6,1547,N,0,0,1154,10,0
1983,arroz,,250,600,0,2400,32.1,30.2,1553,EN,1,2.5,1370,10,0
1984,arroz,,315,391,0,1241,-29.9,-48.3,1559,LN,0,-1,685,10,15
1985,arroz,,350,867,0,2477,44,99.6,1565,LN,0,-1,919,15,6
1986,arroz,,290,600,0,2069,27.3,-16.5,1570,N,0,-0.2,809,15,11
1987,arroz,,350,630,0,1800,20.3,-13,1576,EN,1,1.5,784,11,9
1988,arroz,350,350,346,0,989,-29.9,-45.1,1582,EN,0,0.9,821,12,5
1989,arroz,350,350,504,0,1440,5.5,45.7,1588,LN,1,-1.9,1141,11,5
1990,arroz,350,350,280,0.0058,800,-39.5,-44.4,1594,N,0,0,989,10,3
1991,arroz,350,350,350,0.0101,1000,-23.3,25,1600,EN,0,0.5,919,11,8
1992,arroz,350,350,385,0.0791,1100,-18.1,10,1606,EN,1,2.1,1083,9,5
1993,arroz,400,400,600,1.7455,1500,5.2,36.4,1612,N,0,0.3,1099,7,7
1994,arroz,120,120,180,31,1500,0.5,0,1617,N,0,0.3,728,14,11
