ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1993,arroz,44,44,79,0.1651,1795,-10.2,,1523,N,0,0.3,788,7,0
1994,arroz,30,30,54,3,1800,46.3,0.3,1551,N,0,0.3,917,6,0
1995,arroz,30,30,60,7,2000,185,11.1,1580,EN,0,1.4,1067,8,2
1996,arroz,15,15,6,1,400,1,-80,1609,LN,0,-0.9,1010,8,4
1997,arroz,15,15,15,2,1000,-23.9,150,1638,N,0,-0.3,800,8,0
1998,arroz,15,15,38,5,2533,12.2,153.3,1668,EN,1,2.3,1618,6,0
1999,arroz,7,7,18,4,2571,0.4,1.5,1698,LN,1,-1.6,706,9,0
2000,arroz,5,5,11,3,2200,-6.8,-14.4,1729,LN,1,-1.6,932,7,0
2001,arroz,2,2,5,1,2500,4.1,13.6,1761,LN,0,-0.7,1083,7,0
2002,arroz,2,2,5,1,2500,-0.2,0,1793,N,0,-0.3,951,7,1
2003,arroz,2,2,5,2,2500,12.3,0,1826,EN,0,1.2,1248,7,0
2004,arroz,2,2,3,1,1500,-18,-40,1859,N,0,0.3,908,10,1
2005,arroz,2,,,,,,,,EN,0,0.7,572,13,3
2006,arroz,2,2,3,1,1500,-3.8,,1928,LN,0,-0.8,912,8,6
2007,arroz,2,2,4,1,2000,26.1,33.3,1963,EN,0,0.9,792,10,2
2008,arroz,2,2,3,1,1500,-9.8,-25,1999,LN,1,-1.5,680,11,0
1993,cana,50,50,1400,0.4785,28000,-1.6,,28668,EN,0,0.5,788,7,0
1994,cana,50,50,1400,15,28000,0.1,0,27158,N,0,0.3,917,6,0
1995,cana,50,50,1400,39,28000,1.8,0,25812,EN,0,1.3,1067,8,2
1996,cana,50,50,1400,42,28000,3.6,0,24679,LN,0,-0.9,1010,8,4
1997,cana,50,50,750,23,15000,-43.6,-46.4,23738,N,0,-0.2,800,8,0
1998,cana,50,50,1250,38,25000,-4.3,66.7,22900,EN,1,2.2,1618,6,0
1999,cana,50,50,1250,38,25000,-2.6,0,22044,LN,1,-1.5,706,9,0
2000,cana,65,65,1300,40,20000,-20.6,-20,21081,LN,1,-1.7,932,7,0
2001,cana,65,65,1625,62,25000,1,25,20015,LN,0,-0.6,1083,7,0
2002,cana,65,65,1625,73,25000,2.7,0,18959,N,0,-0.1,951,7,1
2003,cana,65,65,1625,81,25000,4.8,0,18106,EN,0,0.9,1248,7,0
2004,cana,65,65,975,47,15000,-35.8,-40,17674,N,0,0.3,908,10,1
2005,cana,65,65,390,21,6000,-72.6,-60,17867,EN,0,0.6,572,13,3
2006,cana,50,50,1000,60,20000,-4.8,200,18855,LN,0,-0.9,912,8,6
2007,cana,50,50,1125,55,22500,2.5,12.5,20764,EN,0,0.6,792,10,2
2008,cana,50,50,1125,59,22500,-4.1,0,23637,LN,1,-1.6,680,11,0
2009,cana,30,30,675,36,22500,-18.3,0,27354,LN,0,-0.9,926,11,2
2010,cana,10,10,500,225,50000,55.8,122.2,31547,EN,1,1.5,1384,8,4
2011,cana,7,7,350,95,50000,42.4,0,35611,LN,0,-1.4,951,10,0
2012,cana,7,7,280,76,40000,6,-20,38889,LN,0,-0.8,597,10,4
2013,cana,3,3,120,30,40000,2.2,0,40950,LN,0,-0.6,996,14,4
2014,cana,3,3,120,30,40000,-0.2,0,41786,LN,0,-0.5,892,13,11
2015,cana,3,3,120,24,40000,-0.7,0,41747,EN,0,0.5,819,9,2
2016,cana,3,3,120,25,40000,0,0,41318,EN,1,2.2,1306,15,0
2017,cana,3,3,120,20,40000,-0.1,0,40890,LN,0,-0.7,980,14,0
2018,cana,3,3,120,21,40000,-0.2,0,40652,LN,0,-1.1,1003,11,1
2019,cana,3,3,120,21,40000,-0.2,0,40584,EN,0,0.6,1016,11,2
2020,cana,2,2,80,6,40000,0,0,40538,N,0,0.1,626,18,15
2021,cana,2,2,80,64,40000,0.5,0,40340,LN,0,-1.2,690,21,6
2022,cana,2,2,80,40,40000,1.1,0,39891,LN,0,-1.2,624,10,21
2023,cana,2,2,80,40,40000,1.9,0,39216,LN,0,-0.8,563,7,8
2024,cana,2,2,76,23,38000,-2.3,-5,38429,EN,0,1.2,1567,7,10
1993,feijao,40,40,39,0.0971,975,-2.1,,689,N,0,0.3,788,7,0
1994,feijao,40,40,39,12,975,10.1,0,718,N,0,0.3,917,6,0
1995,feijao,65,65,51,32,785,-2.4,-19.5,748,EN,0,1.4,1067,8,2
1996,feijao,80,70,21,11,300,-59.9,-61.8,780,LN,0,-0.9,1010,8,4
1997,feijao,60,60,57,27,950,31.4,200,815,N,0,-0.3,800,8,0
1998,feijao,45,45,32,25,711,-1.6,-25.1,854,EN,1,2.3,1618,6,0
1999,feijao,60,60,42,35,700,-7.1,-1.6,897,LN,1,-1.6,706,9,0
2000,feijao,60,60,42,27,700,-13.5,0,943,LN,1,-1.6,932,7,0
2001,feijao,60,60,51,34,850,-5.7,21.4,992,LN,0,-0.7,1083,7,0
2002,feijao,60,60,69,78,1150,14.3,35.3,1044,N,0,-0.3,951,7,1
2003,feijao,60,60,69,135,1150,2.9,0,1095,EN,0,1.2,1248,7,0
2004,feijao,58,58,124,152,2138,73.6,85.9,1146,N,0,0.3,908,10,1
2005,feijao,50,50,60,64,1200,-10,-43.9,1194,EN,0,0.7,572,13,3
2006,feijao,52,52,92,88,1769,24.2,47.4,1238,LN,0,-0.8,912,8,6
2007,feijao,50,50,68,61,1360,-9,-23.1,1277,EN,0,0.9,792,10,2
2008,feijao,32,32,44,69,1375,-11.1,1.1,1311,LN,1,-1.5,680,11,0
2009,feijao,32,32,56,72,1750,11.6,27.3,1339,LN,0,-0.8,926,11,2
2010,feijao,17,17,29,37,1706,8.1,-2.5,1362,EN,1,1.6,1384,8,4
2011,feijao,10,10,15,18,1500,-4.5,-12.1,1382,LN,1,-1.6,951,10,0
2012,feijao,12,12,9,16,750,-51.8,-50,1399,LN,0,-1,597,10,4
2013,feijao,10,10,15,27,1500,-3,100,1414,N,0,-0.4,996,14,4
2014,feijao,10,10,9,17,900,-41.3,-40,1427,N,0,-0.3,892,13,11
2015,feijao,7,7,11,14,1571,3.2,74.6,1440,EN,0,0.6,819,9,2
2016,feijao,7,7,11,17,1571,3.8,0,1452,EN,1,2.4,1306,15,0
2017,feijao,7,7,11,20,1571,4.7,0,1463,LN,0,-1,980,14,0
2018,feijao,7,7,10,17,1429,-4,-9.1,1474,LN,0,-1.3,1003,11,1
2019,feijao,7,7,11,22,1571,7,10,1483,EN,0,0.7,1016,11,2
2020,feijao,7,7,8,24,1143,-20.9,-27.3,1491,N,0,0.2,626,18,15
2021,feijao,7,7,17,37,2429,71,112.5,1497,LN,0,-1.4,690,21,6
2022,feijao,7,7,11,37,1571,12.8,-35.3,1502,LN,0,-1.2,624,10,21
2023,feijao,7,7,8,40,1143,-16.4,-27.3,1507,LN,0,-1,563,7,8
2024,feijao,7,7,10,60,1429,6.7,25,1511,EN,1,1.5,1567,7,10
1993,milho,4000,4000,14400,21.312,3600,10.9,,3251,N,0,0.3,788,7,0
1994,milho,4000,4000,9960,962,2490,-25.7,-30.8,3337,N,0,0.3,917,6,0
1995,milho,4000,4000,18000,1536,4500,29.5,80.7,3425,EN,0,1.4,1067,8,2
1996,milho,3200,3200,9216,1326,2880,-20.3,-36,3514,LN,0,-0.9,1010,8,4
1997,milho,3890,3890,14938,1587,3840,1.9,33.3,3602,N,0,-0.3,800,8,0
1998,milho,4000,4000,16800,1982,4200,6.8,9.4,3688,EN,1,2.3,1618,6,0
1999,milho,4000,4000,12560,1837,3140,-23.7,-25.2,3773,LN,1,-1.6,706,9,0
2000,milho,4000,4000,18000,2808,4500,4.6,43.3,3858,LN,1,-1.6,932,7,0
2001,milho,4000,4000,24000,3317,6000,34.1,33.3,3945,LN,0,-0.7,1083,7,0
2002,milho,4000,4000,13440,3486,3360,-27.6,-44,4038,N,0,-0.3,951,7,1
2003,milho,4000,4000,21600,6708,5400,12.9,60.7,4141,EN,0,1.2,1248,7,0
2004,milho,4180,4180,19646,6287,4700,-4.3,-13,4258,N,0,0.3,908,10,1
2005,milho,4180,2926,3260,1032,1114,-77.6,-76.3,4394,EN,0,0.7,572,13,3
2006,milho,4180,4180,19813,3459,4740,-6.3,200,4552,LN,0,-0.8,912,8,6
2007,milho,4180,4180,26334,5167,6300,20.6,32.9,4734,EN,0,0.9,792,10,2
2008,milho,4300,4300,21500,8850,5000,-7.8,-20.6,4938,LN,1,-1.5,680,11,0
2009,milho,4300,4300,23220,7495,5400,-5,8,5158,LN,0,-0.8,926,11,2
2010,milho,3700,3700,21090,7803,5700,-4.4,5.6,5386,EN,1,1.6,1384,8,4
2011,milho,3700,3700,25160,9460,6800,8.6,19.3,5610,LN,1,-1.6,951,10,0
2012,milho,3900,2560,7834,3746,3060,-53.3,-55,5817,LN,0,-1,597,10,4
2013,milho,3100,3100,22320,9428,7200,4.8,135.3,5990,N,0,-0.4,996,14,4
2014,milho,2500,2500,18000,7637,7200,0.7,0,6115,N,0,-0.3,892,13,11
2015,milho,2100,2100,15120,6297,7200,-2.3,0,6179,EN,0,0.6,819,9,2
2016,milho,2100,2100,15120,10300,7200,-3.8,0,6174,EN,1,2.4,1306,15,0
2017,milho,2250,2250,16200,6038,7200,-3.1,0,6095,LN,0,-1,980,14,0
2018,milho,1200,1200,9360,5675,7800,7.9,8.3,5945,LN,0,-1.3,1003,11,1
2019,milho,1200,1200,9360,4446,7800,14.1,0,5732,EN,0,0.7,1016,11,2
2020,milho,1100,1100,5940,4384,5400,-14.4,-30.8,5470,N,0,0.2,626,18,15
2021,milho,1400,1400,9800,14876,7000,23.2,29.6,5175,LN,0,-1.4,690,21,6
2022,milho,1700,1700,5610,8549,3300,-33.1,-52.9,4866,LN,0,-1.2,624,10,21
2023,milho,1700,1700,3672,4787,2160,-46.7,-34.5,4558,LN,0,-1,563,7,8
2024,milho,1700,1700,8670,8071,5100,67.5,136.1,4262,EN,1,1.5,1567,7,10
2003,milho1,4000,4000,21600,,5400,3.7,,3565,EN,0,1.2,1248,7,0
2004,milho1,4180,4180,19646,,4700,-6.2,-13,3779,N,0,0.3,908,10,1
2005,milho1,4180,2926,3260,,1114,-77.3,-76.3,4007,EN,0,0.7,572,13,3
2006,milho1,4180,4180,19813,,4740,-3.5,200,4251,LN,0,-0.8,912,8,6
2007,milho1,4180,4180,26334,,6300,25.5,32.9,4513,EN,0,0.9,792,10,2
2008,milho1,4300,4300,21500,,5000,-4.4,-20.6,4795,LN,1,-1.5,680,11,0
2009,milho1,4300,4300,23220,,5400,-2.5,8,5094,LN,0,-0.8,926,11,2
2010,milho1,3700,3700,21090,,5700,-3.5,5.6,5403,EN,1,1.6,1384,8,4
