ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1997,arroz,1,1,1,0,1000,,,N,0,705,26,40
1997,feijao,615,615,138,62,224,9.7,,N,0,705,26,40
1998,feijao,614,614,22,23,36,-79.7,-84,EN,1,506,17,53
1999,feijao,738,738,221,87,299,88.8,200,LN,1,584,31,61
2000,feijao,600,600,151,55,252,66.9,-16,LN,1,496,23,25
2001,feijao,525,525,40,34,76,-50.8,-69.7,LN,0,468,30,27
2002,feijao,550,550,40,42,73,-56.6,-4.5,N,0,470,15,67
2003,feijao,650,650,27,29,42,-77.6,-42.9,EN,1,536,35,74
2004,feijao,600,420,166,151,395,70.1,200,N,0,805,34,73
2005,feijao,720,720,211,246,293,6.4,-25.9,EN,0,386,23,78
2006,feijao,750,525,189,213,360,25.4,22.8,LN,0,435,31,65
2007,feijao,825,825,148,134,179,-37.1,-50.2,EN,0,492,16,80
2008,feijao,850,850,382,393,449,89,150.5,LN,1,491,52,68
2009,feijao,800,800,72,55,90,-50.2,-80,LN,0,409,22,66
2010,feijao,400,400,27,37,68,-47.5,-25,EN,1,301,14,84
2011,feijao,800,800,152,252,190,94.1,181.5,LN,1,594,20,48
2012,feijao,640,640,29,87,45,-42.5,-76.2,LN,0,222,23,68
2013,feijao,910,410,30,96,73,-12.9,61.5,LN,0,248,37,97
2014,feijao,900,900,24,48,27,-74.4,-63.6,N,0,372,34,50
2015,feijao,800,600,162,386,270,82.1,200,EN,0,472,35,60
2016,feijao,800,320,48,176,150,-24.9,-44.4,EN,1,352,37,101
2017,feijao,800,800,144,682,180,-31.3,20,LN,0,285,36,93
2018,feijao,800,640,256,538,400,30.8,122.2,LN,0,446,30,70
2019,feijao,640,640,230,592,359,6.5,-10.2,EN,0,451,16,68
2020,feijao,450,450,176,440,391,13.2,8.8,N,0,579,24,79
2021,feijao,450,315,90,398,286,-15.8,-26.9,LN,1,395,25,65
2022,feijao,450,450,178,742,396,24.2,38.4,LN,0,598,20,40
2023,feijao,500,250,30,135,120,-57.6,-69.7,LN,0,689,17,31
2024,feijao,500,250,74,247,296,27.6,146.7,EN,1,603,33,98
1997,milho,620,620,446,67,719,10.3,,N,0,705,26,40
1998,milho,620,620,43,9,69,-86.1,-90.4,EN,1,506,17,53
1999,milho,850,850,510,93,600,58.4,200,LN,1,584,31,61
2000,milho,700,700,378,73,540,84.9,-10,LN,1,496,23,25
2001,milho,743,743,157,35,211,-13.6,-60.9,LN,0,468,30,27
2002,milho,700,700,42,17,60,-74,-71.6,N,0,470,15,67
2003,milho,750,750,45,22,60,-73.5,0,EN,1,536,35,74
2004,milho,700,420,153,55,364,11.2,200,N,0,805,34,73
2005,milho,730,730,377,138,516,17.3,41.8,EN,0,386,23,78
2006,milho,800,720,864,363,1200,124.3,132.4,LN,0,435,31,65
2007,milho,1150,690,166,71,241,-52.9,-80,EN,0,492,16,80
2008,milho,1050,1050,630,262,600,29.8,149.4,LN,1,491,52,68
2009,milho,1100,1100,396,141,360,-6.2,-40,LN,0,409,22,66
2010,milho,1100,1100,66,27,60,-80.3,-83.3,EN,1,301,14,84
2011,milho,1100,1100,633,329,575,137.2,200,LN,1,594,20,48
2012,milho,1100,1100,132,74,120,-54.1,-79.1,LN,0,222,23,68
2013,milho,1325,240,50,35,208,-31.5,73.6,LN,0,248,37,97
2014,milho,1350,,,,,,,N,0,372,34,50
2015,milho,1350,800,432,276,540,15.2,,EN,0,472,35,60
2016,milho,1350,,,,,,,EN,1,352,37,101
2017,milho,1350,1350,1185,999,878,37,,LN,0,285,36,93
2018,milho,1350,945,340,227,360,-47.9,-59,LN,0,446,30,70
2019,milho,945,473,255,191,539,-22.2,49.8,EN,0,451,16,68
2020,milho,945,945,1040,841,1101,63.4,104.1,N,0,579,24,79
2021,milho,1765,883,611,796,692,8.3,-37.1,LN,1,395,25,65
2022,milho,1680,1680,907,1221,540,-7.9,-22,LN,0,598,20,40
2023,milho,2000,800,144,180,180,-64.9,-66.7,LN,0,689,17,31
2024,milho,2000,800,480,528,600,42.7,200,EN,1,603,33,98
2003,milho1,750,750,45,,60,-42.1,,EN,1,536,35,74
2004,milho1,700,420,153,,364,9.5,200,N,0,805,34,73
2005,milho1,730,730,377,,516,8.2,41.8,EN,0,386,23,78
2006,milho1,800,720,864,,1200,124,132.4,LN,0,435,31,65
2007,milho1,1150,690,166,,241,-54.2,-80,EN,0,492,16,80
2008,milho1,1050,1050,630,,600,33.8,149.4,LN,1,491,52,68
2009,milho1,1100,1100,396,,360,0.4,-40,LN,0,409,22,66
2010,milho1,1100,1100,66,,60,-80.8,-83.3,EN,1,301,14,84
2011,milho1,1100,1100,633,,575,130.5,200,LN,1,594,20,48
2012,milho1,1100,1100,132,,120,-46.3,-79.1,LN,0,222,23,68
2013,milho1,1325,240,50,,208,-28.5,73.6,LN,0,248,37,97
2014,milho1,1350,,,,,,,N,0,372,34,50
2015,milho1,1350,800,432,,540,8.6,,EN,0,472,35,60
2016,milho1,1350,,,,,,,EN,1,352,37,101
2017,milho1,1350,1350,1185,,878,39.5,,LN,0,285,36,93
2018,milho1,1350,945,340,,360,-46.7,-59,LN,0,446,30,70
2019,milho1,945,473,255,,539,-22,49.8,EN,0,451,16,68
2020,milho1,945,945,1040,,1101,66.1,104.1,N,0,579,24,79
2021,milho1,1765,883,611,,692,11.8,-37.1,LN,1,395,25,65
2022,milho1,1680,1680,907,,540,-6.2,-22,LN,0,598,20,40
2023,milho1,2000,800,144,,180,-65.2,-66.7,LN,0,689,17,31
2024,milho1,2000,800,480,,600,34.6,200,EN,1,603,33,98
