ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1974,arroz,,102,183,0,1794,4.8,,1627,LN,0,-0.9,,,
1975,arroz,,106,191,0,1802,7.1,0.4,1565,N,0,-0.3,,,
1976,arroz,,127,140,0,1102,-33.2,-38.8,1505,N,0,-0.3,,,
1977,arroz,,150,270,0,1800,11.4,63.3,1448,EN,0,0.5,,,
1978,arroz,,160,215,0,1344,-15,-25.3,1394,N,0,0.1,,,
1979,arroz,,160,288,0,1800,16.3,34,1342,N,0,0.2,,,
1980,arroz,,74,139,0,1878,23.9,4.4,1294,N,0,0.3,,,
1981,arroz,,32,75,0,2344,58,24.8,1249,N,0,-0.3,567,33,26
1982,arroz,,160,86,0,538,-62.9,-77.1,1207,N,0,0.4,255,37,43
1983,arroz,,30,14,0,467,-66.9,-13.2,1169,EN,1,1.7,387,30,44
1984,arroz,,11,15,0,1364,-0.8,192.2,1135,N,0,-0.3,387,43,62
1985,arroz,,123,191,0,1553,16.2,13.9,1104,LN,0,-0.6,925,16,38
1986,arroz,,414,745,0,1800,39.5,15.9,1078,N,0,-0.2,794,15,11
1987,arroz,,31,31,0,1000,-18.1,-44.4,1056,EN,0,1.3,499,21,24
1988,arroz,653,399,798,0,2000,72,100,1039,N,0,-0.2,414,58,82
1989,arroz,600,600,360,0,600,-43.9,-70,1028,LN,0,-1.1,626,24,24
1990,arroz,650,650,455,0.0024,700,-25.9,16.7,1022,N,0,0.3,489,22,16
1991,arroz,650,650,975,0.0215,1500,63.5,114.3,1021,N,0,0.4,514,32,43
1992,arroz,800,480,72,0.0196,150,-86,-90,1027,EN,1,2,509,48,51
1993,arroz,1200,120,54,0.3025,450,-64.2,200,1039,EN,0,0.9,285,56,59
1994,arroz,1110,1110,2022,303,1822,23.6,200,1056,N,0,0.4,677,18,58
1995,arroz,1160,1160,2058,466,1774,0.7,-2.6,1079,EN,0,0.7,580,28,41
1996,arroz,510,510,1476,325,2894,47.8,63.1,1107,LN,0,-0.6,597,31,44
1997,arroz,500,500,1290,311,2580,24.8,-10.9,1140,N,0,0.2,576,24,32
1998,arroz,515,500,250,78,500,-76.6,-80.6,1177,EN,0,1.3,464,22,69
1999,arroz,200,200,440,160,2200,8.1,200,1217,LN,0,-1.1,503,39,82
2000,arroz,240,240,480,154,2000,9.4,-9.1,1263,LN,0,-1.1,607,24,27
2001,arroz,230,230,93,28,404,-75.7,-79.8,1314,LN,0,-0.5,538,71,53
2002,arroz,230,230,460,339,2000,33.2,200,1373,N,0,0,588,21,59
2003,arroz,200,200,352,253,1760,28.6,-12,1440,N,0,0.2,429,58,85
2004,arroz,56,53,47,38,887,-34.1,-49.6,1518,N,0,0.1,959,42,78
2005,arroz,135,135,143,74,1059,-21.8,19.4,1609,N,0,0.3,401,55,91
2006,arroz,191,191,356,160,1864,27.7,76,1713,LN,0,-0.6,649,65,66
