ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1974,feijao,,330,158,0,479,25.9,,LN,1,,,
1975,feijao,,330,59,0,179,-52.3,-62.7,N,0,,,
1976,feijao,,100,15,0,150,-59.2,-16.1,LN,0,,,
1977,feijao,,350,189,0,540,50.3,200,EN,0,,,
1978,feijao,,280,111,0,396,13.4,-26.6,EN,0,,,
1979,feijao,,300,119,0,397,16.8,0.1,N,0,,,
1980,feijao,,49,3,0,61,-81.4,-84.6,EN,0,,,
1981,feijao,,140,55,0,393,23.8,200,N,0,365,20,5
1982,feijao,,336,200,0,595,94.3,51.5,N,0,100,37,4
1983,feijao,,36,2,0,56,-80.6,-90.7,EN,1,146,80,10
1984,feijao,,350,140,0,400,50.6,200,LN,0,120,68,12
1985,feijao,,240,24,0,100,-60.8,-75,LN,0,213,51,10
1986,feijao,,450,135,0,300,20.9,200,N,0,214,22,9
1987,feijao,,160,32,0,200,-18.2,-33.3,EN,1,353,22,1
1988,feijao,300,300,90,0,300,22.1,50,EN,0,125,51,14
1989,feijao,500,300,60,0,200,-20.3,-33.3,LN,1,293,21,16
1990,feijao,150,150,38,0.001,253,-2.7,26.7,N,0,322,19,2
1991,feijao,720,685,247,0.0164,361,31.4,42.3,EN,0,135,18,2
1992,feijao,320,140,43,0.0663,307,4.9,-14.8,EN,1,481,57,2
1993,feijao,310,85,17,0.4945,200,-36.2,-34.9,EN,0,76,49,0
1994,feijao,780,780,243,129,312,-8.1,55.8,N,0,178,30,1
1995,feijao,740,740,308,102,416,13.6,33.6,EN,0,67,36,18
1996,feijao,650,650,275,160,423,6.5,1.6,LN,0,143,44,18
1997,feijao,610,610,207,81,339,-21.7,-19.8,N,0,409,14,4
1998,feijao,520,520,268,236,515,11.4,51.9,EN,1,64,60,55
1999,feijao,520,520,265,148,510,5,-1.1,LN,1,46,47,31
2000,feijao,490,490,249,144,508,0.4,-0.3,LN,1,417,8,7
2001,feijao,435,435,221,177,508,-2.3,0,LN,0,188,22,11
2002,feijao,400,360,186,174,517,-1.5,1.7,N,0,516,15,1
2003,feijao,380,380,231,227,608,16.2,17.7,EN,1,175,26,26
2004,feijao,450,370,195,162,527,1.4,-13.3,N,0,623,19,3
2005,feijao,450,350,155,113,443,-13.5,-16,EN,0,145,51,10
2006,feijao,450,370,131,97,354,-29.2,-20.1,LN,0,60,32,10
2007,feijao,340,340,208,520,612,25.5,72.8,EN,0,330,38,3
2008,feijao,300,300,129,155,430,-8.8,-29.7,LN,1,225,28,29
2009,feijao,270,270,137,105,507,12.4,18,LN,0,99,40,60
2010,feijao,270,270,137,294,507,18.7,0,EN,1,222,19,36
2011,feijao,270,110,36,70,327,-18.1,-35.5,LN,1,242,22,38
2012,feijao,130,118,35,99,297,-19.4,-9.4,LN,0,191,57,18
2013,feijao,100,90,36,72,400,20.5,34.9,LN,0,130,63,28
2014,feijao,50,50,30,40,600,105.3,50,N,0,292,15,26
2015,feijao,50,50,10,12,200,-19.4,-66.7,EN,0,215,16,40
2016,feijao,40,20,4,16,200,0,0,EN,1,182,38,65
1974,milho,,660,594,0,900,35.9,,LN,1,,,
1975,milho,,692,415,0,600,-16.2,-33.4,N,0,,,
