ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1997,arroz,22,22,44,15,2000,4.7,,N,0,857,8,23
1998,arroz,2,2,4,1,2000,-11.2,0,EN,1,498,16,68
2000,arroz,4,4,12,3,3000,14.4,,LN,1,873,10,10
2001,arroz,4,4,12,3,3000,11.3,0,LN,0,722,20,30
2002,arroz,5,5,10,4,2000,-26.2,-33.3,N,0,915,12,13
2003,arroz,7,7,17,6,2429,-8.6,21.4,EN,1,712,27,50
2004,arroz,24,24,88,36,3667,35.4,51,N,0,913,22,48
2005,arroz,15,15,30,11,2000,-17.2,-45.5,EN,0,613,18,33
2006,arroz,55,23,47,16,2043,11.2,2.2,LN,0,514,28,63
2007,arroz,10,10,12,4,1200,-23.9,-41.3,EN,0,755,12,13
2008,arroz,4,4,9,5,2250,1.8,87.5,LN,1,688,19,46
2009,arroz,15,12,84,59,7000,103.4,200,LN,0,607,38,45
2010,arroz,15,8,40,26,5000,13.7,-28.6,EN,1,749,17,45
2011,arroz,3,3,12,6,4000,-18.5,-20,LN,1,742,18,35
2012,arroz,1,1,5,3,5000,3.4,25,LN,0,523,32,38
2013,arroz,2,2,10,6,5000,31.2,0,LN,0,530,25,79
2014,arroz,2,2,4,3,2000,-34.2,-60,N,0,720,23,35
2015,arroz,5,4,4,3,1000,-56.4,-50,EN,0,360,31,72
2016,arroz,7,7,16,14,2286,43.6,128.6,EN,1,531,28,113
1997,cana,10,10,250,12,25000,40.3,,N,0,857,8,23
1998,cana,10,10,250,15,25000,-19.8,0,EN,1,498,16,68
1999,cana,10,10,250,15,25000,-41.2,0,LN,1,654,15,24
2000,cana,20,20,400,18,20000,-61.6,-20,LN,1,873,10,10
2001,cana,48,48,3360,151,70000,17.1,200,LN,0,722,20,30
2002,cana,70,70,4900,206,70000,6.6,0,N,0,915,12,13
2003,cana,70,70,4900,206,70000,0,0,EN,1,712,27,50
2004,cana,56,56,3920,200,70000,-0.7,0,N,0,913,22,48
