code_muni,en,ln,n,med
3129202,32.44,24.5,30.71,29.15
3129301,9.69,8.5,14.86,10.85
3129400,20.44,17,19.71,19.02
3129509,16.06,13.81,17.79,15.8
3129608,2.31,2.62,5.5,3.39
3129657,2.12,1.5,6.5,3.24
3129707,24.69,21.75,26.57,24.24
3129806,14.31,13.19,19.57,15.52
3129905,36.62,29.56,39.71,35.11
3130002,20.5,20.5,23.64,21.46
3130051,1.81,4.06,7.5,4.33
3130101,14.25,14.88,17.29,15.39
3130200,13.75,16,18.29,15.91
3130309,16.94,18.19,24.43,19.65
3130408,21.06,18.5,22.5,20.61
3130507,26.88,22.88,25.57,25.09
3130556,9.06,12.81,16.21,12.54
3130606,38.56,30.19,34.86,34.52
3130655,4.19,3.38,6.43,4.59
3130705,13.19,11.06,15.43,13.13
3130804,24.62,19.69,21,21.8
3130903,9.81,11.81,14.64,11.98
3131000,7.5,6.56,10.43,8.07
3131109,2.75,4.06,9.79,5.35
3131158,10.25,8.12,15.64,11.15
3131208,11.06,13.19,14.79,12.93
3131307,10.44,7.38,15.07,10.78
3131406,10.56,12.94,21,14.57
3131505,32.69,25.62,33.86,30.59
3131604,12.12,15.5,16.36,14.59
3131703,9.62,9.94,12.29,10.54
3131802,14.88,16.31,22.21,17.61
3131901,13.25,16.62,18.86,16.13
3132008,4.12,3.62,5.86,4.48
3132107,0.75,0.88,4.07,1.8
3132206,14.88,15.44,21.5,17.09
3132305,24.44,16.69,27.36,22.63
3132404,39.44,26.94,40.14,35.3
3132503,6.38,5.44,10.79,7.39
3132602,20.44,19.12,21.43,20.28
3132701,16.75,11.25,18.64,15.41
3132800,8.62,11.75,11.86,10.7
3132909,30.62,26.62,36.79,31.11
3133006,36.88,27.62,31.07,31.89
3133105,34.5,27.62,33.86,31.91
3133204,7.81,10.75,12.57,10.28
3133303,5.62,4.38,7.64,5.8
3133402,11,19.44,21.36,17.09
3133501,20.5,17.75,23.43,20.43
3133600,56.5,43.5,55.93,51.8
3133709,14.75,16.19,20.64,17.04
3133758,23.88,25.25,26,25
3133808,14.38,14.44,19.5,15.96
3133907,12.88,13.56,19.07,15
3134004,3.31,3.81,4.64,3.89
3134103,11.38,15.12,14.36,13.59
3134202,11.75,11.94,20.5,14.48
3134301,22.12,20.12,23.07,21.72
3134400,12.38,20.06,30.5,20.57
3134509,22.25,19.38,21.29,20.96
3134608,5.75,8.56,12.71,8.85
3134707,31.88,29,34.64,31.72
3134806,26.19,27.62,31.07,28.17
3134905,42.94,34.94,49.64,42.2
3135001,10.31,8.56,13.29,10.61
3135050,0.31,1.06,2.43,1.22
3135076,11.5,10,11.79,11.07
3135100,0.44,1.5,1.93,1.26
3135209,0.75,1.56,5.14,2.37
3135308,18.44,17.81,24.36,20.02
3135357,3.94,5.31,4.29,4.52
3135407,14.5,10.81,18,14.28
3135456,3.06,3.94,5.36,4.07
3135506,14.06,10.69,15.57,13.35
3135605,0.88,2.69,6.71,3.28
3135704,5.38,5.44,11.79,7.35
3135803,22.56,18.62,24.93,21.91
3135902,31.94,25.88,32.36,29.96
3136009,20.44,16.88,24.14,20.33
3136108,9.12,9.38,14.64,10.89
3136207,10.75,13.38,11.5,11.89
3136306,2.44,4.75,7.43,4.76
3136405,2.06,3.44,7.5,4.2
3136504,32.88,31.5,32.64,32.33
3136520,3.5,3.12,6.21,4.2
3136553,12.5,8.88,14.5,11.85
3136579,3.5,2.69,5.07,3.7
3136603,7.25,8.56,12.86,9.41
3136652,12.69,9.81,15.93,12.67
3136702,25.25,21,22.71,23
3136801,3.75,3.31,5.71,4.2
3136900,31,27.44,34.36,30.78
3136959,0.38,1.25,3.71,1.7
3137007,20.69,13.38,26.29,19.85
3137106,5.44,6.25,9,6.8
3137205,17.56,15.88,23.14,18.67
3137304,0.62,2.88,6.57,3.22
3137403,15.88,17.94,20.57,18.02
3137502,8.5,10.19,10.86,9.8
3137536,3,4.38,9.07,5.33
3137601,5.12,7.5,11.14,7.78
3137700,17.12,15.69,16.21,16.35
3137809,31.56,25.31,32,29.52
3137908,13.38,14.62,18.71,15.43
3138005,20.81,20.06,24.43,21.65
3138104,2.44,3.12,6.86,4.02
3138203,22.62,19.81,22.21,21.52
3138302,11.88,10.19,15.71,12.46
3138351,3.5,2.88,6.79,4.28
3138401,20.88,18.25,17.64,18.98
3138500,40.19,28.31,29.29,32.74
3138609,26.25,17.69,29.29,24.2
3138625,12.12,17.31,32.43,20.11
3138658,2.94,5.38,5.29,4.5
3138674,16.5,15.81,18.71,16.93
3138682,3.75,2,6.29,3.91
3138708,25.31,19.88,20.5,21.96
3138807,14.19,15.06,21.14,16.61
3138906,38.81,28.31,49,38.26
3139003,28.06,24.12,29.57,27.15
3139102,21.5,19.44,20.79,20.57
3139201,14.81,10.06,19.14,14.48
3139250,1.94,1.38,1.21,1.52
3139300,0.19,1.5,3.5,1.65
3139409,13.56,9.62,14.93,12.61
3139508,16.81,15.31,16.93,16.33
3139607,15.69,19.06,24.86,19.65
3139706,8.75,9.88,11.43,9.96
3139805,26.06,15.19,20.07,20.46
3139904,41.12,25.94,40.64,35.7
3140001,12,11.88,14.36,12.67
3140100,11.69,10.62,12.86,11.67
3140159,13.69,11.19,19.71,14.65
