code_muni,en,ln,n,med
1100015,270.94,284.32,256.1,273.24
1100023,342.12,260.89,284.7,296.09
1100031,278.24,285.05,265.9,278.37
1100049,304.82,274.47,285.5,288.09
1100056,256.29,256.95,262.7,257.96
1100064,282.35,285.53,276,282.28
1100072,259.59,265.95,265.4,263.48
1100080,236.53,230.84,218.5,230.26
1100098,291.88,278.95,274.9,282.85
1100106,231.06,220.37,236.9,227.91
1100114,334.59,287.53,268.9,300.87
1100122,331.18,293.11,273.2,302.85
1100130,377.24,320.47,354.7,348.89
1100148,289.53,289.95,259.6,283.2
1100155,331.35,284.16,285.6,301.91
1100189,279.47,279.42,281.6,279.91
1100205,310.24,281.37,321.3,300.72
1100254,317.76,271.16,290.7,292.63
1100262,373.35,312.32,313.6,335.15
1100288,283.12,270.68,280.6,277.43
1100296,286.71,275.53,274.9,279.52
1100304,284.29,297.05,275.5,287.65
1100320,276.94,281.16,239.8,270.61
1100338,276,268.37,268.3,271.17
1100346,300.59,283.16,263.6,285.35
1100379,267.18,277.58,263.3,270.63
1100403,345.65,291.68,293.8,312.09
1100452,337.88,312.26,282.7,315.3
1100502,289.12,278.95,273.2,281.46
1100601,315.12,269.32,259.7,284.15
1100700,318.35,313.79,271.1,306.2
1100809,359.65,318.11,379.7,346.85
1100908,306.88,268.63,279.4,285.11
1100924,257.53,268.26,273.6,265.46
1100940,373.71,312.89,341.1,341.5
1101005,320.88,282,263,292.24
1101104,369.82,319.26,347.1,344
1101203,315.41,271.47,288.8,291.48
1101302,315.12,279.42,258.7,288.11
1101401,325.12,285.63,278.7,298.72
1101435,327.88,271.32,262.1,290.22
1101450,263.94,273,287.6,272.83
1101468,256.76,266.05,270.9,263.67
1101476,285.53,267.21,286.9,278.26
1101484,280.41,267.74,285.1,276.2
1101492,250.53,264.42,233.9,252.65
1101500,270.71,270.32,238.9,263.63
1101559,319.59,277.74,273.9,292.37
1101609,379.53,302.32,296.5,329.59
1101708,313.06,280.32,273.5,290.93
1101757,373,306.32,317.2,333.33
1101807,347.88,291.63,285.7,311.13
1200013,288.94,298.05,283.1,291.43
1200054,212.24,234,242.9,227.89
1200104,222.53,232.74,237,229.89
1200138,243.65,255.89,282.2,257.09
1200179,253.06,273.79,287,269
1200203,270.35,282.21,296.9,281.02
1200252,232.94,240.84,242.2,238.22
1200302,257.53,308.53,306.9,289.33
1200328,263.82,309.21,267.6,283.39
1200336,281.35,283.37,291.8,284.46
1200344,229.76,265.05,301.9,260.02
1200351,259.06,293.84,274.3,276.74
1200385,261.82,282.63,288,276.11
1200393,271.71,287.32,285.5,281.15
1200401,253.47,257.37,274.1,259.57
1200427,278.35,282.47,285.5,281.61
1200435,231.47,268.11,303.9,262.35
1200450,262.82,288.63,288.1,278.98
1200500,233.76,241.32,271,244.98
1200609,271.76,320.79,279.3,293.65
1200708,229.65,246.63,252.5,241.63
1200807,258.18,292.21,286,278.28
1300029,301.29,322,346.5,319.67
1300060,272.71,279.58,301.1,281.72
1300086,271.82,314.42,297.4,294.98
1300102,294.53,310.68,304.7,303.41
1300144,336.82,354.21,376.5,352.63
1300201,270.76,296.68,296.3,287.02
1300300,282.65,300.42,328.8,300.02
1300409,212.41,228.79,233.9,223.85
1300508,311.18,352.74,334.4,333.39
1300607,282.18,313.74,306.8,300.57
1300631,297.59,344.95,294.8,316.54
1300680,306.82,343,331.4,327.11
1300706,259.12,241.16,300.5,260.7
1300805,295.06,298.84,321.2,302.3
1300839,269.12,304.89,282.3,286.76
1300904,319.94,322.84,352.6,328.24
1301001,308.53,308,298.6,306.15
1301100,273.53,330,336.3,310.5
1301159,294.76,338,344.4,323.41
1301209,293.12,312.47,312.8,305.39
1301308,287.06,298.42,311.1,296.98
1301407,268.71,295.05,311.3,288.85
1301506,271.88,308.42,325.2,298.57
1301605,299.47,312.42,307.5,306.57
1301654,286.88,289.89,287.1,288.17
1301704,332.76,331.84,345.4,335.13
1301803,266,278.74,287.5,275.93
1301852,281.88,320.05,317.8,305.46
1301902,293.06,328.37,307.6,310.8
1301951,306.53,344.68,293.9,319.54
1302009,308,340.84,306,321.13
1302108,260.47,282.53,343.9,287.72
1302207,303.88,308.16,335,312.41
1302306,312.88,323.58,328.6,320.72
1302405,293.29,303.16,279.5,294.37
1302504,267.12,296.84,279.1,282
1302553,281.59,331.21,296.3,305.28
1302603,297.24,338.11,339.7,323.35
1302702,308.41,313.74,302.6,309.35
1302801,281.59,299.05,336,300.63
1302900,322.82,342.47,314,329.02
1303007,342.24,354.58,332.7,345.26
1303106,318.47,331.11,322.8,324.63
1303205,285.24,289.32,272.5,284.15
1303304,351.82,357.16,366.8,357.28
1303403,366.12,361.95,347,360.24
1303502,302.18,305.53,313.3,305.98
1303536,295.29,302.79,286.7,296.52
1303569,302.53,333.95,319.3,319.15
1303601,226.24,256.79,249.3,243.87
1303700,260.76,270.21,271.3,266.96
1303809,245.53,301.21,285.9,277.3
1303908,285.41,305.89,298.7,296.76
1303957,318.24,351.63,284.9,324.78
