code_muni,en,ln,n,med
1500503,-0.41,0.37,-0.08,0
1500602,-0.52,0.36,0.18,0.01
1500701,-0.34,0.35,-0.13,0.01
1500800,-0.41,0.35,0,0.01
1500859,-0.42,0.46,-0.22,0.01
1500909,-0.39,0.33,0.06,0.02
1500958,-0.35,0.46,-0.33,0.01
1501006,-0.47,0.41,-0.07,0
1501105,-0.44,0.33,0.09,0.01
1501204,-0.47,0.36,0.05,0
1501253,-0.43,0.24,0.26,0.01
1501303,-0.46,0.35,0.07,0.01
1501402,-0.41,0.35,0.01,0.01
1501451,-0.55,0.51,-0.06,0.02
1501501,-0.39,0.35,-0.03,0.01
1501576,-0.31,0.25,0.01,0
1501600,-0.49,0.43,-0.02,0.01
1501709,-0.42,0.34,0.08,0.02
1501725,-0.49,0.49,-0.16,0.01
1501758,-0.41,0.26,0.15,0
1501782,-0.43,0.21,0.3,0.01
1501808,-0.33,0.33,-0.08,0.01
1501907,-0.39,0.38,-0.07,0.01
1501956,-0.36,0.31,0.02,0.01
1502004,-0.4,0.39,-0.08,0.01
1502103,-0.45,0.37,-0.01,0
1502152,-0.27,0.13,0.22,0.01
1502202,-0.35,0.34,-0.05,0.02
1502301,-0.47,0.42,-0.05,0.01
1502400,-0.48,0.39,0.05,0.01
1502509,-0.33,0.31,-0.02,0.01
1502608,-0.45,0.37,0.04,0.01
1502707,-0.21,-0.02,0.41,0.01
1502756,-0.36,0.41,-0.19,0.01
1502764,-0.48,0.17,0.44,0
1502772,-0.2,0.07,0.23,0.01
1502806,-0.31,0.34,-0.13,0.01
1502855,-0.62,0.48,0.08,0.01
1502905,-0.38,0.32,0.05,0.02
1502939,-0.49,0.43,-0.04,0.01
1502954,-0.15,0.01,0.26,0.01
1503002,-0.51,0.49,-0.14,0.01
1503044,-0.33,0.04,0.48,0.01
1503077,-0.42,0.35,-0.01,0.01
1503093,-0.33,0.07,0.4,0
1503101,-0.29,0.2,0.1,0.01
1503200,-0.33,0.38,-0.15,0.01
1503309,-0.48,0.39,0.02,0.01
1503408,-0.44,0.41,-0.04,0.01
1503457,-0.44,0.5,-0.24,0.01
1503507,-0.47,0.46,-0.13,0.01
1503606,-0.06,0.15,-0.16,0.01
1503705,-0.27,0.18,0.09,0.01
