code_muni,en,ln,n,med
1500503,-26.71,17.13,-12.14,-6.07
1500602,85.32,159.22,161.68,135.87
1500701,36.99,83.4,43.7,56.18
1500800,84.87,123.49,91.46,101.15
1500859,44.5,104.09,70.69,74.49
1500909,-86.54,-47.46,-58.26,-63.49
1500958,49.37,85.94,29.31,56.78
1501006,19.93,107.05,80.04,70.42
1501105,49.33,97.81,65.13,72.05
1501204,30.75,78.75,78.71,63.08
1501253,100.29,158.91,166.64,142.15
1501303,61.37,104.15,81.35,83.26
1501402,77.8,111.31,88.31,93.38
1501451,-27.26,76.09,46.4,33.35
1501501,84.01,121.06,89.74,99.44
1501576,80.75,126.04,114.46,107.74
1501600,-42.02,13.59,-25.29,-16.38
1501709,-78.23,-34.19,-47.56,-52.62
1501725,1.46,80.15,47.55,44.57
1501758,63.07,112.17,97.01,91.54
1501782,40.06,77.95,73.74,64.31
1501808,50.21,84.78,52.73,63.75
1501907,51.67,82.55,50.74,62.8
1501956,-38.67,-12.33,-36.66,-28.32
1502004,21.01,93.15,39.79,53.38
1502103,35.31,87.05,68.98,64.68
1502152,55.42,104.9,111.68,90.83
1502202,-64.58,-21.22,-47.98,-43.5
1502301,-12.09,33.74,2.21,9.2
1502400,1.25,54.07,18.24,25.94
1502509,11.67,62.24,36.47,37.91
1502608,7.29,69.19,35.16,38.65
1502707,115.25,149.57,174.14,145.85
1502756,41.51,74.54,29.22,49.98
1502764,115.04,168.11,171.69,151.9
1502772,61.4,95.93,106.83,87.99
1502806,56.29,89.03,52.99,67.38
1502855,-18.37,84.39,55.54,42.1
1502905,-38.08,11.78,-21.41,-14.58
1502939,-1.89,58.74,42.89,34.14
1502954,61.45,86.46,109.38,85.28
1503002,28.45,113.43,74.11,73.75
1503044,94.45,134.64,168.86,131.95
1503077,-22.17,16.36,-10.5,-4.38
1503093,59.95,80.44,83.6,74.72
1503101,16.31,35.16,22.53,25.17
1503200,-39.6,12.34,-32.59,-18.27
1503309,32.28,87.91,55.09,59.78
1503408,31.78,70.78,38.79,48.33
1503457,28.6,81.32,34.13,49.77
1503507,-8.98,37.56,-0.63,10.76
1503606,125.24,159.06,151.71,145.79
1503705,70.98,115.54,120.24,102.44
1503754,149.78,183.12,224.43,184.82
1503804,80.77,112.35,101.14,98.64
1503903,17.03,107.84,93.15,73.76
1504000,25.51,72.32,54.13,51.52
1504059,22.13,62.27,13.52,34.34
1504109,-36.14,6.3,-23.14,-16.5
1504208,73.78,106.99,111.35,97.49
1504307,-45.23,-18.41,-46.39,-35.67
1504406,-34.29,8.72,-20.36,-14.16
1504422,84.86,123.48,91.44,101.14
1504455,-15.52,71.95,35.16,32.23
1504505,57.32,67.68,46.11,57.74
1504604,30.51,84.49,79.05,65.23
1504703,37.71,91.24,73.94,68.52
1504752,-36.01,65.13,37.36,23.7
1504802,-48.7,43.76,-0.04,0.28
1504901,6.11,60.46,37.39,35.72
1504950,-23.98,16.26,-19.66,-7.79
1504976,77.39,103.79,102.91,94.92
1505007,-51.57,1.71,-42.46,-29.11
1505031,154.86,210.16,232.04,198.79
1505064,72.22,101.52,109.34,94.35
1505106,-6.56,90.22,45.94,45.19
1505205,49.58,88.12,61.76,67.53
1505304,8.52,101.3,49.44,55.26
1505403,-54.47,0.85,-26.91,-25.64
1505437,103.19,159.25,158.66,140.79
1505486,45.96,100.15,76.43,75.26
1505494,58.59,103.88,93.45,85.93
1505502,-6.07,38.5,10.74,15.52
1505536,70.95,126.22,136.3,111.26
1505551,113.54,151.02,171.54,145.05
1505601,-58.1,-7.49,-42.45,-34.63
1505635,59.01,96.57,107.22,87.57
1505650,-11.05,96.74,61.05,50.73
1505700,13.41,77.5,51.18,48.59
1505809,36.55,80.06,50.49,56.87
1505908,-13.67,23.95,-1.53,3.93
1506005,-61.71,17.28,0.59,-13.56
1506104,-64.1,-28.88,-47.06,-45.9
1506112,-66,-30.66,-50.46,-48.21
1506138,115.14,163.66,183.08,153.75
1506161,97.83,156.41,156.04,137.19
1506187,53.45,106.14,91.25,84.42
1506195,4.57,113.78,78.3,67.37
1506203,-45.65,-28.87,-47.17,-39.91
1506302,12.88,84.45,30.91,44.82
1506351,46.23,96.32,63.71,70.06
1506401,15.77,82.66,43.29,48.87
1506500,66.12,103.16,77.43,83.25
1506559,-44.58,-3.7,-23.37,-23.02
1506583,114.51,161.15,172.69,149.45
1506609,-14.59,27.79,-8.49,2.93
1506708,112.37,160.33,152.69,142.37
1506807,-31.45,60.49,56.1,29.18
1506906,-55.14,-14.66,-46.79,-37.64
1507003,19.17,71.91,43.01,45.92
1507102,-14.61,35.71,3.87,9.61
1507151,65.66,110.96,109.66,95.79
1507201,33.75,69.16,24.21,43.94
1507300,92.91,145.6,158.65,132.39
1507409,-0.8,42.72,13.72,19.7
1507458,60.89,84.28,108.61,84.06
1507466,-34.66,20.19,-18.74,-9.54
1507474,-50.55,-36.35,-49.01,-44.84
1507508,79.44,126.74,111.57,106.7
1507607,9.09,45.69,12.61,23.69
1507706,38.55,82.17,47.82,57.49
1507755,67.23,133.52,117.03,106.88
1507805,35.99,94.36,71.62,68.41
1507904,-18.15,55.36,9.24,17.35
1507953,33.66,84.59,64.25,61.79
1507961,-15.41,35.7,4.64,9.58
1507979,5.9,104.51,80.92,65.18
1508001,47.72,96.75,50.65,66.73
1508035,-72.38,-29.7,-52.13,-50.44
1508050,95.49,149.61,142.16,129.69
1508084,93.25,139.04,146.24,126.3
1508100,50.71,83.11,78.77,71.22
1508126,-14.73,29.5,23.09,13.13
1508159,-24.13,68.4,42.49,30.34
1508209,7.95,61.87,29.01,34.29
1508308,-61.93,-31.15,-53.41,-47.96
1508357,26.73,77.95,45.89,51.49
1508407,72.97,139.31,127.93,114.21
1600055,69.16,86.49,89.91,81.88
1600105,131.69,149.01,115.62,133.2
1600154,35.91,49.2,54.79,46.57
1600204,170.29,180.09,175.52,175.5
1600212,46.97,61.58,44.96,51.76
1600238,39.75,42.26,33.26,38.7
1600253,15.38,24.53,21.11,20.5
1600279,2.84,35.19,24.36,21.34
1600303,15.39,24.54,21.12,20.51
1600402,2.69,34.12,5.76,15.24
1600501,168.35,185.41,160.37,172.23
1600535,17.13,39.37,29.08,28.99
1600550,122.79,123.82,113.61,120.38
1600600,4.51,30.45,5.69,14.46
1600709,80.78,99.02,63.4,82.23
1600808,2.12,26.54,-0.01,10.5
1700251,128.85,199.11,205.16,178.04
1700301,25.29,66.05,82.57,57.79
1700350,115.59,172.51,173.33,154.2
1700400,90.21,159.91,178.72,142.9
1700707,90.29,159.03,164.94,138.41
1701002,49.39,89.62,86.04,75.41
1701051,41.1,72.75,94.69,69.1
1701101,106.25,171.65,172.14,150.47
1701309,66.61,118.25,124.57,103.33
1701903,127.19,170.77,168.76,155.95
1702000,119.4,214.28,197.96,178.37
1702109,100.73,140.55,148.11,129.86
1702158,68,113.75,128.21,103.23
1702208,53.82,120.76,82.13,87.18
1702307,103.8,131.2,163.51,132.1
1702406,65.07,125.1,160.14,116.19
1702554,49.51,118.84,71.36,81.78
1702703,94.12,157.54,170.77,140.88
1702901,32.39,113,67.46,72.85
1703008,73.69,114.4,128.14,105.31
1703057,107.6,150.66,174.56,143.9
1703073,67.58,117.81,131.06,105.46
1703107,133.37,186.86,216.18,178.34
1703206,107.61,141.75,177.3,141.44
1703305,102.75,164.24,152.56,140.63
1703602,105.29,151.19,170.94,142.23
1703701,111.84,175.14,172.21,153.61
1703800,61.19,123.08,85.56,91.48
1703826,28.47,86.24,75.56,64.15
1703842,72.7,126.35,129.49,109.81
1703867,105.77,167.34,161.99,145.63
1703883,78.73,129.92,126.41,112.16
1703891,53.76,120.05,75.63,84.91
1703909,112.22,163.65,170.61,149
1704105,102.05,154.58,154.52,137.43
1704600,129.08,192.37,210.79,177.34
1705102,97.65,170.35,169.31,146.32
1705508,107.5,142.8,174.51,140.94
1705557,72.55,146.79,158.56,126.17
1705607,84.43,123.81,147.83,118.28
1706001,120.29,155.54,190.18,154.59
1706100,134.41,199.78,195.74,177.23
1706258,117.19,181.2,184.01,161.18
1706506,45.65,86.32,102.51,77.98
1707009,98.75,158.83,181.83,146.24
1707108,125.17,189.63,199.57,171.63
1707207,123.09,189.81,208.48,173.73
1707306,116.44,190.64,186.46,165.17
1707405,75.87,132.2,108.4,106.59
1707553,139.03,198.41,190.86,176.75
1707652,98.51,168.43,165.04,144.6
1707702,72.83,118.63,135.94,108.96
1708205,122.32,195.57,184.93,168.45
1708254,109.05,172.77,184.51,155.57
1708304,126.41,185.25,192.07,168.14
1709005,77.64,119.84,132.18,109.83
1709302,105.17,155.48,173.05,144.42
1709500,113.59,154.46,149.49,139.62
1709807,108.79,157.09,173.77,146.42
1710508,106.17,153.67,154.79,138.52
1710706,26.8,95.44,66.45,64.23
1710904,103.05,140.48,148.86,130.82
1711100,110.11,158.71,188.84,152.03
1711506,83.87,177.68,190.44,150.98
1711803,105.88,144.95,183.41,143.92
1711902,116.55,216.97,151.52,164.3
1711951,94.14,166.92,180.9,147.44
1712009,114.4,172.92,177.99,155.38
1712157,69.83,132.31,146.1,116.13
1712405,85.53,135.45,144.97,122.07
1712454,31.15,70.04,84.41,61.73
1712504,106.21,163.15,167.4,145.87
1712702,75.1,139.79,134.86,117.2
1712801,28.07,83.74,66.44,60.32
1713205,125.35,184.74,203.87,171.2
1713304,109.29,180.92,198.29,162.85
1713601,117.31,175.42,176.69,156.86
1713700,139.91,196.28,211.04,182.39
1713809,39.15,72.44,100.81,70.22
1713957,73.37,121.77,120.61,105.63
1714203,91.29,159.99,159.16,137.33
1714302,29.26,63.82,95.09,62.07
1714880,100.25,131.45,140.16,123.93
1715002,150.21,193.18,199.96,181.23
1715101,96.76,159.68,174.29,143.61
1715150,83.11,156.44,162.79,134.46
1715259,92.46,159.19,179.81,143.71
1715507,147.53,195.99,198.79,181.04
1715705,99.19,134.65,139.16,124.46
1715754,73.67,198.9,183.25,153.3
1716109,148.43,202.71,205.79,185.94
1716208,68.59,144.63,156.09,123.32
1716307,100.25,128.74,143.75,124.02
1716505,97.03,156.82,155.81,137.02
1716604,90.36,130.59,147.21,122.53
1716653,111.59,148.88,187.36,148.43
1716703,116.53,175.47,181.51,158.09
1717008,101.51,176.54,201.38,159.63
1717206,57.97,103.62,113.92,91.87
1717503,116.22,197.71,175.79,164.47
1717800,96.18,146.11,157.74,133.37
1717909,87.32,170.49,193.69,150.43
1718006,90.42,156.12,161.77,136.42
1718204,137.65,189.42,195.81,174.48
1718303,40.87,117.27,71.61,78.46
1718402,108.22,161.93,184.12,151.17
1718451,148.08,205.38,207.38,187.3
1718501,97.29,139.75,149.02,128.73
1718550,53.59,91.85,101.86,82.42
1718659,101.89,171.47,180.14,151.42
1718709,101.12,164.07,168.9,145.01
1718758,96.99,147.6,154.29,133.13
1718808,51.77,121.92,72.01,83.86
1718840,132.18,200.95,184.5,173.52
1718865,69.85,118.83,130.18,106.31
1718881,103.87,159.45,154.25,139.74
1718899,126.41,202.27,193.19,174.77
1718907,104.01,146.44,162.29,137.43
1719004,105.55,158.89,170.48,145.02
1720002,30.8,70.65,95.06,65.08
1720101,27.48,98.02,75.19,68.07
1720150,84.59,141.38,134.64,120.81
1720200,26.37,109.98,62.97,68.41
1720259,76.42,162.91,174.86,138.34
1720309,72.03,131.19,101.33,102.81
1720499,91.61,155.32,162.01,136.58
1720655,105.19,150.75,168.93,141.43
1720804,29.76,110.5,65.58,70.5
1720853,95.02,140.88,154.53,130.08
1720903,99.69,155.03,171.06,141.86
1720937,90.12,116.2,153.89,119.17
1720978,91.16,169.99,192.11,151.02
1721000,119.15,173.15,173.28,155.58
1721109,106.55,169.81,166.24,148.1
1721208,22.33,74.47,78.29,58.63
1721257,100.45,164.61,162.4,143.02
1721307,107.47,153.54,170.24,143.6
1722081,59.27,119.61,124.45,101.41
1722107,59.05,98.42,114.49,90.47
2100055,1.23,60.12,35.39,33.39
2100105,-67.34,-36.38,-29.16,-44.28
2100154,-134.69,-116.97,-111.56,-121.1
2100204,-101.95,-71.48,-66.61,-79.94
2100303,-59.37,-17.91,-19.71,-31.98
2100402,-40.95,1.14,2.67,-12.12
2100436,-48.83,-3.81,-20.75,-23.64
2100477,-53.81,2.45,-3.01,-17.55
2100501,45.76,93.72,108.81,82.68
2100550,-78.37,-47.28,-65.89,-63.08
2100600,-16.65,43.96,1.94,11.41
2100709,-46.29,-5.93,-15.14,-21.89
2100808,-94.97,-67.38,-56.85,-73.17
2100832,-103.6,-73.86,-88.46,-88
2100873,-65.3,-25.01,-29.64,-39.55
2100907,-133.41,-120.61,-114.05,-122.79
2100956,-37.63,30.24,-4.99,-2.61
2101004,-29.15,-0.38,-11.99,-13.29
2101103,-76.36,-37.65,-44.74,-52.43
2101202,-40.57,6.86,-21.03,-17.09
2101251,-65.99,-30.59,-39.5,-44.85
2101301,-103.83,-73.68,-87.98,-87.87
2101350,-92.15,-55.81,-60.27,-69.02
2101400,55.11,105.74,108.21,89.98
2101509,-17.88,13.34,10.1,2.17
2101608,-54.81,19.34,-4.56,-12.12
2101707,-122.47,-93.85,-92.96,-102.91
2101731,-96.87,-61.59,-66.1,-74.47
2101772,-34.69,-13.28,-9.04,-18.97
2101806,-3.57,64.59,23.52,29.87
2101905,-103.63,-67.35,-68.75,-79.61
2101939,-42.17,7.18,4.69,-9.67
2101970,-69.83,-37.31,-58.95,-54.5
2102002,-57.55,-0.51,-15.96,-23.81
2102036,-36.22,18.79,-3.65,-5.98
2102077,-44.65,12.62,1.23,-9.52
2102101,-95.36,-60.96,-55.39,-70.48
2102150,-43.63,7.68,9.02,-8.65
2102200,-82.27,-58.02,-34.4,-58.74
2102309,-30.14,13.2,22.08,1.77
2102325,-52.09,-5.59,-11.07,-22.42
2102358,13.9,84.52,43.93,49.14
2102374,-64.44,-18.61,-38.46,-39.6
2102408,-73.69,-34.03,-48.71,-51.43
2102507,-38.27,-10.54,-10.9,-19.69
2102556,15.38,60.25,59.02,45.25
2102606,-84.69,-57.18,-74.54,-71.43
2102705,-51.07,-15.89,-4.61,-23.93
2102754,-48.02,6.27,6.99,-11.21
2102804,59.13,95.75,129.59,94.11
2102903,-74.85,-45.91,-62.81,-60.49
2103000,-37.27,-15.96,-32.84,-28.05
2103109,-107.01,-71.65,-81.53,-86.18
2103125,-106.37,-70.88,-83.06,-86.16
2103158,-48.23,-16.79,-37.24,-33.27
2103174,-35.71,6.55,-14.56,-13.66
2103208,-73.87,-54.32,-45.86,-58.12
2103257,47.21,112.28,78.57,80.8
2103307,-48.17,-0.13,-8.37,-18.3
2103406,-68.69,-37.29,-35.05,-46.85
2103505,-15.19,23.75,17.85,9.26
2103554,-24.95,-2.04,-15.5,-13.61
2103604,-58.13,-18.02,-16.37,-30.6
2103703,-107.91,-75.73,-88.16,-90
2103752,14.29,85.79,59.21,54.39
2103802,-48.49,10.61,14.09,-7.6
2103901,-78.33,-49.91,-45.25,-57.76
2104008,-51.92,18.67,11.29,-6.6
2104057,39.65,70.2,95.17,67.84
2104073,14.95,62.05,59.54,45.93
2104081,-34.32,27.11,4.03,0.05
2104099,-9.55,38.48,33.69,21.36
2104107,18.46,73.86,76.06,56.47
2104206,-34.84,9.86,16.4,-2.72
2104305,-85.19,-58.1,-76.79,-72.62
2104404,-48.67,4.89,12.06,-10.39
2104503,-51.84,6.55,11.41,-11.01
2104552,13.85,87.65,59.24,54.93
2104602,-29.13,1.22,22.32,-2.25
2104628,-35.48,9.26,21.06,-1.74
2104651,-53.09,-0.04,-7.17,-19.51
2104677,-64.8,-38.52,-61.18,-53.99
2104701,-38.13,7.58,15.71,-4.85
2104800,-23.87,27.86,4.95,4.02
2104909,-107.03,-69.79,-75.48,-83.67
2105005,-99.85,-58.46,-64.26,-73.72
2105104,-90.55,-50.59,-59.56,-66.35
2105153,-29.33,-7.13,-11.52,-15.71
2105203,-46.89,16.54,5.7,-7.44
2105302,25.94,99.57,65.51,65.2
2105351,-48.09,20.23,-2.66,-9.01
2105401,-49.94,-14.68,-8.41,-24.27
2105427,-17.31,39.07,17.14,14.01
2105450,-21.68,20.67,23.94,7.86
2105476,-50.19,22.05,-4.9,-9.71
2105500,18.12,95.68,44.16,54.71
2105609,-51.89,15.12,8.94,-8.61
2105658,-49.92,-22.19,-51.22,-40.07
2105708,-47.17,23.32,10.95,-3.43
2105807,-48.21,20.92,8.93,-5.27
2105906,-36.76,-3.01,-21.78,-19.73
2105922,-24.71,22.31,30,9.32
2105948,-48.24,20.91,8.91,-5.29
2105963,-46.7,32.14,10.15,-0.26
2105989,-3.25,57.01,44.45,33.54
2106003,-50.43,3.84,-0.27,-15.11
2106102,18.25,56.12,37.34,38.06
2106201,-83.53,-56.49,-76.34,-71.35
2106300,-129.97,-106.49,-104.47,-113.53
2106326,-61.41,-35.68,-58.61,-51.05
2106359,-41.17,24.11,11.94,-0.88
2106375,-69.09,-36.85,-50.97,-51.66
2106409,-83.29,-56.84,-47.22,-62.54
