code_muni,en,ln,n,med
1100015,167.86,182.58,155.94,171.35
1100023,247.66,163.41,193.54,201.1
1100031,168.76,177.72,157.69,170.05
1100049,203.36,174.53,187.23,187.95
1100056,147.91,150.47,155.74,150.67
1100064,176.25,181.15,171.01,177.13
1100072,153.32,161.79,160.6,158.4
1100080,139.81,133.27,125.71,134.04
1100098,192.37,180.25,177.78,184.19
1100106,136.33,123.68,146.85,133.39
1100114,239.05,189.34,175.99,204.81
1100122,231.43,193.04,175.96,203.51
1100130,279.74,221.88,260.37,251.63
1100148,189.84,191.19,163.03,184.57
1100155,231.99,184.73,189.15,203.16
1100189,174.98,176.31,178.47,176.28
1100205,215.75,184.56,229.7,205.9
1100254,216.69,171.55,193.41,192.99
1100262,279.25,215.04,222.63,240.42
1100288,181.56,170.35,181.85,177
1100296,187.18,176.97,178.19,181.01
1100304,180.76,194.83,173.34,184.96
1100320,180.51,183.08,146.81,174.25
1100338,183.04,173.23,178.36,177.97
1100346,204.57,185.33,171.37,189.4
1100379,162.74,174.76,161.49,167.43
1100403,251.49,194.86,203.01,217.56
1100452,244.2,215.94,192.35,221.25
1100502,188.44,179.17,175.8,181.86
1100601,220.7,172,168.22,189.18
1100700,224.52,217.09,180.54,211.89
1100809,265.75,220.74,288.05,252
1100908,205.26,168.46,181.25,184.84
1100924,153.38,165.49,171,162.21
1100940,279.46,215.15,250.11,246.52
1101005,227.02,185.79,172.91,198.23
1101104,275.74,222.1,255.93,249.28
1101203,216.29,173.6,192.39,193.46
1101302,220.14,182.75,167.42,193.23
1101401,231.13,189.01,188.24,204.41
1101435,232.64,173.78,170.34,194.78
1101450,161.75,171.55,188.12,171.53
1101468,148.34,159.95,164.24,156.59
1101476,182.91,165.68,187.01,176.68
1101484,177.94,166.59,185.59,174.92
1101492,152.14,164.22,138.12,154.08
1101500,174.14,171.9,145.64,167.02
1101559,219.34,178.27,176.95,193.16
1101609,281.35,204.02,201.73,232.1
1101708,216.43,181.91,180.59,194.38
1101757,274.53,207.58,222.46,235.56
1101807,248.74,192.41,189.24,212.54
1200013,197.07,206.59,200.59,201.77
1200054,131.29,166.51,174.6,155.25
1200104,133.92,148.84,156.88,145.07
1200138,153.59,170.74,200.86,170.95
1200179,163.2,188.55,205.78,182.93
1200203,197.07,227.55,241,219.21
1200252,143.71,156.28,161.32,152.73
1200302,176.19,240.84,238.28,216.39
1200328,191.62,255.34,212.54,222.49
1200336,207.25,228.94,236.41,222.55
1200344,147.73,196.82,232.52,186.44
1200351,186.52,239.69,218.92,215.53
1200385,171.49,196.8,206.27,189.51
1200393,198.7,232.83,229.7,219.54
1200401,163.19,172.22,192.81,173.36
1200427,205.52,228.02,229.59,220.05
1200435,149.96,200.19,234.9,189.17
1200450,172.32,202.82,206.37,192.32
1200500,151.69,173.26,202.03,171.54
1200609,191.24,253.75,211.22,221.4
1200708,140.24,162.31,171.78,156.21
1200807,167.69,206.58,204.26,191.7
1300029,197.37,219.03,245.79,216.84
1300060,172.66,179.95,203.85,182.45
1300086,169.91,215.72,197.83,194.9
1300102,192.73,211.31,204.74,203.02
1300144,240.29,257.13,283.6,256.66
1300201,196.36,241.93,240.88,224.86
1300300,182.11,204.75,231.82,202.27
1300409,105.14,122.41,129.69,117.61
1300508,207.63,255.25,234.94,233.24
1300607,187.02,222.74,214.97,207.85
1300631,197.02,245.95,195.42,216.88
1300680,204.25,246.59,233.25,228.04
1300706,169.51,156.16,219.24,174.81
1300805,194.97,202.42,224.03,204.36
1300839,166.45,205.67,182.52,186.15
1300904,220.96,224.59,255.61,229.99
