code_muni,en,ln,n,med
1501006,3.31,8.5,1.3,5.13
1501105,1.62,4.45,0.2,2.54
1501204,5,10.5,4.8,7.35
1501253,4.94,11.5,3.6,7.5
1501303,1.06,3.5,0,1.89
1501402,1.12,3.4,0,1.87
1501451,0.25,0.85,0,0.46
1501501,0.81,2.45,0,1.35
1501576,15.81,21.75,9.5,17.02
1501600,0,0.1,0,0.04
1501709,0,0.05,0,0.02
1501725,4.5,7.2,1.7,5.07
1501758,18.69,25.1,15.2,20.72
1501782,5.81,10.4,5.5,7.74
1501808,0.81,1.5,0,0.93
1501907,0.62,1.75,0,0.98
1501956,0,0.15,0,0.07
1502004,0.62,0.75,0,0.54
1502103,2,7.4,2,4.35
1502152,12.31,19.75,7.8,14.57
1502202,0,0.05,0,0.02
1502301,0,0.75,0,0.33
1502400,0.12,0.7,0,0.35
1502509,0,0.55,0,0.24
1502608,0.25,0.4,0,0.26
1502707,28.31,30.3,25.7,28.61
1502756,0.75,2.1,0,1.17
1502764,18.56,24.9,15.5,20.65
1502772,9.25,16.85,4.7,11.57
1502806,0.88,2.2,0,1.26
1502855,1.31,2.45,1.4,1.83
1502905,0,0.1,0,0.04
1502939,8.44,15.3,6.6,11.02
1502954,18.25,24,13,19.61
1503002,0.44,0.45,0,0.35
1503044,26.44,29.6,23.4,27.15
1503077,0,0.5,0,0.22
1503093,4.44,7.55,4,5.7
1503101,0.94,1.2,0,0.85
1503200,0,0.15,0,0.07
1503309,1.31,4.55,1.1,2.67
1503408,0.38,1.4,0,0.74
1503457,0.94,3.25,0,1.74
1503507,0,0.75,0,0.33
1503606,3.06,6.75,1.7,4.37
1503705,11.12,15.5,7.2,12.17
1503754,6.31,10.1,3.6,7.37
1503804,12.25,17.4,7.8,13.52
1503903,0.88,2.4,0.6,1.48
1504000,1.38,4.45,1.1,2.65
1504059,0.06,2,0,0.89
1504109,0,0.1,0,0.04
1504208,11.38,18.05,6.9,13.3
1504307,0,0.1,0,0.04
1504406,0,0.2,0,0.09
1504422,1.06,3.6,0.1,1.96
1504455,1.12,2.5,0.2,1.52
1504505,1.12,2.25,0,1.37
1504604,1.88,6.15,1.5,3.65
1504703,1.5,4.25,1,2.59
1504752,0.44,0.85,0,0.52
1504802,0,0.05,0,0.02
1504901,1,2.05,0,1.24
1504950,0,0.5,0,0.22
1504976,16.06,20.45,10.1,16.67
1505007,0,0.05,0,0.02
1505031,12.75,19.2,8.5,14.63
1505064,3.38,5.05,2.3,3.87
1505106,0,0,0,0
1505205,1.69,4.65,1.1,2.85
1505304,0.19,0.25,0,0.17
1505403,0,0.15,0,0.07
1505437,10.56,19.95,7.3,13.93
1505486,5.12,8.85,3.9,6.48
1505494,22.12,26.9,18.8,23.48
1505502,1.12,3.7,0.4,2.09
1505536,0.56,2.1,0,1.11
1505551,24.56,28.8,21.9,25.83
1505601,0,0.05,0,0.02
1505635,21.06,26.5,16.6,22.46
1505650,4.44,8.15,1.8,5.48
1505700,1.06,1.55,0,1.04
1505809,2.62,5.1,0.4,3.22
1505908,1.88,2.95,0.3,2
1506005,0.44,0.25,0,0.26
1506104,0,0.05,0,0.02
1506112,0,0.05,0,0.02
1506138,22.12,26.55,17.3,23
1506161,25.44,28.85,22.9,26.37
1506187,10.06,17.2,6.6,12.41
1506195,2.12,5.7,0.3,3.28
1506203,0,0.1,0,0.04
1506302,0.31,0.5,0,0.33
1506351,0.75,1.6,0,0.96
1506401,0.94,1,0,0.76
1506500,0.75,1.95,0,1.11
1506559,0,0.75,0,0.33
1506583,27.25,29.65,24.3,27.65
1506609,0,0.35,0,0.15
1506708,27.69,29.75,24.3,27.85
1506807,0.56,1.25,0,0.74
1506906,0,0.05,0,0.02
1507003,0.25,0.65,0,0.37
1507102,0,0.2,0,0.09
1507151,15.81,22.65,9.9,17.5
1507201,0.5,1.9,0,1
1507300,9.69,18.75,6.9,13.02
1507409,0,0.55,0,0.24
1507458,18.62,25.4,14.4,20.65
1507466,0,0.15,0,0.07
1507474,0,0.05,0,0.02
1507508,18.81,24.25,13.3,19.98
1507607,0.12,1.1,0,0.52
1507706,1,2.35,0,1.37
1507755,22.62,27.1,18.9,23.76
1507805,4,6.5,1.4,4.52
1507904,0,0.2,0,0.09
1507953,1.12,3.4,0.2,1.91
1507961,0,0.25,0,0.11
1507979,1.38,3.85,1.1,2.39
1508001,0.88,3.25,0,1.72
1508035,0,0.2,0,0.09
1508050,6.31,10.8,2.5,7.43
1508084,12.12,22.45,10,16.15
1508100,4,7.85,4.1,5.7
1508126,7.19,13.7,6.9,9.96
1508159,2,3.2,0.7,2.24
1508209,0.06,0.35,0,0.17
1508308,0,0.1,0,0.04
1508357,8.56,13.65,5.8,10.17
1508407,23.06,27.35,19.6,24.17
1600055,0,0,0,0
1600105,0.5,0.55,0,0.41
1600154,0,0,0,0
1600204,0.06,0.05,0,0.04
1600212,0.44,0.6,0,0.41
1600238,0.31,0.05,0,0.13
1600253,0.38,0.75,0,0.46
1600279,0,0,0,0
1600303,0.38,0.75,0,0.46
1600402,0,0.05,0,0.02
1600501,0,0.05,0,0.02
1600535,0.38,0.1,0,0.17
1600550,0,0,0,0
1600600,0.06,1,0,0.46
1600709,0.69,0.45,0,0.43
1600808,1,1.05,0,0.8
1700251,28,29.55,24.3,27.87
1700301,21.44,25.05,19.1,22.5
1700350,24.44,24.1,21.5,23.65
1700400,16.19,19.1,15.8,17.37
1700707,22.69,23.25,20.1,22.37
1701002,25.38,28.3,22.7,26.07
1701051,17.06,23.55,14.7,19.37
1701101,26.06,27.55,22.7,25.98
1701309,25.12,28.3,21.9,25.8
1701903,28.25,29.95,25.4,28.37
1702000,22.44,23.35,19.7,22.24
1702109,16.5,23.35,11.9,18.48
1702158,22.81,26.8,18.2,23.54
1702208,24.25,27.6,22.6,25.35
1702307,27.75,29.95,24.8,28.07
1702406,8.56,9.95,9.2,9.3
1702554,22.94,27.1,22.1,24.57
1702703,9.62,11.9,10.2,10.74
1702901,19.94,25.55,17.7,21.89
1703008,20.75,24.95,17.3,21.83
1703057,18.75,23.6,13.7,19.76
1703073,26.75,28.5,24.4,27
1703107,23,25.45,19.2,23.24
1703206,28.12,29.9,25.2,28.26
1703305,25.19,27.6,22.4,25.63
1703602,26.5,28.6,23.2,26.7
1703701,27.88,28.85,25.4,27.76
1703800,22.31,26.7,20.8,23.89
1703826,20,25.6,17,21.78
1703842,16.44,21.6,12.3,17.78
1703867,23.06,23.25,20.2,22.52
1703883,22.25,26.6,17.7,23.15
1703891,22.88,27,21.5,24.37
1703909,28.25,29.8,25.5,28.33
1704105,26,27.6,22.2,25.87
1704600,28.06,29.1,24.7,27.78
1705102,21.81,23.15,18.3,21.63
1705508,23.88,27.3,19.9,24.5
1705557,9.31,11.1,10.1,10.26
1705607,14.19,17.1,14.5,15.52
1706001,27.94,29.85,25,28.13
1706100,28.62,29.15,25.3,28.13
1706258,26.62,26.4,24,25.96
1706506,15.69,22.3,13.6,18.11
1707009,5.56,6.5,5.6,5.98
1707108,28.06,29.65,24.7,28.02
1707207,27.69,29.15,23.8,27.48
1707306,25.81,25,23,24.85
1707405,20.31,25.6,15.9,21.65
1707553,27.31,28.1,24.1,26.96
1707652,23.12,23.6,20.5,22.76
1707702,25.25,27.6,22.6,25.7
1708205,26.38,27.25,24.5,26.35
1708254,26.31,28.15,23.3,26.46
1708304,27.69,29.55,24.5,27.8
1709005,24.56,26.95,21.7,24.98
1709302,25.88,28.1,23.2,26.26
1709500,21.31,22.3,19.1,21.26
1709807,27.25,27.5,24.3,26.72
1710508,26.06,27.95,22.9,26.2
1710706,22.12,26.95,20.5,23.87
1710904,26.69,28.5,23.7,26.83
1711100,24.56,27.85,20.9,25.2
1711506,14.31,17.5,14.5,15.74
1711803,28.38,30.3,25.7,28.63
1711902,28,28.25,25.1,27.48
1711951,25.31,26.65,21.1,24.98
1712009,17.94,21.35,13.8,18.52
1712157,7.69,8.95,7.6,8.22
1712405,21.19,23.55,18.1,21.54
1712454,21.06,25.95,18.4,22.61
1712504,28.19,29.6,25.1,28.13
1712702,3.06,5.45,2.1,3.89
1712801,22.88,27.45,21.5,24.57
1713205,27.31,28.7,24.1,27.22
1713304,24.56,27.05,20.6,24.78
1713601,12.94,17.4,10.2,14.28
1713700,27.19,28.7,23.7,27.09
1713809,23.25,26.35,20.1,23.91
1713957,24.75,28.2,21.3,25.5
1714203,19.19,21.6,17.3,19.83
1714302,17.75,23.9,14.8,19.78
1714880,23.81,27.15,20.4,24.52
1715002,27.31,28.6,23.9,27.13
1715101,26.56,27.9,22.8,26.33
1715150,4.5,5.05,2.6,4.33
1715259,4.56,5.8,4.8,5.15
1715507,27.62,28.6,24.3,27.33
1715705,26.19,28.4,22.9,26.43
1715754,12.31,15.8,13.2,14.02
1716109,24.38,26.2,20.4,24.3
1716208,19.69,21.6,18.2,20.2
1716307,25.62,28.8,22.6,26.35
1716505,26,28.05,23.2,26.28
1716604,22.88,23.6,21.5,22.89
1716653,28,29.8,25,28.13
1716703,25.75,27.95,22.1,25.91
1717008,15.06,19,13.9,16.52
1717206,24.81,27.75,21.3,25.33
1717503,29.19,29.7,25.9,28.7
1717800,8.5,10.05,8.7,9.22
1717909,23.19,24.35,19.6,22.91
1718006,13.12,15.05,13.1,13.96
1718204,29.44,29.75,26.8,29
1718303,22.81,27.05,22.3,24.54
1718402,26.81,28.5,23.3,26.78
1718451,27.81,28.9,24.7,27.61
1718501,20.62,23.55,16.4,20.98
1718550,26.06,28.3,22.5,26.26
1718659,6.5,8.1,6.1,7.11
1718709,26.94,28.4,23.8,26.89
1718758,26.06,27.65,22.1,25.89
1718808,23.69,27.45,23.1,25.2
1718840,23.44,24.1,20.5,23.09
