code_muni,en,ln,n,med
1100015,18.81,23.15,24.2,21.87
1100023,17.69,22.1,19,19.89
1100031,19.06,23.15,21.8,21.43
1100049,21.69,25.5,21.6,23.33
1100056,19.88,24.65,22,22.41
1100064,19.69,23.8,22.4,22.07
1100072,20,24.8,23.5,22.85
1100080,17.12,20.8,18.5,19.02
1100098,20.69,24.75,22,22.74
1100106,17.81,17.25,16.6,17.3
1100114,18.44,23.35,18.7,20.63
1100122,19.19,24.55,20,21.7
1100130,16.44,23.3,21.8,20.59
1100148,21.06,22.4,21.6,21.76
1100155,18.56,23,19.6,20.72
1100189,19.62,23.8,21.8,21.91
1100205,14.62,15.75,16.2,15.46
1100254,21.94,23.95,22.4,22.91
1100262,18.5,22.1,19.6,20.3
1100288,21.44,26.5,20.1,23.35
1100296,21.31,24.9,23.4,23.33
1100304,21,22.25,19.4,21.2
1100320,19.75,20.75,20.7,20.39
1100338,15.69,16.1,15.5,15.83
1100346,19.62,23.7,21.1,21.72
1100379,20.81,23.15,23.7,22.46
1100403,17.38,23.5,19.4,20.48
1100452,16.69,21.4,16.1,18.61
1100502,21.56,25.1,21.2,23.02
1100601,17.06,21.6,18.1,19.26
1100700,17.88,21.7,16.9,19.33
1100809,16.81,18.25,17.8,17.65
1100908,21.81,25.45,22.7,23.59
1100924,20.31,24.8,20,22.2
1100940,17.06,23.1,21.3,20.61
1101005,16.75,22.7,19.4,19.91
1101104,17.06,21.2,17.7,19
1101203,21.69,25.75,23.3,23.8
1101302,17.69,22.05,19.7,20.02
1101401,17.31,21.6,17.5,19.22
1101435,17.19,22.75,19.8,20.17
1101450,21.75,25.15,20.6,22.98
1101468,19.62,24.55,22.5,22.39
1101476,21.75,25.85,21.6,23.5
1101484,21.69,26.45,21.6,23.74
1101492,17.81,20.4,21,19.63
1101500,17.62,19.85,18.7,18.83
1101559,18.5,22.6,20.5,20.72
1101609,19,23.2,19.7,20.98
1101708,18.75,22.45,19.8,20.59
1101757,17.62,23.3,22.1,21.07
1101807,18.5,24.4,19.8,21.35
1200013,12.25,13.9,13.5,13.24
1200054,10.19,14.35,15.3,13.11
1200104,11.25,15.2,15.4,13.87
1200138,11.94,13.2,13.9,12.91
1200179,11.88,13.05,14.5,12.96
1200203,6,8.5,7.1,7.33
1200252,12.75,15.65,15.6,14.63
1200302,7.25,10.95,9.5,9.35
1200328,6.62,10.75,7,8.5
1200336,6.81,8.3,7.2,7.54
1200344,9.88,12.5,10.7,11.2
1200351,6.44,10.65,7.2,8.43
1200385,12.31,13.85,13.8,13.3
1200393,5.81,9.35,6.5,7.5
1200401,11.69,14.15,14.7,13.41
1200427,7,8.3,7.6,7.7
1200435,7.62,11.3,11.8,10.13
1200450,12.5,13.25,13.1,12.96
1200500,10.56,11,13.8,11.46
1200609,6.5,8.95,7.2,7.72
1200708,12.75,14.25,16.2,14.15
