code_muni,en,ln,n,med
1100015,0.36,-0.49,0.2,0
1100023,0.3,-0.41,0.17,0
1100031,0.16,-0.32,0.23,0
1100049,0.32,-0.53,0.31,0.01
1100056,0.17,-0.49,0.41,0
1100064,0.15,-0.3,0.22,0
1100072,0.14,-0.48,0.44,0
1100080,0.3,-0.51,0.27,-0.01
1100098,0.35,-0.58,0.34,0
1100106,0.37,-0.55,0.25,0
1100114,0.24,-0.46,0.3,0
1100122,0.11,-0.39,0.37,0
1100130,0.14,-0.43,0.38,0
1100148,0.22,-0.53,0.4,0
1100155,0.18,-0.4,0.3,0.01
1100189,0.32,-0.54,0.34,0.01
1100205,0.4,-0.44,0.12,0
1100254,0.13,-0.34,0.28,0
1100262,0.19,-0.42,0.3,0
1100288,0.31,-0.49,0.29,0.01
1100296,0.28,-0.47,0.29,0
1100304,0.38,-0.55,0.28,0.01
1100320,0.26,-0.57,0.41,0
1100338,0.4,-0.46,0.14,0
1100346,0.16,-0.4,0.31,0
1100379,0.33,-0.57,0.35,0
1100403,0.25,-0.39,0.2,0
1100452,0.29,-0.41,0.19,0
1100502,0.26,-0.51,0.34,0
1100601,0.44,-0.49,0.13,0
1100700,0.4,-0.49,0.17,0
1100809,0.2,-0.4,0.27,0
1100908,0.19,-0.37,0.27,0.01
1100924,0.19,-0.54,0.47,0.01
1100940,0.13,-0.35,0.3,0
1101005,0.33,-0.5,0.26,0
1101104,0.15,-0.33,0.24,0
1101203,0.21,-0.36,0.22,0
1101302,0.2,-0.45,0.32,0
1101401,0.41,-0.52,0.19,0
1101435,0.16,-0.36,0.27,0
1101450,0.24,-0.48,0.34,0
1101468,0.2,-0.59,0.49,0
1101476,0.3,-0.47,0.28,0.01
1101484,0.27,-0.44,0.26,0
1101492,0.33,-0.53,0.29,0
1101500,0.3,-0.57,0.36,0
1101559,0.13,-0.41,0.35,0
1101609,0.22,-0.51,0.38,0
1101708,0.16,-0.43,0.35,0
1101757,0.17,-0.47,0.4,0
1101807,0.15,-0.41,0.36,0.01
1200013,0.19,-0.47,0.37,0
1200054,0.08,0.01,-0.14,-0.01
1200104,0.25,-0.23,0.01,0
1200138,0.38,-0.33,0.01,0
1200179,0.25,-0.35,0.16,0
1200203,-0.05,0.08,-0.05,0
1200252,0.24,-0.22,0.01,0
1200302,0.1,0.09,-0.22,0
1200328,-0.09,0.2,-0.15,0
1200336,0.04,-0.04,0,0
1200344,0.19,0.04,-0.26,0
1200351,-0.07,0.16,-0.12,0
1200385,0.19,-0.33,0.22,0.01
1200393,-0.08,0.15,-0.11,0
1200401,0.41,-0.31,-0.06,0
1200427,-0.04,0.06,-0.03,0
1200435,0.17,0.13,-0.35,0
1200450,0.18,-0.34,0.23,0
1200500,0.24,-0.04,-0.22,0
1200609,0.14,-0.14,-0.01,-0.01
1200708,0.25,-0.19,-0.03,0
1200807,0.27,-0.33,0.11,0
1300029,-0.05,-0.05,0.11,0
1300060,0.14,-0.41,0.35,0
1300086,0.02,-0.2,0.22,0
1300102,0.13,-0.21,0.14,0.01
1300144,0.16,-0.55,0.52,0.01
1300201,0.19,-0.18,0.01,0
1300300,-0.33,0.02,0.33,0
1300409,0.16,-0.15,-0.01,-0.01
1300508,-0.3,-0.18,0.56,0
1300607,0.25,-0.37,0.18,0
1300631,0.22,-0.2,0.04,0.01
1300680,-0.36,-0.19,0.61,0
1300706,0.25,-0.3,0.09,0
1300805,0.14,-0.46,0.39,-0.01
1300839,0,-0.2,0.24,0
1300904,-0.02,-0.21,0.3,0.01
1301001,0.01,-0.27,0.32,0
1301100,-0.17,-0.01,0.21,0
1301159,-0.46,0.06,0.42,0
1301209,0.38,-0.27,-0.06,0.01
1301308,-0.06,-0.08,0.15,0
1301407,0.15,-0.22,0.11,0
1301506,0.17,-0.24,0.1,0
1301605,-0.03,-0.18,0.24,0
1301654,0.01,-0.05,0.04,0
1301704,-0.09,-0.35,0.54,0.01
1301803,0.13,-0.12,0.03,0.01
1301852,-0.22,0.05,0.19,0.01
1301902,-0.33,-0.08,0.45,0
1301951,0.24,-0.41,0.26,0.01
1302009,-0.44,0.05,0.41,0
1302108,0.1,-0.34,0.32,0
1302207,-0.14,-0.02,0.16,0
1302306,0.11,-0.18,0.1,0
1302405,0.07,-0.4,0.44,0.01
1302504,0.02,-0.13,0.19,0.01
1302553,0.05,-0.2,0.21,0.01
1302603,-0.23,0.08,0.18,0.01
