code_muni,en,ln,n,med
1100015,5,6.29,3.57,5.04
1100023,7.07,6.88,3.5,5.91
1100031,4.6,6.59,4.14,5.2
1100049,5.13,6.12,3.71,5.07
1100056,6,8,4.79,6.37
1100064,1.13,0.88,0.64,0.89
1100072,2.93,3.94,2.71,3.24
1100080,4.87,5.94,3.79,4.93
1100098,1.47,0.76,1.43,1.2
1100106,4.33,5,3.21,4.24
1100114,5.6,6.12,3.43,5.13
1100122,5.87,6.71,3.86,5.57
1100130,5.8,5.71,3.29,5
1100148,3.93,4.59,3.36,4
1100155,5.27,5.59,3.36,4.8
1100189,5.8,7.06,4,5.72
1100205,6.53,8.35,4.21,6.5
1100254,5.8,6.65,3.93,5.54
1100262,6.67,6.18,3.36,5.48
1100288,5.4,6.47,3.93,5.35
1100296,1.4,1.24,1.79,1.46
1100304,1.8,1.47,1.14,1.48
1100320,5.2,5.35,3.36,4.7
1100338,4,4.24,2.93,3.76
1100346,4.33,4.47,3.36,4.09
1100379,4.73,6.06,3.71,4.91
1100403,6.33,6.65,3.36,5.54
1100452,4.4,4.76,3.14,4.15
1100502,5.33,6.35,3.71,5.22
1100601,5.73,5.12,3.29,4.76
1100700,4.87,4.88,3.14,4.35
1100809,7.07,8.71,4.29,6.83
1100908,6.47,7.65,4.21,6.22
1100924,2.07,2.35,1.5,2
1100940,6.53,6.94,3.57,5.78
1101005,3.13,2.29,2.86,2.74
1101104,6.4,7.24,3.64,5.87
1101203,2.8,2.41,3.07,2.74
1101302,3.13,2.71,3.14,2.98
1101401,5.13,4.82,3.29,4.46
1101435,4,3.76,3.36,3.72
1101450,3.13,3.82,2.93,3.33
1101468,6.4,8.76,5.07,6.87
1101476,5.13,7.18,4.07,5.57
1101484,4.6,5.82,3.86,4.83
1101492,6.33,8.06,4.29,6.35
1101500,5.33,6,3.36,4.98
1101559,5.47,6.29,3.64,5.22
1101609,5.07,4.88,3.43,4.5
1101708,5.13,5.29,3.36,4.65
1101757,6.2,6.53,3.93,5.63
1101807,5.6,5.65,3.43,4.96
1200013,3.07,4.06,2.43,3.24
1200054,0.27,0.35,0.5,0.37
1200104,0.67,0.82,0.64,0.72
1200138,2.33,3.76,2.29,2.85
1200179,2.73,3.65,1.93,2.83
1200203,2.73,2.12,1.21,2.04
1200252,1.47,2,0.79,1.46
1200302,0.8,0.76,0.79,0.78
1200328,0.4,0.24,0.57,0.39
1200336,1.8,1.06,0.57,1.15
1200344,0.93,0.59,0.57,0.7
1200351,0.67,0.59,1,0.74
1200385,3.4,4.24,2.71,3.5
1200393,2.13,1.53,1.14,1.61
1200401,2.67,3.82,2.07,2.91
1200427,2.13,1.65,0.71,1.52
1200435,0.47,0.35,0.5,0.43
1200450,3.67,4.35,2.71,3.63
1200500,1,1,0.71,0.91
1200609,0.53,0.65,0.79,0.65
1200708,1.47,2.06,0.93,1.52
1200807,3.53,4.59,2.93,3.74
1300029,1.53,1.71,1,1.43
1300060,0.07,1.18,0.07,0.48
1300086,1.6,1.76,1.86,1.74
1300102,2.6,2.53,2.71,2.61
1300144,1.4,3.24,3.5,2.72
1300201,0.47,0.82,0.5,0.61
1300300,1.07,1.41,1.36,1.28
1300409,0.87,0.41,0.64,0.63
1300508,0.47,1.41,0.36,0.78
1300607,0.87,1.47,0.79,1.07
1300631,2,2.06,2.93,2.3
1300680,0.47,1.06,0.79,0.78
1300706,1.73,2.53,1.93,2.09
1300805,1.2,1.59,2.21,1.65
1300839,0.93,0.94,1.29,1.04
